Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,80.02,80.11,79.99,80.1,8967,0
2017-04-10,15:40:00,80.12,80.14,80,80.065,3224,0
2017-04-10,15:45:00,80.04,80.085,79.9592,79.9999,1387,0
2017-04-10,15:50:00,80,80.072,79.91,80.072,1588,0
2017-04-10,15:55:00,80.1,80.11,79.97,80.018,2613,0
2017-04-10,16:00:00,80.025,80.103,79.99,80.103,1600,0
2017-04-10,16:05:00,80.07,80.12,80.04,80.05,700,0
2017-04-10,16:10:00,80.05,80.25,80.05,80.16,3190,0
2017-04-10,16:15:00,80.14,80.1941,80.1,80.1297,2851,0
2017-04-10,16:20:00,80.1,80.12,80.05,80.11,3850,0
2017-04-10,16:25:00,80.05,80.05,79.99,80.04,3565,0
2017-04-10,16:30:00,80.035,80.18,80.03,80.18,3728,0
2017-04-10,16:35:00,80.19,80.26,80.17,80.17,1500,0
2017-04-10,16:40:00,80.17,80.22,80.15,80.15,2000,0
2017-04-10,16:45:00,80.14,80.14,80.07,80.1,2200,0
2017-04-10,16:50:00,80.09,80.1,80.07,80.07,1700,0
2017-04-10,16:55:00,80.06,80.09,80.05,80.08,1526,0
2017-04-10,17:00:00,80.08,80.08,80,80.01,2625,0
2017-04-10,17:05:00,80.0401,80.15,80.0401,80.145,2350,0
2017-04-10,17:10:00,80.185,80.185,80.11,80.131,5975,0
2017-04-10,17:15:00,80.23,80.23,80.19,80.21,1600,0
2017-04-10,17:20:00,80.22,80.235,80.19,80.19,1600,0
2017-04-10,17:25:00,80.23,80.305,80.215,80.26,2035,0
2017-04-10,17:30:00,80.25,80.2516,80.18,80.23,2550,0
2017-04-10,17:35:00,80.26,80.26,80.13,80.135,3552,0
2017-04-10,17:40:00,80.145,80.24,80.12,80.24,4482,0
2017-04-10,17:45:00,80.18,80.19,80.14,80.14,3200,0
2017-04-10,17:50:00,80.14,80.14,80.07,80.12,2970,0
2017-04-10,17:55:00,80.14,80.18,80.14,80.16,1600,0
2017-04-10,18:00:00,80.13,80.17,80.11,80.135,2065,0
2017-04-10,18:05:00,80.16,80.17,80.12,80.15,1000,0
2017-04-10,18:10:00,80.14,80.14,80.09,80.12,1700,0
2017-04-10,18:15:00,80.14,80.15,80.1,80.1364,2995,0
2017-04-10,18:20:00,80.14,80.17,80.14,80.15,900,0
2017-04-10,18:25:00,80.14,80.19,80.12,80.19,3703,0
2017-04-10,18:30:00,80.2,80.22,80.16,80.22,1660,0
2017-04-10,18:35:00,80.23,80.28,80.19,80.28,2902,0
2017-04-10,18:40:00,80.29,80.32,80.285,80.29,1300,0
2017-04-10,18:45:00,80.28,80.32,80.26,80.3,3285,0
2017-04-10,18:50:00,80.32,80.36,80.32,80.36,2467,0
2017-04-10,18:55:00,80.37,80.5,80.37,80.5,4163,0
2017-04-10,19:00:00,80.48,80.51,80.45,80.45,1300,0
2017-04-10,19:05:00,80.4899,80.4899,80.4,80.45,3800,0
2017-04-10,19:10:00,80.4416,80.53,80.4416,80.45,3300,0
2017-04-10,19:15:00,80.45,80.5,80.42,80.5,3273,0
2017-04-10,19:20:00,80.505,80.54,80.505,80.54,879,0
2017-04-10,19:25:00,80.5306,80.57,80.53,80.565,1084,0
2017-04-10,19:30:00,80.565,80.6,80.56,80.6,2282,0
2017-04-10,19:35:00,80.5739,80.59,80.55,80.575,2583,0
2017-04-10,19:40:00,80.59,80.6,80.57,80.57,1200,0
2017-04-10,19:45:00,80.56,80.56,80.49,80.515,3353,0
2017-04-10,19:50:00,80.5,80.55,80.5,80.52,7424,0
2017-04-10,19:55:00,80.52,80.54,80.42,80.42,3516,0
2017-04-10,20:00:00,80.43,80.46,80.42,80.42,1750,0
2017-04-10,20:05:00,80.42,80.43,80.33,80.33,2230,0
2017-04-10,20:10:00,80.32,80.35,80.26,80.2736,1750,0
2017-04-10,20:15:00,80.27,80.41,80.27,80.41,4166,0
2017-04-10,20:20:00,80.41,80.43,80.41,80.43,1805,0
2017-04-10,20:25:00,80.44,80.51,80.43,80.495,5500,0
2017-04-10,20:30:00,80.47,80.49,80.38,80.38,1500,0
2017-04-10,20:35:00,80.39,80.47,80.32,80.47,7703,0
2017-04-10,20:40:00,80.47,80.47,80.39,80.41,6057,0
2017-04-10,20:45:00,80.39,80.3903,80.32,80.355,2761,0
2017-04-10,20:50:00,80.38,80.4,80.3,80.3,1468,0
2017-04-10,20:55:00,80.3211,80.35,80.31,80.35,3364,0
2017-04-10,21:00:00,80.36,80.36,80.27,80.275,1905,0
2017-04-10,21:05:00,80.27,80.33,80.27,80.32,3100,0
2017-04-10,21:10:00,80.33,80.37,80.33,80.355,1982,0
2017-04-10,21:15:00,80.34,80.36,80.34,80.36,2100,0
2017-04-10,21:20:00,80.34,80.365,80.27,80.27,4197,0
2017-04-10,21:25:00,80.27,80.27,80.16,80.19,3300,0
2017-04-10,21:30:00,80.16,80.31,80.16,80.31,9387,0
2017-04-10,21:35:00,80.29,80.37,80.29,80.35,6584,0
2017-04-10,21:40:00,80.35,80.48,80.34,80.45,5435,0
2017-04-10,21:45:00,80.45,80.48,80.43,80.47,4839,0
2017-04-10,21:50:00,80.48,80.54,80.36,80.36,13580,0
2017-04-10,21:55:00,80.36,80.4,80.27,80.27,9511,0
2017-04-10,22:00:00,80.28,80.39,80.23,80.39,85269,0
2017-04-11,15:35:00,80.61,80.98,80.36,80.7424,12767,0
2017-04-11,15:40:00,80.825,80.92,80.47,80.64,5538,0
2017-04-11,15:45:00,80.67,80.67,80.32,80.32,2400,0
2017-04-11,15:50:00,80.43,80.63,80.27,80.63,8279,0
2017-04-11,15:55:00,80.5724,80.67,80.5,80.57,7126,0
2017-04-11,16:00:00,80.56,80.67,80.5,80.63,8190,0
2017-04-11,16:05:00,80.65,80.65,80.54,80.63,4198,0
2017-04-11,16:10:00,80.56,80.74,80.56,80.67,2900,0
2017-04-11,16:15:00,80.64,80.68,80.54,80.575,3781,0
2017-04-11,16:20:00,80.575,80.61,80.55,80.55,2500,0
2017-04-11,16:25:00,80.54,80.55,80.47,80.47,2600,0
2017-04-11,16:30:00,80.45,80.52,80.43,80.49,2100,0
2017-04-11,16:35:00,80.5,80.6,80.48,80.52,4200,0
2017-04-11,16:40:00,80.47,80.53,80.46,80.53,2200,0
2017-04-11,16:45:00,80.55,80.57,80.42,80.45,3000,0
2017-04-11,16:50:00,80.41,80.44,80.32,80.33,1600,0
2017-04-11,16:55:00,80.33,80.34,80.19,80.19,3824,0
2017-04-11,17:00:00,80.205,80.4,80.17,80.4,3870,0
2017-04-11,17:05:00,80.4,80.4,80.33,80.34,4835,0
2017-04-11,17:10:00,80.34,80.41,80.31,80.35,2922,0
2017-04-11,17:15:00,80.34,80.38,80.27,80.295,4425,0
2017-04-11,17:20:00,80.33,80.43,80.3,80.41,3900,0
2017-04-11,17:25:00,80.42,80.42,80.34,80.34,2205,0
2017-04-11,17:30:00,80.34,80.353,80.25,80.35,2935,0
2017-04-11,17:35:00,80.37,80.55,80.37,80.55,4700,0
2017-04-11,17:40:00,80.5392,80.6494,80.5,80.6494,7266,0
2017-04-11,17:45:00,80.65,80.66,80.61,80.645,3628,0
2017-04-11,17:50:00,80.66,80.66,80.54,80.54,1800,0
2017-04-11,17:55:00,80.51,80.58,80.5,80.55,5500,0
2017-04-11,18:00:00,80.58,80.6466,80.58,80.59,4990,0
2017-04-11,18:05:00,80.595,80.61,80.56,80.57,3600,0
2017-04-11,18:10:00,80.6,80.68,80.56,80.68,3700,0
2017-04-11,18:15:00,80.67,80.75,80.65,80.75,3494,0
