Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-10,16:15:00,1.2693,1.2693,1.2693,1.2693,125,0
2017-01-10,16:30:00,1.26,1.2601,1.26,1.26,3954,0
2017-01-10,17:30:00,1.2352,1.2352,1.2352,1.2352,200,0
2017-01-10,18:45:00,1.235,1.25,1.235,1.25,9438,0
2017-01-10,20:35:00,1.2501,1.28,1.2407,1.2407,3700,0
2017-01-10,21:40:00,1.25,1.25,1.25,1.25,400,0
2017-01-10,21:55:00,1.25,1.25,1.25,1.25,200,0
2017-01-10,22:00:00,1.2401,1.29,1.2401,1.28,10900,0
2017-01-11,15:35:00,1.34,1.34,1.34,1.34,2005,0
2017-01-11,16:50:00,1.31,1.31,1.3056,1.3056,1571,0
2017-01-11,17:00:00,1.2301,1.26,1.23,1.23,2228,0
2017-01-11,17:15:00,1.2401,1.2401,1.2401,1.2401,110,0
2017-01-11,19:35:00,1.2812,1.2812,1.2812,1.2812,250,0
2017-01-11,19:55:00,1.28,1.28,1.28,1.28,500,0
2017-01-11,21:10:00,1.24,1.24,1.24,1.24,2912,0
2017-01-11,21:20:00,1.29,1.29,1.24,1.24,1100,0
2017-01-11,22:00:00,1.27,1.27,1.27,1.27,700,0
2017-01-12,15:35:00,1.34,1.44,1.34,1.3885,19890,0
2017-01-12,15:40:00,1.3601,1.4,1.33,1.38,9500,0
2017-01-12,15:50:00,1.3629,1.3629,1.3629,1.3629,250,0
2017-01-12,15:55:00,1.37,1.37,1.36,1.36,200,0
2017-01-12,16:00:00,1.35,1.36,1.35,1.36,500,0
2017-01-12,16:05:00,1.345,1.345,1.345,1.345,200,0
2017-01-12,16:10:00,1.31,1.31,1.16,1.2986,9328,0
2017-01-12,16:15:00,1.29,1.29,1.22,1.22,2500,0
2017-01-12,16:20:00,1.22,1.23,1.191,1.23,7445,0
2017-01-12,16:25:00,1.23,1.27,1.23,1.25,2300,0
2017-01-12,16:30:00,1.25,1.255,1.2301,1.24,3798,0
2017-01-12,16:35:00,1.24,1.26,1.24,1.26,3423,0
2017-01-12,16:40:00,1.2501,1.2501,1.2501,1.2501,1000,0
2017-01-12,16:50:00,1.27,1.29,1.27,1.29,1000,0
2017-01-12,16:55:00,1.29,1.29,1.28,1.28,10100,0
2017-01-12,17:45:00,1.275,1.275,1.275,1.275,200,0
2017-01-12,17:50:00,1.2701,1.275,1.2701,1.275,600,0
2017-01-12,17:55:00,1.27,1.2701,1.27,1.27,500,0
2017-01-12,18:05:00,1.27,1.2701,1.27,1.27,749,0
2017-01-12,18:15:00,1.27,1.27,1.2696,1.27,1100,0
2017-01-12,18:30:00,1.2601,1.28,1.2601,1.28,1100,0
2017-01-12,18:45:00,1.27,1.27,1.27,1.27,652,0
2017-01-12,21:25:00,1.2789,1.29,1.2601,1.29,1843,0
2017-01-12,21:30:00,1.2736,1.2736,1.2736,1.2736,400,0
2017-01-12,21:40:00,1.2853,1.2853,1.2853,1.2853,299,0
2017-01-12,21:55:00,1.282,1.282,1.282,1.282,200,0
2017-01-12,22:00:00,1.2801,1.3,1.2801,1.3,307,0
2017-01-13,15:35:00,1.32,1.354,1.32,1.354,2175,0
2017-01-13,15:40:00,1.32,1.32,1.32,1.32,349,0
2017-01-13,15:45:00,1.32,1.32,1.29,1.29,5300,0
2017-01-13,16:05:00,1.3239,1.3239,1.3239,1.3239,100,0
2017-01-13,16:25:00,1.32,1.32,1.32,1.32,600,0
2017-01-13,16:45:00,1.32,1.32,1.32,1.32,300,0
2017-01-13,16:50:00,1.337,1.337,1.337,1.337,2000,0
2017-01-13,16:55:00,1.35,1.3569,1.35,1.3569,3000,0
2017-01-13,17:10:00,1.345,1.345,1.33,1.345,1850,0
2017-01-13,17:15:00,1.3301,1.3301,1.33,1.33,1000,0
2017-01-13,21:15:00,1.348,1.348,1.348,1.348,100,0
2017-01-13,21:25:00,1.38,1.38,1.3566,1.3566,800,0
2017-01-13,21:45:00,1.36,1.36,1.3444,1.3444,200,0
2017-01-13,21:55:00,1.35,1.35,1.35,1.35,100,0
2017-01-13,22:00:00,1.35,1.36,1.34,1.34,880,0
2017-01-17,15:35:00,1.33,1.33,1.33,1.33,609,0
2017-01-17,15:40:00,1.32,1.32,1.32,1.32,2000,0
2017-01-17,15:55:00,1.325,1.325,1.325,1.325,500,0
2017-01-17,16:00:00,1.33,1.3301,1.3299,1.33,8841,0
2017-01-17,16:10:00,1.33,1.33,1.33,1.33,200,0
2017-01-17,16:25:00,1.3267,1.3267,1.3201,1.3201,1000,0
2017-01-17,16:30:00,1.33,1.33,1.33,1.33,200,0
2017-01-17,16:35:00,1.325,1.325,1.325,1.325,3893,0
2017-01-17,16:40:00,1.33,1.33,1.33,1.33,1300,0
2017-01-17,16:55:00,1.35,1.3501,1.35,1.3501,1200,0
2017-01-17,17:00:00,1.35,1.35,1.35,1.35,100,0
2017-01-17,17:20:00,1.35,1.35,1.35,1.35,100,0
2017-01-17,17:35:00,1.34,1.34,1.34,1.34,210,0
2017-01-17,18:05:00,1.33,1.33,1.33,1.33,600,0
2017-01-17,18:15:00,1.3301,1.3301,1.3301,1.3301,1000,0
2017-01-17,18:25:00,1.339,1.339,1.339,1.339,229,0
2017-01-17,18:35:00,1.3302,1.3302,1.3302,1.3302,100,0
2017-01-17,19:25:00,1.34,1.45,1.3393,1.4,15709,0
2017-01-17,19:35:00,1.4005,1.4005,1.4005,1.4005,146,0
2017-01-17,19:55:00,1.41,1.41,1.41,1.41,400,0
2017-01-17,20:00:00,1.3901,1.3901,1.3901,1.3901,500,0
2017-01-17,20:30:00,1.38,1.38,1.36,1.36,1100,0
2017-01-17,20:35:00,1.36,1.36,1.35,1.35,1300,0
2017-01-17,20:40:00,1.33,1.33,1.33,1.33,3000,0
2017-01-17,20:55:00,1.35,1.35,1.35,1.35,200,0
2017-01-17,21:05:00,1.34,1.34,1.34,1.34,100,0
2017-01-17,21:15:00,1.34,1.34,1.34,1.34,200,0
2017-01-17,21:20:00,1.35,1.35,1.35,1.35,200,0
2017-01-17,21:25:00,1.35,1.35,1.35,1.35,900,0
2017-01-17,21:30:00,1.35,1.35,1.35,1.35,100,0
2017-01-17,21:35:00,1.35,1.35,1.33,1.33,1200,0
2017-01-17,21:40:00,1.33,1.33,1.33,1.33,100,0
2017-01-17,21:45:00,1.34,1.34,1.34,1.34,300,0
2017-01-17,21:50:00,1.3501,1.3501,1.34,1.35,1900,0
2017-01-17,22:00:00,1.34,1.35,1.34,1.35,3500,0
2017-01-18,15:35:00,1.35,1.35,1.35,1.35,121,0
2017-01-18,16:20:00,1.3368,1.3368,1.3368,1.3368,1457,0
2017-01-18,16:55:00,1.33,1.35,1.33,1.33,900,0
2017-01-18,17:25:00,1.3301,1.35,1.3301,1.35,1300,0
2017-01-18,17:50:00,1.33,1.35,1.33,1.35,1425,0
2017-01-18,18:00:00,1.3414,1.3414,1.3301,1.3301,1266,0
2017-01-18,18:45:00,1.34,1.34,1.34,1.34,100,0
2017-01-18,20:55:00,1.3301,1.3301,1.3301,1.3301,1800,0
2017-01-18,21:05:00,1.37,1.37,1.37,1.37,100,0
2017-01-18,21:20:00,1.37,1.37,1.368,1.368,200,0
2017-01-18,22:00:00,1.37,1.37,1.36,1.36,221,0
2017-01-19,16:50:00,1.3384,1.3384,1.3384,1.3384,250,0
2017-01-19,17:00:00,1.3399,1.3399,1.33,1.3399,1063,0
2017-01-19,17:55:00,1.35,1.38,1.35,1.38,3600,0
2017-01-19,18:00:00,1.36,1.36,1.36,1.36,100,0
2017-01-19,18:10:00,1.37,1.38,1.3589,1.36,11600,0
2017-01-19,18:15:00,1.36,1.38,1.36,1.38,1800,0
2017-01-19,18:30:00,1.35,1.35,1.3456,1.3456,1181,0
2017-01-19,19:35:00,1.35,1.38,1.349,1.35,3700,0
2017-01-19,19:40:00,1.35,1.36,1.35,1.36,1300,0
2017-01-19,19:45:00,1.355,1.355,1.349,1.349,316,0
