Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,57.43,57.65,57.4,57.6,4080,0
2017-04-10,15:40:00,57.54,57.885,57.54,57.73,4500,0
2017-04-10,15:45:00,57.76,57.82,57.67,57.73,2800,0
2017-04-10,15:50:00,57.775,57.87,57.7,57.73,6400,0
2017-04-10,15:55:00,57.8301,57.86,57.76,57.81,4370,0
2017-04-10,16:00:00,57.88,57.91,57.78,57.89,6341,0
2017-04-10,16:05:00,57.88,58.005,57.83,57.99,5800,0
2017-04-10,16:10:00,57.99,58.24,57.99,58.22,7200,0
2017-04-10,16:15:00,58.25,58.25,58.13,58.18,3831,0
2017-04-10,16:20:00,58.15,58.15,57.95,57.95,10125,0
2017-04-10,16:25:00,57.95,58.01,57.81,58.01,7284,0
2017-04-10,16:30:00,58.04,58.1,58.04,58.05,1900,0
2017-04-10,16:35:00,58.02,58.25,58.02,58.2,2800,0
2017-04-10,16:40:00,58.18,58.21,58.06,58.06,3179,0
2017-04-10,16:45:00,58.03,58.08,57.99,58.08,1937,0
2017-04-10,16:50:00,58.09,58.16,58.09,58.14,3200,0
2017-04-10,16:55:00,58.14,58.18,58.135,58.18,1100,0
2017-04-10,17:00:00,58.17,58.17,57.99,57.99,2840,0
2017-04-10,17:05:00,58.02,58.08,58,58.04,3605,0
2017-04-10,17:10:00,58.11,58.13,58.065,58.12,2320,0
2017-04-10,17:15:00,58.09,58.15,58.09,58.15,1600,0
2017-04-10,17:20:00,58.18,58.23,58.12,58.125,4306,0
2017-04-10,17:25:00,58.15,58.3,58.15,58.3,4304,0
2017-04-10,17:30:00,58.3,58.34,58.24,58.25,2400,0
2017-04-10,17:35:00,58.29,58.29,58.06,58.06,1800,0
2017-04-10,17:40:00,58.04,58.06,57.94,57.94,5685,0
2017-04-10,17:45:00,57.965,57.97,57.75,57.83,6350,0
2017-04-10,17:50:00,57.83,57.83,57.76,57.82,2100,0
2017-04-10,17:55:00,57.83,57.94,57.825,57.84,3431,0
