Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-07-25,16:10:00,15.264,15.264,15.264,15.264,352,0
2016-07-25,16:30:00,15.118,15.118,15.118,15.118,515,0
2016-07-25,21:25:00,15.078,15.078,15.078,15.078,886,0
2016-07-25,21:50:00,14.923,14.923,14.923,14.923,100,0
2016-07-26,17:05:00,14.856,14.856,14.856,14.856,209,0
2016-07-26,19:15:00,15.134,15.134,15.134,15.134,209,0
2016-07-26,20:05:00,15.036,15.036,15.036,15.036,127,0
2016-07-26,22:00:00,14.899,14.899,14.899,14.899,783,0
2016-07-27,21:55:00,14.953,14.963,14.953,14.963,209,0
2016-07-28,17:05:00,14.982,14.982,14.982,14.982,309,0
2016-07-28,17:50:00,14.972,14.972,14.972,14.972,330,0
2016-07-28,20:55:00,14.972,14.972,14.972,14.972,269,0
2016-07-28,21:55:00,14.964,14.964,14.964,14.964,1542,0
2016-07-29,19:40:00,15.005,15.005,15.005,15.005,150,0
2016-07-29,21:15:00,14.903,14.903,14.903,14.903,2722,0
2016-08-01,16:20:00,15.312,15.312,15.312,15.312,586,0
2016-08-01,21:50:00,14.991,14.991,14.816,14.816,6995,0
2016-08-01,22:00:00,14.867,14.867,14.867,14.867,208,0
2016-08-02,17:40:00,14.932,14.932,14.932,14.932,309,0
2016-08-05,15:55:00,14.846,14.884,14.787,14.884,960,0
2016-08-05,16:00:00,14.884,14.894,14.884,14.894,309,0
2016-08-05,16:05:00,14.894,14.894,14.884,14.884,209,0
2016-08-05,16:10:00,14.903,14.903,14.903,14.903,100,0
2016-08-05,16:20:00,14.894,14.894,14.894,14.894,100,0
2016-08-05,17:05:00,14.923,14.923,14.923,14.923,100,0
2016-08-05,19:55:00,14.9,14.923,14.9,14.9,3072,0
2016-08-05,20:15:00,14.923,14.923,14.923,14.923,100,0
2016-08-05,20:30:00,14.884,14.884,14.884,14.884,515,0
2016-08-05,20:50:00,14.923,14.923,14.923,14.923,100,0
2016-08-05,21:50:00,14.913,14.913,14.913,14.913,100,0
2016-08-05,21:55:00,14.922,14.922,14.922,14.922,110,0
2016-08-08,20:05:00,14.893,14.893,14.893,14.893,295,0
2016-08-10,17:25:00,14.967,14.967,14.913,14.913,391,0
2016-08-10,17:50:00,14.859,14.859,14.409,14.79,10975,0
2016-08-10,17:55:00,14.917,14.917,14.869,14.869,671,0
2016-08-10,18:00:00,14.79,14.79,14.702,14.78,4919,0
2016-08-10,18:50:00,14.81,14.81,14.81,14.81,121,0
2016-08-11,19:45:00,14.917,14.917,14.873,14.873,422,0
2016-08-11,20:05:00,14.78,14.807,14.625,14.807,1999,0
2016-08-12,17:35:00,14.81,14.81,14.81,14.81,110,0
2016-08-15,17:20:00,14.815,14.927,14.815,14.927,296,0
2016-08-16,20:30:00,14.82,14.82,14.82,14.82,514,0
2016-08-16,21:50:00,14.81,14.82,14.81,14.81,852,0
2016-08-17,19:15:00,14.851,14.851,14.851,14.851,150,0
2016-08-18,15:35:00,14.888,14.888,14.75,14.75,410,0
2016-08-18,16:05:00,14.895,14.895,14.895,14.895,374,0
2016-08-19,15:55:00,14.859,14.859,14.859,14.859,100,0
2016-08-19,17:35:00,14.85,14.85,14.85,14.85,490,0
2016-08-19,17:55:00,14.917,14.917,14.877,14.877,1682,0
2016-08-19,21:55:00,14.79,14.79,14.79,14.79,208,0
2016-08-19,22:00:00,14.79,14.79,14.79,14.79,208,0
2016-08-22,15:35:00,14.78,14.78,14.78,14.78,208,0
2016-08-22,16:25:00,14.82,14.82,14.82,14.82,100,0
2016-08-22,16:45:00,14.82,14.82,14.82,14.82,616,0
2016-08-22,21:40:00,14.82,14.82,14.82,14.82,2562,0
2016-08-22,21:45:00,14.83,14.83,14.8,14.83,4805,0
2016-08-22,21:50:00,14.907,14.907,14.907,14.907,100,0
2016-08-23,20:30:00,14.888,14.888,14.888,14.888,1342,0
2016-08-23,21:05:00,14.888,14.888,14.879,14.888,924,0
2016-08-23,21:10:00,14.888,14.888,14.888,14.888,1538,0
2016-08-23,21:40:00,14.898,14.917,14.888,14.917,1140,0
2016-08-23,22:00:00,14.927,14.927,14.922,14.922,1024,0
2016-08-24,17:15:00,14.876,14.934,14.8,14.917,2576,0
2016-08-24,17:55:00,14.85,14.917,14.79,14.917,2669,0
2016-08-24,18:05:00,14.907,14.907,14.907,14.907,100,0
2016-08-24,18:40:00,14.898,14.906,14.898,14.906,208,0
2016-08-24,19:10:00,14.83,14.917,14.664,14.869,4515,0
2016-08-24,19:20:00,14.75,14.85,14.75,14.85,930,0
2016-08-24,19:50:00,14.854,14.859,14.854,14.859,1180,0
2016-08-24,21:05:00,14.81,14.859,14.752,14.859,3908,0
2016-08-24,21:50:00,14.859,14.859,14.859,14.859,100,0
2016-08-25,19:50:00,14.83,14.83,14.82,14.82,556,0
2016-08-25,21:00:00,14.859,14.859,14.859,14.859,308,0
2016-08-25,21:10:00,14.859,14.859,14.859,14.859,1527,0
2016-08-26,16:10:00,14.712,14.859,14.712,14.77,1282,0
2016-08-26,19:35:00,14.692,14.692,14.692,14.692,100,0
2016-08-26,19:40:00,14.692,14.692,14.692,14.692,216,0
