Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-03,15:35:00,10.35,10.4,10.307,10.307,2552,0
2017-04-03,15:40:00,10.4,10.4,10.4,10.4,100,0
2017-04-03,16:10:00,10.45,10.45,10.4,10.45,612,0
2017-04-03,16:15:00,10.4,10.4,10.4,10.4,100,0
2017-04-03,16:20:00,10.45,10.45,10.45,10.45,100,0
2017-04-03,16:35:00,10.45,10.45,10.45,10.45,100,0
2017-04-03,16:40:00,10.45,10.45,10.45,10.45,100,0
2017-04-03,16:45:00,10.4,10.5,10.4,10.45,900,0
2017-04-03,17:00:00,10.45,10.45,10.4,10.4,334,0
2017-04-03,17:10:00,10.45,10.45,10.45,10.45,100,0
2017-04-03,17:15:00,10.4033,10.45,10.35,10.375,2100,0
2017-04-03,17:20:00,10.4,10.4,10.375,10.4,1400,0
2017-04-03,17:25:00,10.4,10.45,10.4,10.45,500,0
2017-04-03,17:30:00,10.45,10.45,10.425,10.45,1600,0
2017-04-03,17:35:00,10.45,10.45,10.45,10.45,700,0
2017-04-03,17:40:00,10.45,10.45,10.4,10.45,1000,0
2017-04-03,17:45:00,10.45,10.45,10.45,10.45,100,0
2017-04-03,17:50:00,10.45,10.45,10.45,10.45,100,0
2017-04-03,17:55:00,10.425,10.45,10.425,10.45,200,0
2017-04-03,18:00:00,10.45,10.45,10.45,10.45,600,0
2017-04-03,18:05:00,10.4,10.425,10.325,10.35,5669,0
2017-04-03,18:10:00,10.375,10.375,10.35,10.35,200,0
2017-04-03,18:15:00,10.4,10.4,10.35,10.375,400,0
2017-04-03,18:20:00,10.375,10.4,10.35,10.4,300,0
2017-04-03,18:25:00,10.4,10.4,10.4,10.4,100,0
2017-04-03,18:30:00,10.4,10.4,10.4,10.4,100,0
2017-04-03,18:40:00,10.3844,10.425,10.3844,10.425,1700,0
2017-04-03,18:45:00,10.425,10.425,10.4,10.425,300,0
2017-04-03,18:50:00,10.425,10.45,10.425,10.425,800,0
2017-04-03,18:55:00,10.45,10.45,10.45,10.45,100,0
2017-04-03,19:00:00,10.425,10.425,10.425,10.425,100,0
2017-04-03,19:05:00,10.425,10.425,10.35,10.375,3566,0
2017-04-03,19:10:00,10.4,10.4,10.4,10.4,100,0
2017-04-03,19:15:00,10.375,10.4,10.375,10.4,200,0
2017-04-03,19:20:00,10.4,10.4,10.375,10.375,600,0
2017-04-03,19:25:00,10.375,10.4,10.35,10.35,3800,0
2017-04-03,19:30:00,10.35,10.375,10.35,10.35,2100,0
2017-04-03,19:35:00,10.35,10.375,10.35,10.35,800,0
2017-04-03,19:40:00,10.35,10.375,10.35,10.35,700,0
2017-04-03,19:45:00,10.35,10.375,10.35,10.375,300,0
2017-04-03,19:50:00,10.35,10.375,10.35,10.375,1300,0
2017-04-03,20:00:00,10.3621,10.4,10.3621,10.4,1025,0
2017-04-03,20:05:00,10.35,10.35,10.35,10.35,100,0
2017-04-03,20:10:00,10.35,10.375,10.35,10.375,400,0
2017-04-03,20:20:00,10.375,10.375,10.375,10.375,100,0
2017-04-03,20:25:00,10.35,10.35,10.35,10.35,1002,0
2017-04-03,20:30:00,10.375,10.375,10.375,10.375,100,0
2017-04-03,20:35:00,10.375,10.375,10.375,10.375,100,0
2017-04-03,20:40:00,10.375,10.4,10.3656,10.4,1200,0
2017-04-03,20:45:00,10.375,10.375,10.375,10.375,100,0
2017-04-03,20:50:00,10.375,10.4,10.375,10.375,1500,0
2017-04-03,21:00:00,10.4,10.4,10.35,10.375,1500,0
2017-04-03,21:05:00,10.4,10.4,10.4,10.4,500,0
2017-04-03,21:10:00,10.4,10.4,10.4,10.4,300,0
2017-04-03,21:15:00,10.4,10.4,10.4,10.4,100,0
2017-04-03,21:20:00,10.4,10.4,10.35,10.375,1500,0
2017-04-03,21:25:00,10.4,10.4,10.4,10.4,200,0
2017-04-03,21:30:00,10.4,10.4,10.4,10.4,700,0
2017-04-03,21:35:00,10.375,10.4,10.375,10.4,400,0
2017-04-03,21:40:00,10.4,10.4,10.35,10.4,1400,0
2017-04-03,21:45:00,10.375,10.4,10.375,10.4,600,0
2017-04-03,21:50:00,10.4,10.4,10.375,10.4,1300,0
2017-04-03,21:55:00,10.4,10.425,10.35,10.425,2731,0
2017-04-03,22:00:00,10.4,10.425,10.35,10.35,10313,0
2017-04-04,15:35:00,10.4,10.4,10.4,10.4,234,0
2017-04-04,15:40:00,10.35,10.35,10.35,10.35,200,0
2017-04-04,15:45:00,10.4,10.5,10.4,10.5,1500,0
2017-04-04,15:50:00,10.45,10.4625,10.4,10.4,1726,0
2017-04-04,15:55:00,10.45,10.45,10.45,10.45,300,0
2017-04-04,16:00:00,10.45,10.45,10.45,10.45,400,0
2017-04-04,16:05:00,10.5,10.5,10.45,10.5,500,0
2017-04-04,16:10:00,10.45,10.45,10.45,10.45,400,0
2017-04-04,16:15:00,10.4,10.4,10.4,10.4,100,0
2017-04-04,16:20:00,10.45,10.45,10.45,10.45,100,0
2017-04-04,16:25:00,10.4,10.4,10.35,10.35,747,0
2017-04-04,16:30:00,10.35,10.35,10.35,10.35,100,0
2017-04-04,16:35:00,10.35,10.35,10.3,10.3,400,0
2017-04-04,16:40:00,10.25,10.25,10.25,10.25,100,0
2017-04-04,16:45:00,10.3,10.35,10.3,10.35,200,0
2017-04-04,16:50:00,10.3,10.3,10.3,10.3,300,0
2017-04-04,16:55:00,10.3,10.3,10.3,10.3,700,0
2017-04-04,17:00:00,10.25,10.25,10.25,10.25,100,0
2017-04-04,17:05:00,10.35,10.35,10.35,10.35,100,0
2017-04-04,17:10:00,10.3,10.3,10.3,10.3,400,0
2017-04-04,17:30:00,10.25,10.3,10.25,10.25,1100,0
