Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-23,15:35:00,10.15,10.35,9.85,9.9989,2150,0
2016-12-23,15:50:00,10,10,10,10,400,0
2016-12-23,16:00:00,10,10,10,10,260,0
2016-12-23,16:05:00,10,10.05,10,10.05,612,0
2016-12-23,16:50:00,10.1,10.1,10.05,10.05,500,0
2016-12-23,16:55:00,10.15,10.15,10.15,10.15,100,0
2016-12-23,17:10:00,10.05,10.05,10.05,10.05,200,0
2016-12-23,17:20:00,9.95,9.95,9.9,9.9,350,0
2016-12-23,17:50:00,9.655,9.655,9.655,9.655,500,0
2016-12-23,18:00:00,9.77,9.77,9.77,9.77,1000,0
2016-12-23,18:05:00,9.75,9.75,9.75,9.75,1300,0
2016-12-23,18:15:00,9.85,9.85,9.85,9.85,100,0
2016-12-23,18:25:00,9.9,9.9,9.9,9.9,100,0
2016-12-23,18:40:00,9.925,9.925,9.9,9.9,400,0
2016-12-23,18:50:00,9.95,9.95,9.95,9.95,100,0
2016-12-23,19:05:00,10,10,9.95,9.95,300,0
2016-12-23,19:20:00,9.95,9.95,9.95,9.95,100,0
2016-12-23,19:30:00,9.9102,10,9.9102,10,200,0
2016-12-23,19:45:00,10,10,10,10,100,0
2016-12-23,20:00:00,9.9102,10,9.9102,10,200,0
2016-12-23,20:10:00,10,10,10,10,100,0
2016-12-23,20:25:00,10,10,10,10,100,0
2016-12-23,20:30:00,9.85,9.85,9.85,9.85,400,0
2016-12-23,20:35:00,9.85,9.85,9.85,9.85,100,0
2016-12-23,21:15:00,10,10,10,10,200,0
2016-12-23,21:30:00,9.9,9.9,9.85,9.85,513,0
2016-12-23,21:45:00,9.9,10.1,9.7,10,25100,0
2016-12-23,21:50:00,10.1,10.1,10.1,10.1,1100,0
2016-12-23,21:55:00,10,10.1,9.95,9.95,2505,0
2016-12-23,22:00:00,10,10.15,9.85,10.15,532,0
2016-12-27,15:35:00,10.05,10.3,10.05,10.3,228,0
2016-12-27,16:20:00,9.9,9.9,9.9,9.9,100,0
2016-12-27,16:25:00,10,10,10,10,200,0
2016-12-27,16:35:00,10,10,10,10,100,0
2016-12-27,16:40:00,9.9,9.9,9.9,9.9,100,0
2016-12-27,17:05:00,10,10,9.95,10,400,0
2016-12-27,17:10:00,9.9822,9.9822,9.9,9.9,1200,0
2016-12-27,17:20:00,9.822,9.822,9.822,9.822,100,0
2016-12-27,17:45:00,9.95,9.95,9.95,9.95,192,0
2016-12-27,18:20:00,10,10,10,10,150,0
2016-12-27,18:45:00,10,10,10,10,100,0
2016-12-27,19:00:00,9.95,10,9.95,10,200,0
2016-12-27,19:15:00,10,10,10,10,100,0
2016-12-27,19:25:00,10,10.1,10,10.1,2798,0
2016-12-27,19:40:00,10.1,10.1,10.05,10.05,300,0
2016-12-27,19:45:00,10.05,10.05,10.05,10.05,100,0
2016-12-27,20:20:00,10.05,10.05,10.05,10.05,200,0
2016-12-27,20:25:00,10,10,10,10,100,0
2016-12-27,20:35:00,10.05,10.05,10.05,10.05,100,0
2016-12-27,20:40:00,10.05,10.05,10.05,10.05,100,0
2016-12-27,20:45:00,10,10,10,10,100,0
2016-12-27,20:55:00,10,10,9.95,9.95,200,0
2016-12-27,21:05:00,10,10,10,10,100,0
2016-12-27,21:15:00,9.95,9.95,9.95,9.95,200,0
2016-12-27,21:25:00,9.95,9.95,9.9,9.9,300,0
2016-12-27,21:35:00,9.95,9.95,9.95,9.95,100,0
2016-12-27,21:40:00,10,10,10,10,100,0
2016-12-27,22:00:00,10,10.05,10,10.05,925,0
2016-12-28,15:35:00,9.95,9.95,9.95,9.95,100,0
2016-12-28,16:25:00,9.95,9.95,9.75,9.75,200,0
2016-12-28,16:40:00,9.95,9.95,9.95,9.95,100,0
2016-12-28,16:50:00,10.05,10.05,10.05,10.05,100,0
2016-12-28,17:05:00,10.05,10.05,10.05,10.05,100,0
2016-12-28,17:15:00,10,10,10,10,100,0
2016-12-28,17:30:00,9.95,9.95,9.95,9.95,100,0
2016-12-28,17:45:00,9.95,9.95,9.95,9.95,100,0
2016-12-28,17:55:00,10,10,10,10,100,0
2016-12-28,18:10:00,9.9,9.95,9.9,9.95,200,0
2016-12-28,18:20:00,10,10,9.9,9.9,200,0
2016-12-28,18:30:00,9.755,9.755,9.755,9.755,200,0
2016-12-28,18:35:00,9.78,9.95,9.78,9.95,300,0
2016-12-28,18:50:00,10,10,10,10,100,0
2016-12-28,18:55:00,9.9,9.9,9.9,9.9,100,0
2016-12-28,19:00:00,9.95,9.95,9.95,9.95,100,0
2016-12-28,19:15:00,10,10,10,10,100,0
2016-12-28,19:25:00,10,10,10,10,100,0
2016-12-28,19:35:00,10,10,10,10,100,0
2016-12-28,19:40:00,9.95,9.95,9.95,9.95,700,0
2016-12-28,20:20:00,10,10,9.95,9.95,300,0
2016-12-28,20:35:00,9.95,9.95,9.95,9.95,100,0
2016-12-28,20:55:00,9.975,9.975,9.975,9.975,100,0
2016-12-28,21:05:00,10,10,10,10,200,0
2016-12-28,21:15:00,9.975,9.975,9.95,9.95,200,0
2016-12-28,21:35:00,9.96,10,9.95,9.95,500,0
2016-12-28,21:40:00,9.95,9.95,9.95,9.95,100,0
2016-12-28,21:45:00,10,10,10,10,200,0
2016-12-28,21:50:00,9.975,9.975,9.975,9.975,100,0
2016-12-28,21:55:00,9.95,10,9.95,10,700,0
2016-12-28,22:00:00,10,10,9.975,10,1323,0
2016-12-29,16:25:00,10.1,10.1,10.1,10.1,200,0
2016-12-29,16:40:00,10.1,10.1,10.1,10.1,100,0
2016-12-29,16:50:00,10.25,10.25,10.25,10.25,100,0
2016-12-29,17:05:00,10.35,10.35,10.3,10.3,200,0
2016-12-29,17:15:00,10.35,10.35,10.35,10.35,100,0
2016-12-29,17:30:00,10.3,10.3,10.3,10.3,100,0
2016-12-29,17:45:00,10.175,10.175,10,10.049,1900,0
2016-12-29,17:55:00,10.05,10.05,10.05,10.05,100,0
2016-12-29,18:10:00,10.1,10.1,10.1,10.1,200,0
2016-12-29,18:20:00,10.1,10.1,10.1,10.1,100,0
2016-12-29,18:35:00,10.1,10.1,10.1,10.1,100,0
2016-12-29,18:50:00,10.1,10.1,10.1,10.1,100,0
2016-12-29,19:00:00,10.1,10.1,10.1,10.1,100,0
2016-12-29,19:15:00,10.1,10.1,10.1,10.1,300,0
2016-12-29,19:25:00,10.1,10.1,10.1,10.1,2000,0
2016-12-29,19:40:00,10.1,10.1,10.1,10.1,100,0
2016-12-29,19:55:00,10.1,10.1,10.1,10.1,300,0
2016-12-29,20:05:00,10.1,10.1,10.1,10.1,100,0
2016-12-29,20:20:00,10.05,10.1,10.05,10.1,300,0
2016-12-29,20:30:00,10.1,10.1,10.1,10.1,100,0
2016-12-29,20:35:00,10.0748,10.0748,10.0748,10.0748,300,0
2016-12-29,20:40:00,10.05,10.05,10.05,10.05,100,0
2016-12-29,20:55:00,10.05,10.05,10.05,10.05,200,0
2016-12-29,21:10:00,10.1,10.35,10.1,10.3,3571,0
2016-12-29,21:15:00,10.3,10.4,10.3,10.4,1300,0
2016-12-29,21:20:00,10.4,10.75,10.4,10.75,3408,0
2016-12-29,21:25:00,10.75,10.75,10.7,10.75,1246,0
2016-12-29,21:30:00,10.75,10.9,10.75,10.9,1200,0
2016-12-29,21:35:00,10.85,11,10.85,11,2811,0
2016-12-29,21:40:00,11,11,10.85,10.85,3831,0
2016-12-29,21:45:00,10.95,11.2,10.8,10.8,2600,0
2016-12-29,21:50:00,11,11.05,10.95,11,2800,0
2016-12-29,21:55:00,11.05,11.15,10.85,11,3352,0
2016-12-29,22:00:00,11,11,10.75,10.75,800,0
2016-12-30,15:35:00,10.6,10.75,10.6,10.75,600,0
2016-12-30,16:00:00,10.5,10.5,10.5,10.5,100,0
2016-12-30,16:55:00,10.35,10.35,10.35,10.35,100,0
2016-12-30,17:05:00,10.5,10.5,10.5,10.5,100,0
2016-12-30,17:10:00,10.325,10.35,10.325,10.35,1100,0
2016-12-30,17:20:00,10.4,10.4,10.4,10.4,100,0
2016-12-30,17:25:00,10.4,10.4,10.4,10.4,200,0
2016-12-30,17:40:00,10.45,10.5,10.45,10.5,1300,0
2016-12-30,17:45:00,10.4,10.4,10.4,10.4,300,0
2016-12-30,17:55:00,10.65,10.65,10.65,10.65,100,0
2016-12-30,18:10:00,10.65,10.65,10.65,10.65,100,0
2016-12-30,18:25:00,10.65,10.65,10.65,10.65,205,0
2016-12-30,18:40:00,10.6,10.6,10.6,10.6,100,0
2016-12-30,18:55:00,10.6,10.6,10.6,10.6,100,0
2016-12-30,19:00:00,10.6,10.6,10.6,10.6,100,0
2016-12-30,19:15:00,10.55,10.55,10.55,10.55,200,0
2016-12-30,19:45:00,10.65,10.65,10.65,10.65,100,0
2016-12-30,19:50:00,10.35,10.35,10.35,10.35,200,0
2016-12-30,20:00:00,10.6,10.6,10.6,10.6,100,0
2016-12-30,20:15:00,10.55,10.55,10.55,10.55,100,0
2016-12-30,20:30:00,10.65,10.65,10.65,10.65,100,0
2016-12-30,20:45:00,10.65,10.65,10.65,10.65,100,0
2016-12-30,21:00:00,10.6,10.6,10.6,10.6,100,0
2016-12-30,21:15:00,10.55,10.55,10.55,10.55,100,0
2016-12-30,21:20:00,10.4664,10.4664,10.4664,10.4664,500,0
2016-12-30,21:30:00,10.5,10.5,10.5,10.5,100,0
2016-12-30,21:50:00,10.55,10.55,10.55,10.55,100,0
2016-12-30,22:00:00,10.45,10.45,10.45,10.45,200,0
2017-01-03,18:20:00,10.15,10.25,10.15,10.25,3484,0
2017-01-03,18:25:00,10.2,10.2,10.2,10.2,500,0
2017-01-03,18:45:00,10.2,10.2,10.2,10.2,724,0
2017-01-03,19:40:00,10.15,10.15,10.15,10.15,200,0
2017-01-03,20:15:00,10.2583,10.2583,10.2583,10.2583,500,0
2017-01-03,20:30:00,10.216,10.216,10.216,10.216,100,0
2017-01-03,21:35:00,10.15,10.15,10.15,10.15,100,0
2017-01-03,21:45:00,10.2,10.2,10.1,10.1,511,0
2017-01-03,21:55:00,10.1,10.1,10.1,10.1,300,0
2017-01-03,22:00:00,10.1,10.1,10.1,10.1,850,0
2017-01-04,16:25:00,10.1343,10.1343,10.1343,10.1343,500,0
2017-01-04,16:35:00,10.05,10.05,10.05,10.05,100,0
2017-01-04,16:40:00,10.05,10.05,10.05,10.05,1199,0
2017-01-04,16:45:00,10.1,10.15,10.1,10.15,2200,0
2017-01-04,16:50:00,10.15,10.15,10.15,10.15,2100,0
2017-01-04,17:05:00,10.186,10.2,10.186,10.2,1500,0
2017-01-04,18:30:00,10.425,10.425,10.425,10.425,300,0
2017-01-04,18:45:00,10.35,10.35,10.35,10.35,128,0
2017-01-04,19:00:00,10.374,10.374,10.374,10.374,200,0
2017-01-04,19:15:00,10.4,10.4,10.4,10.4,100,0
2017-01-04,20:25:00,10.4,10.4,10.4,10.4,100,0
2017-01-04,20:55:00,10.4386,10.4386,10.4386,10.4386,200,0
2017-01-04,21:45:00,10.2,10.2,10.2,10.2,100,0
2017-01-04,22:00:00,10.05,10.05,10.05,10.05,253,0
2017-01-05,15:35:00,10.2,10.2,10.2,10.2,300,0
2017-01-05,15:45:00,10.325,10.325,10.325,10.325,1000,0
2017-01-05,17:05:00,10.35,10.5,10.35,10.5,600,0
2017-01-05,17:50:00,10.5,10.5,10.5,10.5,800,0
2017-01-05,17:55:00,10.542,10.542,10.5,10.5,500,0
2017-01-05,18:15:00,10.5,10.5,10.5,10.5,400,0
2017-01-05,18:45:00,10.5,10.5,10.5,10.5,500,0
2017-01-05,19:00:00,10.5753,10.5753,10.5753,10.5753,300,0
2017-01-05,19:05:00,10.55,10.55,10.55,10.55,500,0
2017-01-05,19:25:00,10.6,10.65,10.6,10.65,1100,0
2017-01-05,19:35:00,10.7,10.7,10.7,10.7,100,0
2017-01-05,19:40:00,10.65,10.65,10.65,10.65,200,0
2017-01-05,19:50:00,10.75,10.75,10.75,10.75,300,0
2017-01-05,20:00:00,10.8,10.8,10.8,10.8,100,0
2017-01-05,20:05:00,10.8,10.8,10.8,10.8,200,0
2017-01-05,20:10:00,10.7,10.7,10.7,10.7,200,0
2017-01-05,20:40:00,10.65,10.65,10.65,10.65,1200,0
2017-01-05,20:50:00,10.55,10.55,10.55,10.55,300,0
2017-01-05,21:05:00,10.55,10.555,10.5,10.55,1255,0
2017-01-05,21:25:00,10.55,10.55,10.55,10.55,200,0
2017-01-05,22:00:00,10.6,10.65,10.55,10.65,400,0
2017-01-06,15:35:00,10.55,10.55,10.55,10.55,852,0
2017-01-06,17:05:00,10.6,10.6,10.6,10.6,100,0
2017-01-06,18:45:00,10.7,10.7,10.7,10.7,100,0
2017-01-06,19:20:00,10.65,10.65,10.65,10.65,100,0
2017-01-06,20:10:00,10.5,10.5,10.5,10.5,400,0
2017-01-06,20:50:00,10.5,10.5,10.5,10.5,300,0
2017-01-06,21:30:00,10.55,10.55,10.5,10.5,300,0
2017-01-06,21:50:00,10.5,10.5,10.5,10.5,300,0
2017-01-06,21:55:00,10.5,10.55,10.5,10.5,1459,0
2017-01-06,22:00:00,10.5,10.5,10.2,10.35,2145,0
2017-01-09,15:35:00,10.45,10.45,10.45,10.45,300,0
2017-01-09,17:50:00,10.645,10.645,10.645,10.645,100,0
2017-01-09,20:25:00,10.55,10.55,10.55,10.55,200,0
2017-01-09,21:35:00,10.5,10.5,10.5,10.5,100,0
2017-01-09,21:55:00,10.75,10.75,10.75,10.75,100,0
2017-01-09,22:00:00,10.65,10.65,10.6,10.6,201,0
2017-01-10,15:35:00,10.7745,10.7745,10.7745,10.7745,200,0
2017-01-10,17:50:00,10.85,10.85,10.85,10.85,109,0
2017-01-10,17:55:00,10.85,10.85,10.85,10.85,900,0
2017-01-10,19:25:00,10.875,10.875,10.875,10.875,183,0
2017-01-10,20:00:00,10.75,10.75,10.75,10.75,600,0
2017-01-10,20:45:00,10.7,10.7,10.7,10.7,100,0
2017-01-10,20:50:00,10.7,10.7,10.7,10.7,100,0
2017-01-10,22:00:00,10.7,10.7,10.65,10.65,563,0
2017-01-11,15:55:00,10.85,10.85,10.85,10.85,1510,0
2017-01-11,16:50:00,10.75,10.75,10.75,10.75,2100,0
2017-01-11,16:55:00,10.75,10.75,10.75,10.75,2000,0
2017-01-11,17:15:00,10.75,10.76,10.75,10.76,2000,0
2017-01-11,18:40:00,10.75,10.775,10.75,10.75,10200,0
2017-01-11,18:45:00,10.8,10.8,10.5,10.5,3910,0
2017-01-11,18:50:00,10.352,10.352,10.352,10.352,1000,0
2017-01-11,19:25:00,10.4,10.5,10.4,10.5,2327,0
2017-01-11,20:10:00,10.85,10.85,10.85,10.85,800,0
2017-01-11,20:25:00,10.8,10.8,10.75,10.75,1447,0
2017-01-11,21:10:00,10.8025,10.8025,10.8025,10.8025,200,0
2017-01-11,21:15:00,10.75,10.8038,10.75,10.75,4157,0
2017-01-11,21:30:00,10.932,10.932,10.932,10.932,800,0
2017-01-11,21:55:00,10.85,10.85,10.8,10.8,300,0
2017-01-11,22:00:00,10.95,10.95,10.8,10.8,200,0
2017-01-12,15:55:00,10.85,10.95,10.85,10.95,2300,0
2017-01-12,16:00:00,11,11,11,11,200,0
2017-01-12,16:40:00,10.75,10.75,10.75,10.75,200,0
2017-01-12,19:00:00,10.75,10.85,10.75,10.85,1000,0
2017-01-12,19:45:00,10.85,10.85,10.85,10.85,100,0
2017-01-12,19:50:00,10.85,10.85,10.85,10.85,337,0
2017-01-12,20:40:00,10.8,10.8,10.8,10.8,400,0
2017-01-12,20:45:00,10.8,10.8,10.75,10.75,1188,0
2017-01-12,20:50:00,10.7,10.75,10.5,10.75,4500,0
2017-01-12,20:55:00,10.85,10.85,10.75,10.75,200,0
2017-01-12,21:00:00,10.9,10.9,10.9,10.9,100,0
2017-01-12,21:30:00,10.8,10.85,10.8,10.85,600,0
2017-01-12,21:35:00,10.8,10.8,10.8,10.8,1000,0
2017-01-12,21:40:00,10.85,10.85,10.85,10.85,500,0
2017-01-12,21:55:00,10.75,10.75,10.75,10.75,2400,0
2017-01-12,22:00:00,10.85,10.9,10.85,10.9,2000,0
2017-01-13,18:35:00,10.795,10.795,10.7,10.7,200,0
2017-01-13,18:55:00,10.725,10.725,10.725,10.725,100,0
2017-01-13,19:30:00,10.8,10.95,10.8,10.95,594,0
2017-01-13,20:10:00,10.65,10.65,10.65,10.65,100,0
2017-01-13,20:25:00,10.9,10.9,10.9,10.9,100,0
2017-01-13,21:45:00,10.95,11.15,10.95,11.15,6800,0
2017-01-13,21:50:00,11.15,11.15,11.1,11.1,300,0
2017-01-13,22:00:00,11.1,11.1,11.05,11.1,400,0
2017-01-17,15:35:00,11.05,11.05,11.05,11.05,200,0
2017-01-17,17:05:00,11.05,11.05,11.05,11.05,500,0
2017-01-17,17:15:00,10.95,10.95,10.95,10.95,200,0
2017-01-17,17:20:00,11,11,11,11,1300,0
2017-01-17,20:30:00,11,11,11,11,600,0
2017-01-17,21:50:00,10.9625,11,10.9625,11,700,0
2017-01-17,21:55:00,10.805,11.05,10.805,11.05,1300,0
2017-01-17,22:00:00,11.05,11.05,11.05,11.05,100,0
2017-01-18,16:40:00,10.6,10.6159,10.6,10.6159,470,0
2017-01-18,17:05:00,10.8,10.8,10.75,10.75,200,0
2017-01-18,17:40:00,10.75,10.9,10.75,10.9,1000,0
2017-01-18,18:55:00,10.8,11,10.8,11,1173,0
2017-01-18,19:00:00,10.875,11,10.8747,11,500,0
2017-01-18,19:20:00,10.8,10.8,10.8,10.8,100,0
2017-01-18,20:15:00,10.85,10.85,10.85,10.85,100,0
2017-01-18,20:50:00,10.75,10.75,10.75,10.75,100,0
2017-01-18,21:00:00,10.75,10.9,10.75,10.9,200,0
2017-01-18,21:50:00,10.95,10.95,10.9,10.925,1144,0
2017-01-18,21:55:00,11,11,11,11,100,0
2017-01-18,22:00:00,10.95,11.05,10.95,11.05,917,0
2017-01-19,15:35:00,10.75,10.75,10.75,10.75,1300,0
2017-01-19,15:50:00,11,11,11,11,145,0
2017-01-19,16:20:00,10.95,10.95,10.95,10.95,100,0
2017-01-19,16:25:00,10.95,10.95,10.95,10.95,100,0
2017-01-19,16:30:00,10.95,10.95,10.95,10.95,100,0
2017-01-19,16:40:00,11,11,11,11,100,0
2017-01-19,17:25:00,11,11.2,11,11.05,1988,0
2017-01-19,17:30:00,11,11,11,11,1918,0
2017-01-19,19:30:00,11,11,11,11,600,0
2017-01-19,20:00:00,11.05,11.05,11,11,500,0
2017-01-19,20:10:00,11,11,11,11,680,0
2017-01-19,21:30:00,11.1,11.1,11.05,11.05,2591,0
2017-01-19,21:45:00,11.15,11.15,11.1,11.15,830,0
2017-01-19,21:50:00,11.05,11.05,11.05,11.05,100,0
2017-01-19,22:00:00,11,11,10.8,10.8,412,0
2017-01-20,15:35:00,10.95,10.95,10.95,10.95,100,0
2017-01-20,17:50:00,10.8,10.8,10.8,10.8,485,0
2017-01-20,19:10:00,10.95,10.95,10.855,10.8709,1432,0
2017-01-20,19:25:00,10.9,10.9,10.9,10.9,100,0
2017-01-20,19:30:00,10.95,10.95,10.95,10.95,300,0
2017-01-20,20:05:00,10.95,10.95,10.95,10.95,100,0
2017-01-20,22:00:00,11.075,11.075,11.075,11.075,100,0
2017-01-23,15:35:00,11.2,11.2,11.2,11.2,447,0
2017-01-23,16:00:00,11.2,11.25,11.15,11.25,5777,0
2017-01-23,16:15:00,11.25,11.25,11.25,11.25,200,0
2017-01-23,16:20:00,11.25,11.25,11.25,11.25,128,0
2017-01-23,16:35:00,11.25,11.255,11.25,11.255,4000,0
2017-01-23,16:50:00,11.2,11.2,11.2,11.2,100,0
2017-01-23,16:55:00,11.15,11.15,11.15,11.15,1214,0
2017-01-23,17:10:00,11.1598,11.1598,11.1598,11.1598,300,0
2017-01-23,17:55:00,11.25,11.25,11,11.05,684,0
2017-01-23,18:55:00,11.05,11.05,11.05,11.05,100,0
2017-01-23,19:45:00,11.05,11.25,10.8,11.25,1314,0
2017-01-23,20:00:00,11.25,11.25,11.25,11.25,1400,0
2017-01-23,20:10:00,11.25,11.25,11.25,11.25,1099,0
2017-01-23,20:15:00,11.25,11.395,11.25,11.395,2099,0
