Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,23.87,23.8861,23.78,23.8861,10580,0
2017-04-10,15:40:00,23.82,23.86,23.76,23.83,3704,0
2017-04-10,15:45:00,23.89,24.06,23.87,23.99,12639,0
2017-04-10,15:50:00,23.96,24.06,23.93,24.01,2250,0
2017-04-10,15:55:00,24.02,24.07,24.01,24.07,1515,0
2017-04-10,16:00:00,24.06,24.13,24.03,24.13,4738,0
2017-04-10,16:05:00,24.08,24.19,24.08,24.13,6810,0
2017-04-10,16:10:00,24.17,24.21,24.12,24.21,3631,0
2017-04-10,16:15:00,24.22,24.27,24.18,24.25,7774,0
2017-04-10,16:20:00,24.25,24.25,24.16,24.16,1850,0
2017-04-10,16:25:00,24.16,24.2,24.16,24.16,2401,0
2017-04-10,16:30:00,24.19,24.22,24.18,24.2,1400,0
2017-04-10,16:35:00,24.19,24.24,24.19,24.215,3600,0
2017-04-10,16:40:00,24.21,24.23,24.195,24.21,1700,0
2017-04-10,16:45:00,24.19,24.21,24.16,24.16,4414,0
2017-04-10,16:50:00,24.15,24.175,24.11,24.11,6334,0
2017-04-10,16:55:00,24.0888,24.12,24.07,24.09,7100,0
2017-04-10,17:00:00,24.1,24.1,24.09,24.09,800,0
2017-04-10,17:05:00,24.08,24.09,24.05,24.09,7032,0
2017-04-10,17:10:00,24.09,24.1,24.045,24.07,4300,0
2017-04-10,17:15:00,24.08,24.1,24.06,24.09,11025,0
2017-04-10,17:20:00,24.1,24.16,24.09,24.16,10300,0
2017-04-10,17:25:00,24.18,24.22,24.17,24.18,3000,0
2017-04-10,17:30:00,24.17,24.21,24.13,24.21,1641,0
2017-04-10,17:35:00,24.21,24.21,24.06,24.06,3000,0
2017-04-10,17:40:00,24.1,24.16,24.08,24.09,1800,0
2017-04-10,17:45:00,24.09,24.1,24.02,24.08,3809,0
2017-04-10,17:50:00,24.07,24.1,24.06,24.1,1100,0
2017-04-10,17:55:00,24.12,24.14,24.08,24.13,920,0
2017-04-10,18:00:00,24.13,24.13,24.04,24.04,3300,0
2017-04-10,18:05:00,24.09,24.14,24.09,24.13,1200,0
2017-04-10,18:10:00,24.13,24.14,24.09,24.1,2200,0
2017-04-10,18:15:00,24.08,24.08,23.96,23.96,2681,0
2017-04-10,18:20:00,23.99,24.025,23.98,24.02,600,0
2017-04-10,18:25:00,24.02,24.0259,24.01,24.01,1091,0
2017-04-10,18:30:00,24.01,24.01,23.98,23.99,1937,0
2017-04-10,18:35:00,23.99,24.03,23.98,24.02,2002,0
2017-04-10,18:40:00,24.04,24.04,24.01,24.01,1800,0
2017-04-10,18:45:00,24,24.04,24,24.04,6600,0
2017-04-10,18:50:00,24.01,24.02,23.98,24.02,5715,0
2017-04-10,18:55:00,24.03,24.05,24.02,24.025,4484,0
2017-04-10,19:00:00,24.01,24.05,24.01,24.05,400,0
2017-04-10,19:05:00,24.03,24.05,24.02,24.05,4594,0
2017-04-10,19:10:00,24.04,24.06,24.02,24.03,1800,0
2017-04-10,19:15:00,24.0293,24.05,24.02,24.04,3700,0
2017-04-10,19:20:00,24.06,24.07,24.03,24.03,3300,0
2017-04-10,19:25:00,24.04,24.06,24.01,24.04,3900,0
2017-04-10,19:30:00,24.04,24.045,24,24,2671,0
2017-04-10,19:35:00,24.015,24.02,23.98,23.98,3597,0
2017-04-10,19:40:00,24,24.05,23.99,24.02,7502,0
2017-04-10,19:45:00,24.01,24.04,24.01,24.04,2189,0
2017-04-10,19:50:00,24.02,24.035,23.98,23.99,2641,0
2017-04-10,19:55:00,23.98,23.995,23.95,23.96,2900,0
2017-04-10,20:00:00,23.965,23.97,23.96,23.97,1500,0
2017-04-10,20:05:00,23.98,23.995,23.91,23.91,3200,0
2017-04-10,20:10:00,23.94,23.965,23.93,23.955,3164,0
2017-04-10,20:15:00,23.955,24,23.955,24,6136,0
2017-04-10,20:20:00,24,24,23.9635,24,8895,0
2017-04-10,20:25:00,24.01,24.1,24,24.1,8835,0
2017-04-10,20:30:00,24.08,24.095,24.04,24.07,8855,0
2017-04-10,20:35:00,24.06,24.07,24.04,24.06,14775,0
2017-04-10,20:40:00,24.06,24.07,24.01,24.03,8363,0
2017-04-10,20:45:00,24.02,24.07,24.01,24.07,5677,0
2017-04-10,20:50:00,24.09,24.12,24.07,24.09,7000,0
2017-04-10,20:55:00,24.095,24.14,24.095,24.135,6897,0
2017-04-10,21:00:00,24.135,24.16,24.12,24.145,5212,0
2017-04-10,21:05:00,24.15,24.155,24.12,24.14,5926,0
