Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,5.99,6.042,5.9435,5.96,39762,0
2017-04-10,15:40:00,5.96,6.06,5.96,6.03,37777,0
2017-04-10,15:45:00,6.0365,6.06,6.02,6.06,5566,0
2017-04-10,15:50:00,6.065,6.1,6.055,6.08,26560,0
2017-04-10,15:55:00,6.08,6.11,6.07,6.1037,10665,0
2017-04-10,16:00:00,6.105,6.105,6.06,6.08,16931,0
2017-04-10,16:05:00,6.09,6.1,6.08,6.08,15357,0
2017-04-10,16:10:00,6.08,6.12,6.075,6.115,43745,0
2017-04-10,16:15:00,6.12,6.1399,6.1,6.1128,31357,0
2017-04-10,16:20:00,6.11,6.14,6.0908,6.14,19311,0
2017-04-10,16:25:00,6.13,6.14,6.12,6.125,5400,0
2017-04-10,16:30:00,6.125,6.125,6.11,6.11,2400,0
2017-04-10,16:35:00,6.11,6.14,6.11,6.1308,16774,0
2017-04-10,16:40:00,6.135,6.15,6.13,6.14,18700,0
2017-04-10,16:45:00,6.13,6.17,6.13,6.165,39903,0
2017-04-10,16:50:00,6.165,6.17,6.16,6.16,23450,0
2017-04-10,16:55:00,6.16,6.18,6.16,6.1634,25934,0
2017-04-10,17:00:00,6.17,6.17,6.15,6.15,8310,0
2017-04-10,17:05:00,6.15,6.16,6.15,6.15,6200,0
2017-04-10,17:10:00,6.16,6.16,6.14,6.14,6075,0
2017-04-10,17:15:00,6.143,6.16,6.14,6.145,25253,0
2017-04-10,17:20:00,6.15,6.16,6.14,6.14,8446,0
2017-04-10,17:25:00,6.15,6.15,6.13,6.14,6597,0
2017-04-10,17:30:00,6.13,6.14,6.12,6.125,19394,0
2017-04-10,17:35:00,6.13,6.13,6.08,6.08,21213,0
2017-04-10,17:40:00,6.08,6.09,6.07,6.08,11905,0
2017-04-10,17:45:00,6.08,6.12,6.07,6.115,41874,0
2017-04-10,17:50:00,6.115,6.115,6.09,6.1,12673,0
2017-04-10,17:55:00,6.09,6.12,6.09,6.12,12123,0
2017-04-10,18:00:00,6.12,6.13,6.11,6.115,26397,0
2017-04-10,18:05:00,6.12,6.14,6.12,6.135,13494,0
2017-04-10,18:10:00,6.13,6.14,6.13,6.13,5700,0
2017-04-10,18:15:00,6.13,6.14,6.1,6.11,42491,0
2017-04-10,18:20:00,6.11,6.12,6.11,6.12,4700,0
2017-04-10,18:25:00,6.11,6.12,6.11,6.11,3500,0
2017-04-10,18:30:00,6.11,6.12,6.1,6.115,25536,0
2017-04-10,18:35:00,6.115,6.12,6.1,6.12,29502,0
2017-04-10,18:40:00,6.12,6.13,6.12,6.121,4800,0
2017-04-10,18:45:00,6.13,6.135,6.12,6.13,10643,0
2017-04-10,18:50:00,6.125,6.14,6.12,6.14,6057,0
2017-04-10,18:55:00,6.14,6.15,6.135,6.15,5798,0
2017-04-10,19:00:00,6.14,6.15,6.14,6.15,1400,0
2017-04-10,19:05:00,6.14,6.145,6.13,6.13,12405,0
2017-04-10,19:10:00,6.13,6.14,6.13,6.13,8500,0
2017-04-10,19:15:00,6.14,6.15,6.13,6.145,6100,0
2017-04-10,19:20:00,6.145,6.15,6.141,6.141,1700,0
2017-04-10,19:25:00,6.15,6.15,6.14,6.145,1200,0
2017-04-10,19:30:00,6.14,6.15,6.14,6.14,2400,0
2017-04-10,19:35:00,6.145,6.16,6.14,6.16,11195,0
2017-04-10,19:40:00,6.16,6.2,6.155,6.19,33050,0
2017-04-10,19:45:00,6.19,6.19,6.18,6.1861,5800,0
2017-04-10,19:50:00,6.18,6.185,6.17,6.17,11850,0
2017-04-10,19:55:00,6.17,6.18,6.16,6.165,10970,0
2017-04-10,20:00:00,6.165,6.1699,6.16,6.165,12360,0
2017-04-10,20:05:00,6.16,6.17,6.15,6.155,24429,0
2017-04-10,20:10:00,6.16,6.17,6.1525,6.165,5570,0
2017-04-10,20:15:00,6.17,6.18,6.16,6.175,8460,0
2017-04-10,20:20:00,6.18,6.18,6.1725,6.175,2334,0
2017-04-10,20:25:00,6.1703,6.175,6.16,6.165,18500,0
2017-04-10,20:30:00,6.16,6.17,6.16,6.165,8600,0
2017-04-10,20:35:00,6.165,6.18,6.16,6.175,12023,0
2017-04-10,20:40:00,6.17,6.18,6.17,6.175,27385,0
2017-04-10,20:45:00,6.17,6.18,6.17,6.175,3300,0
2017-04-10,20:50:00,6.18,6.2,6.18,6.19,28468,0
2017-04-10,20:55:00,6.19,6.2,6.17,6.18,25092,0
2017-04-10,21:00:00,6.185,6.19,6.18,6.19,1300,0
2017-04-10,21:05:00,6.1843,6.19,6.18,6.18,9200,0
2017-04-10,21:10:00,6.185,6.2,6.18,6.19,51501,0
2017-04-10,21:15:00,6.195,6.2,6.19,6.19,9000,0
2017-04-10,21:20:00,6.19,6.2,6.19,6.195,8800,0
2017-04-10,21:25:00,6.19,6.19,6.16,6.18,36827,0
2017-04-10,21:30:00,6.1752,6.18,6.17,6.17,6350,0
2017-04-10,21:35:00,6.17,6.19,6.17,6.17,36070,0
2017-04-10,21:40:00,6.17,6.19,6.17,6.185,20242,0
2017-04-10,21:45:00,6.185,6.19,6.18,6.185,31308,0
2017-04-10,21:50:00,6.185,6.19,6.18,6.18,38596,0
2017-04-10,21:55:00,6.18,6.19,6.18,6.18,29979,0
2017-04-10,22:00:00,6.185,6.2,6.18,6.18,180464,0
2017-04-11,15:35:00,6.2,6.2399,6.18,6.22,24589,0
2017-04-11,15:40:00,6.225,6.24,6.13,6.155,41752,0
2017-04-11,15:45:00,6.155,6.18,6.12,6.15,31034,0
2017-04-11,15:50:00,6.15,6.15,6.11,6.12,33018,0
2017-04-11,15:55:00,6.121,6.16,6.11,6.15,6600,0
2017-04-11,16:00:00,6.1401,6.16,6.13,6.16,8572,0
2017-04-11,16:05:00,6.175,6.19,6.17,6.19,12907,0
2017-04-11,16:10:00,6.19,6.19,6.17,6.17,3300,0
2017-04-11,16:15:00,6.18,6.21,6.17,6.175,60966,0
2017-04-11,16:20:00,6.175,6.18,6.16,6.18,13542,0
2017-04-11,16:25:00,6.17,6.175,6.135,6.15,9647,0
2017-04-11,16:30:00,6.15,6.185,6.145,6.185,10879,0
2017-04-11,16:35:00,6.18,6.18,6.135,6.15,20012,0
2017-04-11,16:40:00,6.14,6.19,6.14,6.19,8781,0
2017-04-11,16:45:00,6.18,6.185,6.13,6.16,20316,0
2017-04-11,16:50:00,6.15,6.16,6.14,6.1435,27662,0
2017-04-11,16:55:00,6.14,6.15,6.115,6.125,20232,0
2017-04-11,17:00:00,6.125,6.13,6.1,6.11,8025,0
2017-04-11,17:05:00,6.11,6.13,6.095,6.13,16812,0
2017-04-11,17:10:00,6.12,6.14,6.11,6.11,8825,0
2017-04-11,17:15:00,6.1,6.1038,6.085,6.09,14450,0
2017-04-11,17:20:00,6.08,6.1,6.07,6.1,15710,0
2017-04-11,17:25:00,6.1,6.1,6.08,6.09,5700,0
2017-04-11,17:30:00,6.09,6.09,6.075,6.085,12862,0
2017-04-11,17:35:00,6.085,6.0968,6.07,6.09,29216,0
2017-04-11,17:40:00,6.09,6.1,6.085,6.0898,20000,0
2017-04-11,17:45:00,6.085,6.085,6.07,6.075,9801,0
2017-04-11,17:50:00,6.07,6.1,6.07,6.095,23159,0
2017-04-11,17:55:00,6.09,6.105,6.08,6.1,41026,0
2017-04-11,18:00:00,6.09,6.11,6.09,6.095,10637,0
2017-04-11,18:05:00,6.09,6.09,6.08,6.08,8550,0
2017-04-11,18:10:00,6.07,6.0899,6.07,6.08,9196,0
2017-04-11,18:15:00,6.08,6.095,6.08,6.085,25043,0
2017-04-11,18:20:00,6.1,6.116,6.085,6.116,20900,0
2017-04-11,18:25:00,6.12,6.15,6.115,6.13,15090,0
2017-04-11,18:30:00,6.1331,6.1566,6.13,6.1566,10122,0
2017-04-11,18:35:00,6.155,6.1598,6.14,6.15,4845,0
2017-04-11,18:40:00,6.15,6.165,6.145,6.15,8789,0
2017-04-11,18:45:00,6.14,6.145,6.13,6.135,3800,0
2017-04-11,18:50:00,6.14,6.145,6.13,6.13,5000,0
2017-04-11,18:55:00,6.14,6.15,6.13,6.15,4146,0
2017-04-11,19:00:00,6.15,6.15,6.13,6.14,3600,0
2017-04-11,19:05:00,6.14,6.155,6.13,6.155,5150,0
2017-04-11,19:10:00,6.16,6.17,6.15,6.15,4300,0
2017-04-11,19:15:00,6.155,6.155,6.13,6.145,7800,0
2017-04-11,19:20:00,6.14,6.155,6.14,6.155,5950,0
2017-04-11,19:25:00,6.155,6.16,6.145,6.145,6560,0
2017-04-11,19:30:00,6.14,6.15,6.14,6.15,1500,0
2017-04-11,19:35:00,6.14,6.14,6.13,6.135,8825,0
2017-04-11,19:40:00,6.14,6.15,6.14,6.15,7400,0
2017-04-11,19:45:00,6.155,6.155,6.12,6.125,11075,0
2017-04-11,19:50:00,6.125,6.145,6.12,6.125,28250,0
