Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-13,14:35:00,14.969,14.969,14.969,14.969,402,0
2017-03-13,15:35:00,14.946,14.946,14.946,14.946,114,0
2017-03-13,15:45:00,14.959,14.999,14.959,14.984,8337,0
2017-03-13,15:50:00,14.95,14.979,14.95,14.979,4019,0
2017-03-13,16:30:00,14.959,14.959,14.959,14.959,101,0
2017-03-13,17:35:00,14.959,14.959,14.959,14.959,703,0
2017-03-13,17:40:00,14.949,14.949,14.949,14.949,1005,0
2017-03-13,17:45:00,14.97,14.97,14.967,14.967,251,0
2017-03-13,17:50:00,14.966,14.966,14.966,14.966,357,0
2017-03-13,18:45:00,14.969,14.979,14.969,14.979,603,0
2017-03-13,19:10:00,14.942,14.942,14.939,14.941,5819,0
2017-03-13,19:45:00,14.939,14.939,14.919,14.919,2537,0
2017-03-13,20:00:00,14.91,14.91,14.83,14.84,5439,0
2017-03-13,20:05:00,14.84,14.86,14.83,14.83,1507,0
2017-03-13,20:10:00,14.83,14.83,14.83,14.83,804,0
2017-03-13,20:15:00,14.83,14.83,14.8,14.82,2002,0
2017-03-13,20:20:00,14.81,14.81,14.8,14.81,1206,0
2017-03-13,20:25:00,14.8,14.811,14.79,14.79,5211,0
2017-03-13,20:30:00,14.807,14.807,14.807,14.807,452,0
2017-03-13,20:35:00,14.8,14.8,14.8,14.8,100,0
2017-03-13,20:40:00,14.809,14.826,14.809,14.826,2632,0
2017-03-13,20:45:00,14.81,14.81,14.81,14.81,100,0
2017-03-13,20:55:00,14.81,14.919,14.81,14.919,5526,0
2017-03-13,21:00:00,14.919,14.939,14.919,14.939,2939,0
2017-03-14,14:35:00,14.899,14.899,14.899,14.899,748,0
2017-03-14,14:45:00,14.919,14.919,14.919,14.919,402,0
2017-03-14,15:10:00,14.939,14.939,14.919,14.934,1105,0
2017-03-14,15:20:00,14.939,14.949,14.919,14.949,1708,0
2017-03-14,15:45:00,14.947,14.947,14.947,14.947,201,0
2017-03-14,16:10:00,14.939,14.939,14.939,14.939,406,0
2017-03-14,17:05:00,14.93,14.931,14.919,14.919,2878,0
2017-03-14,17:10:00,14.934,14.949,14.934,14.949,201,0
2017-03-14,17:20:00,14.939,14.939,14.939,14.939,100,0
2017-03-14,17:30:00,14.949,14.949,14.949,14.949,1306,0
2017-03-14,17:35:00,14.949,14.949,14.949,14.949,402,0
2017-03-14,17:45:00,14.949,14.949,14.949,14.949,100,0
2017-03-14,17:50:00,14.939,14.939,14.939,14.939,1809,0
2017-03-14,17:55:00,14.936,14.936,14.936,14.936,301,0
2017-03-14,18:30:00,14.942,14.942,14.942,14.942,201,0
2017-03-14,18:35:00,14.939,14.939,14.939,14.939,100,0
2017-03-14,18:50:00,14.944,14.944,14.944,14.944,100,0
2017-03-14,18:55:00,14.941,14.941,14.941,14.941,1129,0
2017-03-14,19:00:00,14.944,14.949,14.939,14.949,1206,0
2017-03-14,19:05:00,14.962,14.979,14.962,14.979,1322,0
2017-03-14,19:10:00,14.979,14.979,14.969,14.969,804,0
2017-03-14,19:40:00,14.969,14.969,14.969,14.969,301,0
2017-03-14,19:45:00,14.969,14.969,14.969,14.969,100,0
2017-03-14,20:05:00,14.952,14.957,14.929,14.944,3304,0
2017-03-14,20:10:00,14.949,14.949,14.949,14.949,100,0
2017-03-14,20:30:00,14.959,14.959,14.954,14.959,603,0
2017-03-14,20:40:00,14.959,14.963,14.959,14.963,437,0
2017-03-14,20:50:00,14.959,14.959,14.959,14.959,2110,0
2017-03-14,21:00:00,14.969,14.969,14.929,14.929,551,0
2017-03-15,14:35:00,14.939,14.939,14.939,14.939,605,0
2017-03-15,14:40:00,14.939,14.939,14.929,14.929,1057,0
2017-03-15,14:50:00,14.929,14.929,14.919,14.919,4722,0
2017-03-15,14:55:00,14.919,14.919,14.919,14.919,402,0
