Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,28.59,28.65,28.345,28.345,3405,0
2017-04-07,15:40:00,28.4414,28.6294,28.4414,28.6294,1283,0
2017-04-07,15:45:00,28.81,28.81,28.68,28.7,1420,0
2017-04-07,15:50:00,28.37,28.505,28.37,28.38,1650,0
2017-04-07,15:55:00,28.4,28.52,28.34,28.34,1100,0
2017-04-07,16:00:00,28.38,28.4,28.342,28.35,1600,0
2017-04-07,16:05:00,28.37,28.54,28.3605,28.5,1300,0
2017-04-07,16:10:00,28.458,28.48,28.4201,28.44,2400,0
2017-04-07,16:15:00,28.43,28.47,28.42,28.42,4200,0
2017-04-07,16:20:00,28.44,28.44,28.4,28.4,600,0
2017-04-07,16:25:00,28.41,28.515,28.41,28.49,2350,0
2017-04-07,16:30:00,28.46,28.46,28.42,28.42,300,0
2017-04-07,16:35:00,28.39,28.465,28.39,28.465,1000,0
2017-04-07,16:40:00,28.46,28.49,28.42,28.48,1400,0
2017-04-07,16:45:00,28.485,28.485,28.47,28.48,1400,0
2017-04-07,16:50:00,28.465,28.51,28.465,28.48,1300,0
2017-04-07,16:55:00,28.485,28.52,28.46,28.505,2000,0
2017-04-07,17:00:00,28.475,28.48,28.45,28.46,800,0
2017-04-07,17:10:00,28.43,28.43,28.38,28.4,2200,0
2017-04-07,17:15:00,28.385,28.385,28.25,28.28,2600,0
2017-04-07,17:20:00,28.2799,28.2799,28.2,28.2199,3309,0
2017-04-07,17:25:00,28.15,28.22,28.15,28.19,1480,0
2017-04-07,17:30:00,28.16,28.16,28.06,28.1,4404,0
2017-04-07,17:35:00,28.12,28.14,28.033,28.033,2700,0
2017-04-07,17:40:00,28.05,28.05,27.84,27.87,4350,0
2017-04-07,17:45:00,27.85,28.02,27.77,27.98,11300,0
2017-04-07,17:50:00,27.96,27.97,27.96,27.96,300,0
2017-04-07,17:55:00,27.99,28.03,27.96,27.9925,2400,0
2017-04-07,18:00:00,27.98,27.99,27.91,27.99,1400,0
2017-04-07,18:05:00,27.99,28.01,27.99,28.01,1000,0
2017-04-07,18:10:00,27.99,27.99,27.955,27.9706,1400,0
2017-04-07,18:15:00,27.94,27.94,27.88,27.88,1300,0
2017-04-07,18:20:00,27.9,27.9,27.9,27.9,460,0
2017-04-07,18:25:00,27.885,27.93,27.8721,27.9,1100,0
2017-04-07,18:35:00,27.87,27.87,27.86,27.86,1000,0
2017-04-07,18:40:00,27.85,27.85,27.8,27.8,3937,0
2017-04-07,18:45:00,27.8192,27.83,27.8192,27.8269,1100,0
2017-04-07,18:50:00,27.82,27.85,27.82,27.85,200,0
2017-04-07,18:55:00,27.835,27.92,27.825,27.92,2800,0
2017-04-07,19:00:00,27.9,27.9201,27.9,27.92,2200,0
2017-04-07,19:05:00,27.925,27.925,27.885,27.885,500,0
2017-04-07,19:10:00,27.875,27.95,27.8501,27.94,2800,0
2017-04-07,19:15:00,27.95,27.95,27.89,27.9,2675,0
2017-04-07,19:20:00,27.94,27.94,27.9001,27.9001,2250,0
2017-04-07,19:25:00,27.9001,27.9001,27.86,27.8601,1560,0
2017-04-07,19:30:00,27.875,27.93,27.86,27.93,2100,0
2017-04-07,19:35:00,27.93,27.9358,27.91,27.9358,439,0
2017-04-07,19:40:00,27.91,27.91,27.86,27.8705,400,0
2017-04-07,19:45:00,27.86,27.87,27.86,27.87,800,0
2017-04-07,19:50:00,27.89,27.89,27.87,27.87,1000,0
2017-04-07,19:55:00,27.915,27.915,27.87,27.905,800,0
2017-04-07,20:00:00,27.87,27.94,27.87,27.91,1300,0
2017-04-07,20:05:00,27.9,27.9,27.85,27.85,400,0
2017-04-07,20:10:00,27.915,27.915,27.85,27.88,4275,0
2017-04-07,20:15:00,27.86,27.865,27.85,27.85,1600,0
2017-04-07,20:20:00,27.805,27.835,27.8,27.8,1420,0
2017-04-07,20:25:00,27.82,27.82,27.8,27.815,1700,0
2017-04-07,20:30:00,27.78,27.78,27.78,27.78,1000,0
2017-04-07,20:35:00,27.833,27.833,27.77,27.786,1400,0
2017-04-07,20:40:00,27.75,27.77,27.72,27.73,2502,0
2017-04-07,20:45:00,27.755,27.77,27.74,27.74,2550,0
2017-04-07,20:50:00,27.72,27.72,27.68,27.68,960,0
2017-04-07,20:55:00,27.7,27.7,27.67,27.7,1700,0
2017-04-07,21:00:00,27.68,27.76,27.68,27.75,6208,0
2017-04-07,21:05:00,27.71,27.74,27.69,27.71,1502,0
2017-04-07,21:10:00,27.68,27.71,27.68,27.705,1897,0
2017-04-07,21:15:00,27.715,27.73,27.68,27.685,2746,0
2017-04-07,21:20:00,27.685,27.71,27.685,27.6901,6812,0
2017-04-07,21:25:00,27.7,27.78,27.7,27.74,5999,0
2017-04-07,21:30:00,27.74,27.77,27.71,27.735,3300,0
2017-04-07,21:35:00,27.755,27.755,27.66,27.705,5550,0
2017-04-07,21:40:00,27.73,27.73,27.69,27.69,2400,0
2017-04-07,21:45:00,27.7,27.71,27.645,27.7,4950,0
2017-04-07,21:50:00,27.7,27.74,27.67,27.69,4500,0
2017-04-07,21:55:00,27.72,27.87,27.7,27.84,18621,0
2017-04-07,22:00:00,27.84,27.86,27.7905,27.82,7835,0
2017-04-10,15:35:00,28,28.1,28,28.09,3489,0
2017-04-10,15:40:00,28.1,28.26,28.1,28.23,625,0
2017-04-10,15:45:00,28.53,28.63,28.49,28.615,2000,0
2017-04-10,15:50:00,28.45,28.5216,28.45,28.5216,254,0
2017-04-10,15:55:00,28.5554,28.5554,28.5554,28.5554,700,0
2017-04-10,16:00:00,28.65,28.8,28.604,28.77,4100,0
2017-04-10,16:05:00,28.76,28.81,28.62,28.7021,4068,0
2017-04-10,16:10:00,28.63,28.63,28.5,28.5,1200,0
2017-04-10,16:15:00,28.5,28.58,28.28,28.32,2090,0
2017-04-10,16:20:00,28.3,28.3,28.3,28.3,272,0
2017-04-10,16:25:00,28.28,28.2892,28.28,28.2892,1000,0
2017-04-10,16:30:00,28.2637,28.29,28.2637,28.29,1100,0
2017-04-10,16:35:00,28.3,28.3,28.3,28.3,100,0
2017-04-10,16:40:00,28.4,28.43,28.4,28.43,300,0
2017-04-10,16:45:00,28.35,28.35,28.35,28.35,100,0
2017-04-10,16:50:00,28.35,28.45,28.35,28.45,1745,0
2017-04-10,16:55:00,28.4871,28.4871,28.36,28.36,1514,0
2017-04-10,17:00:00,28.36,28.43,28.36,28.36,870,0
2017-04-10,17:05:00,28.3642,28.5,28.3642,28.5,2174,0
2017-04-10,17:10:00,28.4573,28.5,28.4573,28.5,1297,0
2017-04-10,17:15:00,28.5,28.5,28.46,28.48,430,0
2017-04-10,17:20:00,28.49,28.5,28.43,28.45,3448,0
2017-04-10,17:25:00,28.46,28.46,28.45,28.45,200,0
2017-04-10,17:30:00,28.5,28.645,28.5,28.645,3252,0
2017-04-10,17:35:00,28.61,28.64,28.6,28.6,1100,0
2017-04-10,17:40:00,28.54,28.54,28.48,28.52,400,0
2017-04-10,17:45:00,28.5185,28.5185,28.46,28.5,800,0
2017-04-10,17:50:00,28.55,28.55,28.5,28.5,1400,0
2017-04-10,17:55:00,28.52,28.53,28.52,28.53,200,0
2017-04-10,18:00:00,28.53,28.53,28.5,28.5,543,0
2017-04-10,18:05:00,28.545,28.545,28.51,28.51,218,0
2017-04-10,18:10:00,28.51,28.545,28.51,28.545,300,0
2017-04-10,18:15:00,28.55,28.57,28.5359,28.5359,1300,0
2017-04-10,18:20:00,28.53,28.53,28.51,28.53,2849,0
2017-04-10,18:25:00,28.5,28.5,28.47,28.5,500,0
2017-04-10,18:30:00,28.48,28.52,28.48,28.49,400,0
2017-04-10,18:35:00,28.49,28.49,28.49,28.49,100,0
2017-04-10,18:45:00,28.5499,28.55,28.54,28.55,500,0
2017-04-10,18:50:00,28.54,28.5999,28.54,28.54,700,0
2017-04-10,18:55:00,28.53,28.59,28.51,28.52,2900,0
2017-04-10,19:00:00,28.51,28.51,28.5,28.5,350,0
2017-04-10,19:05:00,28.45,28.46,28.45,28.46,300,0
2017-04-10,19:10:00,28.51,28.52,28.5,28.5,600,0
2017-04-10,19:15:00,28.53,28.54,28.5265,28.54,1600,0
2017-04-10,19:20:00,28.5299,28.53,28.5299,28.53,200,0
2017-04-10,19:25:00,28.6199,28.63,28.6199,28.63,300,0
2017-04-10,19:30:00,28.63,28.63,28.63,28.63,300,0
2017-04-10,19:35:00,28.6299,28.6299,28.6299,28.6299,100,0
2017-04-10,19:40:00,28.63,28.73,28.63,28.73,600,0
2017-04-10,19:45:00,28.73,28.73,28.68,28.7299,300,0
2017-04-10,19:50:00,28.73,28.73,28.7029,28.73,900,0
2017-04-10,19:55:00,28.78,28.78,28.75,28.75,600,0
2017-04-10,20:00:00,28.69,28.69,28.68,28.68,400,0
2017-04-10,20:05:00,28.6813,28.74,28.68,28.74,1000,0
2017-04-10,20:10:00,28.74,28.8099,28.74,28.8099,300,0
2017-04-10,20:15:00,28.7999,28.8,28.7999,28.8,400,0
2017-04-10,20:20:00,28.8199,28.8199,28.76,28.76,400,0
2017-04-10,20:25:00,28.76,28.76,28.7535,28.7535,300,0
2017-04-10,20:30:00,28.77,28.77,28.71,28.71,700,0
2017-04-10,20:35:00,28.6625,28.73,28.6625,28.73,759,0
2017-04-10,20:40:00,28.76,28.7699,28.76,28.7699,200,0
2017-04-10,20:45:00,28.7699,28.7699,28.69,28.69,400,0
2017-04-10,20:50:00,28.77,28.77,28.72,28.72,200,0
2017-04-10,20:55:00,28.77,28.9,28.77,28.9,1100,0
2017-04-10,21:00:00,28.8999,28.9,28.805,28.82,3866,0
2017-04-10,21:05:00,28.84,28.84,28.78,28.83,1400,0
2017-04-10,21:10:00,28.84,28.94,28.84,28.94,4209,0
2017-04-10,21:15:00,28.94,28.9614,28.915,28.9599,1950,0
2017-04-10,21:20:00,28.9599,28.96,28.87,28.9599,900,0
2017-04-10,21:25:00,28.95,28.96,28.65,28.7,7200,0
2017-04-10,21:30:00,28.58,28.6,28.5,28.5,5900,0
2017-04-10,21:35:00,28.52,28.5599,28.51,28.5599,1604,0
2017-04-10,21:40:00,28.51,28.52,28.46,28.475,2200,0
2017-04-10,21:45:00,28.46,28.4899,28.45,28.45,2450,0
2017-04-10,21:50:00,28.4,28.42,28.39,28.4,1450,0
2017-04-10,21:55:00,28.4,28.415,28.36,28.37,3600,0
2017-04-10,22:00:00,28.43,28.58,28.29,28.39,12702,0
2017-04-11,15:35:00,28.57,28.57,28.3692,28.3692,2257,0
2017-04-11,15:40:00,28.8776,29,28.8776,29,3015,0
2017-04-11,15:45:00,28.6,28.7,28.6,28.7,800,0
2017-04-11,15:50:00,28.7,29.04,28.49,28.49,800,0
2017-04-11,15:55:00,28.3428,28.55,28.3428,28.54,1533,0
2017-04-11,16:00:00,28.44,29.115,28.44,29.115,1500,0
2017-04-11,16:05:00,29,29.2358,28.8,29.0352,11506,0
2017-04-11,16:10:00,28.9021,29.01,28.86,28.87,7481,0
2017-04-11,16:15:00,28.88,28.8812,28.653,28.8204,4385,0
2017-04-11,16:20:00,28.701,28.7509,28.52,28.605,1705,0
2017-04-11,16:25:00,28.61,28.61,28.51,28.51,300,0
2017-04-11,16:30:00,28.49,28.49,28.49,28.49,100,0
2017-04-11,16:35:00,28.53,28.53,28.42,28.43,2800,0
2017-04-11,16:40:00,28.4287,28.4321,28.371,28.43,3032,0
2017-04-11,16:45:00,28.4737,28.4737,28.31,28.4234,1800,0
2017-04-11,16:50:00,28.355,28.355,28.31,28.33,1950,0
2017-04-11,16:55:00,28.33,28.34,28.24,28.34,1398,0
2017-04-11,17:05:00,28.25,28.39,28.25,28.385,1300,0
2017-04-11,17:10:00,28.26,28.26,28.26,28.26,100,0
2017-04-11,17:15:00,28.34,28.34,28.28,28.28,300,0
2017-04-11,17:20:00,28.37,28.4,28.36,28.36,2600,0
2017-04-11,17:25:00,28.35,28.35,28.32,28.33,1000,0
2017-04-11,17:30:00,28.33,28.33,28.21,28.28,4282,0
2017-04-11,17:35:00,28.3,28.4,28.28,28.4,1950,0
2017-04-11,17:40:00,28.34,28.44,28.34,28.44,500,0
2017-04-11,17:45:00,28.35,28.35,28.35,28.35,100,0
2017-04-11,17:50:00,28.52,28.54,28.44,28.54,300,0
2017-04-11,17:55:00,28.5,28.5,28.5,28.5,100,0
2017-04-11,18:00:00,28.48,28.51,28.48,28.51,300,0
2017-04-11,18:05:00,28.48,28.63,28.48,28.54,700,0
2017-04-11,18:10:00,28.5837,28.63,28.55,28.6,1500,0
2017-04-11,18:15:00,28.6206,28.65,28.6,28.65,900,0
2017-04-11,18:20:00,28.55,28.55,28.51,28.51,200,0
2017-04-11,18:30:00,28.7199,28.7199,28.7199,28.7199,250,0
2017-04-11,18:35:00,28.6892,28.6892,28.66,28.6789,2300,0
2017-04-11,18:40:00,28.68,28.68,28.68,28.68,100,0
2017-04-11,18:55:00,28.7196,28.7196,28.71,28.71,500,0
2017-04-11,19:00:00,28.68,28.7499,28.68,28.734,600,0
2017-04-11,19:05:00,28.7124,28.7124,28.7124,28.7124,900,0
2017-04-11,19:10:00,28.74,28.74,28.71,28.7264,800,0
2017-04-11,19:15:00,28.7244,28.75,28.7198,28.7198,2633,0
2017-04-11,19:20:00,28.6903,28.7499,28.69,28.74,2684,0
2017-04-11,19:25:00,28.74,28.74,28.725,28.74,1000,0
2017-04-11,19:30:00,28.7298,28.747,28.7298,28.747,540,0
