Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-23,14:35:00,0.84,0.8501,0.84,0.8501,611,0
2017-03-23,14:40:00,0.85,0.86,0.85,0.86,1300,0
2017-03-23,14:55:00,0.86,0.86,0.8548,0.8548,2800,0
2017-03-23,15:00:00,0.85,0.85,0.85,0.85,700,0
2017-03-23,15:05:00,0.8536,0.8536,0.84,0.8536,5447,0
2017-03-23,15:10:00,0.86,0.86,0.86,0.86,400,0
2017-03-23,15:15:00,0.8517,0.8517,0.85,0.85,9906,0
2017-03-23,15:25:00,0.86,0.86,0.86,0.86,200,0
2017-03-23,15:30:00,0.8598,0.8598,0.8598,0.8598,400,0
2017-03-23,15:35:00,0.855,0.86,0.855,0.86,1900,0
2017-03-23,15:55:00,0.87,0.8785,0.87,0.8785,3100,0
2017-03-23,16:10:00,0.8786,0.88,0.862,0.862,16233,0
2017-03-23,16:15:00,0.8786,0.88,0.8601,0.8601,9000,0
2017-03-23,16:20:00,0.8768,0.93,0.8766,0.9,61639,0
2017-03-23,16:25:00,0.912,0.94,0.91,0.94,21526,0
2017-03-23,16:30:00,0.9205,0.9205,0.92,0.92,2379,0
2017-03-23,16:35:00,0.92,0.92,0.92,0.92,556,0
2017-03-23,16:40:00,0.9222,0.93,0.89,0.9,13389,0
2017-03-23,16:45:00,0.912,0.912,0.9079,0.9119,8025,0
2017-03-23,16:50:00,0.8951,0.91,0.8951,0.91,9700,0
2017-03-23,16:55:00,0.8976,0.91,0.895,0.91,5200,0
2017-03-23,17:00:00,0.9025,0.91,0.8952,0.91,16589,0
2017-03-23,17:05:00,0.9003,0.91,0.9003,0.91,4371,0
2017-03-23,17:10:00,0.9098,0.912,0.9098,0.912,12464,0
2017-03-23,17:15:00,0.91,0.91,0.91,0.91,375,0
2017-03-23,17:20:00,0.9101,0.9119,0.9,0.9,10486,0
2017-03-23,17:30:00,0.9,0.906,0.9,0.9,2200,0
2017-03-23,17:35:00,0.9012,0.9012,0.9012,0.9012,684,0
2017-03-23,17:40:00,0.9013,0.9013,0.9013,0.9013,1310,0
2017-03-23,17:45:00,0.9012,0.9012,0.88,0.88,4000,0
2017-03-23,17:50:00,0.89,0.89,0.89,0.89,300,0
2017-03-23,17:55:00,0.8804,0.9,0.88,0.9,14800,0
2017-03-23,18:05:00,0.8811,0.8811,0.8811,0.8811,3000,0
2017-03-23,18:10:00,0.88,0.9,0.88,0.89,3400,0
2017-03-23,18:15:00,0.89,0.89,0.8892,0.8892,340,0
2017-03-23,18:25:00,0.8899,0.89,0.8899,0.89,300,0
2017-03-23,18:40:00,0.8823,0.8824,0.8823,0.8824,700,0
2017-03-23,19:05:00,0.8812,0.8812,0.8812,0.8812,100,0
2017-03-23,19:25:00,0.8819,0.882,0.8819,0.882,4400,0
2017-03-23,19:30:00,0.89,0.89,0.8826,0.8826,1456,0
2017-03-23,19:40:00,0.8851,0.8851,0.8851,0.8851,242,0
2017-03-23,19:50:00,0.8849,0.8849,0.8849,0.8849,100,0
2017-03-23,19:55:00,0.885,0.8899,0.885,0.885,1900,0
2017-03-23,20:00:00,0.889,0.889,0.8803,0.8803,2770,0
2017-03-23,20:15:00,0.8821,0.8821,0.8821,0.8821,100,0
2017-03-23,20:20:00,0.8803,0.8824,0.88,0.88,3300,0
2017-03-23,20:30:00,0.88,0.88,0.88,0.88,100,0
2017-03-23,20:35:00,0.88,0.88,0.8705,0.8705,2009,0
2017-03-23,20:45:00,0.875,0.8799,0.8727,0.8727,2600,0
2017-03-23,20:50:00,0.8797,0.8799,0.8705,0.8799,1928,0
2017-03-23,20:55:00,0.8799,0.88,0.8799,0.88,1000,0
2017-03-23,21:00:00,0.8739,0.88,0.8702,0.88,3250,0
2017-03-24,14:35:00,0.889,0.91,0.88,0.91,17835,0
2017-03-24,14:40:00,0.92,0.935,0.92,0.9214,9456,0
2017-03-24,14:45:00,0.9299,0.93,0.91,0.91,10260,0
2017-03-24,14:50:00,0.9186,0.92,0.9186,0.92,800,0
2017-03-24,14:55:00,0.92,0.92,0.89,0.89,8000,0
2017-03-24,15:00:00,0.8991,0.8993,0.8909,0.8993,600,0
2017-03-24,15:05:00,0.8989,0.899,0.89,0.895,3766,0
2017-03-24,15:10:00,0.8945,0.8989,0.8945,0.8989,4700,0
2017-03-24,15:15:00,0.895,0.895,0.895,0.895,400,0
2017-03-24,15:20:00,0.8946,0.8946,0.88,0.886,15350,0
2017-03-24,15:30:00,0.8894,0.8894,0.8894,0.8894,200,0
2017-03-24,15:35:00,0.8875,0.8875,0.8875,0.8875,300,0
2017-03-24,15:40:00,0.8899,0.89,0.886,0.886,5073,0
2017-03-24,15:55:00,0.8989,0.8989,0.8989,0.8989,550,0
2017-03-24,16:00:00,0.89,0.8983,0.89,0.8983,2250,0
2017-03-24,16:05:00,0.89,0.89,0.89,0.89,100,0
2017-03-24,16:15:00,0.89,0.8983,0.89,0.8977,18041,0
2017-03-24,16:20:00,0.8977,0.8977,0.8977,0.8977,122,0
2017-03-24,17:00:00,0.8949,0.8949,0.8949,0.8949,100,0
2017-03-24,17:05:00,0.8946,0.8946,0.8946,0.8946,130,0
2017-03-24,17:10:00,0.8949,0.895,0.8949,0.8949,3267,0
2017-03-24,17:15:00,0.895,0.895,0.893,0.893,450,0
2017-03-24,17:20:00,0.89,0.89,0.89,0.89,3066,0
2017-03-24,17:25:00,0.8914,0.8914,0.8914,0.8914,2000,0
2017-03-24,17:30:00,0.895,0.895,0.895,0.895,1014,0
2017-03-24,17:35:00,0.895,0.895,0.895,0.895,100,0
2017-03-24,17:45:00,0.895,0.897,0.89,0.897,21167,0
2017-03-24,17:50:00,0.895,0.897,0.895,0.897,15930,0
2017-03-24,18:00:00,0.896,0.896,0.896,0.896,100,0
2017-03-24,18:05:00,0.896,0.896,0.896,0.896,1000,0
2017-03-24,18:15:00,0.897,0.9,0.897,0.897,6055,0
2017-03-24,18:30:00,0.899,0.92,0.899,0.92,11460,0
2017-03-24,18:35:00,0.92,0.92,0.91,0.91,1300,0
2017-03-24,18:45:00,0.91,0.91,0.9005,0.9006,800,0
2017-03-24,18:50:00,0.9095,0.91,0.9013,0.9013,3860,0
2017-03-24,18:55:00,0.91,0.91,0.9001,0.9003,4650,0
2017-03-24,19:05:00,0.9092,0.9092,0.8961,0.8961,9470,0
2017-03-24,19:15:00,0.91,0.91,0.91,0.91,1400,0
2017-03-24,19:30:00,0.91,0.91,0.91,0.91,100,0
2017-03-24,19:45:00,0.91,0.91,0.906,0.906,3600,0
2017-03-24,19:50:00,0.91,0.91,0.91,0.91,240,0
2017-03-24,19:55:00,0.91,0.91,0.91,0.91,100,0
2017-03-24,20:00:00,0.91,0.91,0.91,0.91,10100,0
2017-03-24,20:10:00,0.91,0.91,0.91,0.91,100,0
2017-03-24,20:20:00,0.91,0.91,0.91,0.91,100,0
2017-03-24,20:30:00,0.9031,0.9031,0.9031,0.9031,399,0
2017-03-24,20:35:00,0.9099,0.91,0.904,0.904,2371,0
2017-03-24,20:40:00,0.91,0.91,0.9099,0.9099,1170,0
2017-03-24,20:45:00,0.9066,0.92,0.9066,0.92,9825,0
2017-03-24,20:50:00,0.92,0.92,0.9195,0.92,5564,0
2017-03-24,20:55:00,0.92,0.92,0.9141,0.9141,14599,0
2017-03-24,21:00:00,0.9198,0.92,0.915,0.9192,5748,0
2017-03-27,15:35:00,0.92,0.92,0.91,0.91,2380,0
2017-03-27,15:40:00,0.89,0.89,0.88,0.88,11078,0
2017-03-27,15:45:00,0.8999,0.8999,0.8931,0.8931,1200,0
2017-03-27,15:50:00,0.9,0.9004,0.9,0.9004,2150,0
2017-03-27,16:05:00,0.9002,0.905,0.9001,0.905,2222,0
2017-03-27,16:10:00,0.9048,0.9048,0.9048,0.9048,100,0
2017-03-27,16:15:00,0.9032,0.905,0.9032,0.905,1300,0
2017-03-27,16:25:00,0.9014,0.9014,0.9014,0.9014,525,0
2017-03-27,16:30:00,0.9099,0.91,0.9013,0.9024,11645,0
2017-03-27,16:40:00,0.91,0.91,0.91,0.91,300,0
2017-03-27,16:45:00,0.915,0.915,0.915,0.915,600,0
2017-03-27,16:50:00,0.9075,0.915,0.9075,0.9076,870,0
2017-03-27,16:55:00,0.9078,0.91,0.9076,0.91,3700,0
2017-03-27,17:00:00,0.91,0.91,0.9096,0.9096,300,0
2017-03-27,17:05:00,0.9092,0.9092,0.9092,0.9092,751,0
2017-03-27,17:10:00,0.9095,0.9097,0.9095,0.9097,5400,0
2017-03-27,17:15:00,0.9094,0.909676,0.9002,0.9002,1540,0
2017-03-27,17:30:00,0.9059,0.906,0.9059,0.906,1050,0
2017-03-27,17:55:00,0.9059,0.9059,0.9059,0.9059,165,0
2017-03-27,18:05:00,0.9001,0.9001,0.9001,0.9001,250,0
2017-03-27,18:10:00,0.906,0.906,0.9004,0.9004,350,0
2017-03-27,18:20:00,0.9059,0.906,0.9014,0.9014,3065,0
2017-03-27,18:30:00,0.908,0.908,0.908,0.908,200,0
2017-03-27,18:35:00,0.9076,0.9076,0.9024,0.9024,1304,0
2017-03-27,18:45:00,0.908,0.908,0.908,0.908,100,0
2017-03-27,18:50:00,0.908,0.908,0.908,0.908,1162,0
2017-03-27,19:05:00,0.903,0.903,0.903,0.903,418,0
2017-03-27,19:15:00,0.9001,0.91,0.9001,0.9051,4894,0
2017-03-27,19:35:00,0.9001,0.9001,0.9,0.9001,6114,0
2017-03-27,19:40:00,0.9,0.9,0.9,0.9,350,0
2017-03-27,19:45:00,0.9001,0.9001,0.9001,0.9001,1000,0
2017-03-27,19:55:00,0.9045,0.9045,0.9045,0.9045,158,0
2017-03-27,20:00:00,0.9045,0.9045,0.9045,0.9045,200,0
2017-03-27,20:05:00,0.9045,0.9045,0.9045,0.9045,100,0
2017-03-27,20:20:00,0.905,0.905,0.905,0.905,200,0
2017-03-27,20:25:00,0.9044,0.905,0.9044,0.905,1130,0
2017-03-27,20:35:00,0.9045,0.9045,0.9045,0.9045,1600,0
2017-03-27,20:40:00,0.9047,0.907,0.9045,0.9049,3500,0
2017-03-27,20:55:00,0.9047,0.9047,0.9,0.9002,981,0
2017-03-27,21:00:00,0.905,0.905,0.905,0.905,999,0
2017-03-27,21:15:00,0.9059,0.9059,0.9059,0.9059,500,0
2017-03-27,21:25:00,0.9099,0.91,0.9063,0.9063,645,0
2017-03-27,21:40:00,0.9066,0.9066,0.9065,0.9065,931,0
