Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-31,15:35:00,4.85,4.85,4.75,4.8,1204,0
2017-03-31,15:40:00,4.75,4.75,4.75,4.75,100,0
2017-03-31,15:45:00,4.775,4.775,4.775,4.775,100,0
2017-03-31,15:50:00,4.75,4.8,4.75,4.8,600,0
2017-03-31,16:10:00,4.8,4.9,4.775,4.9,8381,0
2017-03-31,16:15:00,4.9,4.9,4.875,4.875,3865,0
2017-03-31,16:20:00,4.875,4.875,4.85,4.875,1100,0
2017-03-31,16:25:00,4.875,4.875,4.875,4.875,100,0
2017-03-31,16:30:00,4.8501,4.865,4.8501,4.865,1000,0
2017-03-31,16:40:00,4.851,4.851,4.85,4.85,3300,0
2017-03-31,16:45:00,4.851,4.851,4.851,4.851,100,0
2017-03-31,16:50:00,4.9,4.9,4.875,4.9,300,0
2017-03-31,16:55:00,4.9,4.9,4.9,4.9,1640,0
2017-03-31,17:15:00,4.95,4.95,4.95,4.95,1486,0
2017-03-31,17:20:00,4.975,4.975,4.95,4.9501,2912,0
2017-03-31,17:25:00,4.999,5,4.975,5,1200,0
2017-03-31,17:35:00,5,5,5,5,300,0
2017-03-31,17:50:00,5,5,5,5,100,0
2017-03-31,18:00:00,4.9898,4.9925,4.95,4.975,2500,0
2017-03-31,18:10:00,4.975,4.975,4.975,4.975,100,0
2017-03-31,18:15:00,4.95,4.95,4.95,4.95,100,0
2017-03-31,18:20:00,4.975,4.975,4.95,4.95,200,0
2017-03-31,18:30:00,4.975,4.975,4.975,4.975,300,0
2017-03-31,18:40:00,4.975,4.975,4.975,4.975,100,0
2017-03-31,18:55:00,5,5,5,5,100,0
2017-03-31,19:10:00,4.95,4.95,4.9,4.945,4700,0
2017-03-31,19:15:00,4.945,4.945,4.945,4.945,400,0
2017-03-31,19:25:00,4.945,4.95,4.945,4.95,300,0
2017-03-31,19:45:00,4.95,4.95,4.95,4.95,300,0
2017-03-31,19:50:00,4.975,4.975,4.975,4.975,100,0
2017-03-31,20:05:00,4.9725,5,4.9725,5,1200,0
2017-03-31,20:15:00,4.951,4.951,4.951,4.951,2000,0
2017-03-31,20:20:00,5,5,4.975,5,300,0
2017-03-31,20:35:00,4.95,4.975,4.95,4.975,600,0
2017-03-31,20:45:00,4.975,4.975,4.975,4.975,100,0
2017-03-31,20:55:00,4.95,4.95,4.95,4.95,100,0
2017-03-31,21:00:00,5,5,4.975,4.975,200,0
2017-03-31,21:05:00,4.975,4.9915,4.975,4.9915,500,0
2017-03-31,21:10:00,4.9715,4.9715,4.9715,4.9715,1700,0
2017-03-31,21:15:00,5,5,5,5,200,0
2017-03-31,21:20:00,5,5,5,5,687,0
2017-03-31,21:25:00,4.95,5,4.95,4.975,500,0
2017-03-31,21:30:00,4.95,4.95,4.95,4.95,100,0
2017-03-31,21:40:00,5,5,5,5,100,0
2017-03-31,21:45:00,4.999,4.999,4.95,4.95,300,0
2017-03-31,21:50:00,5,5,4.975,4.975,400,0
2017-03-31,21:55:00,4.975,5,4.95,4.95,1900,0
2017-03-31,22:00:00,4.95,5,4.95,4.95,11038,0
2017-04-03,15:35:00,5,5.05,4.95,5.0341,5725,0
2017-04-03,15:45:00,4.9915,5,4.9915,5,2600,0
2017-04-03,15:50:00,4.9999,5,4.975,5,8050,0
2017-04-03,15:55:00,5,5.025,5,5,1600,0
2017-04-03,16:00:00,5,5,4.95,5,9000,0
2017-04-03,16:05:00,5.025,5.025,5,5,200,0
2017-04-03,16:15:00,5,5,4.95,4.975,1600,0
2017-04-03,16:20:00,4.9915,5.05,4.975,5.05,6700,0
2017-04-03,16:25:00,5.025,5.1,5.0175,5.075,14670,0
2017-04-03,16:30:00,5.1,5.1,5.05,5.05,3600,0
2017-04-03,16:35:00,5.075,5.075,5,5.025,3100,0
2017-04-03,16:40:00,5,5,4.9497,5,20800,0
2017-04-03,16:55:00,4.935,4.935,4.925,4.925,440,0
2017-04-03,17:00:00,4.925,4.925,4.925,4.925,400,0
2017-04-03,17:05:00,4.9084,4.925,4.85,4.9,3500,0
2017-04-03,17:10:00,4.8583,4.92,4.8583,4.92,2000,0
2017-04-03,17:20:00,4.85,4.85,4.85,4.85,100,0
2017-04-03,17:30:00,4.9,4.9,4.875,4.875,700,0
2017-04-03,17:40:00,4.875,4.875,4.875,4.875,100,0
2017-04-03,17:45:00,4.9,4.9,4.875,4.9,600,0
2017-04-03,17:50:00,4.875,4.875,4.85,4.875,300,0
2017-04-03,17:55:00,4.85,4.9,4.85,4.9,7800,0
2017-04-03,18:00:00,4.9,4.9,4.85,4.85,2200,0
2017-04-03,18:05:00,4.858,4.858,4.858,4.858,1500,0
2017-04-03,18:10:00,4.9,4.9,4.875,4.875,400,0
2017-04-03,18:15:00,4.875,4.875,4.875,4.875,100,0
2017-04-03,18:25:00,4.85,4.875,4.85,4.875,200,0
2017-04-03,18:30:00,4.875,4.9,4.85,4.85,400,0
2017-04-03,18:40:00,4.9,4.9,4.875,4.875,200,0
2017-04-03,18:45:00,4.875,4.875,4.875,4.875,100,0
2017-04-03,18:50:00,4.875,4.875,4.875,4.875,100,0
2017-04-03,19:00:00,4.9,4.9,4.875,4.875,200,0
2017-04-03,19:05:00,4.875,4.875,4.875,4.875,200,0
2017-04-03,19:10:00,4.9,4.9,4.875,4.875,200,0
2017-04-03,19:15:00,4.875,4.875,4.875,4.875,600,0
2017-04-03,19:25:00,4.875,4.875,4.875,4.875,100,0
2017-04-03,19:35:00,4.875,4.9,4.875,4.9,1900,0
2017-04-03,19:40:00,4.9,4.9,4.9,4.9,300,0
2017-04-03,19:50:00,4.9,4.9,4.9,4.9,200,0
2017-04-03,20:00:00,4.875,4.9,4.875,4.9,300,0
2017-04-03,20:05:00,4.875,4.9,4.875,4.875,2000,0
2017-04-03,20:10:00,4.85,4.9,4.775,4.775,79613,0
2017-04-03,20:15:00,4.75,4.75,4.75,4.75,1400,0
2017-04-03,20:20:00,4.775,4.775,4.75,4.75,500,0
2017-04-03,20:25:00,4.75,4.75,4.7,4.75,5051,0
2017-04-03,20:30:00,4.725,4.725,4.725,4.725,400,0
2017-04-03,20:35:00,4.7,4.7,4.65,4.65,7800,0
2017-04-03,20:40:00,4.65,4.725,4.625,4.725,9100,0
2017-04-03,20:45:00,4.725,4.725,4.725,4.725,600,0
2017-04-03,20:50:00,4.745,4.75,4.725,4.745,1100,0
2017-04-03,20:55:00,4.75,4.75,4.75,4.75,300,0
2017-04-03,21:00:00,4.725,4.75,4.725,4.75,3074,0
2017-04-03,21:05:00,4.75,4.75,4.75,4.75,100,0
