Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-06,16:15:00,14.644,14.671,14.644,14.654,833,0
2017-03-06,16:35:00,14.647,14.647,14.647,14.647,806,0
2017-03-06,16:40:00,14.654,14.654,14.654,14.654,806,0
2017-03-06,17:05:00,14.654,14.654,14.654,14.654,202,0
2017-03-06,18:55:00,14.659,14.659,14.659,14.659,589,0
2017-03-06,19:25:00,14.663,14.663,14.663,14.663,100,0
2017-03-06,19:35:00,14.654,14.654,14.654,14.654,504,0
2017-03-06,19:40:00,14.66,14.664,14.66,14.664,1399,0
2017-03-06,19:45:00,14.652,14.652,14.652,14.652,126,0
2017-03-06,19:50:00,14.654,14.664,14.654,14.664,1612,0
2017-03-06,20:10:00,14.673,14.682,14.673,14.682,404,0
2017-03-06,20:15:00,14.682,14.682,14.682,14.682,604,0
2017-03-06,20:45:00,14.682,14.682,14.682,14.682,604,0
2017-03-06,20:50:00,14.674,14.682,14.655,14.682,3409,0
2017-03-06,21:05:00,14.666,14.666,14.666,14.666,1008,0
2017-03-07,16:05:00,14.635,14.638,14.635,14.638,4536,0
2017-03-07,16:10:00,14.634,14.648,14.634,14.634,605,0
2017-03-07,16:15:00,14.665,14.665,14.665,14.665,2300,0
2017-03-07,17:15:00,14.659,14.659,14.659,14.659,228,0
2017-03-07,18:45:00,14.645,14.673,14.644,14.673,2608,0
2017-03-07,19:55:00,14.664,14.671,14.664,14.671,604,0
2017-03-07,20:15:00,14.666,14.666,14.666,14.666,100,0
2017-03-07,20:35:00,14.642,14.664,14.642,14.664,3384,0
2017-03-07,20:50:00,14.64,14.64,14.64,14.64,302,0
2017-03-07,20:55:00,14.648,14.648,14.648,14.648,2658,0
2017-03-07,21:25:00,14.652,14.652,14.634,14.634,706,0
2017-03-08,15:35:00,14.554,14.584,14.554,14.564,4168,0
2017-03-08,15:40:00,14.544,14.555,14.544,14.555,3084,0
2017-03-08,16:00:00,14.571,14.571,14.571,14.571,2016,0
2017-03-08,16:15:00,14.57,14.57,14.57,14.57,892,0
2017-03-08,16:25:00,14.564,14.564,14.554,14.556,2218,0
2017-03-08,16:30:00,14.554,14.559,14.554,14.554,3278,0
2017-03-08,17:40:00,14.544,14.564,14.544,14.564,556,0
2017-03-08,17:45:00,14.554,14.554,14.545,14.545,202,0
2017-03-08,18:10:00,14.554,14.554,14.554,14.554,1008,0
2017-03-08,18:15:00,14.544,14.552,14.544,14.552,3171,0
2017-03-08,18:45:00,14.544,14.544,14.534,14.534,1714,0
2017-03-08,19:50:00,14.554,14.554,14.554,14.554,3024,0
2017-03-08,20:05:00,14.553,14.554,14.553,14.554,1008,0
2017-03-08,20:10:00,14.544,14.544,14.544,14.544,1008,0
2017-03-08,20:15:00,14.554,14.564,14.554,14.564,3048,0
2017-03-08,20:20:00,14.554,14.554,14.554,14.554,1512,0
2017-03-08,20:50:00,14.544,14.544,14.544,14.544,103,0
2017-03-08,21:15:00,14.564,14.594,14.564,14.588,5257,0
2017-03-08,21:45:00,14.574,14.584,14.554,14.574,3427,0
2017-03-08,21:55:00,14.564,14.584,14.561,14.561,302,0
2017-03-08,22:00:00,14.574,14.574,14.574,14.574,856,0
2017-03-09,15:35:00,14.564,14.564,14.564,14.564,100,0
2017-03-09,15:40:00,14.564,14.564,14.534,14.534,2934,0
2017-03-09,15:55:00,14.534,14.534,14.534,14.534,702,0
2017-03-09,16:25:00,14.454,14.454,14.406,14.406,1686,0
2017-03-09,16:30:00,14.396,14.396,14.306,14.306,4954,0
2017-03-09,16:35:00,14.306,14.306,14.158,14.158,17737,0
2017-03-09,16:40:00,14.263,14.263,14.263,14.263,2116,0
2017-03-09,16:45:00,14.271,14.296,14.271,14.296,326,0
2017-03-09,17:05:00,14.334,14.334,14.334,14.334,504,0
2017-03-09,17:10:00,14.316,14.316,14.316,14.316,1714,0
2017-03-09,17:15:00,14.333,14.336,14.326,14.326,3931,0
2017-03-09,17:20:00,14.326,14.346,14.326,14.346,2621,0
2017-03-09,17:25:00,14.346,14.366,14.341,14.366,2822,0
2017-03-09,17:30:00,14.346,14.346,14.346,14.346,1108,0
2017-03-09,17:35:00,14.351,14.351,14.336,14.336,694,0
2017-03-09,17:45:00,14.346,14.346,14.346,14.346,1774,0
2017-03-09,17:50:00,14.346,14.346,14.346,14.346,444,0
2017-03-09,17:55:00,14.346,14.346,14.336,14.346,1814,0
2017-03-09,18:00:00,14.336,14.34,14.331,14.34,504,0
2017-03-09,18:05:00,14.346,14.346,14.337,14.346,1623,0
2017-03-09,18:10:00,14.336,14.346,14.336,14.346,1814,0
2017-03-09,18:15:00,14.336,14.341,14.331,14.336,806,0
2017-03-09,18:45:00,14.336,14.336,14.336,14.336,706,0
2017-03-09,18:55:00,14.336,14.336,14.326,14.326,504,0
2017-03-09,19:00:00,14.332,14.332,14.332,14.332,1734,0
2017-03-09,19:25:00,14.345,14.346,14.345,14.346,806,0
2017-03-09,19:35:00,14.356,14.356,14.356,14.356,1008,0
2017-03-09,19:45:00,14.346,14.346,14.346,14.346,1008,0
2017-03-09,19:55:00,14.352,14.352,14.352,14.352,1008,0
2017-03-09,20:15:00,14.349,14.349,14.349,14.349,1512,0
2017-03-09,20:40:00,14.341,14.346,14.341,14.346,1108,0
2017-03-09,20:50:00,14.341,14.346,14.341,14.341,2908,0
2017-03-09,20:55:00,14.346,14.346,14.346,14.346,327,0
2017-03-09,21:05:00,14.341,14.341,14.341,14.341,806,0
2017-03-09,21:10:00,14.342,14.346,14.342,14.346,352,0
2017-03-09,21:15:00,14.344,14.346,14.344,14.346,202,0
2017-03-09,21:35:00,14.34,14.34,14.34,14.34,1008,0
2017-03-09,21:40:00,14.345,14.345,14.345,14.345,100,0
2017-03-09,22:00:00,14.346,14.346,14.336,14.336,425,0
2017-03-10,15:35:00,14.434,14.434,14.434,14.434,100,0
2017-03-10,15:55:00,14.346,14.356,14.346,14.346,1512,0
2017-03-10,16:00:00,14.356,14.376,14.348,14.376,2594,0
2017-03-10,16:15:00,14.376,14.376,14.376,14.376,2218,0
2017-03-10,16:30:00,14.376,14.376,14.376,14.376,404,0
2017-03-10,16:40:00,14.366,14.366,14.316,14.316,4380,0
2017-03-10,16:45:00,14.331,14.331,14.331,14.331,202,0
2017-03-10,17:05:00,14.336,14.405,14.336,14.405,1824,0
2017-03-10,17:10:00,14.386,14.386,14.386,14.386,5443,0
2017-03-10,17:15:00,14.386,14.386,14.386,14.386,2116,0
2017-03-10,17:20:00,14.386,14.391,14.376,14.376,6844,0
2017-03-10,17:25:00,14.336,14.356,14.336,14.336,2520,0
2017-03-10,17:45:00,14.328,14.328,14.328,14.328,188,0
2017-03-10,17:55:00,14.334,14.336,14.334,14.336,3830,0
2017-03-10,18:15:00,14.336,14.336,14.336,14.336,1108,0
2017-03-10,18:25:00,14.336,14.336,14.336,14.336,2016,0
2017-03-10,18:45:00,14.336,14.336,14.336,14.336,1562,0
2017-03-10,19:05:00,14.336,14.336,14.336,14.336,1008,0
2017-03-10,19:10:00,14.334,14.334,14.334,14.334,504,0
2017-03-10,19:15:00,14.33,14.336,14.33,14.336,5367,0
2017-03-10,19:25:00,14.346,14.346,14.34,14.346,988,0
2017-03-10,19:30:00,14.346,14.376,14.346,14.376,1179,0
2017-03-10,19:35:00,14.352,14.376,14.352,14.355,1187,0
2017-03-10,19:40:00,14.376,14.376,14.376,14.376,367,0
2017-03-10,20:15:00,14.385,14.386,14.385,14.386,202,0
2017-03-10,20:35:00,14.381,14.386,14.381,14.386,600,0
2017-03-10,21:25:00,14.376,14.386,14.376,14.386,908,0
2017-03-10,21:55:00,14.386,14.406,14.386,14.406,806,0
2017-03-10,22:00:00,14.406,14.424,14.406,14.424,1210,0
2017-03-13,14:35:00,14.354,14.354,14.354,14.354,100,0
2017-03-13,14:50:00,14.423,14.423,14.423,14.423,151,0
2017-03-13,15:15:00,14.414,14.463,14.414,14.463,1707,0
2017-03-13,15:20:00,14.404,14.433,14.404,14.433,1506,0
2017-03-13,15:30:00,14.438,14.443,14.438,14.441,5156,0
2017-03-13,16:05:00,14.443,14.443,14.443,14.443,100,0
2017-03-13,16:15:00,14.435,14.446,14.435,14.446,1405,0
2017-03-13,16:20:00,14.443,14.449,14.443,14.449,1017,0
2017-03-13,17:10:00,14.433,14.433,14.407,14.407,2108,0
2017-03-13,17:15:00,14.419,14.419,14.404,14.404,1004,0
2017-03-13,17:30:00,14.433,14.433,14.433,14.433,336,0
2017-03-13,17:50:00,14.423,14.423,14.414,14.417,3472,0
2017-03-13,18:25:00,14.428,14.428,14.428,14.428,502,0
2017-03-13,18:30:00,14.42,14.42,14.42,14.42,502,0
2017-03-13,19:10:00,14.434,14.434,14.434,14.434,1387,0
2017-03-13,19:35:00,14.428,14.428,14.428,14.428,904,0
2017-03-13,19:40:00,14.414,14.424,14.414,14.424,637,0
2017-03-13,19:45:00,14.414,14.414,14.414,14.414,105,0
2017-03-13,19:50:00,14.433,14.433,14.433,14.433,402,0
2017-03-13,20:05:00,14.433,14.433,14.433,14.433,314,0
2017-03-13,20:25:00,14.422,14.452,14.412,14.443,2287,0
2017-03-13,20:30:00,14.433,14.433,14.433,14.433,100,0
2017-03-13,21:00:00,14.428,14.432,14.428,14.432,1205,0
2017-03-14,14:35:00,14.394,14.394,14.394,14.394,100,0
2017-03-14,14:55:00,14.404,14.404,14.404,14.404,100,0
2017-03-14,15:25:00,14.384,14.394,14.384,14.384,2393,0
2017-03-14,15:35:00,14.394,14.394,14.394,14.394,904,0
2017-03-14,16:00:00,14.389,14.389,14.374,14.389,3915,0
2017-03-14,16:15:00,14.397,14.397,14.397,14.397,251,0
2017-03-14,16:35:00,14.404,14.404,14.404,14.404,201,0
2017-03-14,16:50:00,14.403,14.403,14.403,14.403,251,0
2017-03-14,16:55:00,14.404,14.404,14.404,14.404,105,0
2017-03-14,17:05:00,14.404,14.404,14.404,14.404,201,0
2017-03-14,18:50:00,14.384,14.384,14.384,14.384,344,0
2017-03-14,19:05:00,14.404,14.404,14.404,14.404,100,0
2017-03-14,20:00:00,14.384,14.384,14.364,14.368,4439,0
2017-03-14,20:10:00,14.384,14.384,14.374,14.374,201,0
2017-03-14,20:20:00,14.384,14.384,14.376,14.376,1572,0
2017-03-14,20:35:00,14.41,14.41,14.41,14.41,502,0
2017-03-14,20:45:00,14.404,14.414,14.389,14.403,4628,0
2017-03-14,21:00:00,14.433,14.433,14.433,14.433,201,0
2017-03-15,14:35:00,14.404,14.404,14.404,14.404,124,0
2017-03-15,14:40:00,14.424,14.424,14.424,14.424,201,0
2017-03-15,15:05:00,14.419,14.419,14.419,14.419,920,0
2017-03-15,15:10:00,14.404,14.404,14.404,14.404,402,0
2017-03-15,15:25:00,14.399,14.399,14.399,14.399,301,0
2017-03-15,15:40:00,14.394,14.394,14.394,14.394,762,0
2017-03-15,15:45:00,14.384,14.384,14.384,14.384,13051,0
2017-03-15,15:50:00,14.364,14.384,14.364,14.384,898,0
2017-03-15,16:05:00,14.413,14.413,14.413,14.413,502,0
2017-03-15,16:30:00,14.394,14.394,14.394,14.394,136,0
2017-03-15,16:50:00,14.394,14.394,14.394,14.394,103,0
2017-03-15,16:55:00,14.394,14.394,14.394,14.394,803,0
2017-03-15,17:00:00,14.394,14.394,14.394,14.394,100,0
2017-03-15,17:20:00,14.41,14.41,14.41,14.41,195,0
2017-03-15,17:30:00,14.364,14.364,14.364,14.364,184,0
2017-03-15,18:25:00,14.384,14.384,14.384,14.384,482,0
2017-03-15,19:00:00,14.394,14.394,14.394,14.394,1004,0
2017-03-15,19:05:00,14.423,14.423,14.399,14.399,201,0
2017-03-15,19:10:00,14.414,14.503,14.414,14.503,3313,0
2017-03-15,19:15:00,14.518,14.518,14.518,14.518,301,0
2017-03-15,19:20:00,14.492,14.492,14.492,14.492,1832,0
2017-03-15,19:25:00,14.503,14.503,14.498,14.503,1267,0
2017-03-15,19:35:00,14.503,14.503,14.503,14.503,100,0
2017-03-15,19:40:00,14.503,14.503,14.503,14.503,602,0
2017-03-15,19:45:00,14.492,14.492,14.492,14.492,201,0
2017-03-15,19:50:00,14.473,14.473,14.473,14.473,301,0
2017-03-15,20:05:00,14.523,14.523,14.523,14.523,100,0
2017-03-15,20:15:00,14.483,14.504,14.483,14.504,359,0
2017-03-15,20:20:00,14.523,14.523,14.496,14.496,1255,0
2017-03-15,20:25:00,14.493,14.516,14.493,14.503,602,0
2017-03-15,20:35:00,14.523,14.523,14.523,14.523,100,0
2017-03-15,20:45:00,14.523,14.523,14.523,14.523,100,0
