Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-05,15:35:00,9.828,9.828,9.828,9.828,27428,0
2017-04-05,15:45:00,9.808,9.811,9.808,9.809,9697,0
2017-04-05,15:50:00,9.818,9.818,9.798,9.798,11892,0
2017-04-05,15:55:00,9.799,9.803,9.799,9.803,5418,0
2017-04-05,16:00:00,9.803,9.808,9.798,9.808,6923,0
2017-04-05,16:05:00,9.808,9.808,9.797,9.797,15884,0
2017-04-05,16:10:00,9.788,9.798,9.788,9.793,4533,0
2017-04-05,16:15:00,9.788,9.793,9.788,9.793,201,0
2017-04-05,16:20:00,9.788,9.793,9.788,9.793,5317,0
2017-04-05,16:25:00,9.793,9.793,9.793,9.793,401,0
2017-04-05,16:30:00,9.793,9.798,9.778,9.783,25764,0
2017-04-05,16:35:00,9.788,9.788,9.788,9.788,2910,0
2017-04-05,16:40:00,9.782,9.782,9.782,9.782,2007,0
2017-04-05,16:45:00,9.782,9.787,9.782,9.787,3077,0
2017-04-05,16:50:00,9.783,9.783,9.778,9.78,2679,0
2017-04-05,16:55:00,9.783,9.788,9.783,9.783,10133,0
2017-04-05,17:05:00,9.783,9.788,9.783,9.787,1304,0
2017-04-05,17:10:00,9.783,9.788,9.783,9.788,401,0
2017-04-05,17:15:00,9.783,9.788,9.78,9.78,4013,0
2017-04-05,17:20:00,9.784,9.786,9.784,9.784,2826,0
2017-04-05,17:25:00,9.788,9.798,9.788,9.798,2508,0
2017-04-05,17:30:00,9.794,9.794,9.791,9.791,956,0
2017-04-05,17:35:00,9.788,9.789,9.788,9.789,3655,0
2017-04-05,17:40:00,9.781,9.781,9.781,9.781,262,0
2017-04-05,17:45:00,9.78,9.785,9.778,9.785,9678,0
2017-04-05,17:50:00,9.783,9.785,9.782,9.782,1405,0
2017-04-05,17:55:00,9.783,9.785,9.778,9.785,3158,0
2017-04-05,18:00:00,9.782,9.782,9.782,9.782,1906,0
2017-04-05,18:05:00,9.783,9.788,9.783,9.788,1706,0
2017-04-05,18:10:00,9.778,9.781,9.778,9.781,3843,0
2017-04-05,18:15:00,9.788,9.788,9.781,9.784,3800,0
2017-04-05,18:20:00,9.778,9.785,9.778,9.778,2003,0
2017-04-05,18:30:00,9.778,9.781,9.778,9.781,3180,0
2017-04-05,18:35:00,9.778,9.778,9.768,9.768,13043,0
2017-04-05,18:45:00,9.773,9.773,9.773,9.773,1003,0
2017-04-05,18:50:00,9.773,9.778,9.768,9.778,23778,0
2017-04-05,18:55:00,9.768,9.768,9.768,9.768,100,0
2017-04-05,19:10:00,9.778,9.778,9.778,9.778,1605,0
2017-04-05,19:15:00,9.775,9.775,9.775,9.775,2007,0
2017-04-05,19:20:00,9.773,9.778,9.773,9.778,7525,0
2017-04-05,19:25:00,9.773,9.773,9.771,9.771,451,0
2017-04-05,19:35:00,9.778,9.778,9.773,9.777,6359,0
2017-04-05,19:55:00,9.773,9.773,9.773,9.773,100,0
2017-04-05,20:00:00,9.768,9.778,9.768,9.773,14700,0
2017-04-05,20:05:00,9.778,9.778,9.778,9.778,100,0
2017-04-05,20:10:00,9.778,9.778,9.778,9.778,1539,0
2017-04-05,20:15:00,9.768,9.775,9.768,9.775,3491,0
2017-04-05,20:20:00,9.778,9.788,9.778,9.788,10033,0
2017-04-05,20:25:00,9.768,9.778,9.768,9.768,15049,0
2017-04-05,20:30:00,9.774,9.774,9.774,9.774,5016,0
2017-04-05,20:35:00,9.768,9.772,9.768,9.772,6536,0
2017-04-05,20:40:00,9.774,9.774,9.774,9.774,140,0
2017-04-05,20:45:00,9.773,9.773,9.773,9.773,201,0
2017-04-05,20:50:00,9.768,9.777,9.768,9.773,15416,0
2017-04-05,20:55:00,9.773,9.775,9.768,9.768,4734,0
2017-04-05,21:00:00,9.768,9.768,9.768,9.768,1600,0
2017-04-05,21:05:00,9.772,9.772,9.772,9.772,259,0
2017-04-05,21:10:00,9.773,9.778,9.773,9.778,6090,0
2017-04-05,21:15:00,9.773,9.773,9.768,9.768,4114,0
2017-04-05,21:20:00,9.77,9.778,9.77,9.778,5662,0
2017-04-05,21:25:00,9.773,9.773,9.768,9.773,1405,0
2017-04-05,21:30:00,9.768,9.768,9.768,9.768,301,0
2017-04-05,21:35:00,9.768,9.778,9.768,9.768,2356,0
2017-04-05,21:40:00,9.773,9.778,9.768,9.768,4764,0
2017-04-05,21:45:00,9.768,9.778,9.768,9.768,2207,0
2017-04-05,21:50:00,9.768,9.774,9.768,9.768,3727,0
2017-04-05,21:55:00,9.768,9.768,9.768,9.768,3110,0
2017-04-05,22:00:00,9.768,9.777,9.768,9.768,12692,0
2017-04-06,15:35:00,9.788,9.788,9.778,9.778,21164,0
2017-04-06,15:40:00,9.78,9.788,9.778,9.788,1903,0
2017-04-06,15:45:00,9.78,9.788,9.778,9.778,2709,0
2017-04-06,15:50:00,9.78,9.788,9.778,9.788,8837,0
2017-04-06,15:55:00,9.798,9.808,9.798,9.804,1906,0
2017-04-06,16:00:00,9.808,9.818,9.807,9.818,13431,0
2017-04-06,16:05:00,9.813,9.818,9.798,9.798,2252,0
2017-04-06,16:10:00,9.798,9.808,9.798,9.798,1003,0
2017-04-06,16:15:00,9.805,9.808,9.788,9.798,10434,0
2017-04-06,16:20:00,9.788,9.798,9.778,9.778,3072,0
2017-04-06,16:25:00,9.778,9.788,9.778,9.788,6321,0
2017-04-06,16:30:00,9.787,9.788,9.778,9.787,602,0
2017-04-06,16:35:00,9.778,9.788,9.778,9.788,2207,0
2017-04-06,16:40:00,9.788,9.788,9.778,9.788,502,0
2017-04-06,16:45:00,9.783,9.788,9.778,9.788,3211,0
2017-04-06,16:50:00,9.778,9.788,9.778,9.787,2107,0
2017-04-06,16:55:00,9.778,9.788,9.768,9.768,16454,0
2017-04-06,17:00:00,9.773,9.778,9.768,9.768,6505,0
2017-04-06,17:05:00,9.758,9.763,9.748,9.758,17182,0
2017-04-06,17:10:00,9.758,9.758,9.748,9.75,2415,0
2017-04-06,17:15:00,9.748,9.758,9.748,9.753,13604,0
2017-04-06,17:20:00,9.753,9.753,9.708,9.728,62254,0
2017-04-06,17:25:00,9.728,9.728,9.718,9.725,4916,0
2017-04-06,17:30:00,9.718,9.723,9.718,9.718,301,0
2017-04-06,17:35:00,9.718,9.728,9.718,9.728,2308,0
2017-04-06,17:40:00,9.728,9.728,9.718,9.718,301,0
2017-04-06,17:45:00,9.718,9.723,9.718,9.718,7174,0
2017-04-06,17:50:00,9.718,9.724,9.718,9.724,3411,0
2017-04-06,17:55:00,9.718,9.72,9.718,9.72,1336,0
2017-04-06,18:00:00,9.718,9.718,9.718,9.718,401,0
2017-04-06,18:05:00,9.723,9.728,9.723,9.728,3311,0
2017-04-06,18:15:00,9.718,9.725,9.718,9.725,1906,0
2017-04-06,18:20:00,9.727,9.728,9.723,9.723,5192,0
2017-04-06,18:25:00,9.728,9.728,9.718,9.718,602,0
2017-04-06,18:30:00,9.723,9.728,9.723,9.723,2043,0
