Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-23,15:35:00,1.71,1.73,1.69,1.69,800,0
2017-02-23,15:45:00,1.681,1.681,1.68,1.68,300,0
2017-02-23,15:55:00,1.63,1.6747,1.63,1.6747,666,0
2017-02-23,16:00:00,1.6349,1.6349,1.6349,1.6349,333,0
2017-02-23,17:30:00,1.67,1.67,1.65,1.66,3500,0
2017-02-23,18:00:00,1.66,1.66,1.66,1.66,369,0
2017-02-23,19:15:00,1.66,1.6756,1.66,1.66,3500,0
2017-02-23,19:25:00,1.6653,1.6653,1.6653,1.6653,400,0
2017-02-23,19:35:00,1.68,1.68,1.68,1.68,100,0
2017-02-23,20:35:00,1.68,1.68,1.68,1.68,100,0
2017-02-23,20:50:00,1.6779,1.6789,1.6775,1.6775,1250,0
2017-02-23,21:00:00,1.65,1.65,1.65,1.65,200,0
2017-02-23,21:15:00,1.68,1.68,1.68,1.68,100,0
2017-02-23,21:30:00,1.68,1.69,1.68,1.69,800,0
2017-02-23,21:35:00,1.6901,1.6999,1.65,1.66,14600,0
2017-02-23,21:50:00,1.68,1.7,1.68,1.7,1100,0
2017-02-23,22:00:00,1.6725,1.7,1.6725,1.7,750,0
2017-02-24,15:35:00,1.68,1.742,1.68,1.742,2220,0
2017-02-24,15:40:00,1.732,1.732,1.732,1.732,1000,0
2017-02-24,15:55:00,1.73,1.9,1.73,1.85,13880,0
2017-02-24,16:00:00,1.84,1.84,1.75,1.77,19774,0
2017-02-24,16:10:00,1.7518,1.76,1.75,1.75,2300,0
2017-02-24,16:25:00,1.75,1.75,1.7403,1.7403,470,0
2017-02-24,16:30:00,1.73,1.73,1.69,1.6995,900,0
2017-02-24,16:40:00,1.7,1.7,1.7,1.7,800,0
2017-02-24,16:55:00,1.735,1.735,1.72,1.72,1100,0
2017-02-24,17:20:00,1.72,1.72,1.72,1.72,900,0
2017-02-24,19:05:00,1.71,1.71,1.71,1.71,100,0
2017-02-24,21:05:00,1.72,1.72,1.68,1.68,300,0
2017-02-24,21:20:00,1.7093,1.7093,1.67,1.67,1600,0
2017-02-24,21:55:00,1.72,1.72,1.72,1.72,900,0
2017-02-24,22:00:00,1.71,1.72,1.71,1.72,400,0
2017-02-27,15:35:00,1.77,1.88,1.74,1.8,22980,0
2017-02-27,15:40:00,1.8,1.8247,1.8,1.8,9400,0
2017-02-27,15:50:00,1.75,1.7945,1.75,1.7945,10000,0
2017-02-27,16:10:00,1.74,1.78,1.74,1.7505,1100,0
2017-02-27,16:20:00,1.74,1.747,1.74,1.747,2700,0
2017-02-27,16:30:00,1.74,1.747,1.74,1.747,500,0
2017-02-27,16:45:00,1.74,1.74,1.74,1.74,100,0
2017-02-27,16:50:00,1.76,1.79,1.72,1.727,16500,0
2017-02-27,16:55:00,1.74,1.74,1.7265,1.74,4221,0
2017-02-27,17:00:00,1.7201,1.7201,1.72,1.72,700,0
2017-02-27,17:35:00,1.71,1.71,1.71,1.71,100,0
2017-02-27,18:10:00,1.7374,1.7374,1.7374,1.7374,1000,0
2017-02-27,18:50:00,1.71,1.71,1.71,1.71,4100,0
2017-02-27,19:00:00,1.7305,1.7305,1.7305,1.7305,143,0
2017-02-27,19:15:00,1.74,1.74,1.7372,1.7388,2700,0
