Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-22,14:35:00,6.64,6.64,6.64,6.64,100,0
2017-03-22,14:50:00,6.595,6.595,6.24,6.24,400,0
2017-03-22,15:05:00,6.2001,6.2001,6.2001,6.2001,100,0
2017-03-22,15:15:00,6.555,6.555,6.555,6.555,200,0
2017-03-22,15:20:00,6.2501,6.2501,6.2501,6.2501,100,0
2017-03-22,15:35:00,6.365,6.365,6.365,6.365,200,0
2017-03-22,15:40:00,6.3001,6.3001,6.3,6.3,300,0
2017-03-22,15:45:00,6.37,6.37,6.36,6.36,300,0
2017-03-22,15:50:00,6.35,6.35,6.35,6.35,100,0
2017-03-22,15:55:00,6.34,6.34,6.34,6.34,100,0
2017-03-22,16:00:00,6.33,6.33,6.2501,6.2501,990,0
2017-03-22,16:05:00,6.29,6.29,6.29,6.29,100,0
2017-03-22,16:15:00,6.26,6.26,6.26,6.26,100,0
2017-03-22,16:25:00,6.27,6.28,6.26,6.26,400,0
2017-03-22,16:30:00,6.26,6.2601,6.25,6.25,5900,0
2017-03-22,16:40:00,6.24,6.29,6.24,6.25,2900,0
2017-03-22,16:45:00,6.2,6.2,6.2,6.2,100,0
2017-03-22,16:50:00,6.2,6.23,6.2,6.23,300,0
2017-03-22,17:05:00,6.19,6.21,6.19,6.21,200,0
2017-03-22,17:10:00,6.21,6.24,6.19,6.22,900,0
2017-03-22,17:15:00,6.2,6.2,6.2,6.2,200,0
2017-03-22,17:20:00,6.1693,6.1693,6.1693,6.1693,145,0
2017-03-22,17:25:00,6.19,6.19,6.1601,6.1601,400,0
2017-03-22,17:55:00,6.225,6.26,6.225,6.24,700,0
2017-03-22,18:00:00,6.24,6.35,6.24,6.27,1312,0
2017-03-22,18:05:00,6.24,6.2706,6.24,6.24,550,0
2017-03-22,18:10:00,6.25,6.25,6.25,6.25,200,0
2017-03-22,18:15:00,6.28,6.28,6.28,6.28,200,0
2017-03-22,18:35:00,6.2201,6.25,6.2201,6.25,200,0
2017-03-22,18:40:00,6.25,6.25,6.25,6.25,100,0
2017-03-22,18:50:00,6.221,6.25,6.221,6.25,600,0
2017-03-22,19:05:00,6.25,6.28,6.2301,6.28,500,0
2017-03-22,19:15:00,6.25,6.25,6.25,6.25,100,0
2017-03-22,19:30:00,6.24,6.26,6.16,6.16,7350,0
2017-03-22,19:35:00,6.16,6.37,6.16,6.34,20700,0
2017-03-22,19:40:00,6.33,6.49,6.32,6.33,19500,0
2017-03-22,19:50:00,6.3,6.3,6.16,6.21,3405,0
2017-03-22,19:55:00,6.23,6.3,6.23,6.3,600,0
2017-03-22,20:00:00,6.2805,6.32,6.2201,6.3,2720,0
2017-03-22,20:05:00,6.25,6.26,6.25,6.26,1200,0
2017-03-22,20:10:00,6.255,6.31,6.23,6.31,800,0
2017-03-22,20:15:00,6.23,6.23,6.23,6.23,100,0
2017-03-22,20:25:00,6.32,6.32,6.23,6.23,200,0
2017-03-22,20:30:00,6.23,6.23,6.21,6.21,2400,0
2017-03-22,20:35:00,6.2172,6.22,6.21,6.21,1400,0
2017-03-22,20:40:00,6.22,6.2325,6.19,6.226,3700,0
2017-03-22,20:45:00,6.2,6.33,6.2,6.33,4900,0
2017-03-22,20:50:00,6.33,6.39,6.28,6.296,14763,0
2017-03-22,20:55:00,6.32,6.45,6.3,6.45,2100,0
2017-03-22,21:00:00,6.4125,6.43,6.3,6.3,6379,0
2017-03-23,14:45:00,6.27,6.27,6.27,6.27,100,0
2017-03-23,15:15:00,6.3,6.3,6.3,6.3,100,0
2017-03-23,15:25:00,6.36,6.36,6.341,6.341,336,0
2017-03-23,15:30:00,6.33,6.35,6.33,6.35,300,0
2017-03-23,15:35:00,6.3,6.34,6.3,6.33,1200,0
2017-03-23,15:40:00,6.325,6.325,6.325,6.325,100,0
2017-03-23,15:50:00,6.3,6.32,6.23,6.32,13164,0
2017-03-23,15:55:00,6.33,6.36,6.28,6.28,1213,0
2017-03-23,16:05:00,6.28,6.31,6.22,6.29,1100,0
2017-03-23,16:10:00,6.27,6.28,6.25,6.27,1200,0
2017-03-23,16:15:00,6.27,6.31,6.27,6.28,400,0
2017-03-23,16:20:00,6.27,6.27,6.27,6.27,200,0
2017-03-23,16:25:00,6.28,6.29,6.26,6.29,400,0
2017-03-23,16:35:00,6.29,6.29,6.29,6.29,600,0
2017-03-23,16:40:00,6.29,6.29,6.29,6.29,100,0
2017-03-23,16:45:00,6.31,6.32,6.31,6.32,1600,0
2017-03-23,16:50:00,6.3201,6.3201,6.28,6.28,300,0
2017-03-23,16:55:00,6.28,6.3,6.28,6.3,200,0
2017-03-23,17:05:00,6.265,6.265,6.26,6.26,600,0
2017-03-23,17:10:00,6.25,6.34,6.24,6.33,2500,0
2017-03-23,17:15:00,6.39,6.445,6.39,6.41,1100,0
2017-03-23,17:20:00,6.42,6.49,6.39,6.4,16642,0
2017-03-23,17:25:00,6.41,6.43,6.36,6.38,8700,0
2017-03-23,17:30:00,6.36,6.36,6.36,6.36,100,0
