Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-11-08,22:00:00,0.1,0.1,0.1,0.1,100,0
2016-11-09,16:05:00,0.16,0.16,0.16,0.16,100,0
2016-11-09,16:10:00,0.16,0.16,0.16,0.16,100,0
2016-11-09,17:45:00,0.16,0.16,0.16,0.16,15000,0
2016-11-14,22:00:00,0.16,0.16,0.1599,0.16,5000,0
2016-11-21,15:35:00,0.1287,0.1287,0.1287,0.1287,2500,0
2016-11-21,15:45:00,0.1161,0.1161,0.1159,0.1159,11600,0
2016-11-25,19:00:00,0.1273,0.1273,0.1273,0.1273,100,0
2016-12-02,18:20:00,0.1035,0.11,0.1035,0.11,200,0
2016-12-06,16:50:00,0.1,0.1,0.1,0.1,200,0
2016-12-06,17:25:00,0.11,0.11,0.11,0.11,100,0
2016-12-06,20:10:00,0.1001,0.1016,0.1001,0.1016,7000,0
2016-12-13,18:40:00,0.11,0.11,0.1097,0.1097,200,0
2016-12-13,19:00:00,0.132,0.132,0.1318,0.1318,600,0
2016-12-13,19:20:00,0.143,0.143,0.1429,0.1429,800,0
2016-12-14,16:15:00,0.16,0.16,0.16,0.16,100,0
2016-12-14,21:20:00,0.16,0.16,0.16,0.16,100,0
2016-12-15,22:00:00,0.16,0.16,0.16,0.16,100,0
2016-12-20,15:35:00,0.2,0.208,0.2,0.208,41018,0
2016-12-20,15:40:00,0.2493,0.2493,0.2493,0.2493,15300,0
2016-12-20,15:55:00,0.26,0.26,0.25,0.25,61425,0
2016-12-20,16:05:00,0.252,0.252,0.251,0.251,9147,0
2016-12-20,16:10:00,0.301,0.324,0.301,0.324,1300,0
2016-12-20,16:20:00,0.3611,0.43,0.3611,0.43,19647,0
2016-12-20,16:25:00,0.43,0.4599,0.43,0.4599,6150,0
2016-12-20,16:30:00,0.4599,0.4599,0.4599,0.4599,800,0
2016-12-20,16:35:00,0.4599,0.4599,0.4499,0.4499,900,0
2016-12-20,16:40:00,0.4499,0.4499,0.4499,0.4499,800,0
2016-12-20,16:45:00,0.4499,0.4499,0.4499,0.4499,100,0
2016-12-20,16:50:00,0.43,0.43,0.43,0.43,24000,0
2016-12-20,17:05:00,0.361,0.361,0.361,0.361,2000,0
2016-12-20,17:15:00,0.3499,0.36,0.3499,0.36,1900,0
2016-12-20,17:25:00,0.36,0.3601,0.36,0.36,4299,0
2016-12-20,17:30:00,0.36,0.36,0.36,0.36,4800,0
2016-12-20,18:15:00,0.36,0.37,0.36,0.37,9849,0
2016-12-20,19:00:00,0.35,0.35,0.35,0.35,1150,0
2016-12-20,19:30:00,0.35,0.35,0.35,0.35,4335,0
2016-12-20,19:35:00,0.35,0.35,0.35,0.35,10000,0
2016-12-20,19:55:00,0.3484,0.35,0.3484,0.35,20000,0
2016-12-20,21:30:00,0.35,0.385,0.35,0.35,17496,0
2016-12-20,21:35:00,0.35,0.35,0.35,0.35,3502,0
2016-12-20,21:55:00,0.3301,0.3301,0.302,0.302,30000,0
2016-12-20,22:00:00,0.302,0.35,0.301,0.35,20200,0
2016-12-21,15:45:00,0.36,0.36,0.36,0.36,1371,0
2016-12-21,15:50:00,0.3523,0.3523,0.3523,0.3523,5000,0
2016-12-21,16:30:00,0.35,0.3501,0.35,0.3501,8028,0
2016-12-21,16:35:00,0.3501,0.3501,0.35,0.35,10000,0
2016-12-21,16:45:00,0.39,0.39,0.39,0.39,2000,0
2016-12-21,16:50:00,0.39,0.39,0.3501,0.3501,18000,0
2016-12-21,17:05:00,0.39,0.4,0.3899,0.4,16000,0
2016-12-21,17:40:00,0.391,0.391,0.37,0.37,5600,0
2016-12-21,17:50:00,0.37,0.37,0.37,0.37,200,0
2016-12-21,20:10:00,0.36,0.36,0.36,0.36,100,0
2016-12-21,21:55:00,0.36,0.37,0.36,0.36,5200,0
2016-12-22,15:35:00,0.36,0.36,0.36,0.36,1371,0
2016-12-22,15:50:00,0.36,0.36,0.36,0.36,3900,0
2016-12-22,16:00:00,0.36,0.36,0.36,0.36,5600,0
2016-12-22,16:10:00,0.36,0.36,0.36,0.36,500,0
2016-12-22,16:20:00,0.37,0.37,0.36,0.36,7500,0
2016-12-22,16:35:00,0.35,0.3501,0.35,0.3501,15000,0
2016-12-22,16:40:00,0.35,0.35,0.35,0.35,300,0
2016-12-22,17:15:00,0.35,0.35,0.35,0.35,300,0
