Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-08,15:35:00,23.738,23.738,23.738,23.738,426,0
2016-12-08,15:50:00,23.512,23.724,23.512,23.701,849,0
2016-12-08,16:20:00,23.738,23.738,23.703,23.738,860,0
2016-12-08,16:25:00,23.803,23.803,23.668,23.697,2042,0
2016-12-08,17:35:00,23.719,23.719,23.71,23.71,212,0
2016-12-08,19:00:00,23.832,23.832,23.832,23.832,106,0
2016-12-08,20:15:00,23.781,23.784,23.704,23.704,1958,0
2016-12-08,21:35:00,23.752,23.769,23.73,23.73,478,0
2016-12-08,22:00:00,23.72,23.72,23.72,23.72,132,0
2016-12-09,15:35:00,23.917,23.917,23.917,23.917,1513,0
2016-12-09,15:45:00,24.017,24.017,24.017,24.017,106,0
2016-12-09,16:05:00,24.056,24.056,24.056,24.056,532,0
2016-12-09,17:05:00,24.02,24.03,24.02,24.03,212,0
2016-12-09,17:25:00,24.075,24.362,24.075,24.362,769,0
2016-12-09,17:35:00,24.178,24.178,24.178,24.178,110,0
2016-12-09,17:50:00,23.879,24.183,23.879,24.183,2123,0
2016-12-09,18:45:00,23.945,24.017,23.926,23.926,1062,0
2016-12-09,18:50:00,24.145,24.145,24.145,24.145,425,0
2016-12-09,19:10:00,24.362,24.362,24.362,24.362,212,0
2016-12-09,19:40:00,24.3,24.3,24.168,24.168,1062,0
2016-12-09,20:15:00,24.162,24.162,24.162,24.162,212,0
2016-12-09,20:20:00,24.162,24.162,24.162,24.162,106,0
2016-12-09,21:05:00,24.12,24.12,24.12,24.12,106,0
2016-12-09,21:10:00,24.157,24.157,24.157,24.157,318,0
2016-12-09,21:25:00,24.162,24.162,24.162,24.162,106,0
2016-12-09,21:50:00,24.162,24.162,24.133,24.133,637,0
2016-12-09,22:00:00,24.152,24.153,24.15,24.15,318,0
2016-12-12,16:10:00,24.436,24.436,24.304,24.304,212,0
2016-12-12,16:25:00,24.256,24.278,24.256,24.278,531,0
2016-12-12,16:30:00,24.301,24.301,24.301,24.301,106,0
2016-12-12,16:40:00,24.287,24.287,24.287,24.287,425,0
2016-12-12,16:50:00,24.218,24.218,24.218,24.218,212,0
2016-12-12,18:40:00,24.301,24.301,24.301,24.301,212,0
2016-12-12,20:40:00,24.2,24.313,24.2,24.313,21763,0
2016-12-12,21:45:00,24.316,24.316,24.115,24.115,3774,0
2016-12-13,15:35:00,24.492,24.492,24.492,24.492,212,0
2016-12-13,15:50:00,24.304,24.304,24.304,24.304,106,0
2016-12-13,16:00:00,24.456,24.456,24.456,24.456,531,0
2016-12-13,16:10:00,24.322,24.322,24.322,24.322,106,0
2016-12-13,16:40:00,24.483,24.483,24.446,24.456,478,0
