Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-09-19,15:35:00,26.12,26.12,26.12,26.12,1000,0
2016-09-19,17:05:00,26.09,26.25,26.09,26.17,1200,0
2016-09-19,20:15:00,26.17,26.17,26.17,26.17,400,0
2016-09-19,21:00:00,26.161,26.161,26.161,26.161,140,0
2016-09-19,21:05:00,26.1546,26.1546,26.1546,26.1546,140,0
2016-09-19,21:35:00,26.16,26.16,26.16,26.16,1100,0
2016-09-19,21:50:00,26.18,26.18,26.18,26.18,100,0
2016-09-20,15:35:00,26.05,26.05,26.05,26.05,2184,0
2016-09-20,15:40:00,26.07,26.07,26.01,26.01,2057,0
2016-09-20,16:00:00,26.02,26.02,26.02,26.02,100,0
2016-09-20,16:10:00,26.17,26.17,26.14,26.14,200,0
2016-09-20,17:45:00,26.1886,26.1886,26.1886,26.1886,147,0
2016-09-20,18:50:00,26.085,26.13,26.085,26.13,500,0
2016-09-20,18:55:00,26.13,26.14,26.1001,26.1001,900,0
2016-09-20,19:00:00,26.13,26.13,26.09,26.09,900,0
2016-09-20,19:20:00,26.0801,26.1,26.0801,26.1,360,0
2016-09-20,19:25:00,26.06,26.08,26.05,26.05,650,0
2016-09-20,21:40:00,26.23,26.23,26.23,26.23,100,0
2016-09-20,21:50:00,26.23,26.23,26.23,26.23,100,0
2016-09-21,16:05:00,26.32,26.33,26.32,26.33,300,0
2016-09-21,16:10:00,26.17,26.17,26.09,26.091,800,0
2016-09-21,17:45:00,26.25,26.25,26.25,26.25,2783,0
2016-09-21,19:25:00,26.0901,26.0901,26.0901,26.0901,500,0
2016-09-21,19:30:00,26.2352,26.2352,26.2352,26.2352,101,0
2016-09-21,19:45:00,26.09,26.09,26.09,26.09,170,0
2016-09-21,19:55:00,26.06,26.11,26,26,1050,0
2016-09-22,16:25:00,26.41,26.41,26.41,26.41,900,0
2016-09-22,16:45:00,26.4,26.5,26.19,26.43,5577,0
2016-09-22,16:50:00,26.64,26.66,26.59,26.66,6170,0
2016-09-22,17:55:00,26.23,26.2692,26.21,26.2692,600,0
2016-09-22,21:55:00,26.48,26.49,26.48,26.49,400,0
2016-09-22,22:00:00,26.47,26.49,26.47,26.49,1400,0
2016-09-23,15:35:00,26.5,26.5,26.43,26.43,600,0
2016-09-23,16:30:00,26.2,26.26,26.2,26.2,2000,0
2016-09-23,16:55:00,26.22,26.23,26.22,26.23,300,0
2016-09-23,17:20:00,26.5,26.5,26.5,26.5,172,0
2016-09-23,20:25:00,26.25,26.3085,26.25,26.3085,200,0
2016-09-23,22:00:00,26.25,26.3,26.24,26.3,1047,0
2016-09-26,17:55:00,26.2623,26.2623,26.2623,26.2623,190,0
2016-09-26,19:35:00,26.29,26.35,26.29,26.35,400,0
2016-09-26,19:40:00,26.33,26.33,26.33,26.33,300,0
2016-09-27,16:00:00,26.21,26.21,26.21,26.21,200,0
2016-09-27,16:30:00,26.21,26.27,26.21,26.27,9505,0
2016-09-27,16:35:00,26.13,26.21,26.13,26.21,200,0
2016-09-27,17:00:00,26.21,26.21,26.21,26.21,100,0
2016-09-27,17:50:00,26.1523,26.1523,26.1523,26.1523,165,0
2016-09-27,18:50:00,26.16,26.16,26.16,26.16,200,0
2016-09-27,20:10:00,26.2604,26.2604,26.2604,26.2604,176,0
2016-09-27,20:15:00,26.2073,26.2144,26.2073,26.2144,770,0
2016-09-27,21:20:00,26.17,26.17,26.17,26.17,100,0
2016-09-28,15:35:00,25.87,25.87,25.74,25.74,2280,0
2016-09-28,15:50:00,25.8699,25.8699,25.8699,25.8699,181,0
2016-09-28,18:50:00,25.86,25.87,25.86,25.87,200,0
2016-09-28,20:10:00,26.0012,26.0012,26.0012,26.0012,127,0
2016-09-29,15:35:00,25.93,25.93,25.93,25.93,100,0
2016-09-29,16:10:00,25.9,25.958,25.9,25.958,1000,0
2016-09-29,17:55:00,26.318,26.318,26.318,26.318,113,0
2016-09-29,19:55:00,26.1128,26.1128,26.1128,26.1128,106,0
2016-09-29,20:00:00,25.95,25.95,25.95,25.95,100,0
2016-09-29,20:20:00,25.9618,25.9618,25.9618,25.9618,455,0
2016-09-29,21:00:00,25.95,25.95,25.95,25.95,200,0
2016-09-30,17:15:00,25.85,25.85,25.85,25.85,450,0
2016-09-30,18:55:00,25.91,25.91,25.75,25.9,11077,0
2016-09-30,19:00:00,25.9,26.0045,25.9,26.0045,531,0
2016-09-30,20:30:00,25.9502,25.9502,25.9502,25.9502,340,0
2016-09-30,22:00:00,25.9,25.9,25.9,25.9,200,0
2016-10-03,16:20:00,25.81,25.8981,25.81,25.8981,500,0
2016-10-03,17:05:00,25.85,25.85,25.83,25.83,498,0
2016-10-03,18:10:00,26.0659,26.0659,26.0659,26.0659,333,0
2016-10-03,18:55:00,25.87,25.87,25.87,25.87,100,0
2016-10-03,19:55:00,26.1095,26.1095,26.1095,26.1095,162,0
2016-10-04,15:35:00,25.9,25.9,25.9,25.9,209,0
2016-10-04,15:40:00,25.95,25.95,25.95,25.95,7867,0
2016-10-04,17:55:00,26.07,26.21,26.07,26.1299,4000,0
2016-10-04,18:30:00,25.9001,25.9001,25.9001,25.9001,200,0
2016-10-04,18:50:00,26.24,26.24,26.24,26.24,188,0
2016-10-04,19:05:00,26,26,26,26,865,0
2016-10-04,19:15:00,26.1,26.1,26.1,26.1,100,0
2016-10-04,20:50:00,26.14,26.2,26.14,26.2,412,0
2016-10-05,20:25:00,25.79,25.79,25.79,25.79,476,0
2016-10-05,21:10:00,26.1799,26.1799,26.1799,26.1799,100,0
2016-10-06,21:20:00,25.8,25.8,25.8,25.8,4325,0
2016-10-07,18:40:00,25.8223,25.8223,25.8223,25.8223,135,0
2016-10-07,19:10:00,25.69,25.7,25.69,25.7,200,0
2016-10-10,19:25:00,25.8,25.8,25.8,25.8,250,0
2016-10-11,16:40:00,26.139,26.139,26.139,26.139,100,0
2016-10-11,19:55:00,25.9868,25.9868,25.9868,25.9868,207,0
2016-10-12,15:35:00,25.9,25.9,25.9,25.9,286,0
2016-10-12,16:35:00,25.85,25.85,25.85,25.85,100,0
2016-10-12,18:15:00,25.7475,25.7475,25.7475,25.7475,172,0
2016-10-12,19:00:00,25.7,25.7,25.7,25.7,100,0
2016-10-12,20:20:00,25.7,25.7,25.7,25.7,600,0
2016-10-12,22:00:00,25.7,25.7,25.7,25.7,100,0
2016-10-13,16:45:00,25.63,25.63,25.6,25.6,500,0
2016-10-13,17:30:00,25.6,25.6,25.6,25.6,700,0
2016-10-13,18:45:00,25.711,25.711,25.71,25.71,560,0
2016-10-13,20:25:00,25.64,25.6785,25.64,25.6495,827,0
2016-10-13,21:00:00,25.6101,25.65,25.6101,25.65,333,0
2016-10-13,21:10:00,25.65,25.65,25.65,25.65,4043,0
2016-10-13,21:30:00,25.65,25.65,25.65,25.65,100,0
2016-10-14,16:00:00,25.61,25.61,25.61,25.61,192,0
2016-10-14,16:20:00,25.6993,25.6993,25.6993,25.6993,250,0
2016-10-14,19:20:00,25.71,25.7101,25.71,25.7101,1000,0
2016-10-14,22:00:00,25.799,25.799,25.72,25.72,224,0
2016-10-17,15:35:00,25.8,25.8,25.8,25.8,383,0
2016-10-17,16:35:00,25.85,25.85,25.85,25.85,804,0
2016-10-17,17:30:00,25.85,25.85,25.85,25.85,200,0
2016-10-17,18:20:00,25.913,25.913,25.913,25.913,414,0
2016-10-17,19:25:00,25.94,25.94,25.94,25.94,218,0
2016-10-17,19:45:00,25.86,25.86,25.86,25.86,100,0
2016-10-17,20:30:00,25.861,25.861,25.86,25.8608,500,0
2016-10-17,20:35:00,25.85,25.85,25.85,25.85,200,0
2016-10-17,20:55:00,25.85,25.85,25.85,25.85,100,0
2016-10-17,21:10:00,25.85,25.85,25.85,25.85,100,0
2016-10-17,21:30:00,25.85,25.85,25.83,25.85,436,0
2016-10-17,21:55:00,25.85,25.85,25.85,25.85,146,0
2016-10-17,22:00:00,25.85,25.85,25.85,25.85,100,0
2016-10-18,15:35:00,25.84,25.84,25.84,25.84,100,0
2016-10-18,16:05:00,26.086,26.086,26.086,26.086,313,0
2016-10-18,17:45:00,26.0014,26.0014,26.0014,26.0014,105,0
2016-10-18,18:00:00,26.08,26.08,26.08,26.08,174,0
2016-10-18,20:35:00,25.9,25.9,25.9,25.9,150,0
2016-10-18,20:50:00,25.95,25.95,25.95,25.95,200,0
2016-10-18,21:20:00,25.88,25.895,25.8501,25.8501,2190,0
2016-10-18,21:25:00,25.87,25.9,25.87,25.9,200,0
2016-10-19,16:30:00,25.9,25.9,25.9,25.9,300,0
2016-10-19,16:40:00,25.9,25.9,25.9,25.9,200,0
2016-10-19,16:45:00,25.9,25.9,25.9,25.9,200,0
2016-10-19,19:40:00,25.9,25.9,25.9,25.9,400,0
2016-10-19,20:30:00,25.9,25.9,25.9,25.9,600,0
2016-10-19,21:15:00,25.9,25.9,25.9,25.9,300,0
2016-10-20,19:55:00,26.047,26.047,26.047,26.047,155,0
2016-10-21,15:35:00,26.09,26.09,26.09,26.09,213,0
2016-10-21,17:40:00,25.673,25.673,25.673,25.673,225,0
2016-10-21,19:35:00,26.0467,26.0467,26.0467,26.0467,190,0
