Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-04-21,21:00:00,21.268,21.268,21.268,21.268,104,0
2016-04-22,15:35:00,21.33,21.33,21.33,21.33,526,0
2016-04-22,16:10:00,21.146,21.146,21.107,21.107,925,0
2016-04-22,16:15:00,21.04,21.062,21.04,21.062,518,0
2016-04-22,16:20:00,20.991,21.07,20.991,21.07,311,0
2016-04-22,16:25:00,20.991,20.991,20.847,20.917,518,0
2016-04-22,16:30:00,20.895,20.924,20.821,20.821,1244,0
2016-04-22,16:50:00,21.272,21.272,21.272,21.272,104,0
2016-04-22,22:00:00,20.991,20.991,20.991,20.991,104,0
2016-04-25,16:50:00,21.234,21.234,21.234,21.234,518,0
2016-04-26,16:55:00,21.234,21.234,21.231,21.231,1520,0
2016-04-26,19:25:00,21.234,21.234,21.088,21.088,829,0
2016-04-26,22:00:00,21.224,21.224,21.224,21.224,104,0
2016-04-27,15:35:00,21.73,21.73,21.73,21.73,255,0
2016-04-27,16:10:00,21.243,21.243,20.853,20.853,2624,0
2016-04-27,16:40:00,21.779,21.779,21.331,21.331,616,0
2016-05-02,18:25:00,20.912,20.999,20.912,20.999,2431,0
2016-05-02,19:35:00,20.979,20.979,20.853,20.976,1950,0
2016-05-02,19:40:00,20.951,20.951,20.951,20.951,103,0
2016-05-03,22:00:00,21.243,21.243,21.243,21.243,513,0
2016-05-04,15:35:00,20.931,20.931,20.931,20.931,420,0
2016-05-04,17:15:00,21.068,21.068,21.068,21.068,103,0
2016-05-04,17:35:00,21.379,21.379,21.379,21.379,103,0
2016-05-04,22:00:00,20.999,20.999,20.999,20.999,513,0
2016-05-05,15:35:00,21.341,21.341,21.341,21.341,330,0
2016-05-05,16:50:00,21.408,21.408,21.408,21.408,190,0
2016-05-05,17:00:00,21.058,21.058,21.058,21.058,103,0
2016-05-05,21:15:00,21.301,21.301,21.301,21.301,103,0
2016-05-06,16:10:00,21.291,21.291,21.291,21.291,103,0
2016-05-06,17:05:00,21.438,21.438,21.438,21.438,103,0
2016-05-06,17:55:00,21.388,21.388,21.388,21.388,461,0
2016-05-06,20:25:00,21.351,21.351,21.351,21.351,512,0
2016-05-09,16:15:00,21.351,21.351,21.351,21.351,103,0
2016-05-09,19:40:00,21.428,21.428,21.428,21.428,206,0
2016-05-10,15:35:00,21.535,21.535,21.291,21.291,555,0
2016-05-10,16:30:00,21.37,21.37,21.37,21.37,103,0
2016-05-10,19:35:00,21.73,21.73,21.73,21.73,17716,0
2016-05-10,21:35:00,21.877,21.905,21.877,21.905,308,0
2016-05-11,16:05:00,21.611,21.611,21.611,21.611,188,0
2016-05-11,16:45:00,21.175,21.25,21.165,21.25,513,0
2016-05-11,18:00:00,21.341,21.341,21.341,21.341,236,0
2016-05-11,18:50:00,21.613,21.779,21.613,21.779,206,0
2016-05-11,20:10:00,21.808,21.808,21.808,21.808,103,0
2016-05-12,19:05:00,22.03,22.03,22.03,22.03,308,0
2016-05-12,21:10:00,21.633,21.633,21.633,21.633,103,0
2016-05-13,17:05:00,21.341,21.535,21.341,21.535,206,0
2016-05-17,18:25:00,22.023,22.023,22.023,22.023,103,0
2016-05-17,18:55:00,21.194,21.194,21.194,21.194,103,0
2016-05-17,20:05:00,21.964,21.964,21.964,21.964,103,0
2016-05-17,21:45:00,21.565,21.565,21.565,21.565,103,0
2016-05-17,22:00:00,21.321,21.321,21.321,21.321,148,0
2016-05-18,15:35:00,21.613,21.613,21.613,21.613,103,0
2016-05-18,16:20:00,21.311,21.311,21.311,21.311,103,0
2016-05-18,18:25:00,21.416,21.416,21.416,21.416,206,0
2016-05-19,15:35:00,21.408,21.408,21.408,21.408,103,0
2016-05-20,16:25:00,21.194,21.194,21.194,21.194,214,0
2016-05-20,16:30:00,21.7,22.071,21.7,22.071,2336,0
2016-05-20,16:45:00,22.023,22.023,21.727,21.727,718,0
2016-05-20,22:00:00,21.301,21.301,21.301,21.301,107,0
2016-05-23,17:40:00,21.301,21.301,21.301,21.301,103,0
2016-05-23,18:05:00,21.59,21.59,21.59,21.59,106,0
2016-05-23,19:00:00,21.194,21.194,21.194,21.194,103,0
2016-05-23,19:40:00,21.414,21.414,21.414,21.414,195,0
2016-05-25,15:55:00,21.857,21.857,21.73,21.73,411,0
2016-05-25,16:50:00,21.73,21.73,21.73,21.73,103,0
2016-05-25,20:15:00,21.048,21.048,21.048,21.048,486,0
2016-05-25,21:35:00,21.438,21.438,21.438,21.438,308,0
2016-05-26,18:35:00,21.224,21.224,21.214,21.214,308,0
2016-05-26,18:40:00,21.243,21.262,21.243,21.262,514,0
2016-05-26,18:45:00,21.291,21.682,21.291,21.682,1641,0
2016-05-26,18:50:00,21.545,21.545,21.428,21.515,616,0
2016-05-26,18:55:00,21.341,21.341,21.252,21.252,616,0
2016-05-26,19:00:00,21.331,21.331,21.311,21.311,1539,0
2016-05-26,19:05:00,21.291,21.428,21.291,21.428,206,0
2016-05-26,19:10:00,21.291,21.448,21.291,21.448,206,0
2016-05-26,19:15:00,21.321,21.321,21.321,21.321,103,0
2016-05-26,19:20:00,21.428,21.428,21.321,21.321,206,0
2016-05-26,19:25:00,21.496,21.496,21.408,21.408,308,0
2016-05-26,19:30:00,21.341,21.341,21.341,21.341,103,0
2016-05-26,19:45:00,21.418,21.418,21.37,21.37,206,0
2016-05-26,20:35:00,21.388,21.428,21.311,21.408,616,0
2016-05-26,20:40:00,21.491,21.491,21.491,21.491,103,0
2016-05-26,20:45:00,21.388,21.487,21.388,21.418,821,0
2016-05-26,20:50:00,21.418,21.438,21.418,21.438,206,0
2016-05-26,21:30:00,21.903,21.903,21.903,21.903,513,0
2016-05-27,19:40:00,21.623,21.623,21.448,21.448,718,0
2016-05-27,19:45:00,21.341,21.487,21.341,21.398,3797,0
2016-05-27,19:50:00,21.555,21.633,21.341,21.37,2668,0
2016-05-31,16:00:00,21.513,21.513,21.513,21.513,103,0
2016-05-31,16:50:00,21.974,21.974,21.974,21.974,103,0
2016-05-31,18:35:00,21.877,21.877,21.877,21.877,103,0
2016-05-31,20:10:00,21.877,21.877,21.877,21.877,103,0
2016-05-31,22:00:00,21.71,21.71,21.71,21.71,103,0
2016-06-01,15:35:00,21.048,21.048,21.048,21.048,256,0
2016-06-01,18:25:00,20.999,20.999,20.999,20.999,533,0
2016-06-02,17:05:00,21.243,21.291,21.243,21.291,1744,0
2016-06-02,17:10:00,21.321,21.321,21.321,21.321,1539,0
2016-06-02,17:20:00,21.555,21.555,21.428,21.438,2360,0
2016-06-02,17:30:00,21.388,21.388,21.388,21.388,103,0
2016-06-02,17:35:00,21.438,21.438,21.438,21.438,103,0
2016-06-02,22:00:00,21.155,21.165,21.126,21.165,363,0
2016-06-03,15:35:00,21.194,21.194,21.194,21.194,103,0
2016-06-03,16:10:00,21.145,21.145,21.145,21.145,103,0
2016-06-03,16:30:00,21.321,21.321,21.321,21.321,103,0
2016-06-03,17:00:00,21.73,21.73,21.73,21.73,103,0
2016-06-03,17:10:00,21.91,21.91,21.878,21.878,206,0
2016-06-03,17:15:00,21.442,21.442,21.442,21.442,461,0
2016-06-03,18:25:00,21.291,21.291,21.194,21.194,513,0
2016-06-03,18:45:00,21.184,21.184,21.165,21.165,513,0
2016-06-03,18:50:00,21.165,21.165,21.165,21.165,206,0
2016-06-03,18:55:00,21.165,21.165,21.165,21.165,308,0
2016-06-03,19:15:00,21.165,21.194,21.165,21.194,448,0
