Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-06,15:35:00,4.35,4.35,4.35,4.35,200,0
2016-12-06,15:55:00,4.4,4.4,4.4,4.4,100,0
2016-12-06,16:05:00,4.35,4.35,4.35,4.35,400,0
2016-12-06,17:55:00,4.45,4.45,4.45,4.45,234,0
2016-12-06,20:00:00,4.386,4.386,4.386,4.386,135,0
2016-12-06,20:05:00,4.4,4.4,4.4,4.4,300,0
2016-12-06,20:30:00,4.43,4.43,4.43,4.43,500,0
2016-12-06,21:20:00,4.43,4.43,4.43,4.43,100,0
2016-12-07,18:30:00,4.45,4.45,4.35,4.35,1000,0
2016-12-07,18:35:00,4.35,4.35,4.35,4.35,1400,0
2016-12-07,18:40:00,4.4,4.4,4.4,4.4,1000,0
2016-12-07,19:55:00,4.44,4.44,4.44,4.44,100,0
2016-12-07,22:00:00,4.35,4.35,4.35,4.35,209,0
2016-12-08,15:35:00,4.45,4.45,4.45,4.45,100,0
2016-12-08,17:55:00,4.5,4.5,4.5,4.5,171,0
2016-12-08,18:05:00,4.45,4.45,4.45,4.45,100,0
2016-12-08,20:25:00,4.45,4.45,4.45,4.45,700,0
2016-12-08,20:40:00,4.49,4.49,4.49,4.49,500,0
2016-12-08,21:00:00,4.5,4.55,4.495,4.55,9258,0
2016-12-08,21:05:00,4.55,4.65,4.55,4.65,1754,0
2016-12-08,21:15:00,4.55,4.55,4.55,4.55,300,0
2016-12-08,21:20:00,4.5,4.5,4.45,4.45,1100,0
2016-12-08,21:35:00,4.5,4.5,4.5,4.5,200,0
2016-12-08,22:00:00,4.6,4.6,4.45,4.45,395,0
2016-12-09,15:45:00,4.555,4.555,4.555,4.555,700,0
2016-12-09,15:50:00,4.5802,4.5802,4.5802,4.5802,792,0
2016-12-09,15:55:00,4.7313,4.7313,4.7,4.705,1000,0
2016-12-09,16:05:00,4.7,4.705,4.5,4.5,992,0
2016-12-09,16:15:00,4.5,4.5,4.5,4.5,100,0
2016-12-09,16:20:00,4.5,4.5,4.5,4.5,100,0
2016-12-09,16:40:00,4.5,4.5,4.5,4.5,1500,0
2016-12-09,16:55:00,4.5,4.5,4.5,4.5,990,0
2016-12-09,17:05:00,4.5,4.5,4.5,4.5,100,0
2016-12-09,17:55:00,4.5,4.5,4.5,4.5,200,0
2016-12-09,19:10:00,4.5,4.5,4.5,4.5,2400,0
2016-12-09,19:45:00,4.5,4.5,4.5,4.5,800,0
2016-12-09,21:25:00,4.55,4.55,4.55,4.55,500,0
2016-12-09,21:55:00,4.4,4.4,4.4,4.4,100,0
2016-12-09,22:00:00,4.484,4.484,4.484,4.484,100,0
2016-12-12,15:35:00,4.35,4.35,4.25,4.25,1129,0
2016-12-12,16:15:00,4.5,4.5,4.5,4.5,500,0
2016-12-12,17:05:00,4.5,4.5,4.355,4.355,3800,0
2016-12-12,17:30:00,4.6,4.6,4.58,4.58,1000,0
2016-12-12,17:35:00,4.55,4.55,4.55,4.55,100,0
2016-12-12,18:10:00,4.57,4.57,4.57,4.57,1000,0
2016-12-12,19:20:00,4.6,4.6725,4.6,4.6725,4200,0
2016-12-12,19:30:00,4.66,4.66,4.65,4.65,2100,0
2016-12-12,19:35:00,4.65,4.65,4.65,4.65,100,0
2016-12-12,19:40:00,4.65,4.65,4.65,4.65,100,0
2016-12-12,22:00:00,4.6,4.6,4.6,4.6,129,0
2016-12-13,17:25:00,4.65,4.65,4.65,4.65,100,0
2016-12-14,15:35:00,4.6,4.65,4.6,4.65,515,0
2016-12-14,15:40:00,4.65,4.65,4.65,4.65,100,0
2016-12-14,15:45:00,4.65,4.65,4.65,4.65,100,0
2016-12-14,15:55:00,4.6432,4.65,4.6432,4.65,1698,0
2016-12-14,16:00:00,4.6,4.65,4.55,4.65,3500,0
2016-12-14,16:20:00,4.55,4.55,4.55,4.55,400,0
2016-12-14,17:05:00,4.55,4.55,4.55,4.55,100,0
2016-12-14,17:55:00,4.55,4.55,4.525,4.525,300,0
2016-12-14,21:30:00,4.55,4.55,4.55,4.55,200,0
2016-12-14,21:40:00,4.505,4.505,4.505,4.505,1000,0
2016-12-14,21:50:00,4.5,4.5,4.5,4.5,1710,0
2016-12-14,21:55:00,4.5,4.5,4.5,4.5,300,0
2016-12-14,22:00:00,4.5,4.5,4.5,4.5,285,0
2016-12-15,16:55:00,4.5,4.5,4.5,4.5,250,0
2016-12-15,17:35:00,4.45,4.45,4.45,4.45,200,0
2016-12-15,21:15:00,4.4595,4.4595,4.4595,4.4595,200,0
2016-12-15,21:55:00,4.545,4.545,4.45,4.45,1099,0
2016-12-15,22:00:00,4.45,4.55,4.45,4.55,500,0
2016-12-16,19:15:00,4.418,4.418,4.418,4.418,1200,0
2016-12-16,20:45:00,4.55,4.55,4.5,4.5,3400,0
2016-12-16,21:55:00,4.55,4.55,4.5,4.5,1800,0
2016-12-16,22:00:00,4.45,4.5,4.4,4.5,3161,0
2016-12-19,16:05:00,4.67,4.67,4.6,4.621,800,0
2016-12-19,16:20:00,4.625,4.65,4.625,4.65,400,0
2016-12-19,16:25:00,4.65,4.65,4.5619,4.5619,350,0
2016-12-19,18:20:00,4.6,4.65,4.6,4.65,868,0
2016-12-19,18:35:00,4.65,4.65,4.65,4.65,100,0
2016-12-19,19:00:00,4.65,4.65,4.65,4.65,100,0
2016-12-19,19:20:00,4.555,4.555,4.555,4.555,181,0
2016-12-19,19:50:00,4.6069,4.65,4.6069,4.65,3700,0
2016-12-19,19:55:00,4.65,4.65,4.65,4.65,200,0
2016-12-19,20:00:00,4.622,4.622,4.622,4.622,200,0
2016-12-19,21:30:00,4.65,4.65,4.65,4.65,415,0
2016-12-19,21:45:00,4.6,4.6,4.55,4.55,765,0
2016-12-19,21:50:00,4.5,4.55,4.5,4.55,400,0
2016-12-20,15:50:00,4.5,4.5,4.5,4.5,100,0
2016-12-20,16:25:00,4.5,4.5,4.5,4.5,500,0
2016-12-21,16:10:00,4.65,4.65,4.6,4.6,400,0
2016-12-21,16:35:00,4.6,4.6,4.6,4.6,621,0
2016-12-21,16:45:00,4.605,4.6138,4.6,4.6138,937,0
2016-12-21,17:30:00,4.605,4.605,4.605,4.605,500,0
2016-12-21,18:15:00,4.65,4.65,4.645,4.645,250,0
2016-12-21,18:35:00,4.65,4.65,4.65,4.65,3000,0
2016-12-21,18:55:00,4.65,4.65,4.65,4.65,100,0
2016-12-21,20:10:00,4.65,4.7,4.65,4.7,480,0
2016-12-21,20:15:00,4.7,4.7,4.7,4.7,312,0
2016-12-21,20:30:00,4.75,4.75,4.75,4.75,100,0
2016-12-21,20:45:00,4.75,4.75,4.65,4.65,576,0
2016-12-21,22:00:00,4.65,4.65,4.65,4.65,335,0
2016-12-22,15:35:00,4.7,4.7,4.65,4.65,618,0
2016-12-22,15:50:00,4.65,4.65,4.65,4.65,100,0
2016-12-22,17:10:00,4.7,4.7,4.7,4.7,300,0
2016-12-22,17:20:00,4.7191,4.7191,4.7,4.7,1100,0
2016-12-22,19:15:00,4.7,4.7,4.7,4.7,200,0
2016-12-22,19:55:00,4.7071,4.7071,4.7071,4.7071,200,0
2016-12-22,20:15:00,4.7,4.7,4.7,4.7,300,0
2016-12-22,20:25:00,4.7,4.7,4.7,4.7,125,0
2016-12-22,20:35:00,4.705,4.705,4.7,4.705,3100,0
2016-12-22,20:50:00,4.65,4.65,4.65,4.65,200,0
2016-12-22,20:55:00,4.65,4.65,4.65,4.65,1000,0
2016-12-23,17:05:00,4.7,4.7,4.695,4.695,1150,0
2016-12-23,18:10:00,4.65,4.65,4.65,4.65,1000,0
2016-12-23,18:40:00,4.7,4.7,4.7,4.7,2500,0
2016-12-23,18:45:00,4.75,4.75,4.75,4.75,692,0
