Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-06,15:35:00,32.83,33.41,32.83,33.41,1295,0
2017-04-06,15:40:00,33,33,33,33,100,0
2017-04-06,15:45:00,33.02,33.04,33,33.02,1200,0
2017-04-06,15:50:00,33,33,33,33,100,0
2017-04-06,15:55:00,32.93,33.01,32.93,33.01,300,0
2017-04-06,16:00:00,33.005,33.06,32.85,32.85,800,0
2017-04-06,16:05:00,32.85,32.87,32.795,32.85,1116,0
2017-04-06,16:15:00,32.94,32.94,32.875,32.875,600,0
2017-04-06,16:20:00,32.84,32.88,32.84,32.88,1298,0
2017-04-06,16:25:00,32.89,32.96,32.89,32.96,1500,0
2017-04-06,16:30:00,32.98,32.98,32.98,32.98,500,0
2017-04-06,16:35:00,32.97,33.115,32.97,33,1700,0
2017-04-06,16:40:00,33.11,33.11,33.03,33.11,800,0
2017-04-06,16:45:00,33.1,33.1,33.1,33.1,100,0
2017-04-06,16:50:00,33.12,33.12,33.04,33.04,200,0
2017-04-06,17:00:00,33.06,33.175,33.05,33.155,1300,0
2017-04-06,17:05:00,33.13,33.1859,33.13,33.1859,400,0
2017-04-06,17:10:00,33.14,33.15,33.14,33.15,200,0
2017-04-06,17:15:00,33.16,33.16,33.15,33.16,400,0
2017-04-06,17:20:00,33.0965,33.15,33.0965,33.15,200,0
2017-04-06,17:25:00,33.14,33.27,33.1394,33.15,1319,0
2017-04-06,17:30:00,33.26,33.335,33.23,33.335,3389,0
2017-04-06,17:45:00,33.33,33.33,33.24,33.24,2200,0
2017-04-06,17:50:00,33.25,33.3,33.14,33.2,5540,0
2017-04-06,17:55:00,33.2,33.285,33.14,33.19,1500,0
2017-04-06,18:05:00,33.17,33.17,33.04,33.04,700,0
2017-04-06,18:10:00,33.14,33.14,33.14,33.14,200,0
2017-04-06,18:15:00,33.215,33.215,33.1835,33.1835,212,0
2017-04-06,18:20:00,33.21,33.21,33.21,33.21,100,0
2017-04-06,18:25:00,33.27,33.27,33.16,33.16,600,0
2017-04-06,18:35:00,33.22,33.258,33.2,33.25,900,0
2017-04-06,18:40:00,33.17,33.17,33.17,33.17,100,0
2017-04-06,18:45:00,33.17,33.17,33.09,33.15,600,0
