Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-09,15:35:00,25.25,25.25,25.25,25.25,1267,0
2017-03-09,16:05:00,25.15,25.15,25.12,25.12,1848,0
2017-03-09,16:15:00,25.11,25.11,25.09,25.09,1300,0
2017-03-09,16:20:00,25.04,25.04,25.04,25.04,684,0
2017-03-09,16:30:00,25.09,25.1,25.09,25.1,2508,0
2017-03-09,16:35:00,25.1,25.1,25.1,25.1,200,0
2017-03-09,16:40:00,25.15,25.15,25.15,25.15,500,0
2017-03-09,16:45:00,25.15,25.15,25.15,25.15,185,0
2017-03-09,17:30:00,25.131,25.23,25.131,25.23,1100,0
2017-03-09,17:35:00,25.2051,25.2051,25.2051,25.2051,400,0
2017-03-09,17:50:00,25.1842,25.1842,25.1842,25.1842,200,0
2017-03-09,17:55:00,25.15,25.2258,25.15,25.22,2260,0
2017-03-09,18:00:00,25.14,25.14,25.12,25.12,300,0
2017-03-09,18:40:00,25.13,25.13,25.13,25.13,200,0
2017-03-09,19:40:00,25.16,25.1895,25.1597,25.1895,7728,0
2017-03-09,20:00:00,25.15,25.19,25.141,25.15,500,0
2017-03-09,20:05:00,25.15,25.15,25.15,25.15,100,0
2017-03-09,20:20:00,25.15,25.15,25.15,25.15,100,0
2017-03-09,20:55:00,25.15,25.15,25.13,25.15,2000,0
2017-03-09,21:00:00,25.188,25.19,25.18,25.19,1045,0
2017-03-09,21:25:00,25.19,25.19,25.19,25.19,200,0
2017-03-09,21:30:00,25.19,25.19,25.19,25.19,175,0
2017-03-09,21:50:00,25.149,25.149,25.149,25.149,4000,0
2017-03-09,22:00:00,25.165,25.17,25.165,25.17,321,0
2017-03-10,15:35:00,25.25,25.25,25.25,25.25,1081,0
2017-03-10,15:40:00,25.25,25.25,25.18,25.18,332,0
2017-03-10,16:00:00,25.17,25.18,25.13,25.13,1670,0
2017-03-10,16:10:00,25.15,25.15,25.15,25.15,100,0
2017-03-10,16:15:00,25.15,25.15,25.11,25.11,500,0
2017-03-10,16:25:00,25.12,25.12,25.12,25.12,100,0
2017-03-10,16:55:00,25.125,25.14,25.125,25.14,1864,0
2017-03-10,17:05:00,25.14,25.14,25.14,25.14,100,0
2017-03-10,17:15:00,25.14,25.14,25.08,25.08,4700,0
2017-03-10,17:20:00,25.1,25.12,25.09,25.09,600,0
2017-03-10,17:25:00,25.1251,25.1251,25.09,25.09,2100,0
2017-03-10,17:30:00,25.13,25.13,25.13,25.13,700,0
2017-03-10,17:55:00,25.14,25.15,25.13,25.15,300,0
2017-03-10,18:00:00,25.13,25.13,25.09,25.09,1020,0
2017-03-10,18:15:00,25.1,25.1,25.1,25.1,700,0
2017-03-10,18:25:00,25.1,25.1,25.1,25.1,1640,0
2017-03-10,18:40:00,25.12,25.12,25.12,25.12,500,0
2017-03-10,18:45:00,25.14,25.17,25.13,25.16,2358,0
2017-03-10,20:25:00,25.17,25.17,25.15,25.15,988,0
2017-03-10,20:50:00,25.235,25.235,25.16,25.16,1300,0
2017-03-10,21:10:00,25.2612,25.2612,25.2612,25.2612,398,0
2017-03-10,21:20:00,25.32,25.32,25.2294,25.2294,613,0
2017-03-10,21:30:00,25.2697,25.2697,25.1813,25.1813,1800,0
2017-03-10,21:35:00,25.245,25.31,25.2,25.2,400,0
2017-03-10,21:45:00,25.31,25.31,25.31,25.31,100,0
2017-03-10,21:50:00,25.19,25.19,25.19,25.19,100,0
2017-03-10,21:55:00,25.3,25.3,25.3,25.3,100,0
2017-03-10,22:00:00,25.19,25.19,25.15,25.15,752,0
2017-03-13,14:35:00,25.14,25.14,25.14,25.14,257,0
2017-03-13,14:40:00,25.15,25.15,25.09,25.14,1353,0
2017-03-13,15:05:00,25.24,25.25,25.24,25.25,800,0
2017-03-13,15:20:00,25.16,25.16,25.16,25.16,145,0
2017-03-13,16:25:00,25.17,25.18,25.16,25.18,1300,0
2017-03-13,16:35:00,25.15,25.16,25.15,25.16,1045,0
