Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-05,15:35:00,1.94,1.94,1.9102,1.9193,7276,0
2017-04-05,15:40:00,1.9101,1.9101,1.9101,1.9101,1500,0
2017-04-05,15:50:00,1.93,1.95,1.9235,1.9476,3079,0
2017-04-05,15:55:00,1.9301,1.931,1.93,1.93,4700,0
2017-04-05,16:10:00,1.93,1.93,1.93,1.93,100,0
2017-04-05,16:15:00,1.94,1.94,1.94,1.94,100,0
2017-04-05,16:20:00,1.9315,1.9315,1.9315,1.9315,450,0
2017-04-05,16:25:00,1.9301,1.9301,1.93,1.93,8618,0
2017-04-05,16:30:00,1.95,1.95,1.946,1.95,1800,0
2017-04-05,16:35:00,1.96,1.96,1.96,1.96,2200,0
2017-04-05,16:40:00,1.96,1.96,1.94,1.96,18700,0
2017-04-05,16:45:00,1.95,1.95,1.95,1.95,100,0
2017-04-05,17:00:00,1.9507,1.9507,1.9501,1.9501,600,0
2017-04-05,17:05:00,1.9517,1.9517,1.95,1.95,1200,0
2017-04-05,17:15:00,1.9401,1.95,1.94,1.95,750,0
2017-04-05,17:20:00,1.95,1.95,1.9401,1.9401,260,0
2017-04-05,17:25:00,1.94,1.94,1.938,1.938,520,0
2017-04-05,17:30:00,1.9301,1.9301,1.9301,1.9301,300,0
2017-04-05,17:35:00,1.92,1.92,1.92,1.92,100,0
2017-04-05,17:45:00,1.93,1.93,1.93,1.93,100,0
2017-04-05,17:50:00,1.92,1.92,1.92,1.92,100,0
2017-04-05,17:55:00,1.93,1.95,1.92,1.95,997,0
2017-04-05,18:00:00,1.941,1.941,1.93,1.93,750,0
2017-04-05,18:05:00,1.92,1.92,1.92,1.92,100,0
2017-04-05,18:15:00,1.95,1.95,1.92,1.9338,1150,0
2017-04-05,18:20:00,1.92,1.92,1.92,1.92,100,0
2017-04-05,18:25:00,1.9261,1.93,1.92,1.93,1000,0
2017-04-05,18:30:00,1.92,1.93,1.92,1.93,550,0
2017-04-05,18:35:00,1.92,1.92,1.92,1.92,400,0
2017-04-05,18:40:00,1.9201,1.9201,1.92,1.92,900,0
2017-04-05,18:45:00,1.92,1.925,1.92,1.92,800,0
2017-04-05,18:50:00,1.92,1.92,1.91,1.92,3714,0
2017-04-05,18:55:00,1.94,1.94,1.94,1.94,352,0
2017-04-05,19:00:00,1.91,1.91,1.91,1.91,370,0
2017-04-05,19:05:00,1.9122,1.9122,1.9122,1.9122,100,0
2017-04-05,19:15:00,1.91,1.9129,1.91,1.91,997,0
2017-04-05,19:20:00,1.9129,1.9129,1.91,1.91,516,0
2017-04-05,19:25:00,1.91,1.91,1.9,1.9,700,0
2017-04-05,19:30:00,1.9,1.9,1.9,1.9,327,0
2017-04-05,19:35:00,1.9,1.92,1.9,1.92,1810,0
2017-04-05,19:40:00,1.92,1.93,1.9001,1.93,800,0
2017-04-05,19:45:00,1.93,1.93,1.91,1.93,600,0
2017-04-05,19:50:00,1.91,1.93,1.91,1.93,823,0
