Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,11.98,11.98,11.9128,11.9128,1057,0
2017-04-07,15:45:00,11.94,11.95,11.94,11.95,400,0
2017-04-07,15:50:00,11.94,11.96,11.94,11.96,1200,0
2017-04-07,15:55:00,11.96,11.96,11.94,11.95,1000,0
2017-04-07,16:00:00,11.95,11.96,11.945,11.945,2700,0
2017-04-07,16:05:00,11.95,11.95,11.95,11.95,3488,0
2017-04-07,16:10:00,11.985,12.03,11.985,11.99,1634,0
2017-04-07,16:15:00,12.005,12.005,11.99,11.99,200,0
2017-04-07,16:20:00,11.99,11.99,11.97,11.98,1500,0
2017-04-07,16:25:00,11.97,11.97,11.96,11.96,500,0
2017-04-07,16:30:00,11.98,12,11.98,11.98,1498,0
2017-04-07,16:40:00,11.97,12,11.97,11.98,707,0
2017-04-07,16:45:00,11.98,12,11.98,11.99,506,0
2017-04-07,16:50:00,11.97,11.97,11.95,11.95,1000,0
2017-04-07,16:55:00,11.95,11.95,11.94,11.94,900,0
2017-04-07,17:05:00,11.96,11.96,11.95,11.95,800,0
2017-04-07,17:10:00,11.95,11.96,11.94,11.96,1400,0
2017-04-07,17:15:00,11.96,11.96,11.94,11.94,2345,0
2017-04-07,17:20:00,11.95,11.97,11.94,11.97,3953,0
2017-04-07,17:25:00,11.99,12,11.99,11.99,300,0
2017-04-07,17:30:00,11.99,12.02,11.98,12.02,500,0
2017-04-07,17:35:00,11.99,12,11.97,11.99,1400,0
2017-04-07,17:40:00,11.99,11.99,11.95,11.965,3802,0
2017-04-07,17:50:00,11.9677,12,11.9677,11.985,1123,0
2017-04-07,17:55:00,11.99,11.99,11.99,11.99,200,0
2017-04-07,18:00:00,12,12,11.99,11.99,200,0
2017-04-07,18:05:00,11.99,12.02,11.99,12.02,235,0
2017-04-07,18:10:00,12.01,12.04,12.01,12.01,1600,0
2017-04-07,18:15:00,12.01,12.02,11.98,11.98,600,0
2017-04-07,18:30:00,11.99,11.99,11.99,11.99,100,0
2017-04-07,18:35:00,12.01,12.01,12,12,300,0
2017-04-07,18:40:00,11.99,11.99,11.98,11.98,200,0
2017-04-07,18:45:00,11.99,12.02,11.99,12.02,663,0
2017-04-07,18:50:00,11.99,11.99,11.99,11.99,200,0
2017-04-07,18:55:00,12.01,12.01,11.99,12,706,0
2017-04-07,19:00:00,12,12.01,11.99,12,1800,0
2017-04-07,19:05:00,11.99,12.01,11.99,11.99,300,0
2017-04-07,19:10:00,11.99,12,11.98,12,1190,0
2017-04-07,19:20:00,12.01,12.02,12,12.02,1000,0
2017-04-07,19:25:00,12.02,12.02,12.01,12.01,463,0
2017-04-07,19:30:00,12.0001,12.0001,12.0001,12.0001,100,0
2017-04-07,19:35:00,12.02,12.06,12.02,12.04,1000,0
2017-04-07,19:40:00,12,12,11.99,11.99,800,0
2017-04-07,19:45:00,11.9801,11.9801,11.97,11.97,300,0
2017-04-07,19:50:00,11.98,11.98,11.96,11.96,700,0
2017-04-07,19:55:00,11.98,11.99,11.98,11.99,3327,0
2017-04-07,20:00:00,12,12,12,12,500,0
2017-04-07,20:05:00,12.01,12.01,12.01,12.01,100,0
2017-04-07,20:10:00,12,12.02,12,12,300,0
2017-04-07,20:15:00,12,12.04,12,12.02,1824,0
2017-04-07,20:20:00,12,12.0001,12,12.0001,200,0
2017-04-07,20:25:00,12,12.01,12,12,1100,0
2017-04-07,20:30:00,12.01,12.02,12.0001,12.02,400,0
2017-04-07,20:35:00,12,12,11.97,11.97,705,0
2017-04-07,20:40:00,11.9874,11.9874,11.97,11.98,600,0
2017-04-07,20:45:00,11.97,12,11.97,11.98,6100,0
2017-04-07,20:50:00,11.98,11.98,11.97,11.97,5100,0
2017-04-07,20:55:00,11.97,11.98,11.95,11.95,1500,0
2017-04-07,21:00:00,11.96,11.96,11.95,11.96,300,0
2017-04-07,21:05:00,11.98,11.98,11.96,11.96,200,0
2017-04-07,21:10:00,11.98,11.98,11.96,11.96,400,0
2017-04-07,21:15:00,11.96,11.97,11.96,11.96,300,0
2017-04-07,21:20:00,11.97,11.97,11.97,11.97,100,0
2017-04-07,21:25:00,11.96,12,11.96,12,2567,0
2017-04-07,21:30:00,12.02,12.02,12.02,12.02,100,0
2017-04-07,21:35:00,12.03,12.03,11.99,12,3100,0
2017-04-07,21:40:00,12,12.03,12,12.03,900,0
2017-04-07,21:45:00,12.04,12.04,12.01,12.02,700,0
2017-04-07,21:50:00,12.01,12.03,12,12.02,1600,0
2017-04-07,21:55:00,12.01,12.02,12.01,12.01,1400,0
2017-04-07,22:00:00,12.01,12.015,11.97,11.98,5743,0
2017-04-10,15:35:00,11.99,12.03,11.98,12,651,0
2017-04-10,15:40:00,11.98,12,11.98,12,1258,0
2017-04-10,15:45:00,11.98,12.01,11.98,12.01,411,0
2017-04-10,15:50:00,12.01,12.09,12,12.0291,4007,0
2017-04-10,15:55:00,12.11,12.12,12.06,12.06,800,0
2017-04-10,16:00:00,12.12,12.125,12.08,12.125,1100,0
2017-04-10,16:05:00,12.105,12.13,12.07,12.07,1678,0
2017-04-10,16:10:00,12.09,12.11,12.07,12.09,2800,0
2017-04-10,16:15:00,12.07,12.07,12.07,12.07,400,0
2017-04-10,16:20:00,12.05,12.08,12.04,12.08,1100,0
2017-04-10,16:25:00,12.07,12.07,12.03,12.03,300,0
2017-04-10,16:30:00,12.05,12.05,11.97,11.99,6600,0
2017-04-10,16:35:00,11.99,12.07,11.98,12.02,1597,0
2017-04-10,16:40:00,12.01,12.04,12,12,700,0
2017-04-10,16:45:00,11.98,11.98,11.9,11.91,1800,0
2017-04-10,16:50:00,11.9386,11.96,11.89,11.89,547,0
2017-04-10,16:55:00,11.91,12.03,11.895,12.03,27988,0
2017-04-10,17:00:00,11.99,12.02,11.93,11.94,2400,0
2017-04-10,17:05:00,11.93,11.98,11.93,11.9599,1974,0
2017-04-10,17:10:00,11.96,11.97,11.94,11.96,1255,0
2017-04-10,17:15:00,11.967,11.97,11.94,11.95,754,0
2017-04-10,17:20:00,11.95,11.95,11.9,11.9,1300,0
2017-04-10,17:25:00,11.93,11.96,11.92,11.96,1200,0
2017-04-10,17:30:00,11.95,11.95,11.94,11.94,1100,0
2017-04-10,17:35:00,11.93,11.93,11.84,11.84,6540,0
2017-04-10,17:40:00,11.83,11.85,11.83,11.83,3529,0
2017-04-10,17:45:00,11.83,11.84,11.83,11.84,2500,0
2017-04-10,17:50:00,11.84,11.86,11.835,11.86,800,0
2017-04-10,17:55:00,11.87,11.88,11.87,11.88,200,0
2017-04-10,18:00:00,11.87,11.87,11.84,11.84,2900,0
2017-04-10,18:05:00,11.85,11.89,11.85,11.89,2700,0
2017-04-10,18:10:00,11.87,11.87,11.87,11.87,200,0
2017-04-10,18:15:00,11.86,11.87,11.83,11.85,7300,0
2017-04-10,18:20:00,11.85,11.9,11.85,11.9,4300,0
2017-04-10,18:30:00,11.875,11.92,11.875,11.92,700,0
2017-04-10,18:35:00,11.9,11.93,11.9,11.93,2000,0
2017-04-10,18:40:00,11.9,11.9,11.88,11.9,1704,0
2017-04-10,18:45:00,11.9,11.9,11.895,11.9,3987,0
2017-04-10,18:50:00,11.9,11.9,11.9,11.9,792,0
2017-04-10,18:55:00,11.9,11.9,11.895,11.9,6106,0
2017-04-10,19:00:00,11.9,11.9,11.89,11.89,2437,0
2017-04-10,19:05:00,11.88,11.88,11.88,11.88,400,0
2017-04-10,19:10:00,11.86,11.86,11.86,11.86,100,0
2017-04-10,19:15:00,11.875,11.89,11.875,11.89,1400,0
2017-04-10,19:20:00,11.9,11.91,11.9,11.91,300,0
2017-04-10,19:25:00,11.91,11.91,11.91,11.91,100,0
2017-04-10,19:30:00,11.93,11.93,11.93,11.93,200,0
2017-04-10,19:35:00,11.94,11.94,11.94,11.94,500,0
2017-04-10,19:40:00,11.94,11.94,11.94,11.94,800,0
2017-04-10,19:45:00,11.94,11.94,11.94,11.94,100,0
2017-04-10,19:50:00,11.94,11.94,11.94,11.94,200,0
2017-04-10,19:55:00,11.94,11.95,11.94,11.95,600,0
2017-04-10,20:00:00,11.95,11.95,11.93,11.93,1700,0
