Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-06,15:35:00,36.05,36.15,35.95,36.15,2448,0
2017-04-06,15:40:00,36.1,36.2,36.1,36.2,1370,0
2017-04-06,15:45:00,36.1,36.1,36,36,2000,0
2017-04-06,16:00:00,35.95,36,35.9,35.9,11090,0
2017-04-06,16:05:00,35.8,35.8265,35.75,35.75,6620,0
2017-04-06,16:10:00,35.8,35.9,35.6,35.6,2500,0
2017-04-06,16:15:00,35.5,35.6,35.45,35.45,1200,0
2017-04-06,16:20:00,35.482,35.5,35.35,35.35,1529,0
2017-04-06,16:25:00,35.395,35.395,35.3,35.3,1100,0
2017-04-06,16:30:00,35.25,35.3,35.25,35.3,1300,0
2017-04-06,16:35:00,35.445,35.445,35.375,35.375,600,0
2017-04-06,16:40:00,35.3,35.4,35.3,35.4,500,0
2017-04-06,16:45:00,35.35,35.35,35.3,35.345,2111,0
2017-04-06,16:50:00,35.35,35.35,35.35,35.35,900,0
2017-04-06,16:55:00,35.35,35.35,35.3,35.3,200,0
2017-04-06,17:00:00,35.3,35.3,35.3,35.3,610,0
2017-04-06,17:05:00,35.225,35.225,35.2,35.2,1340,0
2017-04-06,17:10:00,35.295,35.295,35.25,35.25,800,0
2017-04-06,17:15:00,35.267,35.3,35.267,35.3,700,0
2017-04-06,17:20:00,35.3,35.3,35.3,35.3,300,0
2017-04-06,17:25:00,35.35,35.7,35.35,35.6,8846,0
2017-04-06,17:30:00,35.7,35.7,35.65,35.65,900,0
2017-04-06,17:35:00,35.65,35.675,35.65,35.675,2400,0
2017-04-06,17:40:00,35.7,35.7,35.7,35.7,100,0
2017-04-06,17:45:00,35.775,35.9,35.775,35.9,1300,0
2017-04-06,17:50:00,35.9,35.95,35.9,35.95,300,0
2017-04-06,17:55:00,35.95,35.95,35.95,35.95,100,0
2017-04-06,18:00:00,35.95,35.95,35.9,35.95,300,0
2017-04-06,18:05:00,35.925,35.95,35.925,35.95,300,0
2017-04-06,18:10:00,36,36,35.95,36,3661,0
2017-04-06,18:15:00,35.95,36,35.95,35.95,1000,0
2017-04-06,18:20:00,35.9,35.9,35.9,35.9,100,0
2017-04-06,18:30:00,35.95,36,35.95,36,200,0
2017-04-06,18:35:00,36,36,35.95,36,1800,0
2017-04-06,18:40:00,35.975,36,35.9,35.9,5590,0
2017-04-06,18:45:00,35.9,35.9,35.9,35.9,100,0
2017-04-06,18:50:00,35.85,35.9,35.85,35.9,200,0
2017-04-06,18:55:00,35.9,35.9,35.8804,35.9,310,0
2017-04-06,19:00:00,35.95,35.95,35.9,35.95,900,0
2017-04-06,19:05:00,35.95,36,35.95,36,700,0
2017-04-06,19:10:00,35.95,35.95,35.95,35.95,500,0
2017-04-06,19:15:00,35.95,35.95,35.95,35.95,100,0
2017-04-06,19:20:00,36,36,36,36,3500,0
2017-04-06,19:25:00,36,36,36,36,800,0
2017-04-06,19:30:00,36.0309,36.0309,36.0309,36.0309,101,0
2017-04-06,19:35:00,35.95,35.95,35.95,35.95,100,0
2017-04-06,19:40:00,35.95,36.05,35.95,36,519,0
2017-04-06,19:45:00,35.95,36,35.95,36,600,0
2017-04-06,19:50:00,36.05,36.05,36,36,1600,0
2017-04-06,19:55:00,36,36.05,36,36,5300,0
2017-04-06,20:05:00,36,36,35.95,36,657,0
2017-04-06,20:15:00,35.95,35.95,35.9,35.95,800,0
2017-04-06,20:20:00,35.95,35.95,35.9,35.925,335,0
2017-04-06,20:25:00,35.95,35.95,35.925,35.95,700,0
2017-04-06,20:30:00,35.9,35.95,35.9,35.9,500,0
2017-04-06,20:35:00,35.85,35.925,35.85,35.925,200,0
2017-04-06,20:45:00,35.85,35.9,35.85,35.9,300,0
2017-04-06,20:50:00,35.9,35.925,35.85,35.85,700,0
2017-04-06,20:55:00,35.8,35.85,35.8,35.825,1016,0
2017-04-06,21:00:00,35.85,35.85,35.8,35.85,1000,0
2017-04-06,21:05:00,35.85,35.9,35.85,35.9,329,0
2017-04-06,21:10:00,35.85,35.85,35.85,35.85,1373,0
2017-04-06,21:15:00,35.8329,35.876,35.8,35.8,6075,0
2017-04-06,21:20:00,35.8,35.85,35.75,35.85,9690,0
2017-04-06,21:25:00,35.85,35.85,35.8,35.85,1400,0
2017-04-06,21:30:00,35.85,35.85,35.8,35.8,1259,0
2017-04-06,21:35:00,35.85,35.85,35.8,35.85,1300,0
2017-04-06,21:40:00,35.9,35.9,35.8,35.85,2350,0
2017-04-06,21:45:00,35.85,35.95,35.8,35.925,6651,0
2017-04-06,21:50:00,35.95,36.1,35.95,36.1,10398,0
2017-04-06,21:55:00,36.075,36.15,36.05,36.15,3400,0
2017-04-06,22:00:00,36.15,36.2,36.1,36.175,9759,0
2017-04-07,15:35:00,36,36.2,36,36.2,26342,0
2017-04-07,15:40:00,36.25,36.35,36.2,36.2,3545,0
2017-04-07,15:50:00,36.25,36.25,36.25,36.25,100,0
2017-04-07,15:55:00,35.975,35.975,35.975,35.975,100,0
2017-04-07,16:00:00,35.975,36.05,35.975,36.05,11100,0
2017-04-07,16:05:00,36.1,36.15,36.1,36.15,500,0
2017-04-07,16:10:00,36.15,36.299,36.15,36.299,1686,0
2017-04-07,16:15:00,36.275,36.275,36.25,36.25,6685,0
2017-04-07,16:20:00,36.25,36.25,36.2,36.2,1800,0
2017-04-07,16:25:00,36.25,36.25,36.2,36.2,500,0
2017-04-07,16:30:00,36.25,36.25,36.25,36.25,100,0
2017-04-07,16:40:00,36.25,36.25,36.25,36.25,400,0
2017-04-07,16:50:00,36.3,36.35,36.3,36.35,2400,0
2017-04-07,17:00:00,36.35,36.4,36.35,36.4,400,0
2017-04-07,17:05:00,36.4,36.4,36.35,36.375,1300,0
2017-04-07,17:15:00,36.35,36.4,36.35,36.4,5044,0
2017-04-07,17:20:00,36.4,36.4,36.4,36.4,1689,0
2017-04-07,17:25:00,36.4,36.4,36.4,36.4,100,0
2017-04-07,17:35:00,36.4,36.45,36.35,36.35,500,0
2017-04-07,17:40:00,36.375,36.4,36.375,36.375,300,0
2017-04-07,17:45:00,36.4,36.4,36.4,36.4,109,0
2017-04-07,17:50:00,36.375,36.4,36.35,36.375,1000,0
2017-04-07,17:55:00,36.4,36.4,36.4,36.4,600,0
2017-04-07,18:00:00,36.45,36.45,36.4,36.4,410,0
2017-04-07,18:05:00,36.425,36.5,36.425,36.5,500,0
2017-04-07,18:15:00,36.5,36.5,36.5,36.5,400,0
2017-04-07,18:20:00,36.5,36.55,36.5,36.55,500,0
2017-04-07,18:25:00,36.6,36.6,36.5,36.55,5001,0
2017-04-07,18:30:00,36.5,36.6,36.5,36.525,3500,0
2017-04-07,18:40:00,36.45,36.45,36.45,36.45,800,0
2017-04-07,18:50:00,36.5,36.5,36.5,36.5,100,0
2017-04-07,18:55:00,36.4,36.4,36.4,36.4,100,0
2017-04-07,19:00:00,36.4,36.425,36.4,36.425,200,0
2017-04-07,19:05:00,36.35,36.35,36.35,36.35,300,0
2017-04-07,19:10:00,36.4,36.45,36.375,36.4,1600,0
2017-04-07,19:15:00,36.4,36.4,36.35,36.35,1000,0
2017-04-07,19:20:00,36.4,36.4,36.35,36.35,300,0
2017-04-07,19:25:00,36.4,36.4,36.4,36.4,200,0
2017-04-07,19:30:00,36.4,36.45,36.4,36.45,1500,0
2017-04-07,19:35:00,36.5,36.5,36.45,36.5,400,0
2017-04-07,19:40:00,36.4,36.45,36.375,36.4,1000,0
2017-04-07,19:45:00,36.4,36.45,36.4,36.45,932,0
2017-04-07,19:50:00,36.45,36.5,36.4,36.4,1100,0
2017-04-07,19:55:00,36.425,36.5,36.425,36.5,1100,0
