Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,58.94,59.1,58,59.1,2863,0
2017-04-10,15:40:00,58.46,58.67,58.38,58.67,400,0
2017-04-10,15:45:00,58.51,58.85,58.17,58.17,3899,0
2017-04-10,15:50:00,58.48,59.15,58.47,58.99,1415,0
2017-04-10,15:55:00,58.96,58.96,58.65,58.76,3304,0
2017-04-10,16:00:00,58.73,58.94,58.67,58.91,2500,0
2017-04-10,16:05:00,58.815,58.875,58.815,58.875,200,0
2017-04-10,16:10:00,58.95,59.15,58.93,58.93,1700,0
2017-04-10,16:15:00,59.04,59.35,59.04,59.35,4600,0
2017-04-10,16:20:00,59.24,59.255,59.1,59.14,1869,0
2017-04-10,16:25:00,59.08,59.26,59.03,59.05,2900,0
2017-04-10,16:30:00,59.115,59.17,58.765,58.765,4000,0
2017-04-10,16:35:00,58.93,59.3,58.8925,59.2,2000,0
2017-04-10,16:40:00,59.34,59.36,59.15,59.16,1310,0
2017-04-10,16:45:00,59.16,59.335,59.12,59.22,2700,0
2017-04-10,16:50:00,59.2,59.26,58.91,58.91,1700,0
2017-04-10,16:55:00,58.93,59.19,58.9,59.19,2500,0
2017-04-10,17:00:00,59.185,59.22,58.96,59.02,1200,0
2017-04-10,17:05:00,59.02,59.06,58.85,58.88,2500,0
2017-04-10,17:10:00,58.8,58.84,58.54,58.84,4500,0
2017-04-10,17:15:00,59.16,59.16,58.89,58.89,2400,0
2017-04-10,17:20:00,58.9348,59.035,58.85,58.85,1600,0
2017-04-10,17:25:00,58.85,58.85,58.77,58.8,1571,0
2017-04-10,17:30:00,58.755,59.03,58.64,58.87,2200,0
2017-04-10,17:35:00,58.79,58.87,58.68,58.87,2400,0
2017-04-10,17:40:00,58.76,59.15,58.76,58.93,2500,0
2017-04-10,17:45:00,58.905,58.97,58.82,58.97,1400,0
2017-04-10,17:50:00,58.9,58.92,58.725,58.81,900,0
2017-04-10,17:55:00,58.74,58.93,58.74,58.93,8050,0
2017-04-10,18:00:00,58.79,58.8,58.5,58.5,2900,0
2017-04-10,18:05:00,58.52,58.59,58.4,58.46,2000,0
2017-04-10,18:10:00,58.5,58.75,58.47,58.74,2369,0
2017-04-10,18:15:00,58.66,58.66,58.29,58.3,2000,0
2017-04-10,18:20:00,58.42,58.43,58.2,58.33,1927,0
2017-04-10,18:25:00,58.31,58.44,58.31,58.38,1800,0
2017-04-10,18:30:00,58.29,58.39,58.23,58.25,3514,0
2017-04-10,18:35:00,58.22,58.28,58.14,58.16,1400,0
2017-04-10,18:40:00,58.32,58.33,58.21,58.24,2071,0
2017-04-10,18:45:00,58.35,58.49,58.29,58.36,2000,0
2017-04-10,18:50:00,58.28,58.35,58.25,58.25,500,0
2017-04-10,18:55:00,58.34,58.49,58.29,58.32,3300,0
2017-04-10,19:00:00,58.42,58.46,58.18,58.192,4000,0
2017-04-10,19:05:00,58.24,58.34,58.23,58.23,1100,0
2017-04-10,19:10:00,58.36,58.39,58.31,58.355,1400,0
2017-04-10,19:15:00,58.31,58.35,58.23,58.23,1000,0
2017-04-10,19:20:00,58.33,58.42,58.315,58.39,2752,0
2017-04-10,19:25:00,58.28,58.3082,58.08,58.25,2200,0
2017-04-10,19:30:00,58.18,58.215,58.06,58.16,1000,0
2017-04-10,19:35:00,58.08,58.25,58.055,58.25,2477,0
2017-04-10,19:40:00,58.21,58.39,58.21,58.29,2200,0
2017-04-10,19:45:00,58.3,58.39,58.27,58.37,1700,0
2017-04-10,19:50:00,58.39,58.39,58.29,58.3,1240,0
2017-04-10,19:55:00,58.3,58.4,58.3,58.34,2300,0
2017-04-10,20:00:00,58.36,58.7,58.29,58.7,2300,0
2017-04-10,20:05:00,58.7,58.855,58.64,58.64,4800,0
2017-04-10,20:10:00,58.6779,58.8,58.67,58.8,900,0
2017-04-10,20:15:00,58.78,58.85,58.71,58.85,3000,0
2017-04-10,20:20:00,58.89,58.94,58.79,58.9,1700,0
2017-04-10,20:25:00,58.78,58.84,58.77,58.79,600,0
2017-04-10,20:30:00,58.81,58.81,58.4,58.4,1929,0
2017-04-10,20:35:00,58.5,58.59,58.46,58.59,2582,0
2017-04-10,20:40:00,58.64,58.64,58.49,58.49,989,0
2017-04-10,20:45:00,58.46,58.46,58.27,58.35,1300,0
2017-04-10,20:50:00,58.42,58.5,58.41,58.5,2400,0
2017-04-10,20:55:00,58.5,58.5,58.31,58.32,3500,0
2017-04-10,21:00:00,58.26,58.34,58.24,58.24,1000,0
2017-04-10,21:05:00,58.27,58.34,58.215,58.215,1400,0
2017-04-10,21:10:00,58.3151,58.37,58.3151,58.32,2340,0
2017-04-10,21:15:00,58.37,58.4,58.29,58.29,2335,0
2017-04-10,21:20:00,58.27,58.34,58.27,58.325,1100,0
2017-04-10,21:25:00,58.25,58.25,58.14,58.18,1500,0
2017-04-10,21:30:00,58.2,58.23,58.18,58.2,3642,0
2017-04-10,21:35:00,58.16,58.17,58.09,58.09,1600,0
2017-04-10,21:40:00,58.07,58.07,57.87,57.91,3975,0
2017-04-10,21:45:00,57.93,57.94,57.71,57.71,2600,0
2017-04-10,21:50:00,57.73,57.9,57.68,57.735,7800,0
2017-04-10,21:55:00,57.665,57.75,57.51,57.51,12865,0
2017-04-10,22:00:00,57.54,57.61,57.37,57.51,50281,0
2017-04-11,15:35:00,57.34,58.965,57.34,58.25,2766,0
2017-04-11,15:40:00,58.17,58.24,58.02,58.02,1583,0
2017-04-11,15:45:00,58.06,58.13,57.74,58.03,2000,0
2017-04-11,15:50:00,57.855,57.99,57.56,57.93,3965,0
2017-04-11,15:55:00,57.85,57.94,57.65,57.74,6590,0
2017-04-11,16:00:00,57.73,57.73,57.17,57.7,5200,0
2017-04-11,16:05:00,57.65,57.9,57.6153,57.9,5108,0
2017-04-11,16:10:00,57.89,57.97,57.69,57.89,4897,0
2017-04-11,16:15:00,57.95,57.98,57.64,57.79,12600,0
2017-04-11,16:20:00,57.93,57.95,57.74,57.95,6200,0
2017-04-11,16:25:00,57.94,57.95,57.79,57.95,3600,0
2017-04-11,16:30:00,58.01,58.1,57.9,57.92,3200,0
2017-04-11,16:35:00,57.87,57.88,57.46,57.46,5500,0
2017-04-11,16:40:00,57.31,57.31,57.02,57.23,2900,0
2017-04-11,16:45:00,57.3,57.3,56.75,56.94,5876,0
2017-04-11,16:50:00,56.905,57.04,56.75,56.845,2600,0
2017-04-11,16:55:00,56.68,56.75,56.5,56.63,5100,0
2017-04-11,17:00:00,56.67,56.8,56.52,56.79,4100,0
2017-04-11,17:05:00,56.75,57.12,56.7001,57.12,8500,0
2017-04-11,17:10:00,57.045,57.045,56.74,56.74,5900,0
2017-04-11,17:15:00,56.85,56.85,56.75,56.75,900,0
2017-04-11,17:20:00,56.69,56.84,56.65,56.705,6900,0
2017-04-11,17:25:00,56.66,56.8,56.65,56.77,3700,0
2017-04-11,17:30:00,56.69,56.71,56.52,56.58,5270,0
2017-04-11,17:35:00,56.418,56.77,56.308,56.77,6300,0
2017-04-11,17:40:00,56.72,56.77,56.53,56.53,1000,0
2017-04-11,17:45:00,56.58,56.58,56.42,56.42,700,0
2017-04-11,17:50:00,56.45,56.53,56.17,56.32,9689,0
2017-04-11,17:55:00,56.345,56.57,56.3,56.53,2800,0
2017-04-11,18:00:00,56.53,56.74,56.48,56.74,7700,0
2017-04-11,18:05:00,56.76,56.81,56.69,56.75,2500,0
2017-04-11,18:10:00,56.725,56.789,56.6,56.6,5223,0
2017-04-11,18:15:00,56.61,56.9,56.6,56.9,7300,0
2017-04-11,18:20:00,56.9,57.16,56.9,57.16,4218,0
2017-04-11,18:25:00,57.17,57.32,57.16,57.21,4233,0
2017-04-11,18:30:00,57.27,57.52,57.2,57.52,3200,0
2017-04-11,18:35:00,57.425,57.48,57.33,57.44,4200,0
2017-04-11,18:40:00,57.32,57.43,57.07,57.2299,5000,0
2017-04-11,18:45:00,57.26,57.31,57.13,57.29,2808,0
2017-04-11,18:50:00,57.26,57.275,57.07,57.1,4200,0
2017-04-11,18:55:00,57.11,57.17,57.07,57.105,2600,0
2017-04-11,19:00:00,57.055,57.055,56.76,56.76,1600,0
2017-04-11,19:05:00,56.8297,56.9,56.76,56.9,1000,0
2017-04-11,19:10:00,56.96,56.98,56.86,56.86,2290,0
2017-04-11,19:15:00,56.83,56.95,56.72,56.83,5700,0
2017-04-11,19:20:00,56.75,56.79,56.65,56.65,700,0
2017-04-11,19:25:00,56.76,56.76,56.59,56.67,3718,0
2017-04-11,19:30:00,56.64,56.74,56.62,56.73,1200,0
2017-04-11,19:35:00,56.72,56.74,56.59,56.6475,3429,0
2017-04-11,19:40:00,56.66,56.81,56.66,56.78,2100,0
2017-04-11,19:45:00,56.81,56.85,56.71,56.71,2400,0
2017-04-11,19:50:00,56.7,56.7,56.68,56.68,400,0
2017-04-11,19:55:00,56.67,56.82,56.605,56.82,7190,0
2017-04-11,20:00:00,56.81,56.98,56.71,56.96,2313,0
2017-04-11,20:05:00,57.03,57.26,57,57.225,7600,0
2017-04-11,20:10:00,57.25,57.37,57.25,57.31,2800,0
2017-04-11,20:15:00,57.3,57.37,57.245,57.245,4800,0
2017-04-11,20:20:00,57.21,57.29,57.18,57.21,4685,0
2017-04-11,20:25:00,57.195,57.21,57.15,57.21,400,0
2017-04-11,20:30:00,57.21,57.38,57.21,57.38,2097,0
2017-04-11,20:35:00,57.2415,57.3082,57.23,57.3082,740,0
2017-04-11,20:40:00,57.28,57.4599,57.28,57.33,2400,0
2017-04-11,20:45:00,57.32,57.37,57.29,57.34,791,0
2017-04-11,20:50:00,57.325,57.3365,57.25,57.25,700,0
2017-04-11,20:55:00,57.24,57.4,57.19,57.4,2912,0
2017-04-11,21:00:00,57.43,57.43,57.24,57.24,800,0
2017-04-11,21:05:00,57.21,57.35,57.21,57.34,1700,0
2017-04-11,21:10:00,57.33,57.37,57.31,57.37,2878,0
2017-04-11,21:15:00,57.48,57.51,57.37,57.39,2900,0
2017-04-11,21:20:00,57.36,57.39,57.29,57.345,2250,0
2017-04-11,21:25:00,57.36,57.47,57.35,57.38,4900,0
2017-04-11,21:30:00,57.46,57.65,57.41,57.635,5990,0
2017-04-11,21:35:00,57.56,57.57,57.48,57.51,2500,0
2017-04-11,21:40:00,57.48,57.59,57.47,57.53,4436,0
2017-04-11,21:45:00,57.57,57.57,57.28,57.28,9253,0
2017-04-11,21:50:00,57.27,57.52,57.26,57.4,8700,0
2017-04-11,21:55:00,57.4,57.46,57.32,57.41,8564,0
2017-04-11,22:00:00,57.47,57.73,57.3,57.69,71524,0
2017-04-12,15:35:00,57.89,58.48,57.64,58.18,2935,0
2017-04-12,15:40:00,58.35,58.44,57.99,58.42,1800,0
2017-04-12,15:45:00,58.07,58.44,58.07,58.3422,3350,0
2017-04-12,15:50:00,58.435,58.71,58.37,58.69,6835,0
2017-04-12,15:55:00,58.69,58.7,58.54,58.56,6982,0
2017-04-12,16:00:00,58.43,58.43,58.24,58.24,400,0
2017-04-12,16:05:00,58.41,58.61,58.1,58.2,3394,0
2017-04-12,16:10:00,58.2215,58.33,58.19,58.23,1571,0
2017-04-12,16:15:00,58.14,58.24,58.14,58.21,5414,0
2017-04-12,16:20:00,58.27,58.52,58.27,58.445,2200,0
2017-04-12,16:25:00,58.39,58.39,58.255,58.33,5000,0
2017-04-12,16:30:00,58.33,58.4,58.26,58.36,8500,0
2017-04-12,16:35:00,58.43,58.6649,58.36,58.51,4332,0
2017-04-12,16:40:00,58.5,58.58,58.4,58.52,2600,0
2017-04-12,16:45:00,58.61,58.61,58.44,58.49,4122,0
2017-04-12,16:50:00,58.495,58.5,58.4,58.49,8226,0
2017-04-12,16:55:00,58.41,58.41,58.32,58.3688,2760,0
2017-04-12,17:00:00,58.42,58.48,58.32,58.45,8057,0
2017-04-12,17:05:00,58.53,58.61,58.43,58.545,15279,0
2017-04-12,17:10:00,58.55,58.64,58.49,58.61,1800,0
2017-04-12,17:15:00,58.555,58.555,58.21,58.24,3594,0
2017-04-12,17:20:00,58.23,58.24,58.01,58.18,7650,0
2017-04-12,17:25:00,58.18,58.24,57.85,57.95,10121,0
2017-04-12,17:30:00,58.05,58.05,57.87,57.98,3400,0
2017-04-12,17:35:00,57.97,58.09,57.8,57.87,15662,0
2017-04-12,17:40:00,57.8,57.8,57.4,57.64,15358,0
2017-04-12,17:45:00,57.64,57.88,57.52,57.86,10883,0
2017-04-12,17:50:00,57.83,57.86,57.82,57.82,400,0
2017-04-12,17:55:00,57.81,57.81,57.7,57.7,1000,0
2017-04-12,18:00:00,57.7,57.84,57.66,57.83,2500,0
2017-04-12,18:05:00,57.88,57.88,57.79,57.79,300,0
2017-04-12,18:10:00,57.9,57.91,57.87,57.87,400,0
2017-04-12,18:15:00,57.93,57.97,57.925,57.925,400,0
2017-04-12,18:20:00,57.94,57.94,57.85,57.86,400,0
2017-04-12,18:25:00,57.85,57.85,57.53,57.53,2197,0
2017-04-12,18:30:00,57.56,57.56,57.48,57.48,1000,0
2017-04-12,18:35:00,57.57,57.57,57.5,57.5,400,0
2017-04-12,18:40:00,57.48,57.48,57.35,57.35,1900,0
2017-04-12,18:45:00,57.26,57.26,57.26,57.26,300,0
2017-04-12,18:50:00,57.34,57.39,57.34,57.39,400,0
2017-04-12,18:55:00,57.33,57.33,57.23,57.23,1549,0
2017-04-12,19:00:00,57.2,57.25,57.2,57.25,722,0
2017-04-12,19:05:00,57.395,57.395,57.38,57.38,400,0
2017-04-12,19:10:00,57.38,57.43,57.33,57.43,1200,0
2017-04-12,19:15:00,57.39,57.477,57.35,57.425,1300,0
2017-04-12,19:20:00,57.37,57.482,57.36,57.41,2791,0
2017-04-12,19:25:00,57.41,57.58,57.36,57.56,6249,0
2017-04-12,19:30:00,57.609,57.609,57.51,57.56,4950,0
2017-04-12,19:35:00,57.62,57.66,57.51,57.61,3424,0
2017-04-12,19:40:00,57.64,57.69,57.57,57.67,1900,0
2017-04-12,19:45:00,57.73,57.7894,57.66,57.7,1200,0
2017-04-12,19:50:00,57.64,57.73,57.59,57.73,1539,0
2017-04-12,19:55:00,57.73,57.78,57.73,57.78,500,0
2017-04-12,20:00:00,57.78,58,57.76,57.91,1343,0
2017-04-12,20:05:00,58.02,58.07,57.93,57.93,600,0
2017-04-12,20:10:00,57.91,57.95,57.66,57.66,2301,0
2017-04-12,20:15:00,57.61,57.675,57.61,57.61,300,0
2017-04-12,20:20:00,57.65,57.78,57.65,57.74,1700,0
2017-04-12,20:25:00,57.66,57.66,57.66,57.66,100,0
2017-04-12,20:30:00,57.65,57.65,57.525,57.56,1300,0
2017-04-12,20:35:00,57.54,57.845,57.54,57.8,4505,0
2017-04-12,20:40:00,57.8,57.8,57.69,57.69,1200,0
2017-04-12,20:45:00,57.73,57.73,57.62,57.7,400,0
2017-04-12,20:50:00,57.61,57.73,57.61,57.665,2067,0
2017-04-12,20:55:00,57.71,57.75,57.64,57.64,2450,0
2017-04-12,21:00:00,57.65,57.69,57.65,57.67,500,0
2017-04-12,21:05:00,57.631,57.71,57.62,57.63,600,0
2017-04-12,21:10:00,57.6,57.6,57.44,57.44,2300,0
2017-04-12,21:15:00,57.51,57.64,57.5,57.63,10513,0
2017-04-12,21:20:00,57.59,57.64,57.55,57.62,4788,0
2017-04-12,21:25:00,57.6,57.85,57.6,57.67,2700,0
2017-04-12,21:30:00,57.64,57.71,57.585,57.6575,3700,0
2017-04-12,21:35:00,57.68,57.77,57.68,57.749,1600,0
2017-04-12,21:40:00,57.7,57.76,57.655,57.75,7108,0
2017-04-12,21:45:00,57.72,57.72,57.55,57.69,7268,0
2017-04-12,21:50:00,57.66,57.67,57.58,57.67,7580,0
2017-04-12,21:55:00,57.69,57.92,57.69,57.77,9804,0
2017-04-12,22:00:00,57.79,57.82,57.59,57.66,27672,0
2017-04-13,15:35:00,57.4,57.96,57.06,57.07,2227,0
2017-04-13,15:40:00,57.05,57.22,57.05,57.22,200,0
2017-04-13,15:45:00,57.825,58.15,57.82,58.02,1424,0
2017-04-13,15:50:00,58.165,58.49,58.03,58.49,1300,0
2017-04-13,15:55:00,58.41,58.575,58.25,58.25,6700,0
2017-04-13,16:00:00,58.3,58.925,58.29,58.88,5800,0
2017-04-13,16:05:00,58.88,59.23,58.6222,59.105,4179,0
2017-04-13,16:10:00,59.11,59.685,59.1,59.45,8327,0
2017-04-13,16:15:00,59.53,59.59,59.21,59.385,5050,0
2017-04-13,16:20:00,59.3345,59.955,59.3345,59.3564,9700,0
2017-04-13,16:25:00,59.464,59.72,59.2801,59.72,3153,0
2017-04-13,16:30:00,59.74,59.86,59.33,59.33,3400,0
2017-04-13,16:35:00,59.1629,59.42,59.1629,59.33,2800,0
2017-04-13,16:40:00,59.38,59.38,58.52,58.68,11700,0
2017-04-13,16:45:00,58.62,58.7699,58.5,58.64,9000,0
