Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-23,14:35:00,3.69,3.69,3.67,3.6756,4500,0
2017-03-23,14:40:00,3.68,3.74,3.68,3.74,300,0
2017-03-23,14:55:00,3.83,3.83,3.83,3.83,100,0
2017-03-23,15:05:00,3.8572,3.8572,3.8572,3.8572,150,0
2017-03-23,15:20:00,3.8402,3.8402,3.8402,3.8402,300,0
2017-03-23,15:30:00,3.83,3.83,3.81,3.81,965,0
2017-03-23,15:55:00,3.82,3.84,3.82,3.84,200,0
2017-03-23,16:10:00,3.81,3.81,3.81,3.81,200,0
2017-03-23,16:15:00,3.79,3.8272,3.7605,3.82,6566,0
2017-03-23,16:25:00,3.805,3.83,3.805,3.83,900,0
2017-03-23,16:50:00,3.83,3.83,3.83,3.83,200,0
2017-03-23,17:20:00,3.81,3.81,3.81,3.81,100,0
2017-03-23,17:35:00,3.78,3.83,3.78,3.83,200,0
2017-03-23,17:45:00,3.83,3.83,3.83,3.83,300,0
2017-03-23,18:00:00,3.83,3.83,3.81,3.81,300,0
2017-03-23,18:10:00,3.83,3.85,3.82,3.835,7324,0
2017-03-23,18:15:00,3.89,3.89,3.89,3.89,100,0
2017-03-23,18:20:00,3.89,3.89,3.89,3.89,100,0
2017-03-23,19:00:00,3.86,3.8953,3.86,3.8953,550,0
2017-03-23,19:30:00,3.89,3.9,3.89,3.9,200,0
2017-03-23,19:35:00,3.91,3.91,3.91,3.91,100,0
2017-03-23,19:45:00,3.87,3.9,3.87,3.9,400,0
2017-03-23,19:50:00,3.92,3.92,3.92,3.92,100,0
2017-03-23,20:10:00,3.91,3.92,3.91,3.92,300,0
2017-03-23,20:15:00,3.93,3.93,3.93,3.93,100,0
2017-03-23,20:20:00,3.93,3.93,3.93,3.93,100,0
2017-03-23,20:30:00,3.83,3.83,3.83,3.83,572,0
2017-03-23,20:45:00,3.88,3.88,3.88,3.88,100,0
2017-03-23,20:50:00,3.89,3.89,3.85,3.87,2100,0
2017-03-23,20:55:00,3.865,3.885,3.79,3.885,5699,0
2017-03-23,21:00:00,3.9,3.9,3.81,3.89,7922,0
2017-03-24,14:35:00,3.9,3.9,3.9,3.9,1100,0
2017-03-24,14:55:00,3.92,3.92,3.92,3.92,100,0
2017-03-24,15:00:00,3.94,3.94,3.94,3.94,200,0
2017-03-24,15:40:00,3.9,3.9,3.9,3.9,100,0
2017-03-24,15:45:00,3.91,3.91,3.91,3.91,100,0
2017-03-24,16:10:00,3.8801,3.9089,3.8801,3.9089,548,0
2017-03-24,16:20:00,3.89,3.8909,3.86,3.8678,3400,0
2017-03-24,16:30:00,3.89,3.89,3.89,3.89,100,0
2017-03-24,16:40:00,3.89,3.89,3.89,3.89,100,0
2017-03-24,16:45:00,3.87,3.87,3.86,3.87,385,0
2017-03-24,16:50:00,3.87,3.87,3.87,3.87,300,0
2017-03-24,17:05:00,3.86,3.86,3.86,3.86,200,0
2017-03-24,17:20:00,3.91,3.92,3.91,3.92,200,0
2017-03-24,17:30:00,3.92,3.92,3.92,3.92,100,0
2017-03-24,17:35:00,3.91,3.91,3.91,3.91,100,0
2017-03-24,17:40:00,3.91,3.91,3.91,3.91,200,0
2017-03-24,17:45:00,3.9,3.91,3.9,3.91,200,0
2017-03-24,18:00:00,3.92,3.92,3.91,3.91,200,0
2017-03-24,18:50:00,3.92,3.92,3.85,3.85,200,0
2017-03-24,19:15:00,3.9,3.9,3.9,3.9,100,0
2017-03-24,19:30:00,3.94,3.94,3.94,3.94,200,0
2017-03-24,19:35:00,3.94,3.94,3.94,3.94,300,0
2017-03-24,19:45:00,3.91,3.91,3.91,3.91,100,0
2017-03-24,20:10:00,3.95,3.95,3.95,3.95,100,0
2017-03-24,20:15:00,3.94,3.95,3.94,3.94,300,0
2017-03-24,20:50:00,3.9,3.9,3.9,3.9,400,0
2017-03-24,20:55:00,3.9,3.9,3.9,3.9,200,0
2017-03-24,21:00:00,3.87,3.87,3.87,3.87,100,0
2017-03-27,15:35:00,3.8,3.8,3.8,3.8,624,0
2017-03-27,15:50:00,3.88,3.88,3.88,3.88,100,0
2017-03-27,16:30:00,3.86,3.86,3.86,3.86,200,0
2017-03-27,17:10:00,3.83,3.8301,3.83,3.8301,902,0
2017-03-27,17:15:00,3.86,3.86,3.86,3.86,100,0
2017-03-27,17:35:00,3.86,3.86,3.86,3.86,100,0
2017-03-27,17:40:00,3.86,3.95,3.86,3.9,400,0
2017-03-27,18:30:00,3.82,3.82,3.82,3.82,100,0
2017-03-27,19:15:00,3.84,3.84,3.84,3.84,112,0
2017-03-27,19:45:00,3.82,3.82,3.82,3.82,100,0
2017-03-27,20:00:00,3.82,3.82,3.8,3.8,295,0
2017-03-27,20:05:00,3.82,3.82,3.82,3.82,100,0
2017-03-27,20:20:00,3.83,3.83,3.83,3.83,100,0
2017-03-27,20:35:00,3.82,3.82,3.82,3.82,100,0
2017-03-27,20:45:00,3.84,3.84,3.84,3.84,100,0
2017-03-27,21:00:00,3.83,3.83,3.83,3.83,100,0
2017-03-27,21:15:00,3.81,3.81,3.81,3.81,100,0
2017-03-27,21:25:00,3.81,3.83,3.79,3.83,8800,0
2017-03-27,21:30:00,3.84,3.84,3.84,3.84,100,0
2017-03-27,21:40:00,3.844,3.844,3.844,3.844,310,0
2017-03-27,21:45:00,3.85,3.85,3.8,3.84,4000,0
2017-03-27,21:50:00,3.84,3.855,3.78,3.84,7263,0
2017-03-27,22:00:00,3.87,3.87,3.81,3.86,4315,0
2017-03-28,16:05:00,3.85,3.8558,3.84,3.8558,1000,0
