Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-05,15:45:00,26.16,26.16,26.16,26.16,150,0
2016-12-05,15:50:00,26.16,26.16,26.153,26.153,700,0
2016-12-05,17:15:00,26.1278,26.1278,26.1278,26.1278,300,0
2016-12-05,19:05:00,26.1063,26.1063,26.1063,26.1063,1000,0
2016-12-05,19:15:00,26.091,26.091,26.091,26.091,400,0
2016-12-05,21:50:00,26.1015,26.1015,26.1015,26.1015,120,0
2016-12-05,22:00:00,26.1038,26.1038,26.0901,26.0901,240,0
2016-12-06,15:35:00,26.06,26.06,26.06,26.06,400,0
2016-12-06,16:05:00,26.08,26.08,26.08,26.08,1000,0
2016-12-06,16:20:00,26.1251,26.1251,26.1251,26.1251,1000,0
2016-12-06,18:35:00,26.16,26.16,26.1405,26.1405,1600,0
2016-12-06,19:35:00,26.19,26.21,26.189,26.189,4000,0
2016-12-06,21:20:00,26.16,26.16,26.15,26.15,500,0
2016-12-06,21:35:00,26.1985,26.1985,26.1985,26.1985,200,0
2016-12-06,21:50:00,26.21,26.27,26.21,26.24,633,0
2016-12-06,21:55:00,26.21,26.24,26.21,26.24,2100,0
2016-12-07,15:35:00,26.23,26.23,26.23,26.23,603,0
2016-12-07,16:45:00,26.23,26.23,26.23,26.23,100,0
2016-12-07,17:05:00,26.24,26.24,26.24,26.24,300,0
2016-12-07,17:45:00,26.27,26.27,26.27,26.27,1000,0
2016-12-07,17:55:00,26.27,26.27,26.27,26.27,200,0
2016-12-07,18:25:00,26.3,26.3,26.2965,26.2966,1000,0
2016-12-07,18:45:00,26.29,26.29,26.29,26.29,900,0
2016-12-07,19:15:00,26.29,26.29,26.27,26.2793,764,0
2016-12-07,19:55:00,26.3,26.3,26.3,26.3,1000,0
2016-12-07,20:15:00,26.29,26.29,26.29,26.29,600,0
2016-12-07,20:40:00,26.288,26.288,26.288,26.288,500,0
2016-12-07,20:55:00,26.27,26.27,26.27,26.27,1700,0
2016-12-07,21:00:00,26.2491,26.2491,26.2491,26.2491,1000,0
2016-12-07,21:15:00,26.25,26.25,26.25,26.25,200,0
2016-12-07,21:20:00,26.2303,26.2303,26.2303,26.2303,100,0
2016-12-07,22:00:00,26.231,26.231,26.231,26.231,500,0
2016-12-08,16:15:00,26.17,26.17,26.17,26.17,100,0
2016-12-08,19:40:00,26.25,26.25,26.25,26.25,2100,0
2016-12-08,19:45:00,26.2241,26.2241,26.2241,26.2241,600,0
2016-12-08,19:50:00,26.1801,26.25,26.1801,26.25,664,0
2016-12-08,21:20:00,26.18,26.18,26.18,26.18,400,0
2016-12-09,15:35:00,26.18,26.18,26.18,26.18,100,0
2016-12-09,15:45:00,26.2293,26.2293,26.2293,26.2293,300,0
2016-12-09,16:15:00,26.25,26.25,26.23,26.23,400,0
2016-12-09,16:20:00,26.23,26.23,26.23,26.23,100,0
2016-12-09,20:20:00,26.22,26.22,26.21,26.21,275,0
2016-12-09,22:00:00,26.23,26.291,26.228,26.2801,2034,0
2016-12-12,15:35:00,26.29,26.29,26.29,26.29,103,0
2016-12-12,16:10:00,26.2293,26.2293,26.2293,26.2293,400,0
2016-12-12,16:15:00,26.235,26.235,26.199,26.199,1195,0
2016-12-12,18:10:00,26.205,26.25,26.205,26.25,2470,0
2016-12-12,21:10:00,26.24,26.24,26.2399,26.2399,390,0
2016-12-12,22:00:00,26.26,26.26,26.23,26.23,366,0
2016-12-13,15:35:00,25.76,25.76,25.76,25.76,299,0
2016-12-13,15:45:00,25.79,25.79,25.79,25.79,500,0
2016-12-13,15:50:00,25.79,25.79,25.79,25.79,700,0
2016-12-13,15:55:00,25.85,25.85,25.85,25.85,2300,0
2016-12-13,16:05:00,25.85,25.85,25.85,25.85,3000,0
2016-12-13,16:15:00,25.85,25.85,25.85,25.85,1000,0
2016-12-13,16:40:00,25.8499,25.8499,25.8499,25.8499,100,0
2016-12-13,16:55:00,25.83,25.83,25.83,25.83,200,0
2016-12-13,20:15:00,25.83,25.83,25.83,25.83,150,0
2016-12-13,20:45:00,25.844,25.844,25.844,25.844,600,0
2016-12-13,21:00:00,25.8331,25.8331,25.8331,25.8331,300,0
2016-12-13,21:05:00,25.8365,25.8365,25.83,25.83,400,0
2016-12-14,15:55:00,25.87,25.87,25.8267,25.87,2700,0
2016-12-14,16:00:00,25.87,25.87,25.87,25.87,1500,0
2016-12-14,16:20:00,25.85,25.8575,25.85,25.8575,600,0
2016-12-14,18:25:00,25.8501,25.8501,25.8501,25.8501,100,0
2016-12-14,19:05:00,25.8695,25.8695,25.8695,25.8695,1000,0
2016-12-14,19:50:00,25.8635,25.8635,25.8635,25.8635,289,0
2016-12-14,21:40:00,25.85,25.85,25.85,25.85,799,0
2016-12-15,15:35:00,25.87,25.87,25.87,25.87,2985,0
2016-12-15,15:55:00,25.822,25.822,25.822,25.822,570,0
2016-12-15,16:35:00,25.8,25.8,25.8,25.8,100,0
2016-12-15,17:40:00,25.75,25.7618,25.75,25.75,650,0
2016-12-15,18:55:00,25.8,25.8,25.8,25.8,500,0
2016-12-15,19:10:00,25.8,25.8,25.8,25.8,11938,0
2016-12-15,19:40:00,25.7999,25.7999,25.7999,25.7999,1000,0
2016-12-15,19:50:00,25.756,25.756,25.756,25.756,100,0
2016-12-15,21:25:00,25.763,25.763,25.763,25.763,1000,0
2016-12-16,16:15:00,25.792,25.792,25.792,25.792,100,0
2016-12-16,16:55:00,25.77,25.77,25.77,25.77,500,0
2016-12-16,17:45:00,25.76,25.76,25.76,25.76,400,0
2016-12-16,18:55:00,25.77,25.77,25.76,25.76,388,0
2016-12-16,19:55:00,25.77,25.77,25.7661,25.7661,400,0
2016-12-16,20:45:00,25.76,25.76,25.76,25.76,400,0
2016-12-16,20:50:00,25.76,25.7635,25.76,25.7635,2172,0
2016-12-16,21:00:00,25.76,25.76,25.76,25.76,916,0
2016-12-16,21:30:00,25.743,25.743,25.743,25.743,2396,0
2016-12-16,21:45:00,25.77,25.77,25.77,25.77,703,0
2016-12-19,15:35:00,25.77,25.77,25.77,25.77,100,0
2016-12-19,15:45:00,25.7,25.7,25.7,25.7,160,0
2016-12-19,16:25:00,25.76,25.76,25.7255,25.7255,600,0
2016-12-19,16:45:00,25.76,25.76,25.76,25.76,100,0
2016-12-19,17:00:00,25.75,25.76,25.75,25.76,500,0
2016-12-19,17:10:00,25.77,25.77,25.77,25.77,300,0
2016-12-19,17:45:00,25.77,25.77,25.77,25.77,3300,0
2016-12-19,17:50:00,25.77,25.77,25.77,25.77,100,0
2016-12-19,18:40:00,25.755,25.755,25.755,25.755,500,0
2016-12-19,19:25:00,25.74,25.74,25.74,25.74,500,0
2016-12-19,19:30:00,25.74,25.74,25.7322,25.7322,500,0
2016-12-19,19:40:00,25.73,25.73,25.71,25.71,600,0
2016-12-19,19:45:00,25.71,25.71,25.71,25.71,715,0
2016-12-19,21:35:00,25.7398,25.7398,25.7398,25.7398,200,0
2016-12-20,16:30:00,25.75,25.75,25.74,25.74,200,0
2016-12-20,16:35:00,25.7452,25.7452,25.7452,25.7452,500,0
2016-12-20,16:40:00,25.75,25.77,25.73,25.73,3700,0
2016-12-20,16:45:00,25.76,25.77,25.76,25.77,800,0
2016-12-20,16:55:00,25.77,25.77,25.77,25.77,200,0
2016-12-20,17:15:00,25.77,25.77,25.77,25.77,701,0
2016-12-20,17:20:00,25.77,25.77,25.77,25.77,300,0
2016-12-20,17:30:00,25.77,25.77,25.77,25.77,800,0
2016-12-20,17:35:00,25.77,25.77,25.77,25.77,200,0
2016-12-20,17:40:00,25.77,25.77,25.77,25.77,799,0
2016-12-20,17:45:00,25.77,25.77,25.77,25.77,300,0
2016-12-20,17:50:00,25.77,25.77,25.77,25.77,2284,0
2016-12-20,18:00:00,25.91,25.92,25.9099,25.92,400,0
2016-12-20,18:10:00,25.91,25.91,25.9099,25.9099,800,0
2016-12-20,19:20:00,25.92,25.92,25.92,25.92,100,0
2016-12-20,19:45:00,25.92,25.92,25.91,25.91,400,0
2016-12-20,19:50:00,25.92,25.93,25.92,25.93,1300,0
2016-12-20,20:20:00,25.92,25.92,25.92,25.92,100,0
2016-12-20,22:00:00,25.91,25.91,25.81,25.81,385,0
2016-12-21,15:35:00,25.9221,25.9221,25.9221,25.9221,350,0
2016-12-21,16:20:00,25.93,25.93,25.9041,25.92,300,0
2016-12-21,16:30:00,25.87,25.87,25.31,25.82,1000,0
2016-12-21,18:10:00,25.88,25.88,25.8,25.8,2000,0
2016-12-21,18:40:00,25.86,25.86,25.86,25.86,200,0
2016-12-21,18:55:00,25.81,25.81,25.8,25.8,2600,0
2016-12-21,20:10:00,25.8381,25.8381,25.8381,25.8381,100,0
2016-12-21,21:20:00,25.87,25.8799,25.8313,25.8799,800,0
2016-12-21,21:55:00,25.85,25.85,25.85,25.85,100,0
2016-12-21,22:00:00,25.85,25.85,25.85,25.85,200,0
2016-12-22,16:25:00,25.79,25.8,25.79,25.79,1854,0
2016-12-22,16:30:00,25.7924,25.8,25.7924,25.8,600,0
2016-12-22,16:50:00,25.79,25.79,25.79,25.79,415,0
2016-12-22,16:55:00,25.79,25.79,25.79,25.79,100,0
2016-12-22,17:20:00,25.78,25.78,25.78,25.78,485,0
2016-12-22,17:40:00,25.8029,25.8766,25.8029,25.8766,700,0
2016-12-22,17:55:00,25.8427,25.8427,25.8427,25.8427,1000,0
2016-12-22,18:15:00,25.916,25.916,25.8978,25.8978,400,0
2016-12-22,19:45:00,25.93,25.93,25.9209,25.9209,400,0
2016-12-22,19:50:00,25.93,25.93,25.93,25.93,300,0
2016-12-22,20:45:00,25.897,25.897,25.897,25.897,1000,0
2016-12-23,16:15:00,25.8727,25.8727,25.8727,25.8727,100,0
2016-12-23,16:25:00,25.85,25.85,25.85,25.85,200,0
2016-12-23,16:30:00,25.93,25.96,25.8912,25.96,3895,0
2016-12-23,18:45:00,25.99,25.99,25.975,25.975,1600,0
2016-12-23,21:25:00,25.94,25.94,25.94,25.94,200,0
2016-12-27,15:35:00,25.77,25.77,25.77,25.77,1000,0
2016-12-27,16:25:00,25.841,25.841,25.841,25.841,550,0
2016-12-27,16:30:00,25.86,25.86,25.86,25.86,300,0
2016-12-27,16:40:00,25.81,25.82,25.81,25.82,200,0
2016-12-27,18:45:00,25.8711,25.8711,25.8711,25.8711,250,0
2016-12-27,21:30:00,25.8602,25.8602,25.8602,25.8602,195,0
2016-12-28,18:40:00,25.8349,25.8349,25.8349,25.8349,104,0
2016-12-28,18:45:00,25.8349,25.8349,25.8349,25.8349,100,0
2016-12-28,19:25:00,25.771,25.771,25.771,25.771,300,0
2016-12-28,20:00:00,25.88,25.88,25.8139,25.8569,807,0
2016-12-29,15:35:00,25.86,25.86,25.86,25.86,100,0
2016-12-29,16:30:00,25.8503,25.8503,25.8503,25.8503,588,0
2016-12-29,16:40:00,25.7968,25.8198,25.7968,25.8198,460,0
2016-12-29,19:05:00,25.86,25.86,25.86,25.86,100,0
2016-12-29,21:00:00,25.8607,25.8607,25.86,25.86,900,0
2016-12-30,15:35:00,25.88,25.88,25.88,25.88,254,0
2016-12-30,16:45:00,25.857,25.857,25.857,25.857,200,0
2016-12-30,17:20:00,25.81,25.8161,25.7818,25.8161,625,0
2016-12-30,19:05:00,25.87,25.87,25.87,25.87,100,0
2016-12-30,19:10:00,25.88,25.88,25.88,25.88,100,0
2016-12-30,19:25:00,25.875,25.875,25.86,25.86,420,0
2016-12-30,19:45:00,25.86,25.86,25.86,25.86,100,0
2016-12-30,20:00:00,25.836,25.836,25.836,25.836,200,0
2016-12-30,20:10:00,25.8492,25.8492,25.8492,25.8492,115,0
2016-12-30,20:45:00,25.86,25.86,25.8499,25.8499,688,0
2016-12-30,20:50:00,25.86,25.86,25.86,25.86,100,0
2016-12-30,21:00:00,25.836,25.836,25.836,25.836,541,0
2016-12-30,21:30:00,25.86,25.86,25.86,25.86,100,0
2016-12-30,22:00:00,25.844,25.844,25.844,25.844,500,0
2017-01-03,15:35:00,25.82,25.82,25.82,25.82,100,0
2017-01-03,16:20:00,25.8999,25.8999,25.874,25.874,200,0
2017-01-03,16:25:00,25.8814,25.8814,25.8814,25.8814,132,0
2017-01-03,18:45:00,25.9,25.9,25.8452,25.865,600,0
2017-01-03,19:45:00,25.851,25.851,25.851,25.851,200,0
2017-01-03,20:35:00,25.96,25.96,25.9599,25.9599,1000,0
2017-01-04,15:35:00,25.99,25.99,25.99,25.99,477,0
2017-01-04,17:20:00,25.95,25.95,25.95,25.95,722,0
2017-01-04,18:10:00,25.97,25.97,25.97,25.97,508,0
2017-01-04,19:15:00,26,26,26,26,5000,0
2017-01-04,20:05:00,26.05,26.05,26.05,26.05,100,0
2017-01-04,20:20:00,26.06,26.06,26.06,26.06,100,0
2017-01-04,20:30:00,26.07,26.07,26.07,26.07,100,0
2017-01-04,20:40:00,26.07,26.07,26.07,26.07,100,0
2017-01-04,20:50:00,26.07,26.07,26.07,26.07,100,0
2017-01-04,21:00:00,26.07,26.07,26.07,26.07,100,0
2017-01-04,21:10:00,26.07,26.07,26.07,26.07,100,0
2017-01-04,21:20:00,26.07,26.07,26.07,26.07,200,0
2017-01-04,21:30:00,26.07,26.07,26.07,26.07,100,0
2017-01-04,21:35:00,26.07,26.07,26.07,26.07,100,0
2017-01-04,21:45:00,26.07,26.07,26.0514,26.0514,2230,0
2017-01-04,21:50:00,26.07,26.07,26.07,26.07,100,0
2017-01-04,21:55:00,26.09,26.09,26.09,26.09,200,0
2017-01-04,22:00:00,26.09,26.09,26.09,26.09,400,0
2017-01-05,15:35:00,25.91,25.91,25.91,25.91,300,0
2017-01-05,15:50:00,25.9992,25.9992,25.9992,25.9992,400,0
2017-01-05,16:30:00,26.1,26.12,26.0685,26.12,4785,0
2017-01-05,22:00:00,25.9887,26.06,25.9887,26.06,400,0
2017-01-06,18:25:00,26.0824,26.0824,26.0824,26.0824,244,0
2017-01-06,19:00:00,26.11,26.11,26.06,26.06,250,0
2017-01-06,21:10:00,26.11,26.11,26.085,26.085,800,0
2017-01-06,21:25:00,26.08,26.08,26.08,26.08,100,0
2017-01-06,21:50:00,26.07,26.07,26.06,26.06,400,0
2017-01-06,22:00:00,26.06,26.06,26.06,26.06,700,0
2017-01-09,15:35:00,25.91,25.91,25.91,25.91,150,0
2017-01-09,15:45:00,25.9623,25.9623,25.91,25.945,5800,0
2017-01-09,17:40:00,26.0299,26.0299,26.0299,26.0299,330,0
2017-01-09,18:05:00,26,26,26,26,200,0
2017-01-09,18:20:00,26.0207,26.0207,26.0207,26.0207,1000,0
2017-01-09,18:30:00,26,26,26,26,1100,0
2017-01-09,18:40:00,25.93,25.9309,25.93,25.9309,800,0
2017-01-09,20:15:00,26.02,26.02,26.02,26.02,400,0
2017-01-09,20:25:00,26.02,26.02,26.02,26.02,1000,0
2017-01-09,20:50:00,26.0191,26.0191,25.99,25.99,500,0
