Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,97.38,97.51,97.12,97.23,9452,0
2017-04-10,15:40:00,97.28,97.56,97.28,97.5,2700,0
2017-04-10,15:45:00,97.51,97.65,97.5,97.62,1502,0
2017-04-10,15:50:00,97.55,97.94,97.53,97.8,13124,0
2017-04-10,15:55:00,97.89,98.04,97.85,98.01,7871,0
2017-04-10,16:00:00,98.01,98.1,97.93,98.08,4612,0
2017-04-10,16:05:00,98.04,98.225,97.93,98.15,11936,0
2017-04-10,16:10:00,98.18,98.32,98.1782,98.28,11283,0
2017-04-10,16:15:00,98.31,98.41,98.29,98.41,16820,0
2017-04-10,16:20:00,98.41,98.49,98.35,98.49,11236,0
2017-04-10,16:25:00,98.44,98.51,98.345,98.43,10112,0
2017-04-10,16:30:00,98.45,98.47,98.33,98.455,9055,0
2017-04-10,16:35:00,98.48,98.68,98.48,98.68,8449,0
2017-04-10,16:40:00,98.7,98.71,98.6,98.68,11021,0
2017-04-10,16:45:00,98.67,98.7,98.53,98.62,12207,0
2017-04-10,16:50:00,98.62,98.62,98.56,98.61,7824,0
2017-04-10,16:55:00,98.62,98.71,98.53,98.54,18132,0
2017-04-10,17:00:00,98.53,98.6,98.39,98.43,12129,0
2017-04-10,17:05:00,98.42,98.46,98.38,98.43,18066,0
2017-04-10,17:10:00,98.42,98.44,98.39,98.43,20794,0
2017-04-10,17:15:00,98.44,98.45,98.38,98.45,26384,0
2017-04-10,17:20:00,98.45,98.6,98.44,98.58,14298,0
2017-04-10,17:25:00,98.6,98.64,98.59,98.59,6901,0
2017-04-10,17:30:00,98.59,98.59,98.48,98.5,12689,0
2017-04-10,17:35:00,98.5,98.5,98.31,98.32,29364,0
2017-04-10,17:40:00,98.31,98.37,98.06,98.06,58061,0
2017-04-10,17:45:00,98.06,98.11,97.94,98.04,10558,0
2017-04-10,17:50:00,98.01,98.11,97.95,98.1,22477,0
2017-04-10,17:55:00,98.11,98.11,97.96,98.04,34305,0
2017-04-10,18:00:00,98.05,98.08,98,98.06,7059,0
2017-04-10,18:05:00,98.05,98.07,97.96,98.06,6577,0
2017-04-10,18:10:00,98.07,98.1,97.96,97.99,5222,0
2017-04-10,18:15:00,97.98,97.98,97.64,97.67,17765,0
2017-04-10,18:20:00,97.6743,97.71,97.63,97.63,14632,0
2017-04-10,18:25:00,97.62,97.71,97.59,97.68,7958,0
2017-04-10,18:30:00,97.66,97.72,97.61,97.7071,5232,0
2017-04-10,18:35:00,97.69,97.82,97.63,97.82,7961,0
2017-04-10,18:40:00,97.85,97.89,97.8,97.89,9496,0
2017-04-10,18:45:00,97.86,97.99,97.85,97.99,7393,0
2017-04-10,18:50:00,97.99,98.09,97.94,98.09,7240,0
2017-04-10,18:55:00,98.12,98.215,98.07,98.11,7728,0
2017-04-10,19:00:00,98.13,98.15,98.06,98.12,4300,0
2017-04-10,19:05:00,98.11,98.215,98.08,98.17,5900,0
2017-04-10,19:10:00,98.18,98.26,98.18,98.19,3868,0
2017-04-10,19:15:00,98.18,98.25,98.18,98.25,54583,0
2017-04-10,19:20:00,98.25,98.3,98.13,98.15,12018,0
2017-04-10,19:25:00,98.15,98.22,98.12,98.17,4802,0
2017-04-10,19:30:00,98.21,98.21,98.12,98.15,6700,0
2017-04-10,19:35:00,98.17,98.21,98.12,98.13,8973,0
2017-04-10,19:40:00,98.14,98.28,98.13,98.26,11894,0
2017-04-10,19:45:00,98.25,98.25,98.1,98.12,20230,0
2017-04-10,19:50:00,98.13,98.14,98.1,98.11,6902,0
2017-04-10,19:55:00,98.1,98.1,98.03,98.04,9801,0
2017-04-10,20:00:00,98.04,98.09,98.02,98.0801,10902,0
2017-04-10,20:05:00,98.08,98.08,97.83,97.83,11321,0
2017-04-10,20:10:00,97.83,98.01,97.83,98,10426,0
2017-04-10,20:15:00,97.98,98.06,97.97,98.06,10222,0
2017-04-10,20:20:00,98.07,98.11,98.045,98.07,13500,0
2017-04-10,20:25:00,98.1,98.1,97.96,97.97,11692,0
2017-04-10,20:30:00,97.96,97.96,97.87,97.89,10324,0
2017-04-10,20:35:00,97.88,98.04,97.88,97.94,11732,0
2017-04-10,20:40:00,97.96,97.96,97.85,97.85,9813,0
2017-04-10,20:45:00,97.84,98.005,97.82,97.98,13610,0
2017-04-10,20:50:00,97.97,98.2,97.97,98.06,22766,0
2017-04-10,20:55:00,98.04,98.2099,98.02,98.13,9590,0
2017-04-10,21:00:00,98.135,98.19,98.09,98.095,24701,0
2017-04-10,21:05:00,98.1,98.22,98.07,98.21,19171,0
2017-04-10,21:10:00,98.2,98.31,98.17,98.18,17837,0
2017-04-10,21:15:00,98.18,98.22,98.15,98.15,12674,0
2017-04-10,21:20:00,98.15,98.26,98.15,98.2,21161,0
2017-04-10,21:25:00,98.18,98.18,98,98.11,15455,0
2017-04-10,21:30:00,98.1,98.13,98.07,98.07,20938,0
2017-04-10,21:35:00,98.06,98.07,98,98.05,16221,0
2017-04-10,21:40:00,98.06,98.15,98.05,98.14,19225,0
2017-04-10,21:45:00,98.13,98.13,98.01,98.08,27811,0
2017-04-10,21:50:00,98.08,98.12,97.89,97.89,47637,0
2017-04-10,21:55:00,97.88,97.99,97.88,97.94,35522,0
2017-04-10,22:00:00,97.94,97.99,97.9,97.95,160106,0
2017-04-11,15:35:00,97.29,97.88,96.78,96.79,36225,0
2017-04-11,15:40:00,96.94,97.08,96.43,96.5,42654,0
2017-04-11,15:45:00,96.45,96.47,95.66,95.98,48598,0
2017-04-11,15:50:00,96,96.42,95.84,95.95,35968,0
2017-04-11,15:55:00,95.95,96.16,95.91,95.975,15376,0
2017-04-11,16:00:00,96,96.15,95.95,96.13,12004,0
2017-04-11,16:05:00,96.14,96.16,95.96,96.08,20282,0
2017-04-11,16:10:00,96.13,96.18,95.95,96.16,17290,0
2017-04-11,16:15:00,96.15,96.2,95.98,96,9646,0
2017-04-11,16:20:00,96.03,96.08,95.94,96,34384,0
2017-04-11,16:25:00,96,96.01,95.61,95.61,28309,0
2017-04-11,16:30:00,95.69,96.03,95.61,95.96,35255,0
2017-04-11,16:35:00,95.895,95.99,95.71,95.74,13980,0
2017-04-11,16:40:00,95.75,95.75,95.56,95.71,20470,0
2017-04-11,16:45:00,95.71,95.71,95.22,95.46,33199,0
2017-04-11,16:50:00,95.44,95.53,95.31,95.47,44498,0
2017-04-11,16:55:00,95.42,95.49,95.03,95.07,29146,0
2017-04-11,17:00:00,95.07,95.3099,95.06,95.3,16773,0
2017-04-11,17:05:00,95.31,95.66,95.25,95.58,25275,0
2017-04-11,17:10:00,95.6,95.75,95.59,95.6,13846,0
2017-04-11,17:15:00,95.62,95.64,95.38,95.41,12200,0
2017-04-11,17:20:00,95.38,95.53,95.28,95.53,13785,0
2017-04-11,17:25:00,95.5399,95.55,95.41,95.48,13213,0
2017-04-11,17:30:00,95.51,95.52,95.42,95.43,18715,0
2017-04-11,17:35:00,95.44,95.47,95.26,95.34,28292,0
2017-04-11,17:40:00,95.34,95.4,95.33,95.39,4203,0
2017-04-11,17:45:00,95.4,95.44,95.32,95.32,19527,0
2017-04-11,17:50:00,95.36,95.37,95.18,95.21,16999,0
2017-04-11,17:55:00,95.218,95.26,95.18,95.22,12184,0
2017-04-11,18:00:00,95.26,95.26,95.14,95.24,12666,0
2017-04-11,18:05:00,95.22,95.22,95.05,95.05,5884,0
2017-04-11,18:10:00,95.04,95.09,95.03,95.082,7389,0
2017-04-11,18:15:00,95.1,95.28,95.1,95.21,11097,0
2017-04-11,18:20:00,95.22,95.235,95.1,95.18,27709,0
2017-04-11,18:25:00,95.21,95.27,95.18,95.21,10709,0
2017-04-11,18:30:00,95.17,95.22,95.14,95.17,3954,0
2017-04-11,18:35:00,95.19,95.25,95.15,95.2,5481,0
2017-04-11,18:40:00,95.23,95.25,95.14,95.14,7840,0
2017-04-11,18:45:00,95.15,95.23,95.11,95.13,11487,0
2017-04-11,18:50:00,95.115,95.115,94.94,94.965,15799,0
2017-04-11,18:55:00,94.96,95.06,94.95,94.98,13303,0
2017-04-11,19:00:00,94.98,95.03,94.935,95.03,11997,0
2017-04-11,19:05:00,95.02,95.15,95.02,95.12,23958,0
2017-04-11,19:10:00,95.09,95.15,95.06,95.08,49807,0
2017-04-11,19:15:00,95.09,95.18,95.09,95.165,15240,0
2017-04-11,19:20:00,95.17,95.18,95.08,95.17,22860,0
2017-04-11,19:25:00,95.14,95.29,95.14,95.18,15557,0
