Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,15.22,15.26,15.14,15.145,22932,0
2017-04-10,15:40:00,15.17,15.25,15.155,15.24,25104,0
2017-04-10,15:45:00,15.24,15.3,15.24,15.3,34230,0
2017-04-10,15:50:00,15.3,15.37,15.28,15.37,49866,0
2017-04-10,15:55:00,15.37,15.39,15.34,15.385,33574,0
2017-04-10,16:00:00,15.39,15.405,15.36,15.405,49789,0
2017-04-10,16:05:00,15.4,15.4401,15.395,15.42,108463,0
2017-04-10,16:10:00,15.42,15.44,15.405,15.44,95330,0
2017-04-10,16:15:00,15.435,15.44,15.345,15.42,51016,0
2017-04-10,16:20:00,15.42,15.43,15.39,15.39,16650,0
2017-04-10,16:25:00,15.39,15.43,15.38,15.42,24627,0
2017-04-10,16:30:00,15.43,15.4711,15.43,15.47,28115,0
2017-04-10,16:35:00,15.47,15.5,15.47,15.48,35324,0
2017-04-10,16:40:00,15.48,15.5,15.47,15.49,33483,0
2017-04-10,16:45:00,15.49,15.51,15.46,15.46,24223,0
2017-04-10,16:50:00,15.46,15.47,15.42,15.44,37977,0
2017-04-10,16:55:00,15.45,15.45,15.43,15.44,22617,0
2017-04-10,17:00:00,15.44,15.45,15.39,15.4,21084,0
2017-04-10,17:05:00,15.39,15.4,15.35,15.38,27231,0
2017-04-10,17:10:00,15.37,15.37,15.33,15.35,17816,0
2017-04-10,17:15:00,15.35,15.4,15.35,15.4,14300,0
2017-04-10,17:20:00,15.4,15.42,15.39,15.4,32991,0
2017-04-10,17:25:00,15.41,15.46,15.4,15.46,46570,0
2017-04-10,17:30:00,15.45,15.46,15.42,15.46,23774,0
2017-04-10,17:35:00,15.46,15.47,15.38,15.38,28406,0
2017-04-10,17:40:00,15.38,15.41,15.36,15.37,17335,0
2017-04-10,17:45:00,15.38,15.39,15.35,15.39,20963,0
2017-04-10,17:50:00,15.39,15.42,15.38,15.42,11806,0
2017-04-10,17:55:00,15.41,15.41,15.4,15.4,11833,0
2017-04-10,18:00:00,15.4,15.43,15.39,15.43,35704,0
2017-04-10,18:05:00,15.43,15.46,15.43,15.46,13950,0
2017-04-10,18:10:00,15.4545,15.46,15.41,15.43,12621,0
2017-04-10,18:15:00,15.43,15.43,15.35,15.36,18516,0
2017-04-10,18:20:00,15.36,15.38,15.35,15.38,10426,0
2017-04-10,18:25:00,15.38,15.38,15.35,15.37,12158,0
2017-04-10,18:30:00,15.37,15.39,15.365,15.38,6299,0
2017-04-10,18:35:00,15.38,15.41,15.37,15.41,20006,0
2017-04-10,18:40:00,15.4,15.42,15.39,15.405,21351,0
2017-04-10,18:45:00,15.405,15.45,15.4,15.43,17657,0
2017-04-10,18:50:00,15.425,15.455,15.42,15.45,12301,0
2017-04-10,18:55:00,15.45,15.46,15.43,15.43,19943,0
2017-04-10,19:00:00,15.43,15.46,15.43,15.45,17768,0
2017-04-10,19:05:00,15.46,15.46,15.44,15.44,12093,0
2017-04-10,19:10:00,15.445,15.45,15.4,15.4,33771,0
2017-04-10,19:15:00,15.41,15.42,15.4,15.4,34169,0
2017-04-10,19:20:00,15.4,15.41,15.39,15.4,24545,0
2017-04-10,19:25:00,15.41,15.41,15.395,15.4,37374,0
2017-04-10,19:30:00,15.4,15.405,15.38,15.38,25238,0
