Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,2.6,2.6,2.6,2.6,4315,0
2017-04-07,15:50:00,2.625,2.625,2.605,2.605,1500,0
2017-04-07,15:55:00,2.605,2.605,2.605,2.605,350,0
2017-04-07,16:05:00,2.6,2.625,2.55,2.575,22596,0
2017-04-07,16:10:00,2.575,2.575,2.575,2.575,200,0
2017-04-07,16:15:00,2.5923,2.5923,2.5923,2.5923,1000,0
2017-04-07,16:20:00,2.575,2.575,2.575,2.575,400,0
2017-04-07,16:25:00,2.589,2.589,2.589,2.589,2000,0
2017-04-07,16:30:00,2.55,2.575,2.55,2.55,980,0
2017-04-07,16:35:00,2.575,2.575,2.55,2.575,1300,0
2017-04-07,16:40:00,2.55,2.575,2.55,2.55,600,0
2017-04-07,16:45:00,2.55,2.555,2.55,2.555,200,0
2017-04-07,16:50:00,2.592,2.592,2.55,2.55,2300,0
2017-04-07,16:55:00,2.55,2.555,2.55,2.555,500,0
2017-04-07,17:00:00,2.55,2.55,2.55,2.55,200,0
2017-04-07,17:05:00,2.55,2.5999,2.55,2.5999,5000,0
2017-04-07,17:10:00,2.55,2.575,2.55,2.55,5051,0
2017-04-07,17:15:00,2.55,2.5902,2.55,2.55,5600,0
2017-04-07,17:20:00,2.55,2.575,2.55,2.575,700,0
2017-04-07,17:25:00,2.55,2.5503,2.55,2.5503,2200,0
2017-04-07,17:30:00,2.575,2.575,2.55,2.55,500,0
2017-04-07,17:35:00,2.55,2.575,2.55,2.575,500,0
2017-04-07,17:40:00,2.55,2.55,2.55,2.55,800,0
2017-04-07,17:45:00,2.55,2.55,2.5,2.525,30101,0
2017-04-07,17:50:00,2.525,2.525,2.5,2.5,930,0
2017-04-07,17:55:00,2.5125,2.525,2.5,2.525,300,0
2017-04-07,18:00:00,2.525,2.525,2.5,2.5,300,0
2017-04-07,18:05:00,2.525,2.525,2.525,2.525,500,0
2017-04-07,18:10:00,2.5,2.525,2.5,2.525,500,0
2017-04-07,18:15:00,2.525,2.55,2.5,2.55,1100,0
2017-04-07,18:20:00,2.55,2.55,2.5,2.55,12950,0
2017-04-07,18:25:00,2.55,2.55,2.518,2.525,2600,0
2017-04-07,18:30:00,2.5499,2.5499,2.5,2.525,1150,0
2017-04-07,18:35:00,2.5453,2.5453,2.525,2.525,1600,0
2017-04-07,18:40:00,2.525,2.525,2.5,2.5,200,0
2017-04-07,18:45:00,2.525,2.55,2.525,2.525,500,0
2017-04-07,18:50:00,2.525,2.525,2.5,2.525,800,0
2017-04-07,18:55:00,2.525,2.55,2.525,2.5497,3280,0
2017-04-07,19:00:00,2.525,2.525,2.5,2.5,200,0
2017-04-07,19:05:00,2.5,2.525,2.5,2.525,1100,0
2017-04-07,19:10:00,2.525,2.55,2.5,2.55,2600,0
2017-04-07,19:15:00,2.525,2.55,2.5,2.55,600,0
2017-04-07,19:20:00,2.55,2.55,2.5,2.55,1300,0
2017-04-07,19:25:00,2.525,2.55,2.525,2.525,1000,0
2017-04-07,19:30:00,2.55,2.55,2.5,2.55,900,0
2017-04-07,19:35:00,2.525,2.55,2.515,2.55,1300,0
2017-04-07,19:40:00,2.525,2.55,2.525,2.525,1000,0
2017-04-07,19:45:00,2.525,2.55,2.5125,2.525,1900,0
2017-04-07,19:50:00,2.5125,2.5125,2.5,2.5,200,0
2017-04-07,19:55:00,2.5,2.55,2.5,2.525,1000,0
2017-04-07,20:00:00,2.525,2.5305,2.5,2.525,1500,0
2017-04-07,20:05:00,2.525,2.55,2.525,2.55,1000,0
2017-04-07,20:10:00,2.5,2.55,2.5,2.525,1500,0
2017-04-07,20:15:00,2.55,2.55,2.525,2.525,3700,0
2017-04-07,20:20:00,2.55,2.55,2.5,2.525,1500,0
2017-04-07,20:25:00,2.525,2.55,2.5,2.525,2100,0
2017-04-07,20:30:00,2.55,2.55,2.5,2.55,1400,0
2017-04-07,20:35:00,2.5499,2.55,2.5,2.55,3600,0
2017-04-07,20:40:00,2.5,2.55,2.5,2.525,5470,0
2017-04-07,20:45:00,2.525,2.549,2.5,2.5,4200,0
2017-04-07,20:50:00,2.55,2.55,2.5,2.525,2800,0
2017-04-07,20:55:00,2.5,2.55,2.5,2.55,3100,0
2017-04-07,21:00:00,2.525,2.55,2.5,2.525,2100,0
2017-04-07,21:05:00,2.5,2.55,2.5,2.505,3050,0
