Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-14,15:35:00,8.71,8.71,8.71,8.71,100,0
2017-02-14,15:45:00,8.715,8.715,8.715,8.715,1100,0
2017-02-14,16:10:00,8.71,8.71,8.71,8.71,1944,0
2017-02-14,16:15:00,8.7099,8.7099,8.7099,8.7099,141,0
2017-02-14,16:25:00,8.71,8.71,8.71,8.71,312,0
2017-02-14,16:30:00,8.72,8.73,8.72,8.72,4915,0
2017-02-14,16:50:00,8.7,8.7,8.7,8.7,256,0
2017-02-14,17:25:00,8.7,8.7,8.7,8.7,100,0
2017-02-14,17:35:00,8.7112,8.7112,8.7112,8.7112,142,0
2017-02-14,17:55:00,8.7001,8.7001,8.7001,8.7001,169,0
2017-02-14,18:50:00,8.7199,8.72,8.7106,8.7106,740,0
2017-02-14,19:10:00,8.7,8.7,8.68,8.69,1676,0
2017-02-14,19:55:00,8.7001,8.7001,8.7001,8.7001,100,0
2017-02-14,20:30:00,8.7,8.7001,8.7,8.7001,900,0
2017-02-14,20:35:00,8.7,8.7,8.7,8.7,171,0
2017-02-14,20:50:00,8.7001,8.7001,8.7001,8.7001,100,0
2017-02-14,21:20:00,8.7001,8.7001,8.7001,8.7001,100,0
2017-02-14,21:35:00,8.7001,8.7001,8.7001,8.7001,236,0
2017-02-14,21:50:00,8.7001,8.7001,8.7001,8.7001,100,0
2017-02-14,21:55:00,8.71,8.71,8.71,8.71,100,0
2017-02-14,22:00:00,8.72,8.73,8.72,8.72,1400,0
2017-02-15,15:35:00,8.67,8.67,8.67,8.67,617,0
2017-02-15,15:55:00,8.6719,8.6719,8.6719,8.6719,355,0
2017-02-15,16:15:00,8.68,8.68,8.68,8.68,100,0
2017-02-15,16:40:00,8.695,8.7,8.695,8.7,1100,0
2017-02-15,16:50:00,8.73,8.73,8.73,8.73,100,0
2017-02-15,17:20:00,8.7001,8.7001,8.7001,8.7001,410,0
2017-02-15,17:40:00,8.73,8.73,8.73,8.73,212,0
2017-02-15,17:50:00,8.73,8.73,8.73,8.73,100,0
2017-02-15,17:55:00,8.715,8.715,8.715,8.715,100,0
2017-02-15,18:20:00,8.73,8.73,8.73,8.73,100,0
2017-02-15,18:35:00,8.74,8.74,8.74,8.74,100,0
2017-02-15,18:55:00,8.74,8.74,8.74,8.74,100,0
2017-02-15,19:15:00,8.75,8.75,8.7383,8.75,2300,0
2017-02-15,19:30:00,8.75,8.75,8.72,8.72,1200,0
2017-02-15,19:45:00,8.75,8.75,8.75,8.75,100,0
2017-02-15,19:55:00,8.735,8.735,8.735,8.735,133,0
2017-02-15,20:10:00,8.75,8.75,8.75,8.75,100,0
2017-02-15,20:35:00,8.7201,8.75,8.7201,8.75,2600,0
2017-02-15,20:40:00,8.7201,8.7201,8.7201,8.7201,100,0
2017-02-15,20:50:00,8.741,8.741,8.741,8.741,109,0
2017-02-15,20:55:00,8.75,8.75,8.75,8.75,100,0
2017-02-15,21:05:00,8.75,8.75,8.73,8.73,2663,0
2017-02-15,21:15:00,8.75,8.75,8.745,8.75,2000,0
2017-02-15,21:20:00,8.7401,8.76,8.74,8.76,4088,0
2017-02-15,21:30:00,8.7701,8.7705,8.7701,8.7705,432,0
2017-02-15,21:35:00,8.77,8.77,8.77,8.77,310,0
2017-02-15,21:55:00,8.79,8.79,8.78,8.78,1677,0
2017-02-15,22:00:00,8.785,8.785,8.78,8.78,1224,0
2017-02-16,15:35:00,8.79,8.79,8.79,8.79,498,0
2017-02-16,15:55:00,8.75,8.75,8.75,8.75,1597,0
2017-02-16,16:30:00,8.74,8.74,8.73,8.73,2438,0
2017-02-16,16:35:00,8.7301,8.74,8.73,8.73,2961,0
2017-02-16,16:55:00,8.73,8.73,8.72,8.72,521,0
2017-02-16,17:15:00,8.7202,8.7202,8.72,8.7202,1210,0
2017-02-16,17:20:00,8.72,8.72,8.72,8.72,1500,0
2017-02-16,17:30:00,8.72,8.72,8.72,8.72,2100,0
2017-02-16,17:55:00,8.72,8.7201,8.72,8.7201,200,0
2017-02-16,18:10:00,8.7201,8.7201,8.72,8.72,1100,0
2017-02-16,18:15:00,8.7314,8.7314,8.7314,8.7314,389,0
2017-02-16,18:30:00,8.72,8.72,8.72,8.72,200,0
2017-02-16,18:55:00,8.7399,8.74,8.72,8.72,2300,0
2017-02-16,19:55:00,8.72,8.72,8.69,8.7,10093,0
2017-02-16,21:50:00,8.7,8.7,8.7,8.7,2100,0
2017-02-16,21:55:00,8.69,8.6901,8.69,8.6901,585,0
2017-02-16,22:00:00,8.7,8.7,8.69,8.69,1200,0
2017-02-17,15:35:00,8.7,8.7,8.7,8.7,600,0
2017-02-17,17:25:00,8.6986,8.6986,8.6986,8.6986,100,0
2017-02-17,17:30:00,8.68,8.68,8.67,8.68,410,0
2017-02-17,17:40:00,8.67,8.6735,8.67,8.6735,284,0
2017-02-17,17:55:00,8.67,8.67,8.67,8.67,1000,0
2017-02-17,18:20:00,8.68,8.68,8.67,8.6786,770,0
2017-02-17,18:25:00,8.679,8.68,8.679,8.68,1500,0
2017-02-17,18:30:00,8.67,8.6712,8.57,8.59,10561,0
2017-02-17,18:35:00,8.61,8.6442,8.6,8.6144,25900,0
2017-02-17,19:10:00,8.64,8.64,8.64,8.64,1000,0
2017-02-17,19:25:00,8.63,8.63,8.63,8.63,200,0
2017-02-17,19:35:00,8.6543,8.6543,8.6543,8.6543,450,0
2017-02-17,19:40:00,8.65,8.66,8.64,8.647,600,0
2017-02-17,19:55:00,8.66,8.66,8.64,8.64,1500,0
2017-02-17,20:10:00,8.6543,8.66,8.6543,8.66,300,0
2017-02-17,20:15:00,8.655,8.655,8.655,8.655,170,0
2017-02-17,20:40:00,8.65,8.6501,8.63,8.63,3024,0
2017-02-17,20:50:00,8.62,8.62,8.62,8.62,100,0
2017-02-17,20:55:00,8.65,8.65,8.65,8.65,900,0
2017-02-17,21:05:00,8.65,8.65,8.65,8.65,600,0
2017-02-17,21:10:00,8.66,8.66,8.655,8.66,400,0
2017-02-17,21:15:00,8.66,8.66,8.66,8.66,500,0
2017-02-17,21:30:00,8.66,8.66,8.66,8.66,100,0
2017-02-17,21:35:00,8.66,8.66,8.63,8.66,700,0
2017-02-17,21:40:00,8.66,8.67,8.66,8.67,400,0
2017-02-17,21:45:00,8.6652,8.6652,8.6652,8.6652,952,0
2017-02-17,21:55:00,8.67,8.68,8.67,8.6772,1400,0
2017-02-17,22:00:00,8.6772,8.6772,8.63,8.63,660,0
2017-02-21,15:40:00,8.6763,8.6763,8.6763,8.6763,400,0
2017-02-21,16:00:00,8.6208,8.6208,8.6208,8.6208,6000,0
2017-02-21,16:30:00,8.6799,8.6799,8.6799,8.6799,100,0
2017-02-21,16:35:00,8.64,8.6796,8.64,8.6796,880,0
2017-02-21,16:40:00,8.6759,8.68,8.67,8.6799,5200,0
2017-02-21,16:45:00,8.68,8.7,8.68,8.6851,7950,0
2017-02-21,16:50:00,8.6999,8.6999,8.6999,8.6999,100,0
2017-02-21,16:55:00,8.6903,8.6903,8.6903,8.6903,203,0
2017-02-21,17:05:00,8.7,8.7,8.7,8.7,100,0
2017-02-21,17:15:00,8.7,8.7,8.7,8.7,100,0
2017-02-21,17:20:00,8.6801,8.6891,8.68,8.6801,1535,0
2017-02-21,17:30:00,8.6986,8.6986,8.6986,8.6986,100,0
2017-02-21,17:45:00,8.6999,8.6999,8.6999,8.6999,100,0
2017-02-21,18:05:00,8.69,8.69,8.69,8.69,600,0
2017-02-21,18:10:00,8.6999,8.6999,8.6999,8.6999,109,0
2017-02-21,18:20:00,8.6956,8.6956,8.6956,8.6956,100,0
2017-02-21,18:35:00,8.6856,8.6856,8.6856,8.6856,151,0
2017-02-21,18:40:00,8.6984,8.6984,8.6984,8.6984,100,0
2017-02-21,19:00:00,8.6999,8.6999,8.6999,8.6999,100,0
2017-02-21,19:10:00,8.694,8.694,8.68,8.69,1000,0
2017-02-21,19:15:00,8.69,8.69,8.6801,8.6801,527,0
2017-02-21,19:35:00,8.69,8.69,8.69,8.69,100,0
2017-02-21,19:50:00,8.6942,8.6942,8.6942,8.6942,100,0
2017-02-21,20:05:00,8.6999,8.6999,8.6999,8.6999,200,0
2017-02-21,20:10:00,8.7,8.7,8.7,8.7,900,0
2017-02-21,20:25:00,8.6999,8.6999,8.6999,8.6999,100,0
2017-02-21,20:40:00,8.69,8.69,8.69,8.69,100,0
2017-02-21,20:55:00,8.6945,8.6945,8.6945,8.6945,100,0
2017-02-21,21:05:00,8.6801,8.6801,8.6801,8.6801,100,0
2017-02-21,21:10:00,8.6999,8.6999,8.6999,8.6999,100,0
2017-02-21,21:20:00,8.7,8.7,8.6948,8.6948,1183,0
2017-02-21,21:35:00,8.6999,8.6999,8.6999,8.6999,100,0
2017-02-21,21:45:00,8.7,8.7,8.7,8.7,422,0
2017-02-21,21:50:00,8.6947,8.6952,8.6861,8.6861,851,0
2017-02-21,21:55:00,8.6999,8.6999,8.69,8.69,291,0
2017-02-21,22:00:00,8.6999,8.7,8.68,8.6801,405,0
2017-02-22,15:35:00,8.63,8.63,8.59,8.59,200,0
2017-02-22,15:50:00,8.72,8.72,8.6958,8.7189,700,0
2017-02-22,16:00:00,8.6155,8.6155,8.6155,8.6155,125,0
2017-02-22,16:05:00,8.6586,8.6586,8.6586,8.6586,163,0
2017-02-22,16:10:00,8.64,8.6683,8.64,8.6683,405,0
2017-02-22,16:20:00,8.67,8.67,8.6681,8.6681,381,0
2017-02-22,16:25:00,8.67,8.67,8.67,8.67,100,0
2017-02-22,16:30:00,8.67,8.67,8.67,8.67,100,0
2017-02-22,16:35:00,8.67,8.67,8.67,8.67,100,0
2017-02-22,16:40:00,8.67,8.69,8.67,8.69,200,0
2017-02-22,16:50:00,8.69,8.69,8.6701,8.6701,1220,0
2017-02-22,16:55:00,8.69,8.69,8.67,8.67,300,0
2017-02-22,17:00:00,8.67,8.67,8.67,8.67,100,0
2017-02-22,17:05:00,8.6601,8.6601,8.66,8.66,2700,0
2017-02-22,17:10:00,8.66,8.68,8.66,8.68,300,0
2017-02-22,17:15:00,8.66,8.66,8.66,8.66,200,0
2017-02-22,17:25:00,8.66,8.66,8.66,8.66,200,0
2017-02-22,17:30:00,8.66,8.66,8.66,8.66,200,0
2017-02-22,17:35:00,8.66,8.66,8.66,8.66,100,0
2017-02-22,17:50:00,8.65,8.6501,8.65,8.6501,600,0
2017-02-22,17:55:00,8.655,8.655,8.655,8.655,2000,0
2017-02-22,18:05:00,8.655,8.655,8.655,8.655,135,0
2017-02-22,18:30:00,8.6501,8.6501,8.6501,8.6501,100,0
2017-02-22,19:05:00,8.655,8.655,8.65,8.6505,708,0
2017-02-22,19:55:00,8.6501,8.6501,8.6501,8.6501,100,0
2017-02-22,20:20:00,8.6599,8.6599,8.65,8.65,1100,0
2017-02-22,20:25:00,8.655,8.655,8.65,8.65,334,0
2017-02-22,20:45:00,8.6598,8.66,8.65,8.65,2519,0
2017-02-22,20:50:00,8.65,8.65,8.65,8.65,200,0
2017-02-22,20:55:00,8.64,8.64,8.64,8.64,900,0
2017-02-22,21:05:00,8.64,8.641,8.63,8.63,2200,0
2017-02-22,21:10:00,8.63,8.63,8.62,8.62,4500,0
2017-02-22,21:15:00,8.6,8.6007,8.5999,8.6,27964,0
2017-02-22,21:40:00,8.6196,8.6196,8.6196,8.6196,550,0
2017-02-22,21:45:00,8.63,8.63,8.63,8.63,200,0
2017-02-22,21:50:00,8.649,8.65,8.6478,8.6478,1300,0
2017-02-22,21:55:00,8.647,8.647,8.647,8.647,1000,0
2017-02-22,22:00:00,8.63,8.6301,8.63,8.6301,424,0
2017-02-23,15:35:00,8.63,8.63,8.63,8.63,300,0
2017-02-23,16:10:00,8.6501,8.6501,8.6501,8.6501,100,0
2017-02-23,16:15:00,8.6501,8.6501,8.65,8.65,300,0
2017-02-23,16:20:00,8.65,8.6501,8.65,8.6501,3700,0
2017-02-23,16:25:00,8.6603,8.6603,8.6603,8.6603,400,0
2017-02-23,16:30:00,8.65,8.65,8.65,8.65,200,0
2017-02-23,16:40:00,8.664,8.664,8.664,8.664,579,0
2017-02-23,17:00:00,8.65,8.65,8.65,8.65,100,0
2017-02-23,17:20:00,8.65,8.65,8.64,8.64,700,0
2017-02-23,17:25:00,8.65,8.65,8.65,8.65,600,0
2017-02-23,17:30:00,8.66,8.66,8.64,8.64,3000,0
2017-02-23,17:35:00,8.66,8.66,8.64,8.64,1800,0
2017-02-23,17:40:00,8.65,8.65,8.65,8.65,1000,0
2017-02-23,17:45:00,8.65,8.65,8.65,8.65,1500,0
2017-02-23,18:05:00,8.6434,8.6434,8.6434,8.6434,500,0
2017-02-23,18:15:00,8.64,8.64,8.64,8.64,100,0
2017-02-23,18:25:00,8.64,8.64,8.64,8.64,100,0
2017-02-23,18:45:00,8.6425,8.6425,8.6425,8.6425,164,0
2017-02-23,18:50:00,8.65,8.65,8.65,8.65,760,0
2017-02-23,19:00:00,8.64,8.64,8.64,8.64,100,0
2017-02-23,19:05:00,8.63,8.63,8.63,8.63,100,0
2017-02-23,19:25:00,8.65,8.65,8.645,8.6499,1173,0
2017-02-23,19:40:00,8.67,8.67,8.67,8.67,1150,0
2017-02-23,20:15:00,8.68,8.6843,8.68,8.6825,1357,0
2017-02-23,20:25:00,8.66,8.66,8.66,8.66,100,0
2017-02-23,20:45:00,8.66,8.66,8.66,8.66,100,0
2017-02-23,21:00:00,8.66,8.66,8.66,8.66,100,0
2017-02-23,21:20:00,8.66,8.66,8.66,8.66,100,0
2017-02-23,21:35:00,8.66,8.66,8.66,8.66,100,0
2017-02-23,21:45:00,8.66,8.6637,8.66,8.66,1100,0
2017-02-23,22:00:00,8.67,8.68,8.67,8.68,319,0
2017-02-24,15:35:00,8.61,8.61,8.61,8.61,1100,0
