Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,61.14,61.14,61.14,61.14,1236,0
2017-04-07,15:40:00,61.19,61.25,61.185,61.19,1742,0
2017-04-07,15:45:00,61.22,61.23,61.22,61.23,900,0
2017-04-07,15:50:00,61.18,61.26,61.18,61.19,7225,0
2017-04-07,15:55:00,61.2,61.2,61.06,61.06,1082,0
2017-04-07,16:00:00,61.05,61.05,61.04,61.04,260,0
2017-04-07,16:05:00,60.97,61.15,60.97,61.13,6392,0
2017-04-07,16:10:00,61.11,61.14,61.05,61.11,3136,0
2017-04-07,16:15:00,61.03,61.15,61.02,61.08,3009,0
2017-04-07,16:20:00,61.03,61.07,61,61.07,537,0
2017-04-07,16:25:00,61.01,61.08,61.01,61.0642,4130,0
2017-04-07,16:30:00,61.11,61.11,60.945,61,1325,0
2017-04-07,16:35:00,61.07,61.08,61.03,61.03,900,0
2017-04-07,16:40:00,61.01,61.01,60.91,61.01,2000,0
2017-04-07,16:45:00,60.985,61.05,60.95,60.95,1726,0
2017-04-07,16:50:00,60.99,60.99,60.867,60.867,1200,0
2017-04-07,16:55:00,60.84,60.84,60.765,60.805,964,0
2017-04-07,17:00:00,60.88,60.94,60.8,60.94,1748,0
2017-04-07,17:05:00,60.91,60.91,60.83,60.88,1300,0
2017-04-07,17:10:00,60.88,60.88,60.83,60.87,600,0
2017-04-07,17:15:00,60.84,60.86,60.78,60.84,5000,0
2017-04-07,17:20:00,60.87,60.96,60.87,60.96,600,0
2017-04-07,17:25:00,60.92,60.93,60.825,60.9,2463,0
2017-04-07,17:30:00,60.9199,60.93,60.87,60.93,718,0
2017-04-07,17:35:00,60.87,60.88,60.8185,60.84,1200,0
2017-04-07,17:40:00,60.83,60.83,60.79,60.79,900,0
2017-04-07,17:45:00,60.77,60.77,60.69,60.69,1406,0
2017-04-07,17:55:00,60.72,60.83,60.72,60.77,1950,0
2017-04-07,18:00:00,60.765,60.83,60.765,60.82,980,0
2017-04-07,18:05:00,60.84,60.88,60.84,60.88,400,0
2017-04-07,18:10:00,60.8799,60.905,60.8799,60.905,500,0
2017-04-07,18:15:00,60.95,60.97,60.95,60.97,200,0
2017-04-07,18:20:00,60.98,61.02,60.93,60.98,1506,0
2017-04-07,18:25:00,60.95,60.98,60.95,60.98,1100,0
2017-04-07,18:30:00,60.95,60.95,60.94,60.95,700,0
2017-04-07,18:35:00,60.95,60.98,60.95,60.98,400,0
2017-04-07,18:40:00,60.96,60.96,60.915,60.915,600,0
2017-04-07,18:45:00,60.94,60.94,60.94,60.94,100,0
2017-04-07,18:50:00,60.92,60.97,60.92,60.94,3827,0
2017-04-07,18:55:00,60.95,61.03,60.95,61.02,1000,0
2017-04-07,19:00:00,60.99,60.99,60.95,60.95,500,0
2017-04-07,19:05:00,60.96,60.99,60.95,60.96,900,0
2017-04-07,19:10:00,60.95,61.035,60.95,61.03,1200,0
2017-04-07,19:15:00,61,61.04,61,61.04,800,0
2017-04-07,19:20:00,61.03,61.09,60.99,61.09,3434,0
2017-04-07,19:25:00,61.1,61.1,61.065,61.09,500,0
2017-04-07,19:30:00,61.04,61.09,61.025,61.09,1768,0
2017-04-07,19:35:00,61.1,61.16,61.07,61.09,8297,0
2017-04-07,19:40:00,61.09,61.09,60.96,60.96,700,0
2017-04-07,19:45:00,60.98,60.98,60.98,60.98,100,0
2017-04-07,19:50:00,60.99,60.99,60.95,60.95,600,0
2017-04-07,19:55:00,60.94,60.95,60.94,60.95,300,0
2017-04-07,20:00:00,60.915,60.97,60.915,60.97,1900,0
2017-04-07,20:05:00,60.9625,61.02,60.9625,61.02,455,0
2017-04-07,20:10:00,61.07,61.08,61.05,61.08,500,0
2017-04-07,20:15:00,61.04,61.05,60.97,60.97,1640,0
2017-04-07,20:20:00,60.95,60.95,60.9,60.9,800,0
2017-04-07,20:25:00,60.89,60.93,60.87,60.93,1263,0
2017-04-07,20:30:00,60.92,60.92,60.9,60.91,1250,0
2017-04-07,20:35:00,60.9,60.91,60.86,60.86,1200,0
2017-04-07,20:40:00,60.85,60.88,60.83,60.83,1600,0
2017-04-07,20:45:00,60.78,60.79,60.72,60.76,2262,0
2017-04-07,20:50:00,60.75,60.77,60.73,60.77,1200,0
2017-04-07,20:55:00,60.75,60.75,60.64,60.67,3303,0
2017-04-07,21:00:00,60.69,60.81,60.66,60.79,9000,0
2017-04-07,21:05:00,60.79,60.8,60.69,60.69,2887,0
2017-04-07,21:10:00,60.73,60.75,60.64,60.64,3162,0
2017-04-07,21:15:00,60.665,60.76,60.665,60.73,2855,0
