Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-06,15:35:00,20.92,20.93,20.92,20.93,210,0
2017-03-06,15:55:00,20.89,20.89,20.89,20.89,407,0
2017-03-06,16:30:00,20.896,20.896,20.896,20.896,356,0
2017-03-06,16:55:00,20.881,20.891,20.881,20.891,280,0
2017-03-06,17:05:00,20.881,20.881,20.871,20.871,914,0
2017-03-06,17:40:00,20.851,20.851,20.851,20.851,559,0
2017-03-06,17:50:00,20.829,20.829,20.829,20.829,272,0
2017-03-06,18:40:00,20.822,20.822,20.822,20.822,102,0
2017-03-06,18:45:00,20.822,20.84,20.822,20.84,447,0
2017-03-06,18:50:00,20.851,20.871,20.851,20.871,508,0
2017-03-06,18:55:00,20.917,20.919,20.917,20.919,508,0
2017-03-06,19:00:00,20.861,20.9,20.861,20.9,305,0
2017-03-06,19:05:00,20.861,20.881,20.861,20.881,203,0
2017-03-06,19:15:00,20.861,20.861,20.861,20.861,102,0
2017-03-06,19:25:00,20.861,20.861,20.861,20.861,305,0
2017-03-06,19:30:00,20.861,20.861,20.861,20.861,305,0
2017-03-06,19:35:00,20.861,20.861,20.861,20.861,407,0
2017-03-06,19:40:00,20.861,20.879,20.861,20.861,711,0
2017-03-06,19:45:00,20.861,20.871,20.861,20.861,908,0
2017-03-06,19:50:00,20.861,20.861,20.861,20.861,407,0
2017-03-06,19:55:00,20.861,20.867,20.861,20.861,610,0
2017-03-06,20:00:00,20.872,20.872,20.861,20.861,813,0
2017-03-06,20:05:00,20.861,20.861,20.851,20.851,508,0
2017-03-06,20:10:00,20.851,20.851,20.812,20.812,508,0
2017-03-06,20:15:00,20.812,20.812,20.772,20.772,508,0
2017-03-06,20:20:00,20.772,20.772,20.772,20.772,407,0
2017-03-06,20:25:00,20.772,20.772,20.772,20.772,508,0
2017-03-06,20:30:00,20.772,20.86,20.772,20.772,1067,0
2017-03-06,20:35:00,20.772,20.772,20.772,20.772,407,0
2017-03-06,20:40:00,20.772,20.772,20.772,20.772,711,0
2017-03-06,20:45:00,20.772,20.787,20.772,20.772,1089,0
2017-03-06,20:50:00,20.772,20.772,20.772,20.772,508,0
2017-03-06,20:55:00,20.772,20.792,20.772,20.792,711,0
2017-03-06,21:00:00,20.772,20.772,20.753,20.753,508,0
2017-03-06,21:05:00,20.753,20.753,20.743,20.743,508,0
2017-03-06,21:10:00,20.743,20.792,20.743,20.792,711,0
2017-03-06,21:15:00,20.743,20.792,20.743,20.743,813,0
2017-03-06,21:20:00,20.743,20.753,20.743,20.753,508,0
2017-03-06,21:25:00,20.753,20.753,20.753,20.753,610,0
2017-03-06,21:30:00,20.762,20.792,20.762,20.792,1829,0
2017-03-06,21:40:00,20.767,20.767,20.733,20.743,1118,0
2017-03-06,21:45:00,20.772,20.792,20.772,20.792,1122,0
2017-03-06,21:50:00,20.782,20.782,20.772,20.782,915,0
2017-03-06,21:55:00,20.772,20.772,20.762,20.762,1626,0
2017-03-06,22:00:00,20.772,20.871,20.753,20.871,2955,0
2017-03-07,15:35:00,20.762,20.762,20.762,20.762,107,0
2017-03-07,16:00:00,20.794,20.794,20.794,20.794,508,0
2017-03-07,16:50:00,20.758,20.758,20.713,20.713,305,0
2017-03-07,16:55:00,20.707,20.707,20.707,20.707,481,0
2017-03-07,17:00:00,20.723,20.723,20.723,20.723,262,0
2017-03-07,17:10:00,20.721,20.721,20.721,20.721,271,0
2017-03-07,17:15:00,20.684,20.708,20.684,20.708,508,0
2017-03-07,17:45:00,20.703,20.703,20.703,20.703,407,0
2017-03-07,18:00:00,20.684,20.691,20.684,20.684,2224,0
2017-03-07,18:40:00,20.694,20.694,20.694,20.694,242,0
2017-03-07,19:00:00,20.674,20.68,20.674,20.68,1451,0
2017-03-07,19:05:00,20.694,20.694,20.694,20.694,126,0
2017-03-07,19:15:00,20.689,20.694,20.688,20.694,615,0
2017-03-07,19:25:00,20.674,20.674,20.674,20.674,203,0
2017-03-07,19:30:00,20.674,20.674,20.674,20.674,813,0
2017-03-07,19:35:00,20.674,20.674,20.674,20.674,508,0
2017-03-07,19:40:00,20.664,20.664,20.664,20.664,323,0
2017-03-07,19:45:00,20.683,20.684,20.682,20.684,2320,0
2017-03-07,19:55:00,20.674,20.674,20.674,20.674,762,0
2017-03-07,20:20:00,20.679,20.679,20.679,20.679,108,0
2017-03-07,20:25:00,20.674,20.684,20.674,20.684,407,0
2017-03-07,20:30:00,20.674,20.674,20.674,20.674,610,0
2017-03-07,20:45:00,20.674,20.679,20.67,20.679,1016,0
2017-03-07,21:25:00,20.664,20.667,20.664,20.664,1829,0
2017-03-07,21:30:00,20.664,20.664,20.664,20.664,1622,0
2017-03-07,21:35:00,20.664,20.664,20.664,20.664,1626,0
2017-03-07,21:40:00,20.664,20.674,20.654,20.654,3169,0
2017-03-07,21:50:00,20.643,20.643,20.643,20.643,762,0
2017-03-07,21:55:00,20.627,20.628,20.625,20.626,4500,0
2017-03-07,22:00:00,20.615,20.625,20.615,20.625,813,0
2017-03-08,16:25:00,20.521,20.521,20.516,20.516,305,0
2017-03-08,16:35:00,20.481,20.481,20.481,20.481,244,0
2017-03-08,16:40:00,20.48,20.48,20.476,20.476,1388,0
2017-03-08,16:50:00,20.467,20.467,20.467,20.467,813,0
2017-03-08,16:55:00,20.457,20.457,20.457,20.457,102,0
2017-03-08,17:15:00,20.414,20.414,20.414,20.414,152,0
2017-03-08,17:20:00,20.397,20.397,20.397,20.397,505,0
2017-03-08,17:25:00,20.404,20.404,20.404,20.404,195,0
2017-03-08,17:30:00,20.381,20.381,20.381,20.381,1507,0
2017-03-08,17:35:00,20.393,20.393,20.393,20.393,102,0
2017-03-08,17:40:00,20.369,20.369,20.369,20.369,102,0
2017-03-08,17:45:00,20.378,20.408,20.378,20.379,3963,0
2017-03-08,17:50:00,20.366,20.366,20.359,20.359,1423,0
2017-03-08,17:55:00,20.369,20.369,20.29,20.331,2089,0
2017-03-08,18:05:00,20.312,20.33,20.3,20.301,2581,0
2017-03-08,18:25:00,20.334,20.334,20.32,20.334,1626,0
2017-03-08,18:30:00,20.32,20.32,20.32,20.32,1728,0
2017-03-08,18:35:00,20.32,20.32,20.32,20.32,610,0
2017-03-08,18:40:00,20.322,20.322,20.322,20.322,279,0
2017-03-08,18:45:00,20.319,20.319,20.319,20.319,457,0
2017-03-08,19:10:00,20.31,20.31,20.31,20.31,711,0
2017-03-08,19:20:00,20.306,20.306,20.3,20.3,833,0
2017-03-08,19:25:00,20.32,20.32,20.32,20.32,203,0
2017-03-08,19:30:00,20.337,20.337,20.337,20.337,203,0
2017-03-08,20:05:00,20.32,20.32,20.32,20.32,203,0
2017-03-08,20:35:00,20.32,20.349,20.29,20.349,809,0
