Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,69.08,69.1,68.91,68.91,6017,0
2017-04-10,15:40:00,69,69.13,69,69.09,2992,0
2017-04-10,15:45:00,69.16,69.32,69.12,69.13,2000,0
2017-04-10,15:50:00,69.18,69.29,69.18,69.19,1900,0
2017-04-10,15:55:00,69.17,69.23,69.17,69.23,900,0
2017-04-10,16:00:00,69.21,69.21,69.05,69.05,2200,0
2017-04-10,16:05:00,69.07,69.13,69.07,69.08,1672,0
2017-04-10,16:10:00,69.09,69.19,69.08,69.12,2601,0
2017-04-10,16:15:00,69.13,69.13,69.01,69.06,1562,0
2017-04-10,16:20:00,69.04,69.15,68.95,69.09,4801,0
2017-04-10,16:25:00,69.08,69.1027,68.98,69,2400,0
2017-04-10,16:30:00,68.99,69.06,68.985,69.02,5980,0
2017-04-10,16:35:00,69.18,69.22,69.13,69.22,5633,0
2017-04-10,16:40:00,69.22,69.22,69.18,69.18,1443,0
2017-04-10,16:45:00,69.06,69.21,69.02,69.21,2500,0
2017-04-10,16:50:00,69.19,69.19,69.12,69.13,3304,0
2017-04-10,16:55:00,69.1,69.14,69.03,69.03,901,0
2017-04-10,17:00:00,69.08,69.11,69.01,69.01,3245,0
2017-04-10,17:05:00,69.04,69.14,69.04,69.14,1050,0
2017-04-10,17:10:00,69.11,69.17,69.09,69.17,2141,0
2017-04-10,17:15:00,69.22,69.28,69.22,69.26,1100,0
2017-04-10,17:20:00,69.26,69.29,69.19,69.21,5150,0
2017-04-10,17:25:00,69.21,69.22,69.18,69.18,1050,0
2017-04-10,17:30:00,69.2,69.27,69.15,69.18,1625,0
2017-04-10,17:35:00,69.16,69.16,69.01,69.01,3000,0
2017-04-10,17:40:00,69,69.06,68.98,69,10326,0
2017-04-10,17:45:00,69.05,69.05,68.965,69.03,2001,0
2017-04-10,17:50:00,69,69.05,69,69.05,1100,0
2017-04-10,17:55:00,69.09,69.1,69.02,69.058,3400,0
2017-04-10,18:00:00,69.05,69.08,68.98,69.08,3600,0
2017-04-10,18:05:00,69.02,69.04,69,69.04,1197,0
2017-04-10,18:10:00,69.03,69.03,68.95,69,2702,0
2017-04-10,18:15:00,69,69,68.86,68.86,11794,0
2017-04-10,18:20:00,68.89,68.94,68.88,68.92,1200,0
2017-04-10,18:25:00,68.97,68.97,68.92,68.92,2100,0
2017-04-10,18:35:00,68.94,68.99,68.79,68.8,14130,0
2017-04-10,18:40:00,68.81,69,68.81,68.995,5946,0
2017-04-10,18:45:00,69,69.05,68.96,68.96,2331,0
2017-04-10,18:50:00,68.96,68.97,68.96,68.97,800,0
2017-04-10,18:55:00,69.01,69.1,69.01,69.09,900,0
2017-04-10,19:00:00,69.11,69.11,69.06,69.08,1566,0
2017-04-10,19:05:00,69.1,69.14,69.08,69.08,1000,0
2017-04-10,19:10:00,69.08,69.19,69.08,69.14,2000,0
2017-04-10,19:15:00,69.1,69.2,69.1,69.2,900,0
2017-04-10,19:20:00,69.195,69.195,69.15,69.15,1600,0
2017-04-10,19:25:00,69.14,69.23,69.14,69.21,1750,0
2017-04-10,19:30:00,69.21,69.21,69.16,69.16,1030,0
2017-04-10,19:35:00,69.15,69.24,69.15,69.24,7183,0
2017-04-10,19:40:00,69.21,69.35,69.21,69.29,3271,0
2017-04-10,19:45:00,69.27,69.34,69.27,69.34,1424,0
2017-04-10,19:50:00,69.295,69.295,69.27,69.28,1500,0
2017-04-10,19:55:00,69.28,69.3,69.25,69.28,2600,0
2017-04-10,20:00:00,69.28,69.33,69.28,69.33,3698,0
2017-04-10,20:05:00,69.28,69.28,69.14,69.16,1600,0
2017-04-10,20:10:00,69.14,69.18,69.14,69.15,2233,0
2017-04-10,20:15:00,69.15,69.24,69.14,69.24,4582,0
2017-04-10,20:20:00,69.23,69.24,69.21,69.21,2711,0
2017-04-10,20:25:00,69.19,69.24,69.19,69.22,2101,0
2017-04-10,20:30:00,69.23,69.23,69.1,69.13,1800,0
2017-04-10,20:35:00,69.12,69.17,69.11,69.14,2712,0
2017-04-10,20:40:00,69.15,69.155,69.12,69.12,1800,0
2017-04-10,20:45:00,69.11,69.26,69.1,69.26,3525,0
2017-04-10,20:50:00,69.23,69.31,69.23,69.31,1224,0
2017-04-10,20:55:00,69.31,69.36,69.29,69.3527,3010,0
2017-04-10,21:00:00,69.36,69.36,69.29,69.29,2100,0
2017-04-10,21:05:00,69.31,69.37,69.3,69.32,4551,0
2017-04-10,21:10:00,69.33,69.41,69.33,69.33,5019,0
2017-04-10,21:15:00,69.32,69.35,69.32,69.34,5043,0
2017-04-10,21:20:00,69.33,69.35,69.3,69.3,6103,0
2017-04-10,21:25:00,69.29,69.29,69.11,69.16,5342,0
2017-04-10,21:30:00,69.2,69.2,69.09,69.09,8619,0
2017-04-10,21:35:00,69.08,69.11,69.06,69.08,6532,0
2017-04-10,21:40:00,69.07,69.13,69.05,69.07,10170,0
2017-04-10,21:45:00,69.06,69.08,69.01,69.03,6472,0
2017-04-10,21:50:00,69.01,69.1,69,69.02,20480,0
2017-04-10,21:55:00,69.01,69.03,68.92,68.955,17220,0
2017-04-10,22:00:00,68.95,69.01,68.92,68.98,49485,0
2017-04-11,15:35:00,68.97,69.26,68.97,69.18,3256,0
2017-04-11,15:40:00,69.22,69.285,69.16,69.2,1100,0
2017-04-11,15:45:00,69.06,69.06,68.99,68.99,800,0
2017-04-11,15:50:00,68.96,68.99,68.96,68.99,700,0
2017-04-11,15:55:00,69.03,69.03,68.94,69,1000,0
2017-04-11,16:00:00,69.005,69.005,68.9,68.97,1400,0
2017-04-11,16:05:00,68.95,68.97,68.95,68.97,607,0
2017-04-11,16:10:00,69.01,69.01,68.95,69.01,1800,0
2017-04-11,16:15:00,69.02,69.07,69.02,69.03,2500,0
2017-04-11,16:20:00,69.06,69.06,68.93,68.93,3944,0
2017-04-11,16:25:00,68.94,69.01,68.94,69.01,1620,0
2017-04-11,16:30:00,69,69.11,69,69.08,3631,0
2017-04-11,16:35:00,69.073,69.073,68.92,68.92,1574,0
2017-04-11,16:40:00,68.93,68.98,68.93,68.98,4000,0
2017-04-11,16:45:00,68.95,68.98,68.91,68.95,2594,0
2017-04-11,16:50:00,68.935,69.01,68.935,68.95,2917,0
2017-04-11,16:55:00,68.94,68.94,68.93,68.93,300,0
2017-04-11,17:00:00,68.885,68.92,68.855,68.86,913,0
2017-04-11,17:05:00,68.85,68.895,68.85,68.895,1133,0
2017-04-11,17:10:00,68.88,68.89,68.83,68.83,1200,0
2017-04-11,17:15:00,68.86,68.88,68.84,68.84,600,0
2017-04-11,17:20:00,68.83,68.88,68.83,68.85,1850,0
2017-04-11,17:25:00,68.83,68.83,68.77,68.78,600,0
2017-04-11,17:30:00,68.76,68.78,68.7,68.75,1326,0
2017-04-11,17:35:00,68.77,68.88,68.76,68.85,1058,0
2017-04-11,17:40:00,68.87,68.91,68.801,68.84,2000,0
2017-04-11,17:45:00,68.84,68.84,68.75,68.795,2000,0
2017-04-11,17:50:00,68.77,68.82,68.75,68.82,1500,0
2017-04-11,17:55:00,68.81,68.86,68.77,68.825,5758,0
2017-04-11,18:00:00,68.83,68.87,68.79,68.8405,5200,0
2017-04-11,18:05:00,68.855,68.855,68.75,68.78,4976,0
2017-04-11,18:10:00,68.8,68.81,68.73,68.76,4216,0
2017-04-11,18:15:00,68.8,68.86,68.76,68.82,12004,0
2017-04-11,18:20:00,68.85,68.94,68.84,68.94,4300,0
2017-04-11,18:25:00,69.03,69.03,69.01,69.02,1300,0
2017-04-11,18:30:00,69,69.14,69,69.14,1000,0
2017-04-11,18:35:00,69.09,69.11,69.071,69.0928,2848,0
2017-04-11,18:40:00,69.09,69.12,69.09,69.0906,1280,0
2017-04-11,18:45:00,69.1,69.1,69.03,69.05,1045,0
2017-04-11,18:50:00,69.03,69.03,69,69,500,0
2017-04-11,18:55:00,68.99,69.08,68.98,69.08,1305,0
2017-04-11,19:00:00,69.075,69.075,69.0024,69.0024,1791,0
