Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-10,17:10:00,22.39,22.39,22.39,22.39,100,0
2017-01-10,18:05:00,22.39,22.39,22.38,22.38,943,0
2017-01-10,19:30:00,22.358,22.358,22.358,22.358,650,0
2017-01-10,20:05:00,22.36,22.36,22.36,22.36,223,0
2017-01-10,21:25:00,22.36,22.36,22.36,22.36,390,0
2017-01-10,21:30:00,22.36,22.36,22.306,22.36,2371,0
2017-01-10,21:40:00,22.35,22.36,22.35,22.36,500,0
2017-01-11,15:35:00,22.36,22.36,22.36,22.36,100,0
2017-01-11,16:10:00,22.64,22.64,22.64,22.64,400,0
2017-01-11,19:10:00,22.54,22.59,22.53,22.59,300,0
2017-01-11,19:35:00,22.6,22.6,22.6,22.6,700,0
2017-01-11,20:15:00,22.69,22.69,22.69,22.69,200,0
2017-01-11,20:25:00,22.7,22.7,22.7,22.7,300,0
2017-01-11,21:10:00,22.68,22.68,22.68,22.68,400,0
2017-01-11,21:20:00,22.651,22.651,22.651,22.651,196,0
2017-01-11,21:50:00,22.68,22.6801,22.68,22.6801,265,0
2017-01-12,18:05:00,22.56,22.579,22.55,22.569,617,0
2017-01-12,18:15:00,22.55,22.55,22.55,22.55,258,0
2017-01-12,18:40:00,22.55,22.55,22.55,22.55,1677,0
2017-01-12,19:40:00,22.66,22.669,22.66,22.669,500,0
2017-01-12,20:05:00,22.622,22.65,22.622,22.65,1100,0
2017-01-12,20:10:00,22.56,22.56,22.56,22.56,100,0
2017-01-12,21:25:00,22.55,22.5838,22.5338,22.5338,1316,0
2017-01-12,21:40:00,22.5287,22.5287,22.5,22.5001,560,0
2017-01-12,22:00:00,22.51,22.51,22.5,22.5,635,0
2017-01-13,15:35:00,22.45,22.45,22.45,22.45,2240,0
2017-01-13,16:00:00,22.48,22.48,22.45,22.45,400,0
2017-01-13,16:25:00,22.46,22.46,22.36,22.36,4191,0
2017-01-13,16:30:00,22.4,22.4,22.4,22.4,400,0
2017-01-13,18:40:00,22.4,22.693,22.4,22.693,200,0
2017-01-13,19:05:00,22.619,22.619,22.619,22.619,500,0
2017-01-13,20:05:00,22.397,22.397,22.397,22.397,303,0
2017-01-13,20:50:00,22.38,22.38,22.36,22.37,2081,0
2017-01-13,20:55:00,22.39,22.39,22.36,22.36,678,0
2017-01-17,15:40:00,22.17,22.3,22.17,22.3,2200,0
2017-01-17,15:55:00,22.35,22.3999,22.35,22.3999,900,0
2017-01-17,16:00:00,22.4,22.4,22.3873,22.3898,1181,0
2017-01-17,16:05:00,22.4,22.4,22.4,22.4,100,0
