Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,5.72,5.72,5.6,5.62,17461,0
2017-04-10,15:40:00,5.62,5.67,5.605,5.67,6506,0
2017-04-10,15:45:00,5.67,5.69,5.67,5.69,6598,0
2017-04-10,15:50:00,5.7,5.71,5.7,5.71,5653,0
2017-04-10,15:55:00,5.72,5.72,5.71,5.72,3200,0
2017-04-10,16:00:00,5.72,5.72,5.71,5.715,800,0
2017-04-10,16:05:00,5.71,5.7291,5.71,5.725,7518,0
2017-04-10,16:10:00,5.72,5.72,5.67,5.67,11901,0
2017-04-10,16:15:00,5.67,5.6786,5.66,5.665,10128,0
2017-04-10,16:20:00,5.66,5.67,5.66,5.66,2200,0
2017-04-10,16:25:00,5.67,5.67,5.66,5.6699,2400,0
2017-04-10,16:30:00,5.66,5.67,5.66,5.66,1541,0
2017-04-10,16:35:00,5.665,5.6701,5.66,5.67,11851,0
2017-04-10,16:40:00,5.665,5.665,5.66,5.66,1510,0
2017-04-10,16:45:00,5.66,5.665,5.65,5.66,6089,0
2017-04-10,16:50:00,5.66,5.67,5.6553,5.67,9578,0
2017-04-10,16:55:00,5.6799,5.68,5.67,5.6799,1300,0
2017-04-10,17:00:00,5.6701,5.6775,5.67,5.67,4731,0
2017-04-10,17:05:00,5.66,5.66,5.65,5.655,1500,0
2017-04-10,17:10:00,5.65,5.66,5.65,5.66,800,0
2017-04-10,17:15:00,5.66,5.66,5.65,5.65,4060,0
2017-04-10,17:20:00,5.6599,5.66,5.65,5.66,1400,0
2017-04-10,17:25:00,5.6599,5.67,5.6599,5.665,6026,0
2017-04-10,17:30:00,5.6699,5.67,5.65,5.65,5969,0
2017-04-10,17:35:00,5.655,5.655,5.64,5.64,5000,0
2017-04-10,17:40:00,5.64,5.65,5.62,5.6482,21960,0
2017-04-10,17:45:00,5.64,5.64,5.62,5.64,9500,0
2017-04-10,17:50:00,5.639,5.639,5.62,5.625,2400,0
2017-04-10,17:55:00,5.62,5.63,5.62,5.62,1000,0
2017-04-10,18:00:00,5.62,5.629,5.615,5.615,4905,0
2017-04-10,18:05:00,5.61,5.64,5.61,5.64,12955,0
2017-04-10,18:10:00,5.64,5.64,5.63,5.64,2900,0
2017-04-10,18:15:00,5.64,5.64,5.62,5.62,3506,0
2017-04-10,18:20:00,5.62,5.6201,5.62,5.6201,570,0
2017-04-10,18:25:00,5.6299,5.64,5.62,5.64,5100,0
2017-04-10,18:30:00,5.63,5.635,5.63,5.63,8218,0
2017-04-10,18:35:00,5.63,5.635,5.59,5.6,12977,0
2017-04-10,18:40:00,5.6,5.61,5.59,5.6,10304,0
2017-04-10,18:45:00,5.6,5.61,5.6,5.6,5867,0
2017-04-10,18:50:00,5.61,5.61,5.6,5.6099,2120,0
2017-04-10,18:55:00,5.605,5.61,5.6,5.6,1400,0
2017-04-10,19:00:00,5.605,5.6099,5.58,5.585,14469,0
2017-04-10,19:05:00,5.59,5.595,5.585,5.595,18200,0
2017-04-10,19:10:00,5.595,5.6,5.58,5.58,118218,0
2017-04-10,19:15:00,5.58,5.58,5.52,5.54,51692,0
2017-04-10,19:20:00,5.54,5.54,5.53,5.53,6906,0
2017-04-10,19:25:00,5.54,5.54,5.5,5.5,23962,0
2017-04-10,19:30:00,5.51,5.529,5.5,5.52,12874,0
2017-04-10,19:35:00,5.525,5.525,5.51,5.51,10996,0
2017-04-10,19:40:00,5.5,5.52,5.5,5.515,23815,0
2017-04-10,19:45:00,5.515,5.52,5.51,5.52,9039,0
2017-04-10,19:50:00,5.52,5.54,5.51,5.54,14970,0
2017-04-10,19:55:00,5.54,5.54,5.535,5.535,3684,0
2017-04-10,20:00:00,5.54,5.54,5.53,5.5301,2300,0
2017-04-10,20:05:00,5.54,5.54,5.51,5.51,21545,0
2017-04-10,20:10:00,5.51,5.53,5.5,5.53,12471,0
2017-04-10,20:15:00,5.52,5.53,5.52,5.52,8789,0
2017-04-10,20:20:00,5.52,5.53,5.52,5.53,2200,0
2017-04-10,20:25:00,5.53,5.53,5.52,5.5299,6600,0
2017-04-10,20:30:00,5.53,5.53,5.52,5.525,5200,0
2017-04-10,20:35:00,5.52,5.53,5.52,5.53,2590,0
2017-04-10,20:40:00,5.525,5.53,5.52,5.53,2842,0
2017-04-10,20:45:00,5.525,5.53,5.52,5.53,3000,0
2017-04-10,20:50:00,5.53,5.54,5.52,5.54,11484,0
2017-04-10,20:55:00,5.5399,5.54,5.53,5.5399,2600,0
2017-04-10,21:00:00,5.54,5.54,5.53,5.535,4100,0
2017-04-10,21:05:00,5.535,5.54,5.53,5.535,1944,0
2017-04-10,21:10:00,5.54,5.54,5.53,5.53,3100,0
2017-04-10,21:15:00,5.54,5.54,5.52,5.5201,17207,0
2017-04-10,21:20:00,5.52,5.53,5.52,5.52,3400,0
2017-04-10,21:25:00,5.525,5.5299,5.5,5.5,26757,0
2017-04-10,21:30:00,5.505,5.515,5.49,5.49,54343,0
2017-04-10,21:35:00,5.49,5.4999,5.49,5.49,14600,0
2017-04-10,21:40:00,5.4901,5.5,5.49,5.495,7653,0
2017-04-10,21:45:00,5.495,5.51,5.49,5.505,16512,0
2017-04-10,21:50:00,5.505,5.51,5.5,5.505,22232,0
2017-04-10,21:55:00,5.5,5.51,5.49,5.5,43036,0
2017-04-10,22:00:00,5.49,5.5,5.47,5.47,166409,0
2017-04-11,15:35:00,5.48,5.49,5.43,5.47,18320,0
2017-04-11,15:40:00,5.465,5.5,5.4601,5.48,4098,0
2017-04-11,15:45:00,5.48,5.485,5.47,5.485,4100,0
2017-04-11,15:50:00,5.48,5.49,5.47,5.48,7518,0
2017-04-11,15:55:00,5.48,5.49,5.45,5.49,18606,0
2017-04-11,16:00:00,5.485,5.5,5.48,5.4901,2700,0
2017-04-11,16:05:00,5.4901,5.4901,5.48,5.4801,22658,0
2017-04-11,16:10:00,5.49,5.5,5.49,5.4901,3343,0
2017-04-11,16:15:00,5.49,5.515,5.49,5.51,8700,0
2017-04-11,16:20:00,5.515,5.52,5.505,5.52,4800,0
2017-04-11,16:25:00,5.51,5.51,5.5,5.51,4700,0
2017-04-11,16:30:00,5.5,5.5,5.46,5.46,17940,0
2017-04-11,16:35:00,5.46,5.465,5.44,5.45,14730,0
2017-04-11,16:40:00,5.45,5.46,5.445,5.46,17472,0
2017-04-11,16:45:00,5.46,5.465,5.45,5.465,13331,0
2017-04-11,16:50:00,5.47,5.48,5.47,5.475,16832,0
2017-04-11,16:55:00,5.475,5.48,5.43,5.44,25400,0
2017-04-11,17:00:00,5.44,5.44,5.43,5.435,9055,0
2017-04-11,17:05:00,5.435,5.465,5.435,5.465,26581,0
2017-04-11,17:10:00,5.46,5.49,5.46,5.49,30866,0
2017-04-11,17:15:00,5.495,5.51,5.495,5.51,6299,0
2017-04-11,17:20:00,5.51,5.51,5.5,5.5001,9660,0
2017-04-11,17:25:00,5.51,5.51,5.5,5.505,5200,0
2017-04-11,17:30:00,5.5,5.505,5.49,5.5,4942,0
2017-04-11,17:35:00,5.4948,5.5,5.49,5.5,4975,0
2017-04-11,17:40:00,5.5,5.51,5.495,5.505,2088,0
2017-04-11,17:45:00,5.505,5.52,5.505,5.52,4800,0
2017-04-11,17:50:00,5.52,5.52,5.51,5.515,9241,0
2017-04-11,17:55:00,5.52,5.52,5.515,5.52,400,0
2017-04-11,18:00:00,5.5101,5.52,5.51,5.51,2054,0
2017-04-11,18:05:00,5.5101,5.52,5.51,5.515,5300,0
2017-04-11,18:10:00,5.515,5.54,5.515,5.53,9246,0
2017-04-11,18:15:00,5.54,5.55,5.52,5.55,28819,0
2017-04-11,18:20:00,5.55,5.5607,5.53,5.5607,45282,0
2017-04-11,18:25:00,5.57,5.6,5.56,5.6,41500,0
2017-04-11,18:30:00,5.5964,5.61,5.594,5.61,15900,0
2017-04-11,18:35:00,5.61,5.61,5.6,5.605,7700,0
2017-04-11,18:40:00,5.61,5.62,5.61,5.6169,14019,0
2017-04-11,18:45:00,5.6176,5.655,5.61,5.65,43694,0
2017-04-11,18:50:00,5.66,5.66,5.66,5.66,500,0
2017-04-11,18:55:00,5.66,5.71,5.66,5.7,22036,0
2017-04-11,19:00:00,5.7,5.73,5.7,5.71,9796,0
2017-04-11,19:05:00,5.7,5.705,5.69,5.695,8505,0
2017-04-11,19:10:00,5.695,5.71,5.68,5.6801,20342,0
2017-04-11,19:15:00,5.68,5.68,5.67,5.67,1500,0
2017-04-11,19:20:00,5.675,5.7,5.675,5.6834,20810,0
2017-04-11,19:25:00,5.69,5.69,5.69,5.69,200,0
2017-04-11,19:30:00,5.68,5.68,5.67,5.68,12510,0
2017-04-11,19:35:00,5.68,5.69,5.68,5.6809,4600,0
2017-04-11,19:40:00,5.685,5.69,5.68,5.69,6800,0
2017-04-11,19:45:00,5.7,5.7,5.68,5.685,7032,0
2017-04-11,19:50:00,5.69,5.7,5.685,5.69,8601,0
2017-04-11,19:55:00,5.695,5.695,5.68,5.68,2539,0
2017-04-11,20:00:00,5.684,5.684,5.67,5.675,4500,0
2017-04-11,20:05:00,5.68,5.68,5.67,5.675,2000,0
2017-04-11,20:10:00,5.675,5.68,5.675,5.675,2200,0
2017-04-11,20:15:00,5.68,5.69,5.675,5.675,4504,0
2017-04-11,20:20:00,5.675,5.675,5.6701,5.6701,300,0
2017-04-11,20:25:00,5.6701,5.68,5.67,5.68,1900,0
2017-04-11,20:30:00,5.675,5.68,5.674,5.68,2585,0
2017-04-11,20:35:00,5.675,5.69,5.67,5.685,4200,0
2017-04-11,20:40:00,5.69,5.69,5.685,5.69,1200,0
2017-04-11,20:45:00,5.69,5.69,5.68,5.69,4394,0
2017-04-11,20:50:00,5.69,5.69,5.6801,5.685,800,0
2017-04-11,20:55:00,5.685,5.69,5.665,5.665,8257,0
2017-04-11,21:00:00,5.665,5.6673,5.65,5.655,21306,0
2017-04-11,21:05:00,5.65,5.6501,5.65,5.6501,600,0
2017-04-11,21:10:00,5.655,5.66,5.65,5.6501,1800,0
2017-04-11,21:15:00,5.66,5.67,5.655,5.67,5900,0
2017-04-11,21:20:00,5.67,5.67,5.6601,5.67,2637,0
2017-04-11,21:25:00,5.6601,5.67,5.66,5.6601,3200,0
2017-04-11,21:30:00,5.665,5.67,5.665,5.665,4037,0
2017-04-11,21:35:00,5.665,5.67,5.665,5.67,2700,0
2017-04-11,21:40:00,5.66,5.67,5.66,5.665,5800,0
2017-04-11,21:45:00,5.67,5.67,5.66,5.665,5800,0
2017-04-11,21:50:00,5.665,5.67,5.65,5.655,30883,0
2017-04-11,21:55:00,5.655,5.66,5.65,5.65,60590,0
2017-04-11,22:00:00,5.66,5.66,5.65,5.66,71484,0
2017-04-12,15:35:00,5.62,5.62,5.57,5.6006,6714,0
2017-04-12,15:40:00,5.6,5.62,5.58,5.6,2400,0
2017-04-12,15:45:00,5.61,5.6299,5.595,5.605,6924,0
2017-04-12,15:50:00,5.61,5.615,5.6,5.605,2300,0
2017-04-12,15:55:00,5.6,5.61,5.58,5.61,12758,0
2017-04-12,16:00:00,5.605,5.605,5.58,5.58,1700,0
2017-04-12,16:05:00,5.59,5.61,5.5801,5.61,8230,0
2017-04-12,16:10:00,5.6199,5.62,5.61,5.62,4200,0
2017-04-12,16:15:00,5.6201,5.63,5.6,5.61,12561,0
2017-04-12,16:20:00,5.61,5.63,5.61,5.625,3881,0
2017-04-12,16:25:00,5.625,5.6393,5.6,5.63,28379,0
2017-04-12,16:30:00,5.62,5.625,5.62,5.62,400,0
2017-04-12,16:35:00,5.6201,5.64,5.62,5.64,8535,0
2017-04-12,16:40:00,5.64,5.64,5.63,5.6301,2700,0
2017-04-12,16:45:00,5.64,5.64,5.63,5.63,2300,0
2017-04-12,16:50:00,5.63,5.63,5.6,5.61,5728,0
2017-04-12,16:55:00,5.6101,5.62,5.61,5.615,825,0
2017-04-12,17:00:00,5.62,5.62,5.61,5.62,1299,0
2017-04-12,17:05:00,5.615,5.62,5.61,5.62,3000,0
2017-04-12,17:10:00,5.615,5.62,5.61,5.62,2900,0
2017-04-12,17:15:00,5.615,5.62,5.61,5.61,1500,0
2017-04-12,17:20:00,5.61,5.62,5.61,5.62,1690,0
2017-04-12,17:25:00,5.615,5.62,5.61,5.615,7188,0
2017-04-12,17:30:00,5.615,5.62,5.61,5.61,1800,0
2017-04-12,17:35:00,5.62,5.62,5.61,5.6125,1994,0
2017-04-12,17:40:00,5.62,5.62,5.61,5.61,2900,0
2017-04-12,17:45:00,5.62,5.62,5.61,5.62,1500,0
2017-04-12,17:50:00,5.62,5.62,5.61,5.62,3200,0
2017-04-12,17:55:00,5.61,5.62,5.61,5.62,4250,0
2017-04-12,18:00:00,5.61,5.63,5.61,5.63,5410,0
2017-04-12,18:05:00,5.63,5.64,5.625,5.64,4450,0
2017-04-12,18:10:00,5.64,5.64,5.63,5.64,1180,0
2017-04-12,18:15:00,5.64,5.64,5.63,5.64,2450,0
2017-04-12,18:20:00,5.64,5.64,5.63,5.63,1400,0
2017-04-12,18:25:00,5.63,5.64,5.63,5.64,1100,0
2017-04-12,18:30:00,5.63,5.64,5.63,5.63,1800,0
2017-04-12,18:35:00,5.64,5.64,5.63,5.635,1200,0
2017-04-12,18:40:00,5.63,5.64,5.63,5.635,1000,0
2017-04-12,18:45:00,5.64,5.64,5.63,5.635,1000,0
2017-04-12,18:50:00,5.64,5.64,5.63,5.63,3900,0
2017-04-12,18:55:00,5.64,5.64,5.63,5.635,890,0
2017-04-12,19:00:00,5.64,5.64,5.62,5.62,15359,0
2017-04-12,19:05:00,5.62,5.635,5.62,5.635,7067,0
2017-04-12,19:10:00,5.635,5.64,5.63,5.6395,600,0
2017-04-12,19:15:00,5.64,5.655,5.64,5.655,14353,0
2017-04-12,19:20:00,5.655,5.66,5.6501,5.6501,400,0
2017-04-12,19:25:00,5.66,5.66,5.65,5.65,5293,0
2017-04-12,19:30:00,5.65,5.65,5.62,5.62,7576,0
2017-04-12,19:35:00,5.63,5.63,5.62,5.625,3200,0
2017-04-12,19:40:00,5.625,5.63,5.62,5.62,3180,0
2017-04-12,19:45:00,5.62,5.64,5.62,5.64,3151,0
2017-04-12,19:50:00,5.64,5.64,5.63,5.635,1600,0
2017-04-12,19:55:00,5.6301,5.64,5.63,5.63,1300,0
2017-04-12,20:00:00,5.63,5.64,5.63,5.64,3620,0
2017-04-12,20:05:00,5.65,5.65,5.63,5.63,4000,0
2017-04-12,20:10:00,5.64,5.64,5.63,5.63,800,0
2017-04-12,20:15:00,5.63,5.63,5.62,5.625,6967,0
2017-04-12,20:20:00,5.625,5.625,5.62,5.62,600,0
2017-04-12,20:25:00,5.625,5.63,5.62,5.625,15900,0
2017-04-12,20:30:00,5.625,5.63,5.62,5.62,600,0
2017-04-12,20:35:00,5.63,5.63,5.62,5.62,7100,0
2017-04-12,20:40:00,5.63,5.63,5.62,5.625,3678,0
2017-04-12,20:45:00,5.62,5.63,5.62,5.62,4300,0
2017-04-12,20:50:00,5.63,5.63,5.62,5.625,1638,0
2017-04-12,20:55:00,5.62,5.63,5.62,5.62,1400,0
2017-04-12,21:00:00,5.625,5.63,5.62,5.62,3531,0
2017-04-12,21:05:00,5.62,5.63,5.62,5.62,13300,0
2017-04-12,21:10:00,5.625,5.63,5.62,5.62,4778,0
2017-04-12,21:15:00,5.62,5.62,5.61,5.61,14365,0
2017-04-12,21:20:00,5.6101,5.6101,5.5799,5.5799,15128,0
2017-04-12,21:25:00,5.57,5.59,5.57,5.58,12697,0
2017-04-12,21:30:00,5.58,5.58,5.57,5.57,7814,0
2017-04-12,21:35:00,5.57,5.57,5.56,5.56,3600,0
2017-04-12,21:40:00,5.56,5.57,5.56,5.565,4200,0
2017-04-12,21:45:00,5.56,5.57,5.56,5.565,8330,0
2017-04-12,21:50:00,5.57,5.58,5.57,5.57,12714,0
2017-04-12,21:55:00,5.58,5.58,5.57,5.58,24263,0
2017-04-12,22:00:00,5.58,5.58,5.57,5.58,71855,0
2017-04-13,15:35:00,5.55,5.55,5.5,5.51,7098,0
2017-04-13,15:40:00,5.51,5.53,5.5098,5.52,6200,0
2017-04-13,15:45:00,5.52,5.52,5.47,5.47,23745,0
2017-04-13,15:50:00,5.47,5.47,5.45,5.45,31915,0
2017-04-13,15:55:00,5.455,5.47,5.44,5.44,12200,0
2017-04-13,16:00:00,5.44,5.459,5.44,5.45,13279,0
2017-04-13,16:05:00,5.45,5.46,5.42,5.45,111644,0
2017-04-13,16:10:00,5.45,5.46,5.45,5.45,4709,0
2017-04-13,16:15:00,5.45,5.46,5.45,5.45,4215,0
2017-04-13,16:20:00,5.46,5.46,5.45,5.45,3004,0
2017-04-13,16:25:00,5.45,5.4599,5.45,5.45,5800,0
2017-04-13,16:30:00,5.45,5.46,5.45,5.45,2398,0
2017-04-13,16:35:00,5.45,5.46,5.45,5.45,2394,0
2017-04-13,16:40:00,5.45,5.46,5.45,5.455,1600,0
2017-04-13,16:45:00,5.45,5.46,5.45,5.45,6300,0
2017-04-13,16:50:00,5.45,5.46,5.45,5.455,4600,0
2017-04-13,16:55:00,5.45,5.46,5.45,5.45,4850,0
2017-04-13,17:00:00,5.45,5.46,5.45,5.455,1922,0
2017-04-13,17:05:00,5.45,5.46,5.45,5.45,6678,0
2017-04-13,17:10:00,5.45,5.4535,5.45,5.45,5900,0
2017-04-13,17:15:00,5.45,5.4508,5.44,5.45,29035,0
2017-04-13,17:20:00,5.45,5.4563,5.45,5.4563,2900,0
2017-04-13,17:25:00,5.45,5.46,5.45,5.4511,10600,0
2017-04-13,17:30:00,5.45,5.455,5.45,5.45,7040,0
2017-04-13,17:35:00,5.45,5.459,5.45,5.45,2390,0
2017-04-13,17:40:00,5.45,5.46,5.45,5.45,3107,0
2017-04-13,17:45:00,5.45,5.46,5.45,5.45,7700,0
2017-04-13,17:50:00,5.45,5.45,5.45,5.45,29240,0
2017-04-13,17:55:00,5.45,5.46,5.45,5.455,1200,0
2017-04-13,18:00:00,5.46,5.47,5.46,5.46,10710,0
2017-04-13,18:05:00,5.46,5.465,5.46,5.465,14100,0
2017-04-13,18:10:00,5.46,5.46,5.45,5.45,8975,0
2017-04-13,18:15:00,5.45,5.4501,5.45,5.45,1766,0
2017-04-13,18:20:00,5.45,5.46,5.45,5.455,34669,0
2017-04-13,18:25:00,5.45,5.46,5.45,5.45,2185,0
2017-04-13,18:30:00,5.45,5.459,5.45,5.45,5310,0
2017-04-13,18:35:00,5.45,5.45,5.45,5.45,800,0
2017-04-13,18:40:00,5.45,5.46,5.45,5.45,3334,0
2017-04-13,18:45:00,5.45,5.45,5.45,5.45,3900,0
2017-04-13,18:50:00,5.45,5.4501,5.45,5.45,600,0
2017-04-13,18:55:00,5.46,5.46,5.45,5.46,5200,0
2017-04-13,19:00:00,5.455,5.455,5.45,5.455,1180,0
2017-04-13,19:05:00,5.455,5.455,5.44,5.45,42843,0
2017-04-13,19:10:00,5.44,5.45,5.44,5.44,11024,0
2017-04-13,19:15:00,5.44,5.44,5.44,5.44,4350,0
2017-04-13,19:20:00,5.44,5.44,5.44,5.44,3305,0
2017-04-13,19:25:00,5.44,5.445,5.43,5.445,26563,0
2017-04-13,19:30:00,5.445,5.45,5.44,5.44,7000,0
2017-04-13,19:35:00,5.44,5.44,5.44,5.44,2291,0
2017-04-13,19:40:00,5.44,5.45,5.44,5.445,1600,0
2017-04-13,19:45:00,5.445,5.45,5.44,5.445,13500,0
2017-04-13,19:50:00,5.44,5.445,5.44,5.44,9700,0
2017-04-13,19:55:00,5.4407,5.441,5.44,5.44,1200,0
2017-04-13,20:00:00,5.44,5.45,5.44,5.44,1400,0
2017-04-13,20:05:00,5.44,5.45,5.44,5.44,1400,0
2017-04-13,20:10:00,5.45,5.47,5.45,5.4623,24957,0
2017-04-13,20:15:00,5.46,5.47,5.46,5.46,3200,0
2017-04-13,20:20:00,5.46,5.46,5.44,5.45,24600,0
2017-04-13,20:25:00,5.45,5.45,5.44,5.445,1300,0
2017-04-13,20:30:00,5.44,5.45,5.44,5.45,6536,0
2017-04-13,20:35:00,5.44,5.45,5.44,5.44,4516,0
2017-04-13,20:40:00,5.44,5.44,5.43,5.43,2600,0
2017-04-13,20:45:00,5.43,5.44,5.42,5.425,9730,0
2017-04-13,20:50:00,5.43,5.43,5.425,5.43,13154,0
2017-04-13,20:55:00,5.43,5.435,5.42,5.43,17852,0
2017-04-13,21:00:00,5.43,5.44,5.42,5.42,7726,0
2017-04-13,21:05:00,5.425,5.4299,5.42,5.42,6200,0
2017-04-13,21:10:00,5.42,5.44,5.42,5.43,6275,0
2017-04-13,21:15:00,5.43,5.43,5.42,5.42,3300,0
2017-04-13,21:20:00,5.429,5.429,5.41,5.4195,44799,0
2017-04-13,21:25:00,5.415,5.43,5.41,5.43,19930,0
2017-04-13,21:30:00,5.44,5.45,5.435,5.45,6511,0
2017-04-13,21:35:00,5.445,5.47,5.44,5.45,45911,0
2017-04-13,21:40:00,5.44,5.445,5.43,5.44,19797,0
2017-04-13,21:45:00,5.441,5.441,5.43,5.43,25237,0
2017-04-13,21:50:00,5.43,5.44,5.43,5.44,24162,0
2017-04-13,21:55:00,5.44,5.44,5.43,5.435,42723,0
2017-04-13,22:00:00,5.44,5.45,5.42,5.43,75271,0
2017-04-17,15:35:00,5.42,5.4353,5.42,5.43,6853,0
2017-04-17,15:40:00,5.43,5.43,5.4,5.4,9296,0
