Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-13,15:35:00,4.9911,5.0439,4.9911,5.0237,2959,0
2017-02-13,15:40:00,5.0009,5.001,5.0009,5.001,3130,0
2017-02-13,15:50:00,4.9912,4.9912,4.9912,4.9912,2525,0
2017-02-13,15:55:00,4.9911,5.0008,4.9911,5.0008,3120,0
2017-02-13,16:05:00,4.9911,4.996,4.9911,4.9912,1313,0
2017-02-13,16:15:00,4.9911,4.9911,4.9911,4.9911,151,0
2017-02-13,16:25:00,4.9911,4.9911,4.9614,4.9614,1212,0
2017-02-13,16:30:00,4.9515,4.9515,4.7633,4.7633,3533,0
2017-02-13,16:35:00,4.8524,4.9019,4.8524,4.9019,4039,0
2017-02-13,16:50:00,4.8382,4.8382,4.8382,4.8382,3029,0
2017-02-13,17:00:00,4.8878,4.8878,4.8878,4.8878,3029,0
2017-02-13,17:15:00,4.8524,4.8524,4.8524,4.8524,1010,0
2017-02-13,17:20:00,4.8537,4.8537,4.8537,4.8537,202,0
2017-02-13,17:35:00,4.9019,4.9019,4.9019,4.9019,3231,0
2017-02-13,17:40:00,4.9367,4.9367,4.9367,4.9367,101,0
2017-02-13,18:10:00,4.9313,4.9313,4.9313,4.9313,2726,0
2017-02-13,18:40:00,4.9217,4.9217,4.9019,4.9019,303,0
2017-02-13,19:10:00,4.9267,4.9267,4.9267,4.9267,101,0
2017-02-13,19:35:00,4.9317,4.9515,4.9312,4.9317,3130,0
2017-02-13,20:20:00,4.9515,4.9515,4.9515,4.9515,404,0
2017-02-13,21:35:00,4.9515,4.9515,4.9515,4.9515,505,0
2017-02-13,21:50:00,4.9614,4.9614,4.9515,4.9515,1111,0
2017-02-13,21:55:00,4.9614,4.9614,4.9606,4.9606,1010,0
2017-02-13,22:00:00,4.9317,4.9317,4.9317,4.9317,909,0
2017-02-14,15:35:00,4.9911,4.9935,4.9911,4.9935,1114,0
2017-02-14,15:45:00,4.9713,4.9713,4.9713,4.9713,505,0
2017-02-14,15:50:00,4.9714,4.9714,4.9019,4.9019,5150,0
2017-02-14,16:35:00,4.9812,4.9812,4.9812,4.9812,101,0
2017-02-14,16:40:00,4.9812,4.9812,4.9668,4.9668,363,0
2017-02-14,17:15:00,4.9812,4.9812,4.9812,4.9812,298,0
2017-02-14,17:30:00,4.9713,4.9713,4.9713,4.9713,105,0
2017-02-14,17:40:00,4.9712,4.9712,4.9712,4.9712,4039,0
2017-02-14,17:45:00,4.9713,4.9713,4.9713,4.9713,653,0
2017-02-14,17:50:00,4.9712,4.9712,4.9712,4.9712,1010,0
2017-02-14,18:30:00,4.9713,4.9713,4.9713,4.9713,101,0
2017-02-14,18:40:00,4.9516,4.9524,4.9516,4.9524,242,0
2017-02-14,19:00:00,4.9515,4.9515,4.9515,4.9515,1111,0
2017-02-14,19:05:00,4.9493,4.9493,4.9493,4.9493,4039,0
2017-02-14,20:20:00,4.9441,4.9515,4.9441,4.9515,404,0
2017-02-14,20:30:00,4.9218,4.9218,4.9218,4.9218,164,0
2017-02-14,20:35:00,4.9217,4.9217,4.9019,4.9019,1462,0
2017-02-14,21:20:00,4.9515,4.9515,4.9515,4.9515,1010,0
2017-02-14,21:50:00,4.9713,4.9713,4.9713,4.9713,101,0
2017-02-15,15:35:00,4.8524,4.8524,4.8524,4.8524,793,0
2017-02-15,15:40:00,4.9317,4.9317,4.9317,4.9317,505,0
2017-02-15,16:15:00,4.9317,4.9317,4.9317,4.9317,202,0
2017-02-15,16:25:00,4.9515,4.9614,4.9515,4.9614,505,0
2017-02-15,16:45:00,4.9573,4.9573,4.9573,4.9573,101,0
2017-02-15,17:05:00,4.9614,4.9614,4.9614,4.9614,1717,0
2017-02-15,17:55:00,4.9515,4.9515,4.8524,4.8524,8767,0
2017-02-15,18:15:00,4.9019,4.9019,4.9019,4.9019,101,0
2017-02-15,18:30:00,4.9613,4.9613,4.9606,4.9606,2625,0
2017-02-15,19:05:00,4.9366,4.9366,4.9366,4.9366,454,0
2017-02-15,19:20:00,4.9539,4.9539,4.9539,4.9539,1010,0
2017-02-15,20:30:00,4.9389,4.9389,4.9389,4.9389,202,0
2017-02-15,21:00:00,4.9561,4.9561,4.9561,4.9561,903,0
2017-02-15,21:50:00,4.9614,4.9614,4.9515,4.9515,605,0
2017-02-15,22:00:00,4.9515,4.9529,4.9515,4.9529,3155,0
2017-02-16,15:35:00,4.8128,4.8128,4.8128,4.8128,222,0
2017-02-16,15:45:00,4.9515,4.9515,4.9515,4.9515,101,0
2017-02-16,15:50:00,4.9367,4.9515,4.9367,4.9514,3231,0
2017-02-16,15:55:00,4.9515,4.9515,4.9515,4.9515,302,0
2017-02-16,16:15:00,4.9518,4.9518,4.9317,4.9317,4165,0
2017-02-16,17:15:00,4.9317,4.936,4.9317,4.936,2020,0
2017-02-16,17:25:00,4.9338,4.9338,4.9338,4.9338,101,0
2017-02-16,17:30:00,4.9515,4.9515,4.9515,4.9515,252,0
2017-02-16,17:40:00,4.9514,4.9614,4.9514,4.9614,2525,0
2017-02-16,17:45:00,4.9614,4.9614,4.9614,4.9614,4241,0
2017-02-16,17:50:00,4.9597,4.9597,4.9597,4.9597,101,0
2017-02-16,17:55:00,4.9614,4.9614,4.9614,4.9614,101,0
2017-02-16,18:00:00,4.9515,4.9515,4.9416,4.9416,202,0
2017-02-16,18:15:00,4.9518,4.9518,4.9518,4.9518,252,0
2017-02-16,18:40:00,4.9515,4.9614,4.9515,4.9515,303,0
2017-02-16,19:30:00,4.9317,4.9317,4.9317,4.9317,404,0
2017-02-16,21:00:00,4.9515,4.9515,4.9515,4.9515,606,0
2017-02-16,21:35:00,4.9539,4.9614,4.9539,4.9614,404,0
2017-02-16,21:50:00,4.9614,4.9614,4.9614,4.9614,101,0
2017-02-16,22:00:00,4.9515,4.9515,4.9515,4.9515,101,0
2017-02-17,15:35:00,4.8722,4.8722,4.8722,4.8722,203,0
2017-02-17,16:20:00,4.955,4.955,4.9025,4.9025,394,0
2017-02-17,17:45:00,4.9094,4.9094,4.9094,4.9094,202,0
2017-02-17,18:50:00,4.9019,4.9019,4.9019,4.9019,505,0
2017-02-17,21:40:00,4.9515,4.9515,4.9515,4.9515,202,0
2017-02-21,15:35:00,4.9515,4.9515,4.9515,4.9515,393,0
2017-02-21,15:45:00,4.9515,4.9515,4.9515,4.9515,505,0
2017-02-21,18:05:00,4.9359,4.9359,4.9359,4.9359,1010,0
2017-02-21,19:10:00,4.9365,4.9515,4.9365,4.9396,1717,0
2017-02-21,19:30:00,4.9515,4.9515,4.9515,4.9515,101,0
2017-02-21,20:25:00,4.9391,4.9391,4.9391,4.9391,606,0
2017-02-21,20:45:00,4.9366,4.9366,4.9317,4.9317,202,0
2017-02-21,21:20:00,4.9365,4.9365,4.9365,4.9365,202,0
2017-02-21,21:25:00,4.9515,4.9614,4.9515,4.9614,3736,0
2017-02-21,21:35:00,4.9614,4.9614,4.9614,4.9614,101,0
2017-02-21,21:45:00,4.9515,4.9614,4.9515,4.9614,2525,0
2017-02-21,21:50:00,4.9614,4.9614,4.9614,4.9614,1111,0
2017-02-21,21:55:00,4.9614,4.9614,4.9614,4.9614,1254,0
2017-02-21,22:00:00,4.9614,4.9614,4.9614,4.9614,606,0
2017-02-22,15:35:00,4.9416,4.9485,4.9416,4.9485,657,0
2017-02-22,16:10:00,4.9614,4.9614,4.9614,4.9614,303,0
2017-02-22,16:20:00,4.9614,4.9614,4.9564,4.9564,202,0
2017-02-22,16:30:00,4.9614,4.9614,4.9515,4.9515,404,0
2017-02-22,16:35:00,4.9614,4.9614,4.9614,4.9614,1111,0
2017-02-22,16:45:00,4.9614,4.9614,4.9613,4.9613,202,0
