Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,43.83,43.8934,43.83,43.8529,3849,0
2017-04-10,15:40:00,43.8628,43.9098,43.8628,43.9098,725,0
2017-04-10,15:45:00,43.9042,44.05,43.9013,43.9197,2625,0
2017-04-10,15:50:00,43.87,43.95,43.86,43.93,1690,0
2017-04-10,15:55:00,43.94,43.95,43.94,43.95,300,0
2017-04-10,16:00:00,43.95,43.99,43.9,43.94,5168,0
2017-04-10,16:05:00,43.938,44,43.88,43.94,8185,0
2017-04-10,16:10:00,43.93,43.93,43.89,43.91,800,0
2017-04-10,16:15:00,43.93,43.94,43.93,43.94,500,0
2017-04-10,16:20:00,43.93,43.94,43.92,43.92,1200,0
2017-04-10,16:25:00,43.95,43.95,43.91,43.95,2300,0
2017-04-10,16:30:00,43.93,43.99,43.93,43.96,2948,0
2017-04-10,16:35:00,43.95,43.95,43.95,43.95,100,0
2017-04-10,16:40:00,43.99,44,43.99,44,700,0
2017-04-10,16:45:00,43.9501,44,43.9501,44,390,0
2017-04-10,16:50:00,44.02,44.025,43.9782,44.01,1070,0
2017-04-10,16:55:00,44,44.09,43.98,44.09,1119,0
2017-04-10,17:00:00,44.11,44.11,44.03,44.03,1100,0
2017-04-10,17:05:00,44.035,44.05,44.0347,44.0347,400,0
2017-04-10,17:10:00,44.02,44.1,44.02,44.1,1407,0
2017-04-10,17:15:00,44.107,44.15,44.107,44.15,702,0
2017-04-10,17:20:00,44.1308,44.14,44.09,44.13,2122,0
2017-04-10,17:25:00,44.15,44.21,44.15,44.2,2200,0
2017-04-10,17:30:00,44.23,44.23,44.18,44.18,1400,0
2017-04-10,17:35:00,44.19,44.22,44.1,44.1,6248,0
2017-04-10,17:40:00,44.13,44.15,44.1,44.1,2560,0
2017-04-10,17:45:00,44.119,44.119,44.08,44.08,1701,0
2017-04-10,17:50:00,44.1,44.105,44.08,44.105,500,0
2017-04-10,17:55:00,44.0999,44.12,44.0999,44.11,1531,0
2017-04-10,18:00:00,44.12,44.14,44.11,44.14,1295,0
2017-04-10,18:05:00,44.15,44.22,44.14,44.22,1510,0
2017-04-10,18:10:00,44.22,44.22,44.22,44.22,300,0
2017-04-10,18:15:00,44.2275,44.2275,44.18,44.19,700,0
2017-04-10,18:20:00,44.14,44.19,44.14,44.19,1013,0
2017-04-10,18:25:00,44.2051,44.23,44.2051,44.22,1223,0
2017-04-10,18:30:00,44.22,44.228,44.1632,44.18,3076,0
2017-04-10,18:35:00,44.165,44.19,44.165,44.19,300,0
2017-04-10,18:40:00,44.185,44.1874,44.16,44.16,891,0
2017-04-10,18:45:00,44.17,44.21,44.17,44.21,500,0
2017-04-10,18:50:00,44.186,44.22,44.186,44.22,2000,0
2017-04-10,18:55:00,44.24,44.26,44.24,44.26,1900,0
2017-04-10,19:00:00,44.27,44.28,44.27,44.28,200,0
2017-04-10,19:05:00,44.29,44.29,44.2301,44.2301,2013,0
2017-04-10,19:10:00,44.23,44.24,44.22,44.23,1200,0
2017-04-10,19:15:00,44.23,44.26,44.21,44.21,873,0
2017-04-10,19:20:00,44.24,44.27,44.24,44.24,852,0
2017-04-10,19:25:00,44.25,44.25,44.21,44.21,8148,0
2017-04-10,19:30:00,44.21,44.23,44.21,44.21,800,0
2017-04-10,19:35:00,44.2084,44.21,44.2084,44.21,553,0
2017-04-10,19:40:00,44.2056,44.23,44.2056,44.23,1214,0
2017-04-10,19:45:00,44.2,44.22,44.2,44.21,1369,0
2017-04-10,19:50:00,44.18,44.2,44.15,44.2,400,0
2017-04-10,19:55:00,44.16,44.1699,44.14,44.16,1525,0
2017-04-10,20:00:00,44.14,44.15,44.13,44.14,600,0
2017-04-10,20:05:00,44.12,44.13,44.09,44.0999,850,0
2017-04-10,20:10:00,44.07,44.1,44.07,44.0895,630,0
2017-04-10,20:15:00,44.0719,44.0719,44.0583,44.0583,1261,0
2017-04-10,20:20:00,44.06,44.06,44.0376,44.0376,1307,0
2017-04-10,20:25:00,44.0431,44.06,44.04,44.06,3085,0
2017-04-10,20:30:00,44.05,44.05,44.01,44.01,1200,0
2017-04-10,20:35:00,44.01,44.01,43.95,43.95,800,0
2017-04-10,20:40:00,43.98,43.9999,43.95,43.95,2360,0
2017-04-10,20:45:00,43.945,43.9456,43.93,43.9456,1310,0
2017-04-10,20:50:00,43.96,44,43.94,43.94,5785,0
2017-04-10,20:55:00,43.95,43.95,43.93,43.95,1056,0
2017-04-10,21:00:00,43.92,43.963,43.92,43.96,24110,0
2017-04-10,21:05:00,43.955,43.98,43.942,43.9498,6410,0
2017-04-10,21:10:00,43.96,44,43.95,43.99,11506,0
2017-04-10,21:15:00,44,44.05,43.99,44.05,5320,0
2017-04-10,21:20:00,44.06,44.08,44.031,44.065,3364,0
2017-04-10,21:25:00,44.05,44.065,44.0499,44.05,2500,0
2017-04-10,21:30:00,44.05,44.07,44.04,44.05,5875,0
2017-04-10,21:35:00,44.05,44.05,43.96,43.99,4512,0
2017-04-10,21:40:00,43.981,44.086,43.981,44.07,4425,0
2017-04-10,21:45:00,44.07,44.12,44.07,44.11,3678,0
2017-04-10,21:50:00,44.12,44.13,44.1,44.1,6566,0
2017-04-10,21:55:00,44.11,44.11,44.06,44.06,2141,0
2017-04-10,22:00:00,44.05,44.1,44,44.1,32113,0
2017-04-11,15:35:00,44.34,44.41,44.131,44.26,25326,0
2017-04-11,15:40:00,44.25,44.33,44.17,44.26,7481,0
2017-04-11,15:45:00,44.23,44.3,44.16,44.26,7037,0
2017-04-11,15:50:00,44.28,44.37,44.23,44.28,8559,0
2017-04-11,15:55:00,44.33,44.54,44.29,44.54,15490,0
2017-04-11,16:00:00,44.53,44.55,44.45,44.54,4150,0
2017-04-11,16:05:00,44.55,44.62,44.53,44.59,8268,0
2017-04-11,16:10:00,44.61,44.64,44.58,44.64,6048,0
2017-04-11,16:15:00,44.6,44.66,44.58,44.62,6241,0
2017-04-11,16:20:00,44.65,44.65,44.58,44.62,8335,0
2017-04-11,16:25:00,44.61,44.61,44.54,44.54,1910,0
2017-04-11,16:30:00,44.53,44.64,44.53,44.63,3576,0
2017-04-11,16:35:00,44.6499,44.6499,44.45,44.45,3013,0
2017-04-11,16:40:00,44.51,44.51,44.51,44.51,108,0
2017-04-11,16:45:00,44.57,44.57,44.44,44.44,3886,0
2017-04-11,16:50:00,44.44,44.5,44.39,44.39,700,0
2017-04-11,16:55:00,44.43,44.48,44.4068,44.47,3260,0
2017-04-11,17:00:00,44.43,44.43,44.38,44.4,1200,0
2017-04-11,17:05:00,44.43,44.51,44.4,44.51,3650,0
2017-04-11,17:10:00,44.52,44.52,44.48,44.495,1995,0
2017-04-11,17:15:00,44.5109,44.59,44.505,44.53,10636,0
2017-04-11,17:20:00,44.51,44.55,44.5,44.52,3907,0
2017-04-11,17:25:00,44.52,44.52,44.46,44.5,5336,0
2017-04-11,17:30:00,44.5,44.51,44.45,44.4899,7070,0
2017-04-11,17:35:00,44.4709,44.49,44.47,44.48,3600,0
2017-04-11,17:40:00,44.485,44.4899,44.47,44.48,4550,0
2017-04-11,17:45:00,44.48,44.485,44.4507,44.47,5014,0
2017-04-11,17:50:00,44.4799,44.48,44.41,44.42,5224,0
2017-04-11,17:55:00,44.45,44.46,44.37,44.4,5555,0
2017-04-11,18:00:00,44.4,44.43,44.4,44.43,1000,0
2017-04-11,18:05:00,44.45,44.47,44.38,44.38,3300,0
2017-04-11,18:10:00,44.395,44.43,44.395,44.43,1000,0
2017-04-11,18:15:00,44.4,44.47,44.38,44.4299,21861,0
2017-04-11,18:20:00,44.43,44.44,44.42,44.44,1900,0
2017-04-11,18:25:00,44.428,44.46,44.428,44.46,15224,0
2017-04-11,18:30:00,44.47,44.515,44.419,44.4675,17711,0
2017-04-11,18:35:00,44.45,44.47,44.43,44.43,4910,0
2017-04-11,18:40:00,44.44,44.51,44.43,44.51,4182,0
2017-04-11,18:45:00,44.51,44.51,44.4563,44.47,3425,0
2017-04-11,18:50:00,44.45,44.46,44.42,44.46,4700,0
2017-04-11,18:55:00,44.46,44.49,44.46,44.485,2000,0
2017-04-11,19:00:00,44.48,44.49,44.48,44.4825,2700,0
2017-04-11,19:05:00,44.48,44.49,44.48,44.49,2380,0
2017-04-11,19:10:00,44.49,44.5,44.46,44.46,4500,0
2017-04-11,19:15:00,44.4512,44.4512,44.42,44.422,990,0
2017-04-11,19:20:00,44.42,44.45,44.36,44.36,9521,0
2017-04-11,19:25:00,44.4,44.4,44.29,44.32,2100,0
2017-04-11,19:30:00,44.29,44.34,44.29,44.33,1911,0
2017-04-11,19:35:00,44.34,44.36,44.335,44.36,2900,0
2017-04-11,19:40:00,44.36,44.37,44.33,44.37,3254,0
2017-04-11,19:45:00,44.37,44.37,44.285,44.2933,2180,0
2017-04-11,19:50:00,44.285,44.3,44.28,44.28,1870,0
2017-04-11,19:55:00,44.275,44.275,44.26,44.275,550,0
2017-04-11,20:00:00,44.28,44.28,44.27,44.275,2000,0
2017-04-11,20:05:00,44.275,44.28,44.26,44.265,4249,0
2017-04-11,20:10:00,44.28,44.28,44.26,44.28,2987,0
2017-04-11,20:15:00,44.27,44.28,44.2201,44.2332,3683,0
2017-04-11,20:20:00,44.25,44.25,44.215,44.23,3887,0
2017-04-11,20:25:00,44.21,44.22,44.21,44.22,300,0
2017-04-11,20:30:00,44.2299,44.25,44.2101,44.25,4274,0
2017-04-11,20:35:00,44.25,44.25,44.23,44.23,2406,0
2017-04-11,20:40:00,44.26,44.26,44.23,44.23,4494,0
2017-04-11,20:45:00,44.25,44.25,44.2,44.23,3665,0
2017-04-11,20:50:00,44.26,44.27,44.24,44.26,1950,0
2017-04-11,20:55:00,44.24,44.27,44.22,44.25,1900,0
2017-04-11,21:00:00,44.23,44.28,44.23,44.28,1400,0
2017-04-11,21:05:00,44.29,44.32,44.29,44.29,1800,0
2017-04-11,21:10:00,44.3,44.3,44.23,44.25,1736,0
2017-04-11,21:15:00,44.26,44.29,44.26,44.28,2608,0
2017-04-11,21:20:00,44.28,44.2825,44.21,44.21,4550,0
2017-04-11,21:25:00,44.21,44.27,44.21,44.27,2800,0
2017-04-11,21:30:00,44.27,44.27,44.23,44.26,6700,0
2017-04-11,21:35:00,44.26,44.35,44.25,44.34,9850,0
2017-04-11,21:40:00,44.33,44.39,44.32,44.3899,9147,0
2017-04-11,21:45:00,44.39,44.41,44.36,44.38,12322,0
2017-04-11,21:50:00,44.39,44.41,44.21,44.36,22238,0
2017-04-11,21:55:00,44.36,44.36,44.13,44.3,19680,0
2017-04-11,22:00:00,44.305,44.37,44.28,44.35,31689,0
2017-04-12,15:35:00,44.36,44.36,44.29,44.34,3331,0
2017-04-12,15:40:00,44.34,44.34,44.28,44.33,800,0
2017-04-12,15:45:00,44.36,44.41,44.33,44.41,1972,0
2017-04-12,15:50:00,44.335,44.4799,44.335,44.42,2445,0
2017-04-12,15:55:00,44.48,44.5,44.4,44.44,8402,0
2017-04-12,16:00:00,44.47,44.47,44.389,44.43,2265,0
2017-04-12,16:05:00,44.47,44.54,44.4201,44.54,1100,0
2017-04-12,16:10:00,44.53,44.58,44.47,44.5425,4412,0
2017-04-12,16:15:00,44.5424,44.57,44.5301,44.57,3864,0
2017-04-12,16:20:00,44.57,44.58,44.49,44.54,17045,0
2017-04-12,16:25:00,44.5,44.53,44.5,44.53,1000,0
2017-04-12,16:30:00,44.49,44.53,44.41,44.41,4550,0
2017-04-12,16:35:00,44.43,44.49,44.415,44.46,2600,0
2017-04-12,16:40:00,44.48,44.48,44.37,44.4092,4300,0
2017-04-12,16:45:00,44.42,44.44,44.32,44.32,3007,0
2017-04-12,16:50:00,44.31,44.31,44.25,44.27,1075,0
2017-04-12,16:55:00,44.28,44.37,44.275,44.335,1200,0
2017-04-12,17:00:00,44.35,44.41,44.35,44.4,1000,0
2017-04-12,17:05:00,44.375,44.3875,44.23,44.23,15300,0
2017-04-12,17:10:00,44.3,44.32,44.25,44.32,3748,0
2017-04-12,17:15:00,44.31,44.33,44.29,44.33,9792,0
2017-04-12,17:20:00,44.32,44.32,44.28,44.28,4000,0
2017-04-12,17:25:00,44.315,44.315,44.18,44.18,13847,0
2017-04-12,17:30:00,44.19,44.21,44.16,44.16,6700,0
2017-04-12,17:35:00,44.16,44.23,44.16,44.17,1010,0
2017-04-12,17:40:00,44.21,44.21,44.16,44.16,13868,0
2017-04-12,17:45:00,44.16,44.26,44.16,44.24,2400,0
2017-04-12,17:50:00,44.215,44.24,44.1915,44.24,1850,0
2017-04-12,17:55:00,44.2328,44.2328,44.2,44.21,2359,0
2017-04-12,18:00:00,44.24,44.24,44.18,44.185,7082,0
2017-04-12,18:05:00,44.21,44.25,44.21,44.22,900,0
2017-04-12,18:10:00,44.24,44.24,44.17,44.19,5575,0
2017-04-12,18:15:00,44.21,44.27,44.21,44.27,1558,0
2017-04-12,18:20:00,44.27,44.2725,44.26,44.27,1727,0
2017-04-12,18:25:00,44.27,44.31,44.27,44.31,400,0
2017-04-12,18:30:00,44.31,44.33,44.31,44.33,2276,0
2017-04-12,18:35:00,44.34,44.36,44.34,44.351,450,0
2017-04-12,18:40:00,44.37,44.41,44.353,44.38,2811,0
2017-04-12,18:45:00,44.37,44.37,44.3502,44.37,3810,0
2017-04-12,18:50:00,44.37,44.37,44.365,44.37,850,0
2017-04-12,18:55:00,44.36,44.365,44.28,44.28,1319,0
2017-04-12,19:00:00,44.265,44.32,44.265,44.32,300,0
2017-04-12,19:05:00,44.33,44.36,44.33,44.36,1000,0
2017-04-12,19:10:00,44.33,44.35,44.3,44.31,3900,0
2017-04-12,19:15:00,44.34,44.345,44.29,44.29,1600,0
2017-04-12,19:20:00,44.2826,44.34,44.2826,44.34,544,0
2017-04-12,19:25:00,44.3052,44.32,44.3,44.31,3363,0
2017-04-12,19:30:00,44.325,44.35,44.31,44.35,1705,0
2017-04-12,19:35:00,44.35,44.35,44.32,44.34,1965,0
2017-04-12,19:40:00,44.32,44.395,44.32,44.37,2741,0
2017-04-12,19:45:00,44.375,44.39,44.3,44.32,7850,0
2017-04-12,19:50:00,44.31,44.33,44.3,44.31,5230,0
2017-04-12,19:55:00,44.3,44.3,44.29,44.3,600,0
2017-04-12,20:00:00,44.31,44.33,44.26,44.32,4932,0
2017-04-12,20:05:00,44.27,44.275,44.27,44.275,500,0
2017-04-12,20:10:00,44.28,44.34,44.28,44.34,1611,0
2017-04-12,20:15:00,44.31,44.33,44.3,44.33,1400,0
2017-04-12,20:20:00,44.315,44.32,44.3,44.31,600,0
2017-04-12,20:25:00,44.3,44.32,44.29,44.31,1684,0
2017-04-12,20:30:00,44.3,44.3,44.25,44.25,1600,0
2017-04-12,20:35:00,44.28,44.2923,44.26,44.284,2863,0
2017-04-12,20:40:00,44.29,44.32,44.25,44.25,1600,0
2017-04-12,20:45:00,44.23,44.24,44.22,44.22,1057,0
2017-04-12,20:50:00,44.25,44.2525,44.23,44.23,1200,0
2017-04-12,20:55:00,44.25,44.27,44.238,44.27,1677,0
2017-04-12,21:00:00,44.3,44.32,44.2878,44.3,4673,0
2017-04-12,21:05:00,44.306,44.32,44.28,44.31,9188,0
2017-04-12,21:10:00,44.29,44.34,44.29,44.34,1400,0
2017-04-12,21:15:00,44.34,44.36,44.32,44.35,2131,0
2017-04-12,21:20:00,44.365,44.38,44.35,44.37,3617,0
2017-04-12,21:25:00,44.36,44.45,44.36,44.41,28718,0
