Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-30,15:35:00,9.14,9.14,9.14,9.14,220,0
2017-03-30,16:00:00,9.136,9.136,9.136,9.136,100,0
2017-03-30,16:10:00,9.1521,9.1521,9.12,9.12,1100,0
2017-03-30,16:15:00,9.12,9.145,9.11,9.145,950,0
2017-03-30,16:35:00,9.145,9.1555,9.117,9.1555,300,0
2017-03-30,17:05:00,9.14,9.14,9.14,9.14,100,0
2017-03-30,17:15:00,9.15,9.1592,9.124,9.124,400,0
2017-03-30,18:00:00,9.16,9.16,9.16,9.16,400,0
2017-03-30,18:05:00,9.141,9.1699,9.124,9.124,5609,0
2017-03-30,18:10:00,9.145,9.145,9.145,9.145,100,0
2017-03-30,18:15:00,9.145,9.16,9.12,9.12,12453,0
2017-03-30,18:25:00,9.12,9.15,9.12,9.15,3200,0
2017-03-30,18:30:00,9.13,9.135,9.12,9.135,700,0
2017-03-30,18:35:00,9.12,9.12,9.12,9.12,200,0
2017-03-30,18:40:00,9.12,9.125,9.12,9.125,300,0
2017-03-30,18:45:00,9.13,9.14,9.12,9.14,1100,0
2017-03-30,18:50:00,9.12,9.12,9.12,9.12,200,0
2017-03-30,19:00:00,9.12,9.12,9.12,9.12,100,0
2017-03-30,19:05:00,9.125,9.14,9.114,9.114,600,0
2017-03-30,19:10:00,9.114,9.114,9.11,9.11,200,0
2017-03-30,19:15:00,9.123,9.15,9.12,9.12,300,0
2017-03-30,19:20:00,9.12,9.13,9.12,9.13,600,0
2017-03-30,19:25:00,9.112,9.112,9.11,9.11,200,0
2017-03-30,19:30:00,9.11,9.11,9.11,9.11,200,0
2017-03-30,19:40:00,9.11,9.14,9.11,9.12,1450,0
2017-03-30,19:45:00,9.12,9.13,9.11,9.112,600,0
2017-03-30,19:50:00,9.11,9.11,9.11,9.11,400,0
2017-03-30,19:55:00,9.112,9.13,9.112,9.12,400,0
2017-03-30,20:00:00,9.11,9.11,9.11,9.11,100,0
2017-03-30,20:05:00,9.11,9.13,9.11,9.12,1500,0
2017-03-30,20:15:00,9.11,9.11,9.1,9.1,300,0
