Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-29,15:35:00,9.05,9.05,9.05,9.05,100,0
2017-03-29,15:55:00,9.0136,9.03,9,9,900,0
2017-03-29,16:15:00,9.02,9.04,8.97,9.02,3600,0
2017-03-29,16:20:00,9.06,9.08,9.03,9.04,1800,0
2017-03-29,16:25:00,9.09,9.09,9.09,9.09,100,0
2017-03-29,16:30:00,9.11,9.11,9.11,9.11,100,0
2017-03-29,17:05:00,9.02,9.02,9.02,9.02,200,0
2017-03-29,17:20:00,9.03,9.03,9.02,9.02,400,0
2017-03-29,17:25:00,9.02,9.02,9.02,9.02,100,0
2017-03-29,17:30:00,9.02,9.02,9,9,600,0
2017-03-29,17:40:00,8.93,8.951,8.93,8.951,400,0
2017-03-29,17:50:00,8.91,8.91,8.87,8.87,1020,0
2017-03-29,17:55:00,8.83,8.8432,8.6172,8.67,3600,0
2017-03-29,18:00:00,8.72,8.82,8.65,8.78,15200,0
2017-03-29,18:05:00,8.7601,8.92,8.7601,8.8931,5750,0
2017-03-29,18:10:00,8.92,9.08,8.91,8.91,600,0
2017-03-29,18:15:00,8.91,8.911,8.9,8.9,1600,0
2017-03-29,18:40:00,8.88,8.8934,8.87,8.8834,600,0
2017-03-29,18:45:00,8.95,8.97,8.9,8.96,2850,0
2017-03-29,19:05:00,8.98,8.98,8.96,8.98,1300,0
2017-03-29,19:25:00,9.08,9.08,9.08,9.08,100,0
2017-03-29,19:55:00,8.97,8.97,8.96,8.96,600,0
2017-03-29,20:00:00,8.9501,8.9501,8.9501,8.9501,400,0
2017-03-29,20:05:00,8.9734,8.9734,8.9734,8.9734,141,0
2017-03-29,20:35:00,8.97,8.97,8.97,8.97,200,0
2017-03-29,20:45:00,8.95,8.9501,8.89,8.89,3700,0
2017-03-29,20:50:00,8.907,8.907,8.907,8.907,560,0
2017-03-29,21:05:00,8.84,8.84,8.84,8.84,100,0
2017-03-29,21:10:00,8.8401,8.8401,8.8401,8.8401,100,0
2017-03-29,21:15:00,8.91,8.91,8.91,8.91,100,0
2017-03-29,21:20:00,8.9,8.9,8.9,8.9,100,0
2017-03-29,21:25:00,8.84,8.8534,8.81,8.81,2300,0
2017-03-29,21:30:00,8.77,8.86,8.77,8.84,1490,0
2017-03-29,21:35:00,8.864,8.864,8.82,8.82,400,0
2017-03-29,21:55:00,8.77,8.82,8.75,8.81,1300,0
2017-03-29,22:00:00,8.81,8.85,8.75,8.75,12600,0
2017-03-30,15:35:00,8.85,8.85,8.85,8.85,100,0
2017-03-30,15:50:00,8.899,8.899,8.899,8.899,500,0
2017-03-30,15:55:00,8.6624,8.78,8.6624,8.78,800,0
2017-03-30,16:00:00,8.96,8.96,8.7626,8.7626,660,0
2017-03-30,16:10:00,8.9,8.9,8.9,8.9,1800,0
2017-03-30,16:30:00,9.24,9.24,9.24,9.24,100,0
2017-03-30,16:35:00,9.17,9.22,9.11,9.11,4700,0
2017-03-30,16:40:00,9.25,9.29,9.15,9.24,6620,0
2017-03-30,16:45:00,9.29,9.4,9.29,9.35,850,0
2017-03-30,16:50:00,9.34,9.35,9.34,9.35,600,0
2017-03-30,16:55:00,9.49,9.49,9.356,9.48,1300,0
2017-03-30,17:00:00,9.39,9.39,9.3,9.39,1000,0
2017-03-30,17:05:00,9.39,9.39,9.39,9.39,100,0
2017-03-30,17:15:00,9.35,9.39,9.22,9.39,3040,0
2017-03-30,17:20:00,9.4,9.4,9.4,9.4,800,0
2017-03-30,17:25:00,9.45,9.45,9.35,9.42,300,0
2017-03-30,17:35:00,9.42,9.42,9.37,9.37,300,0
2017-03-30,17:40:00,9.35,9.49,9.311,9.48,3200,0
2017-03-30,17:45:00,9.44,9.44,9.43,9.43,504,0
2017-03-30,17:50:00,9.4,9.49,9.4,9.45,800,0
2017-03-30,17:55:00,9.41,9.41,9.38,9.41,400,0
2017-03-30,18:00:00,9.46,9.46,9.4,9.43,631,0
2017-03-30,18:05:00,9.37,9.39,9.35,9.35,1128,0
2017-03-30,18:10:00,9.31,9.31,9.16,9.16,500,0
2017-03-30,18:15:00,9.16,9.16,9.16,9.16,200,0
2017-03-30,18:30:00,9.06,9.14,9.06,9.14,500,0
2017-03-30,18:50:00,9.02,9.02,9.02,9.02,100,0
2017-03-30,19:10:00,8.999,9,8.999,9,4800,0
2017-03-30,19:15:00,8.84,9,8.84,9,7025,0
2017-03-30,19:20:00,9.02,9.17,9.02,9.14,9815,0
2017-03-30,19:25:00,9.17,9.2,9.11,9.11,13615,0
2017-03-30,19:30:00,9.08,9.09,9,9,2512,0
2017-03-30,19:35:00,8.91,8.91,8.91,8.91,700,0
2017-03-30,20:10:00,8.9,8.92,8.9,8.92,1580,0
2017-03-30,20:15:00,8.95,9.01,8.95,8.98,1400,0
2017-03-30,20:30:00,9.33,9.33,9.11,9.13,2819,0
2017-03-30,20:35:00,9.12,9.12,8.99,8.99,500,0
2017-03-30,20:40:00,8.95,8.95,8.95,8.95,100,0
2017-03-30,20:45:00,8.99,9.02,8.98,9.02,700,0
2017-03-30,20:50:00,9.03,9.05,9.03,9.03,1200,0
2017-03-30,20:55:00,9.06,9.06,9.06,9.06,200,0
2017-03-30,21:00:00,8.92,9.2,8.92,9.13,736,0
