Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,31.15,31.15,30.95,30.975,9015,0
2017-04-10,15:40:00,31,31.2,31,31.175,21900,0
2017-04-10,15:45:00,31.175,31.6,31.15,31.6,5750,0
2017-04-10,15:50:00,31.675,31.9,31.65,31.9,3250,0
2017-04-10,15:55:00,31.85,31.85,31.75,31.825,4150,0
2017-04-10,16:00:00,31.825,31.9,31.75,31.9,8735,0
2017-04-10,16:05:00,31.95,32.05,31.95,32.05,1800,0
2017-04-10,16:10:00,32.1,32.15,31.9,31.9,8566,0
2017-04-10,16:15:00,31.9,31.95,31.75,31.9,4300,0
2017-04-10,16:20:00,31.85,31.9285,31.8,31.9,2000,0
2017-04-10,16:25:00,31.95,32.05,31.9,31.95,6842,0
2017-04-10,16:30:00,31.95,32.05,31.95,32,3700,0
2017-04-10,16:35:00,32,32.1,31.95,31.95,6219,0
2017-04-10,16:40:00,31.95,31.975,31.9,31.9,1400,0
2017-04-10,16:45:00,31.85,31.9,31.8,31.9,12610,0
2017-04-10,16:50:00,31.925,32,31.875,32,3200,0
2017-04-10,16:55:00,31.93,31.95,31.85,31.9,6289,0
2017-04-10,17:00:00,31.9,31.9,31.9,31.9,300,0
2017-04-10,17:05:00,31.9,32.025,31.9,31.975,2074,0
2017-04-10,17:10:00,31.95,31.9503,31.9,31.95,2800,0
2017-04-10,17:15:00,31.95,32.05,31.95,32.025,4100,0
2017-04-10,17:20:00,32,32,31.95,32,1000,0
2017-04-10,17:25:00,32.025,32.1,32.025,32.1,700,0
2017-04-10,17:30:00,32.075,32.1,31.95,31.975,3500,0
2017-04-10,17:35:00,31.95,31.95,31.85,31.9,2000,0
2017-04-10,17:40:00,31.875,31.95,31.875,31.9,800,0
2017-04-10,17:45:00,31.85,31.95,31.85,31.95,3705,0
2017-04-10,17:50:00,31.9,31.925,31.8,31.85,1323,0
2017-04-10,17:55:00,31.85,31.925,31.85,31.85,4600,0
2017-04-10,18:00:00,31.8568,31.8568,31.75,31.85,2500,0
2017-04-10,18:05:00,31.85,31.9,31.8,31.85,4200,0
2017-04-10,18:10:00,31.85,31.85,31.825,31.825,400,0
2017-04-10,18:15:00,31.8,31.825,31.7,31.7,2000,0
2017-04-10,18:20:00,31.7,31.75,31.65,31.7,2758,0
2017-04-10,18:25:00,31.7,31.7,31.65,31.65,3500,0
2017-04-10,18:30:00,31.6231,31.7,31.6,31.7,948,0
2017-04-10,18:35:00,31.675,31.675,31.6,31.65,3600,0
2017-04-10,18:40:00,31.575,31.6,31.575,31.6,800,0
2017-04-10,18:45:00,31.6,31.7,31.575,31.65,6118,0
2017-04-10,18:50:00,31.65,31.65,31.6,31.625,1500,0
2017-04-10,18:55:00,31.625,31.7301,31.625,31.7301,2148,0
2017-04-10,19:05:00,31.75,31.75,31.75,31.75,422,0
2017-04-10,19:10:00,31.75,31.8,31.75,31.8,1000,0
2017-04-10,19:15:00,31.85,31.85,31.85,31.85,100,0
2017-04-10,19:20:00,31.85,31.85,31.85,31.85,700,0
2017-04-10,19:25:00,31.85,31.85,31.85,31.85,300,0
2017-04-10,19:30:00,31.8,31.85,31.8,31.85,500,0
2017-04-10,19:35:00,31.85,31.85,31.8,31.85,957,0
2017-04-10,19:40:00,31.85,32,31.85,31.875,4826,0
2017-04-10,19:50:00,31.8,31.8,31.75,31.8,2471,0
2017-04-10,19:55:00,31.85,31.85,31.85,31.85,300,0
2017-04-10,20:00:00,31.85,31.9,31.8,31.85,3400,0
2017-04-10,20:05:00,31.9,31.9,31.75,31.75,5204,0
2017-04-10,20:10:00,31.8,31.8,31.8,31.8,1300,0
2017-04-10,20:20:00,31.85,31.85,31.755,31.85,837,0
2017-04-10,20:25:00,31.85,31.875,31.8,31.85,4565,0
2017-04-10,20:30:00,31.85,31.85,31.85,31.85,1100,0
