Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-06,16:30:00,1.72,1.79,1.72,1.79,1300,0
2017-01-06,17:45:00,1.67,1.67,1.67,1.67,400,0
2017-01-06,17:55:00,1.69,1.69,1.69,1.69,200,0
2017-01-06,18:45:00,1.7,1.7,1.7,1.7,100,0
2017-01-06,19:05:00,1.72,1.72,1.72,1.72,900,0
2017-01-06,19:20:00,1.72,1.72,1.72,1.72,100,0
2017-01-06,19:25:00,1.6965,1.6965,1.6965,1.6965,1000,0
2017-01-06,20:10:00,1.68,1.68,1.68,1.68,100,0
2017-01-06,20:15:00,1.69,1.69,1.6898,1.6898,600,0
2017-01-06,20:30:00,1.69,1.69,1.69,1.69,300,0
2017-01-06,20:45:00,1.7,1.7,1.699,1.699,400,0
2017-01-06,21:10:00,1.72,1.72,1.7199,1.7199,2000,0
2017-01-06,21:20:00,1.71,1.72,1.71,1.7192,500,0
2017-01-06,21:30:00,1.72,1.75,1.72,1.75,582,0
2017-01-06,21:35:00,1.7,1.7,1.65,1.65,11100,0
2017-01-06,21:40:00,1.67,1.67,1.67,1.67,400,0
2017-01-06,21:55:00,1.7088,1.7088,1.66,1.66,682,0
2017-01-06,22:00:00,1.74,1.74,1.67,1.67,1233,0
2017-01-09,15:35:00,1.67,1.67,1.67,1.67,800,0
2017-01-09,15:40:00,1.67,1.7045,1.66,1.7045,1600,0
2017-01-09,16:30:00,1.68,1.68,1.67,1.67,298,0
2017-01-09,18:00:00,1.68,1.6802,1.67,1.6802,604,0
2017-01-09,18:05:00,1.65,1.65,1.65,1.65,2171,0
2017-01-09,18:30:00,1.61,1.61,1.61,1.61,2000,0
2017-01-09,18:45:00,1.63,1.65,1.61,1.65,11127,0
2017-01-09,19:00:00,1.63,1.63,1.63,1.63,100,0
2017-01-09,19:20:00,1.63,1.63,1.62,1.62,2400,0
2017-01-09,19:25:00,1.63,1.6381,1.6,1.6,3300,0
2017-01-09,19:30:00,1.6,1.6024,1.57,1.6,9180,0
2017-01-09,20:50:00,1.65,1.65,1.64,1.65,4528,0
2017-01-09,21:30:00,1.59,1.59,1.59,1.59,100,0
2017-01-09,21:45:00,1.59,1.6,1.59,1.6,300,0
2017-01-09,22:00:00,1.595,1.6,1.59,1.59,800,0
2017-01-10,15:35:00,1.6,1.6,1.6,1.6,403,0
2017-01-10,16:00:00,1.5976,1.6,1.5976,1.6,6200,0
2017-01-10,16:10:00,1.5922,1.5922,1.5922,1.5922,1000,0
2017-01-10,16:15:00,1.5999,1.5999,1.5999,1.5999,100,0
2017-01-10,16:35:00,1.5604,1.57,1.5604,1.57,1100,0
2017-01-10,17:15:00,1.58,1.58,1.58,1.58,697,0
2017-01-10,17:35:00,1.58,1.58,1.57,1.57,2100,0
2017-01-10,19:05:00,1.58,1.58,1.56,1.56,3300,0
2017-01-10,19:10:00,1.56,1.58,1.55,1.58,6100,0
2017-01-10,20:45:00,1.5772,1.58,1.55,1.55,2200,0
2017-01-10,21:05:00,1.58,1.59,1.56,1.59,2800,0
2017-01-10,21:40:00,1.58,1.58,1.56,1.56,700,0
2017-01-10,21:45:00,1.55,1.55,1.55,1.55,300,0
2017-01-10,22:00:00,1.5601,1.59,1.56,1.59,881,0
2017-01-11,15:35:00,1.6,1.62,1.6,1.62,1309,0
2017-01-11,15:45:00,1.6,1.6,1.58,1.58,841,0
2017-01-11,16:40:00,1.5801,1.5801,1.5801,1.5801,543,0
2017-01-11,17:55:00,1.589,1.66,1.5868,1.6568,9800,0
2017-01-11,18:00:00,1.59,1.59,1.59,1.59,100,0
2017-01-11,18:25:00,1.6096,1.61,1.6096,1.61,600,0
2017-01-11,19:20:00,1.61,1.61,1.61,1.61,200,0
2017-01-11,19:25:00,1.61,1.61,1.61,1.61,100,0
2017-01-11,19:35:00,1.61,1.6111,1.61,1.61,500,0
2017-01-11,20:00:00,1.61,1.61,1.61,1.61,200,0
2017-01-11,20:05:00,1.62,1.62,1.62,1.62,200,0
2017-01-11,20:55:00,1.63,1.67,1.6275,1.67,13324,0
2017-01-11,21:00:00,1.6962,1.88,1.6698,1.821,74489,0
2017-01-11,21:05:00,1.82,1.826,1.69,1.69,43237,0
2017-01-11,21:10:00,1.7,1.75,1.6529,1.75,33675,0
2017-01-11,21:15:00,1.75,1.832,1.75,1.7774,4825,0
