Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,15.95,15.99,15.9,15.95,5927,0
2017-04-10,15:40:00,15.9,15.94,15.89,15.92,600,0
2017-04-10,15:45:00,15.9,16.12,15.9,16.01,11200,0
2017-04-10,15:50:00,16,16.13,15.98,16.02,5449,0
2017-04-10,15:55:00,16.04,16.13,16,16,6250,0
2017-04-10,16:00:00,16.01,16.01,16.01,16.01,300,0
2017-04-10,16:05:00,16.07,16.15,16.07,16.15,1100,0
2017-04-10,16:10:00,16.2,16.23,16.15,16.21,9200,0
2017-04-10,16:15:00,16.21,16.22,16.1073,16.19,7700,0
2017-04-10,16:20:00,16.1894,16.1894,16.1894,16.1894,1000,0
2017-04-10,16:25:00,16.2,16.28,16.15,16.15,3375,0
2017-04-10,16:30:00,16.12,16.16,16.1038,16.16,1100,0
2017-04-10,16:35:00,16.12,16.1808,16.12,16.1808,1150,0
2017-04-10,16:40:00,16.17,16.2,16.1362,16.15,1325,0
2017-04-10,16:45:00,16.15,16.17,16.15,16.17,600,0
2017-04-10,16:50:00,16.22,16.22,16.1685,16.1685,1822,0
2017-04-10,16:55:00,16.16,16.18,16.15,16.18,1100,0
2017-04-10,17:00:00,16.19,16.2094,16.15,16.15,1705,0
2017-04-10,17:05:00,16.17,16.2,16.17,16.2,2500,0
2017-04-10,17:10:00,16.18,16.22,16.18,16.19,1000,0
2017-04-10,17:15:00,16.22,16.23,16.19,16.23,1709,0
2017-04-10,17:20:00,16.23,16.3,16.23,16.3,6012,0
2017-04-10,17:25:00,16.29,16.33,16.25,16.32,24984,0
2017-04-10,17:30:00,16.38,16.4,16.32,16.4,8300,0
2017-04-10,17:35:00,16.36,16.39,16.24,16.24,10400,0
2017-04-10,17:40:00,16.24,16.35,16.24,16.35,1500,0
2017-04-10,17:45:00,16.3,16.42,16.28,16.395,2480,0
2017-04-10,17:50:00,16.4,16.61,16.38,16.57,37150,0
2017-04-10,17:55:00,16.55,16.58,16.52,16.52,1800,0
2017-04-10,18:00:00,16.5327,16.59,16.51,16.535,4150,0
2017-04-10,18:05:00,16.5525,16.56,16.54,16.54,942,0
2017-04-10,18:10:00,16.57,16.57,16.48,16.505,2025,0
2017-04-10,18:15:00,16.48,16.55,16.48,16.55,4800,0
2017-04-10,18:20:00,16.53,16.53,16.48,16.4875,10860,0
2017-04-10,18:25:00,16.4883,16.5,16.42,16.4446,7600,0
2017-04-10,18:30:00,16.45,16.49,16.45,16.45,1700,0
2017-04-10,18:35:00,16.45,16.545,16.44,16.53,5400,0
2017-04-10,18:40:00,16.55,16.55,16.5,16.505,17819,0
2017-04-10,18:45:00,16.51,16.61,16.51,16.61,12400,0
2017-04-10,18:50:00,16.6,16.6,16.56,16.57,500,0
2017-04-10,18:55:00,16.58,16.67,16.565,16.66,3600,0
2017-04-10,19:00:00,16.64,16.67,16.64,16.67,300,0
2017-04-10,19:05:00,16.62,16.62,16.58,16.58,1800,0
2017-04-10,19:10:00,16.58,16.61,16.54,16.57,1400,0
2017-04-10,19:15:00,16.51,16.54,16.5,16.5,11900,0
2017-04-10,19:20:00,16.5,16.58,16.5,16.5376,6100,0
2017-04-10,19:25:00,16.53,16.57,16.53,16.57,1900,0
2017-04-10,19:30:00,16.53,16.55,16.5,16.55,600,0
2017-04-10,19:35:00,16.55,16.6,16.55,16.5838,977,0
2017-04-10,19:40:00,16.57,16.67,16.57,16.67,2000,0
2017-04-10,19:45:00,16.65,16.66,16.65,16.66,6800,0
2017-04-10,19:50:00,16.65,16.66,16.65,16.66,7387,0
2017-04-10,19:55:00,16.66,16.67,16.38,16.4,43810,0
2017-04-10,20:00:00,16.38,16.5,16.38,16.49,5000,0
2017-04-10,20:05:00,16.52,16.52,16.42,16.42,600,0
2017-04-10,20:10:00,16.46,16.46,16.4,16.45,900,0
2017-04-10,20:15:00,16.4,16.43,16.4,16.42,2700,0
2017-04-10,20:20:00,16.4,16.45,16.4,16.425,700,0
2017-04-10,20:25:00,16.41,16.41,16.38,16.405,12755,0
2017-04-10,20:30:00,16.38,16.38,16.28,16.28,1600,0
