Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-05,16:20:00,25.88,25.88,25.88,25.88,100,0
2015-06-05,20:20:00,25.85,25.85,25.85,25.85,100,0
2015-06-05,20:55:00,25.8,25.8,25.8,25.8,200,0
2015-06-08,17:55:00,25.93,25.93,25.93,25.93,100,0
2015-06-08,20:00:00,25.928,25.928,25.928,25.928,200,0
2015-06-08,20:55:00,25.842,25.842,25.842,25.842,741,0
2015-06-08,21:30:00,25.915,25.93,25.915,25.93,600,0
2015-06-08,21:45:00,25.93,25.93,25.93,25.93,100,0
2015-06-08,21:55:00,25.93,25.93,25.93,25.93,700,0
2015-06-08,22:00:00,25.93,25.93,25.93,25.93,100,0
2015-06-10,18:45:00,25.511,25.756,25.511,25.756,1200,0
2015-06-10,18:50:00,25.57,25.57,25.54,25.54,950,0
2015-06-10,21:15:00,25.88,25.88,25.88,25.88,100,0
2015-06-10,21:20:00,25.86,25.86,25.86,25.86,100,0
2015-06-10,21:25:00,25.88,25.91,25.88,25.91,300,0
2015-06-10,21:30:00,25.91,25.93,25.91,25.91,400,0
2015-06-10,21:35:00,25.91,25.93,25.91,25.93,500,0
2015-06-10,21:40:00,25.94,25.94,25.93,25.94,500,0
2015-06-10,21:45:00,25.94,25.99,25.94,25.99,500,0
2015-06-10,21:50:00,25.99,25.99,25.99,25.99,800,0
2015-06-10,21:55:00,25.95,25.99,25.95,25.99,900,0
2015-06-15,18:45:00,26.09,26.09,25.99,25.99,200,0
2015-06-15,19:45:00,26.07,26.07,26.07,26.07,222,0
2015-06-16,16:50:00,26.03,26.03,26.03,26.03,100,0
2015-06-16,16:55:00,26,26,25.89,25.8995,1200,0
2015-06-16,17:00:00,25.9,25.9,25.9,25.9,600,0
2015-06-16,17:30:00,25.75,25.75,25.72,25.72,400,0
2015-06-16,21:20:00,26.06,26.06,26.06,26.06,350,0
2015-06-16,21:25:00,25.95,25.95,25.95,25.95,100,0
2015-06-17,20:40:00,25.9272,25.9272,25.9272,25.9272,100,0
2015-06-18,16:45:00,26.03,26.09,26.03,26.09,1000,0
2015-06-18,21:30:00,26,26,26,26,441,0
