Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-22,15:35:00,7.87,7.87,7.79,7.81,39311,0
2017-02-22,15:40:00,7.8,7.8001,7.8,7.8001,2900,0
2017-02-22,16:05:00,7.81,7.81,7.81,7.81,1000,0
2017-02-22,16:20:00,7.78,7.7862,7.78,7.78,3700,0
2017-02-22,16:35:00,7.8,7.83,7.8,7.83,1000,0
2017-02-22,16:40:00,7.84,7.85,7.82,7.82,2400,0
2017-02-22,16:45:00,7.84,7.84,7.83,7.8327,600,0
2017-02-22,16:50:00,7.83,7.83,7.82,7.83,400,0
2017-02-22,16:55:00,7.83,7.83,7.83,7.83,391,0
2017-02-22,17:00:00,7.83,7.83,7.83,7.83,100,0
2017-02-22,17:10:00,7.8243,7.8243,7.8243,7.8243,1200,0
2017-02-22,17:15:00,7.82,7.82,7.82,7.82,300,0
2017-02-22,17:20:00,7.82,7.82,7.82,7.82,100,0
2017-02-22,17:50:00,7.8,7.8,7.8,7.8,300,0
2017-02-22,17:55:00,7.79,7.79,7.79,7.79,700,0
2017-02-22,18:05:00,7.79,7.79,7.79,7.79,100,0
2017-02-22,18:10:00,7.79,7.79,7.79,7.79,100,0
2017-02-22,18:15:00,7.7848,7.79,7.7848,7.79,1100,0
2017-02-22,18:20:00,7.79,7.79,7.79,7.79,200,0
2017-02-22,18:40:00,7.79,7.79,7.79,7.79,100,0
2017-02-22,18:55:00,7.8,7.8,7.8,7.8,100,0
2017-02-22,19:00:00,7.7829,7.7829,7.7829,7.7829,500,0
2017-02-22,19:10:00,7.7802,7.7802,7.7802,7.7802,822,0
2017-02-22,19:15:00,7.79,7.79,7.79,7.79,100,0
2017-02-22,19:20:00,7.78,7.78,7.78,7.78,100,0
2017-02-22,19:25:00,7.78,7.78,7.78,7.78,100,0
2017-02-22,19:35:00,7.78,7.78,7.78,7.78,300,0
2017-02-22,19:40:00,7.78,7.78,7.78,7.78,500,0
2017-02-22,19:45:00,7.78,7.78,7.78,7.78,400,0
