Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,25.74,25.74,25.59,25.625,221944,0
2017-04-10,15:40:00,25.64,25.705,25.6,25.68,5975,0
2017-04-10,15:45:00,25.69,25.7,25.6,25.65,4700,0
2017-04-10,15:50:00,25.67,25.68,25.6,25.68,3365,0
2017-04-10,15:55:00,25.635,25.68,25.6335,25.67,4316,0
2017-04-10,16:00:00,25.67,25.7,25.66,25.7,6700,0
2017-04-10,16:05:00,25.72,25.76,25.7,25.74,2400,0
2017-04-10,16:10:00,25.74,25.815,25.73,25.79,6200,0
2017-04-10,16:15:00,25.77,25.773,25.74,25.76,3764,0
2017-04-10,16:20:00,25.77,25.81,25.76,25.8,5558,0
2017-04-10,16:25:00,25.81,25.8332,25.79,25.81,5400,0
2017-04-10,16:30:00,25.815,25.83,25.78,25.795,7858,0
2017-04-10,16:35:00,25.8,25.805,25.4,25.71,1775760,0
2017-04-10,16:40:00,25.7,25.78,25.68,25.7,22945,0
2017-04-10,16:45:00,25.7,25.7,25.67,25.68,10420,0
2017-04-10,16:50:00,25.68,25.68,25.6201,25.66,5225,0
2017-04-10,16:55:00,25.66,25.6699,25.64,25.65,2994,0
2017-04-10,17:00:00,25.65,25.73,25.65,25.695,16641,0
2017-04-10,17:05:00,25.7,25.7199,25.695,25.7,4623,0
2017-04-10,17:10:00,25.6983,25.82,25.68,25.8,13781,0
2017-04-10,17:15:00,25.795,25.84,25.795,25.82,4185,0
2017-04-10,17:20:00,25.83,25.8611,25.83,25.8611,5300,0
2017-04-10,17:25:00,25.87,25.905,25.87,25.8901,1200,0
2017-04-10,17:30:00,25.9,25.9,25.87,25.87,3205,0
2017-04-10,17:35:00,25.87,25.87,25.8,25.8061,8353,0
2017-04-10,17:40:00,25.7901,25.8,25.77,25.77,3627,0
2017-04-10,17:45:00,25.77,25.77,25.73,25.765,4098,0
2017-04-10,17:50:00,25.76,25.8,25.75,25.8,3140,0
2017-04-10,17:55:00,25.79,25.88,25.79,25.86,58070,0
2017-04-10,18:00:00,25.86,25.87,25.83,25.84,8670,0
2017-04-10,18:05:00,25.84,25.86,25.83,25.86,900,0
2017-04-10,18:10:00,25.88,25.88,25.82,25.83,3211,0
