Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-16,14:35:00,25.757,25.757,25.757,25.757,112,0
2017-03-16,14:45:00,25.707,25.707,25.707,25.707,301,0
2017-03-16,15:10:00,25.657,25.657,25.657,25.657,401,0
2017-03-16,15:30:00,25.657,25.657,25.657,25.657,100,0
2017-03-16,15:40:00,25.567,25.567,25.567,25.567,1094,0
2017-03-16,15:50:00,25.557,25.557,25.507,25.507,1907,0
2017-03-16,16:20:00,25.557,25.557,25.557,25.557,301,0
2017-03-16,16:55:00,25.358,25.408,25.358,25.396,9707,0
2017-03-16,17:00:00,25.308,25.308,25.308,25.308,201,0
2017-03-16,17:05:00,25.408,25.408,25.408,25.408,201,0
2017-03-16,17:15:00,25.507,25.507,25.507,25.507,100,0
2017-03-16,17:20:00,25.557,25.607,25.557,25.607,1004,0
2017-03-16,17:30:00,25.507,25.557,25.507,25.557,301,0
2017-03-16,18:30:00,25.507,25.507,25.507,25.507,100,0
2017-03-16,19:20:00,25.458,25.557,25.458,25.557,201,0
2017-03-16,19:25:00,25.507,25.507,25.507,25.507,100,0
2017-03-16,19:30:00,25.458,25.458,25.458,25.458,100,0
2017-03-16,19:55:00,25.458,25.458,25.458,25.458,301,0
2017-03-16,20:25:00,25.408,25.408,25.408,25.408,301,0
2017-03-16,21:00:00,25.458,25.458,25.458,25.458,356,0
2017-03-17,14:35:00,25.408,25.408,25.408,25.408,309,0
2017-03-17,14:40:00,25.607,25.607,25.607,25.607,201,0
2017-03-17,15:30:00,25.458,25.458,25.458,25.458,100,0
2017-03-17,15:40:00,25.458,25.458,25.458,25.458,100,0
2017-03-17,15:45:00,25.408,25.408,25.408,25.408,201,0
2017-03-17,15:50:00,25.358,25.358,25.358,25.358,100,0
2017-03-17,15:55:00,25.308,25.308,25.308,25.308,100,0
2017-03-17,16:05:00,25.258,25.258,25.258,25.258,100,0
2017-03-17,16:20:00,25.258,25.308,25.258,25.308,1104,0
2017-03-17,16:30:00,25.308,25.308,25.308,25.308,100,0
2017-03-17,16:35:00,25.283,25.303,25.283,25.303,201,0
2017-03-17,16:40:00,25.258,25.258,25.258,25.258,201,0
2017-03-17,17:20:00,25.308,25.308,25.308,25.308,100,0
2017-03-17,17:50:00,25.358,25.358,25.358,25.358,201,0
2017-03-17,17:55:00,25.458,25.458,25.458,25.458,100,0
2017-03-17,19:10:00,25.468,25.468,25.468,25.468,100,0
2017-03-17,19:15:00,25.458,25.458,25.458,25.458,100,0
2017-03-17,19:30:00,25.483,25.483,25.483,25.483,401,0
2017-03-17,19:50:00,25.507,25.507,25.507,25.507,201,0
2017-03-17,19:55:00,25.507,25.507,25.507,25.507,903,0
2017-03-17,20:10:00,25.507,25.507,25.507,25.507,100,0
2017-03-17,20:15:00,25.458,25.458,25.458,25.458,201,0
2017-03-17,20:20:00,25.454,25.458,25.408,25.458,4809,0
2017-03-17,20:35:00,25.458,25.458,25.458,25.458,803,0
2017-03-17,20:40:00,25.458,25.458,25.458,25.458,301,0
2017-03-17,20:45:00,25.507,25.557,25.507,25.557,1116,0
2017-03-17,20:55:00,25.557,25.557,25.557,25.557,652,0
2017-03-17,21:00:00,25.507,25.507,25.507,25.507,111,0
2017-03-20,14:35:00,25.358,25.358,25.358,25.358,977,0
2017-03-20,14:40:00,25.308,25.308,25.308,25.308,476,0
2017-03-20,14:50:00,25.458,25.507,25.458,25.507,301,0
2017-03-20,15:05:00,25.557,25.557,25.507,25.507,301,0
2017-03-20,15:15:00,25.458,25.458,25.458,25.458,100,0
2017-03-20,15:20:00,25.607,25.607,25.607,25.607,301,0
2017-03-20,15:40:00,25.607,25.607,25.607,25.607,301,0
2017-03-20,15:50:00,25.607,25.607,25.607,25.607,100,0
2017-03-20,15:55:00,25.607,25.607,25.607,25.607,301,0
2017-03-20,16:20:00,25.557,25.557,25.557,25.557,201,0
2017-03-20,16:30:00,25.507,25.507,25.507,25.507,201,0
2017-03-20,16:35:00,25.458,25.458,25.458,25.458,100,0
2017-03-20,17:00:00,25.358,25.358,25.308,25.308,1004,0
2017-03-20,17:10:00,25.209,25.209,25.209,25.209,401,0
2017-03-20,17:20:00,25.209,25.209,25.209,25.209,502,0
2017-03-20,17:25:00,25.109,25.109,25.109,25.109,502,0
2017-03-20,17:35:00,25.059,25.059,25.059,25.059,100,0
2017-03-20,18:35:00,25.258,25.258,25.258,25.258,759,0
2017-03-20,18:55:00,25.209,25.209,25.209,25.209,100,0
2017-03-20,19:10:00,25.109,25.109,25.109,25.109,100,0
2017-03-20,20:05:00,25.059,25.059,25.059,25.059,100,0
2017-03-20,20:20:00,25.154,25.154,25.129,25.129,1204,0
2017-03-20,20:25:00,25.159,25.209,25.159,25.209,301,0
2017-03-20,20:50:00,25.159,25.159,25.159,25.159,401,0
2017-03-21,14:35:00,25.507,25.956,25.507,25.956,1357,0
2017-03-21,14:40:00,26.006,26.255,25.956,26.255,1218,0
2017-03-21,14:45:00,26.404,26.404,26.404,26.404,1305,0
2017-03-21,14:50:00,26.454,26.454,26.155,26.255,25006,0
2017-03-21,14:55:00,26.354,26.354,26.155,26.155,602,0
2017-03-21,15:00:00,26.205,26.205,26.205,26.205,1104,0
2017-03-21,15:05:00,26.18,26.205,26.115,26.115,7447,0
2017-03-21,15:10:00,26.155,26.18,26.155,26.18,2308,0
