Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,81.8,81.99,81.71,81.99,1508,0
2017-04-07,15:40:00,81.68,82.36,81.6751,82.17,6488,0
2017-04-07,15:45:00,82.06,82.165,81.93,82.01,1000,0
2017-04-07,15:50:00,81.815,82.06,81.815,81.92,1800,0
2017-04-07,15:55:00,82.12,82.145,82.029,82.029,2262,0
2017-04-07,16:00:00,82.02,82.02,81.81,81.98,2835,0
2017-04-07,16:05:00,81.97,82.235,81.97,82.22,2500,0
2017-04-07,16:10:00,82.18,82.1884,82.1,82.1884,1100,0
2017-04-07,16:15:00,82.09,82.2801,82.09,82.25,2294,0
2017-04-07,16:20:00,82.222,82.28,82.19,82.28,742,0
2017-04-07,16:25:00,82.25,82.25,82.11,82.11,978,0
2017-04-07,16:30:00,82.16,82.22,82.001,82.0947,2459,0
2017-04-07,16:35:00,82.12,82.179,82.12,82.12,770,0
2017-04-07,16:40:00,82.1,82.13,81.95,82.03,3035,0
2017-04-07,16:45:00,82.05,82.11,82.01,82.01,1850,0
2017-04-07,16:50:00,82,82.07,81.98,82.07,4530,0
2017-04-07,16:55:00,82.05,82.1,82.03,82.1,800,0
2017-04-07,17:00:00,82.04,82.1,81.95,82.03,3403,0
2017-04-07,17:05:00,82.06,82.09,81.95,82,6150,0
2017-04-07,17:10:00,82,82.1,82,82.1,16200,0
2017-04-07,17:15:00,82.08,82.1,81.97,81.97,2050,0
2017-04-07,17:20:00,82.01,82.18,82,82.13,2280,0
2017-04-07,17:25:00,82.135,82.14,81.98,81.98,3300,0
2017-04-07,17:30:00,81.99,82.07,81.99,82.07,1936,0
2017-04-07,17:35:00,82.1,82.19,82.1,82.19,1500,0
2017-04-07,17:40:00,82.21,82.21,82.14,82.14,2146,0
2017-04-07,17:45:00,82.19,82.2,82.08,82.08,800,0
2017-04-07,17:50:00,82.07,82.16,82.07,82.16,1300,0
2017-04-07,17:55:00,82.14,82.17,82.1,82.15,2041,0
2017-04-07,18:00:00,82.145,82.145,82.08,82.08,1100,0
2017-04-07,18:05:00,82.06,82.09,82,82.09,3800,0
2017-04-07,18:10:00,82.13,82.13,82.09,82.1,400,0
2017-04-07,18:15:00,82.12,82.17,82.08,82.115,2128,0
2017-04-07,18:20:00,82.08,82.08,82.02,82.05,7180,0
