Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,8.33,8.34,8.28,8.29,43344,0
2017-04-10,15:40:00,8.28,8.2899,8.24,8.28,26143,0
2017-04-10,15:45:00,8.28,8.29,8.25,8.28,25400,0
2017-04-10,15:50:00,8.28,8.28,8.24,8.2461,9800,0
2017-04-10,15:55:00,8.24,8.25,8.22,8.2316,12822,0
2017-04-10,16:00:00,8.23,8.26,8.23,8.24,22791,0
2017-04-10,16:05:00,8.24,8.2547,8.24,8.25,21351,0
2017-04-10,16:10:00,8.245,8.27,8.24,8.27,11787,0
2017-04-10,16:15:00,8.27,8.29,8.27,8.27,8461,0
2017-04-10,16:20:00,8.27,8.27,8.25,8.26,25022,0
2017-04-10,16:25:00,8.26,8.275,8.255,8.26,11567,0
2017-04-10,16:30:00,8.25,8.27,8.25,8.27,5100,0
2017-04-10,16:35:00,8.26,8.27,8.24,8.255,6699,0
2017-04-10,16:40:00,8.25,8.26,8.24,8.24,5319,0
2017-04-10,16:45:00,8.24,8.247,8.23,8.235,5850,0
2017-04-10,16:50:00,8.24,8.28,8.235,8.28,27163,0
2017-04-10,16:55:00,8.28,8.29,8.27,8.29,5775,0
2017-04-10,17:00:00,8.29,8.305,8.29,8.3,9573,0
2017-04-10,17:05:00,8.3,8.32,8.29,8.32,16266,0
2017-04-10,17:10:00,8.32,8.34,8.32,8.34,9353,0
2017-04-10,17:15:00,8.345,8.355,8.34,8.34,17878,0
2017-04-10,17:20:00,8.33,8.34,8.31,8.34,16750,0
2017-04-10,17:25:00,8.34,8.355,8.335,8.35,4400,0
2017-04-10,17:30:00,8.34,8.38,8.34,8.38,10421,0
2017-04-10,17:35:00,8.37,8.39,8.36,8.385,11236,0
2017-04-10,17:40:00,8.3899,8.3899,8.36,8.37,9600,0
2017-04-10,17:45:00,8.375,8.39,8.3661,8.37,16989,0
2017-04-10,17:50:00,8.37,8.41,8.37,8.4,19256,0
2017-04-10,17:55:00,8.405,8.405,8.3942,8.3942,9615,0
2017-04-10,18:00:00,8.4,8.41,8.39,8.4,21146,0
2017-04-10,18:05:00,8.4,8.43,8.4,8.42,15024,0
2017-04-10,18:10:00,8.41,8.415,8.395,8.41,8689,0
2017-04-10,18:15:00,8.41,8.44,8.4079,8.41,17039,0
2017-04-10,18:20:00,8.41,8.42,8.41,8.41,4400,0
2017-04-10,18:25:00,8.41,8.435,8.41,8.43,6369,0
2017-04-10,18:30:00,8.43,8.43,8.4,8.4,4417,0
2017-04-10,18:35:00,8.41,8.41,8.39,8.39,11783,0
2017-04-10,18:40:00,8.39,8.39,8.36,8.36,21231,0
2017-04-10,18:45:00,8.37,8.37,8.35,8.36,2085,0
2017-04-10,18:50:00,8.36,8.365,8.35,8.36,5818,0
2017-04-10,18:55:00,8.36,8.37,8.35,8.37,4712,0
2017-04-10,19:00:00,8.365,8.375,8.365,8.37,11936,0
2017-04-10,19:05:00,8.37,8.38,8.37,8.375,2350,0
2017-04-10,19:10:00,8.37,8.375,8.35,8.36,16798,0
2017-04-10,19:15:00,8.355,8.36,8.33,8.34,26428,0
2017-04-10,19:20:00,8.34,8.355,8.34,8.35,7400,0
2017-04-10,19:25:00,8.345,8.35,8.34,8.35,6424,0
2017-04-10,19:30:00,8.35,8.37,8.35,8.36,15578,0
2017-04-10,19:35:00,8.36,8.36,8.34,8.36,11726,0
2017-04-10,19:40:00,8.36,8.36,8.33,8.345,17344,0
2017-04-10,19:45:00,8.345,8.36,8.345,8.36,6800,0
2017-04-10,19:50:00,8.355,8.36,8.35,8.35,6021,0
2017-04-10,19:55:00,8.36,8.36,8.35,8.35,3700,0
2017-04-10,20:00:00,8.35,8.36,8.34,8.36,11148,0
2017-04-10,20:05:00,8.355,8.38,8.35,8.38,21554,0
