Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-02,18:00:00,24.361,24.436,24.361,24.436,524,0
2016-06-02,20:00:00,24.5,24.51,24.416,24.473,2619,0
2016-06-02,20:05:00,24.453,24.473,24.367,24.367,524,0
2016-06-02,20:10:00,24.406,24.406,24.406,24.406,209,0
2016-06-02,20:20:00,24.616,24.616,24.616,24.616,106,0
2016-06-02,20:25:00,24.616,24.616,24.616,24.616,106,0
2016-06-02,20:30:00,24.597,24.597,24.597,24.597,106,0
2016-06-02,20:35:00,24.501,24.501,24.501,24.501,106,0
2016-06-02,20:40:00,24.501,24.501,24.501,24.501,106,0
2016-06-02,20:45:00,24.492,24.501,24.492,24.501,209,0
2016-06-02,20:50:00,24.587,24.587,24.587,24.587,106,0
2016-06-02,20:55:00,24.597,24.597,24.597,24.597,106,0
2016-06-02,21:00:00,24.597,24.597,24.597,24.597,106,0
2016-06-02,21:15:00,24.43,24.43,24.43,24.43,680,0
2016-06-03,19:50:00,24.616,24.616,24.443,24.443,451,0
2016-06-03,20:00:00,24.53,24.55,24.492,24.55,1989,0
2016-06-03,20:05:00,24.52,24.52,24.52,24.52,106,0
2016-06-06,16:20:00,24.541,24.567,24.541,24.567,1886,0
2016-06-06,16:55:00,24.54,24.54,24.54,24.54,209,0
2016-06-06,17:00:00,24.559,24.75,24.559,24.683,2199,0
2016-06-06,17:05:00,24.674,24.807,24.624,24.634,2828,0
2016-06-06,17:50:00,24.559,24.559,24.54,24.54,2723,0
2016-06-06,19:35:00,24.597,24.597,24.597,24.597,418,0
2016-06-06,22:00:00,24.54,24.54,24.54,24.54,106,0
2016-06-07,20:50:00,24.54,24.55,24.54,24.54,943,0
2016-06-08,16:00:00,24.55,24.55,24.54,24.54,225,0
2016-06-08,18:00:00,24.616,24.711,24.587,24.625,1152,0
2016-06-08,18:05:00,24.607,24.654,24.597,24.597,733,0
2016-06-08,19:05:00,24.634,24.634,24.634,24.634,680,0
2016-06-08,20:45:00,24.596,24.596,24.596,24.596,524,0
2016-06-09,16:40:00,24.552,24.628,24.552,24.628,524,0
2016-06-10,15:55:00,24.567,24.577,24.55,24.55,629,0
2016-06-10,16:00:00,24.54,24.54,24.54,24.54,629,0
2016-06-10,16:25:00,24.54,24.54,24.54,24.54,106,0
2016-06-10,17:05:00,24.54,24.543,24.54,24.543,1047,0
2016-06-10,17:35:00,24.55,24.55,24.54,24.54,569,0
2016-06-10,19:15:00,24.55,24.55,24.55,24.55,209,0
2016-06-10,19:50:00,24.54,24.543,24.54,24.543,461,0
2016-06-10,20:05:00,24.54,24.54,24.54,24.54,106,0
2016-06-10,20:35:00,24.55,24.597,24.54,24.588,733,0
2016-06-10,21:40:00,24.54,24.567,24.54,24.541,315,0
2016-06-13,18:40:00,24.544,24.544,24.544,24.544,524,0
2016-06-14,15:35:00,24.54,24.54,24.54,24.54,209,0
2016-06-14,16:50:00,24.587,24.587,24.587,24.587,345,0
2016-06-14,17:20:00,24.587,24.587,24.54,24.54,984,0
2016-06-14,20:10:00,24.634,24.634,24.634,24.634,1047,0
2016-06-15,15:35:00,24.95,24.95,24.95,24.95,880,0
2016-06-15,16:50:00,24.656,24.656,24.656,24.656,184,0
2016-06-15,18:00:00,24.607,24.664,24.607,24.634,1047,0
2016-06-15,18:05:00,24.625,24.625,24.625,24.625,121,0
2016-06-15,20:20:00,24.883,24.902,24.883,24.902,838,0
2016-06-15,20:30:00,24.681,24.912,24.681,24.912,524,0
2016-06-15,20:35:00,24.559,24.559,24.54,24.54,988,0
2016-06-15,21:00:00,24.912,24.912,24.912,24.912,315,0
2016-06-15,21:20:00,24.54,24.54,24.54,24.54,106,0
2016-06-15,22:00:00,24.634,24.634,24.634,24.634,106,0
2016-06-16,18:45:00,24.55,24.55,24.55,24.55,524,0
2016-06-16,19:00:00,24.905,24.905,24.905,24.905,418,0
2016-06-16,19:05:00,24.825,24.825,24.825,24.825,418,0
2016-06-17,18:30:00,24.922,24.922,24.922,24.922,471,0
2016-06-17,18:40:00,24.82,24.82,24.82,24.82,418,0
2016-06-17,19:30:00,25.065,25.065,25.036,25.06,1898,0
2016-06-20,15:35:00,24.845,24.845,24.845,24.845,315,0
2016-06-20,18:25:00,24.51,24.51,24.51,24.51,1047,0
2016-06-20,20:55:00,24.816,24.816,24.816,24.816,524,0
2016-06-21,15:35:00,24.758,24.758,24.758,24.758,106,0
2016-06-21,15:40:00,24.817,24.817,24.817,24.817,877,0
2016-06-21,19:50:00,24.455,24.497,24.455,24.497,524,0
2016-06-21,20:20:00,24.492,24.492,24.463,24.478,1047,0
2016-06-22,17:00:00,24.721,24.721,24.721,24.721,565,0
2016-06-22,18:00:00,24.502,24.677,24.502,24.52,629,0
2016-06-22,19:15:00,24.52,24.52,24.52,24.52,466,0
2016-06-22,19:55:00,24.52,24.52,24.52,24.52,315,0
2016-06-22,20:35:00,24.483,24.501,24.483,24.501,629,0
2016-06-23,15:35:00,24.434,24.434,24.434,24.434,315,0
2016-06-23,17:35:00,24.453,24.453,24.453,24.453,209,0
2016-06-23,17:40:00,24.434,24.434,24.434,24.434,209,0
2016-06-23,17:55:00,24.443,24.443,24.443,24.443,156,0
2016-06-23,18:00:00,24.44,24.443,24.44,24.443,418,0
2016-06-24,15:35:00,24.443,24.443,24.443,24.443,315,0
2016-06-24,19:10:00,24.616,24.616,24.616,24.616,209,0
2016-06-24,20:50:00,24.434,24.434,24.434,24.434,524,0
2016-06-24,21:45:00,24.473,24.473,24.473,24.473,135,0
2016-06-24,21:55:00,24.473,24.483,24.473,24.483,741,0
2016-06-27,15:35:00,24.434,24.434,24.434,24.434,418,0
2016-06-27,19:55:00,24.434,24.444,24.359,24.444,1780,0
2016-06-29,15:45:00,24.569,24.569,24.569,24.569,209,0
2016-06-29,17:20:00,24.624,24.624,24.624,24.624,1047,0
2016-06-29,18:05:00,24.624,24.624,24.624,24.624,1047,0
2016-06-30,16:05:00,24.616,24.616,24.616,24.616,106,0
2016-06-30,16:10:00,24.616,24.616,24.386,24.607,629,0
2016-06-30,16:40:00,24.616,24.616,24.616,24.616,463,0
2016-06-30,16:50:00,24.553,24.616,24.553,24.616,733,0
2016-06-30,16:55:00,24.624,24.625,24.624,24.625,629,0
2016-06-30,17:00:00,24.607,24.625,24.607,24.625,315,0
2016-06-30,17:05:00,24.625,24.625,24.625,24.625,106,0
2016-06-30,20:40:00,24.768,24.768,24.713,24.713,685,0
2016-07-01,17:30:00,24.733,24.733,24.733,24.733,629,0
2016-07-05,17:30:00,24.731,24.731,24.731,24.731,1989,0
2016-07-05,18:15:00,24.825,24.825,24.825,24.825,281,0
2016-07-05,19:00:00,24.825,24.825,24.825,24.825,209,0
2016-07-05,21:20:00,24.969,24.969,24.969,24.969,106,0
2016-07-05,21:35:00,24.825,24.825,24.825,24.825,1047,0
2016-07-07,17:45:00,24.988,25.131,24.941,25.131,2095,0
2016-07-07,20:50:00,25.112,25.131,25.112,25.131,629,0
2016-07-07,21:00:00,25.131,25.131,25.131,25.131,1047,0
2016-07-08,16:20:00,25.016,25.016,25.016,25.016,1047,0
2016-07-08,16:35:00,25.021,25.021,25.021,25.021,209,0
2016-07-08,16:40:00,25.016,25.016,25.016,25.016,209,0
2016-07-08,16:45:00,25.016,25.016,25.016,25.016,315,0
2016-07-08,16:50:00,25.016,25.016,25.016,25.016,315,0
2016-07-08,16:55:00,25.016,25.046,25.016,25.036,524,0
2016-07-08,17:00:00,25.046,25.046,25.046,25.046,106,0
2016-07-08,20:45:00,25.016,25.016,25.016,25.016,340,0
2016-07-11,15:50:00,25.055,25.055,25.055,25.055,341,0
2016-07-11,16:10:00,25.055,25.055,25.055,25.055,106,0
2016-07-11,16:15:00,25.026,25.026,25.026,25.026,106,0
2016-07-11,18:35:00,25.005,25.005,25.005,25.005,418,0
2016-07-11,20:55:00,24.969,24.969,24.969,24.969,524,0
2016-07-12,18:30:00,25.063,25.063,25.063,25.063,524,0
2016-07-12,18:35:00,25.063,25.063,25.063,25.063,262,0
2016-07-12,19:15:00,24.884,24.892,24.701,24.887,2009,0
2016-07-13,17:55:00,24.996,24.996,24.996,24.996,209,0
2016-07-13,20:40:00,24.892,24.892,24.892,24.892,106,0
2016-07-14,16:10:00,24.892,24.892,24.892,24.892,191,0
2016-07-14,16:20:00,24.825,24.825,24.825,24.825,106,0
2016-07-14,20:05:00,24.638,24.674,24.634,24.634,1362,0
2016-07-15,17:20:00,24.825,24.825,24.825,24.825,106,0
2016-07-15,19:55:00,24.825,24.825,24.825,24.825,1047,0
2016-07-18,17:50:00,24.731,24.731,24.468,24.468,223,0
2016-07-18,19:40:00,24.506,24.589,24.506,24.589,209,0
2016-07-18,19:55:00,24.587,24.587,24.51,24.51,524,0
2016-07-18,20:35:00,24.587,24.587,24.587,24.587,106,0
2016-07-19,18:45:00,24.731,24.731,24.731,24.731,106,0
2016-07-19,19:25:00,24.731,24.731,24.731,24.731,106,0
2016-07-20,15:55:00,24.634,24.634,24.612,24.612,723,0
2016-07-20,16:45:00,24.567,24.587,24.567,24.587,629,0
2016-07-20,17:30:00,24.567,24.567,24.54,24.54,418,0
2016-07-20,17:55:00,24.55,24.55,24.55,24.55,209,0
2016-07-20,18:05:00,24.537,24.537,24.53,24.53,833,0
2016-07-20,18:10:00,24.567,24.567,24.554,24.567,629,0
2016-07-20,19:30:00,24.654,24.654,24.654,24.654,315,0
2016-07-20,20:35:00,24.731,24.731,24.731,24.731,524,0
2016-07-20,22:00:00,24.54,24.55,24.54,24.55,209,0
2016-07-21,17:30:00,24.634,24.634,24.634,24.634,209,0
2016-07-21,17:35:00,24.592,24.847,24.592,24.847,418,0
2016-07-21,22:00:00,24.711,24.711,24.711,24.711,209,0
2016-07-22,16:15:00,24.552,24.552,24.552,24.552,315,0
2016-07-22,17:25:00,24.587,24.587,24.567,24.567,617,0
2016-07-22,19:50:00,24.567,24.587,24.567,24.567,418,0
2016-07-22,20:50:00,24.567,24.772,24.559,24.772,315,0
2016-07-25,15:35:00,24.922,24.922,24.922,24.922,1856,0
2016-07-25,15:40:00,24.825,24.825,24.825,24.825,503,0
2016-07-25,15:45:00,24.825,24.825,24.825,24.825,418,0
2016-07-25,16:55:00,24.874,24.874,24.874,24.874,869,0
2016-07-25,17:05:00,24.874,24.874,24.874,24.874,838,0
2016-07-25,19:45:00,24.935,24.935,24.935,24.935,209,0
2016-07-25,21:45:00,24.978,24.978,24.978,24.978,629,0
2016-07-26,15:35:00,24.721,24.721,24.674,24.674,733,0
2016-07-26,15:45:00,24.674,24.691,24.674,24.674,838,0
