Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-08-15,15:35:00,24.353,24.353,24.353,24.353,1050,0
2016-08-15,16:05:00,24.42,24.42,24.42,24.42,1050,0
2016-08-15,21:45:00,24.372,24.372,24.372,24.372,106,0
2016-08-16,15:40:00,24.353,24.353,24.353,24.353,106,0
2016-08-16,17:05:00,24.41,24.41,24.41,24.41,106,0
2016-08-16,17:10:00,24.42,24.42,24.42,24.42,209,0
2016-08-16,17:15:00,24.42,24.42,24.42,24.42,1050,0
2016-08-16,18:00:00,24.467,24.467,24.467,24.467,106,0
2016-08-16,18:05:00,24.42,24.42,24.42,24.42,383,0
2016-08-16,18:35:00,24.467,24.467,24.467,24.467,106,0
2016-08-16,18:50:00,24.42,24.42,24.42,24.42,525,0
2016-08-16,19:00:00,24.487,24.487,24.487,24.487,315,0
2016-08-16,19:10:00,24.506,24.514,24.506,24.514,1156,0
2016-08-16,19:25:00,24.506,24.506,24.506,24.506,106,0
2016-08-16,19:40:00,24.544,24.544,24.544,24.544,209,0
2016-08-16,19:45:00,24.562,24.562,24.562,24.562,388,0
2016-08-16,19:50:00,24.487,24.487,24.487,24.487,531,0
2016-08-16,22:00:00,24.427,24.427,24.427,24.427,421,0
2016-08-17,15:40:00,24.467,24.467,24.467,24.467,1050,0
2016-08-17,20:50:00,24.477,24.477,24.477,24.477,1576,0
2016-08-17,20:55:00,24.477,24.477,24.477,24.477,1050,0
2016-08-17,21:25:00,24.514,24.514,24.514,24.514,106,0
2016-08-18,18:20:00,24.514,24.514,24.514,24.514,525,0
2016-08-18,21:05:00,24.514,24.514,24.514,24.514,841,0
2016-08-18,21:20:00,24.512,24.512,24.512,24.512,158,0
2016-08-19,18:30:00,24.514,24.514,24.514,24.514,525,0
2016-08-19,18:45:00,24.514,24.534,24.514,24.534,525,0
2016-08-19,18:50:00,24.544,24.544,24.544,24.544,525,0
2016-08-19,18:55:00,24.544,24.563,24.544,24.563,421,0
2016-08-19,19:35:00,24.563,24.563,24.563,24.563,614,0
2016-08-19,21:35:00,24.477,24.477,24.477,24.477,315,0
2016-08-22,20:15:00,24.61,24.61,24.61,24.61,275,0
2016-08-22,20:35:00,24.61,24.61,24.61,24.61,405,0
2016-08-22,21:15:00,24.563,24.563,24.563,24.563,564,0
2016-08-23,16:50:00,24.61,24.61,24.61,24.61,945,0
2016-08-23,17:35:00,24.61,24.61,24.61,24.61,275,0
2016-08-23,17:40:00,24.658,24.658,24.658,24.658,525,0
2016-08-23,19:30:00,24.695,24.695,24.695,24.695,630,0
2016-08-23,19:35:00,24.686,24.687,24.677,24.677,1372,0
2016-08-23,19:40:00,24.705,24.705,24.705,24.705,315,0
2016-08-23,20:50:00,24.963,24.972,24.844,24.972,630,0
2016-08-24,18:05:00,24.849,24.849,24.849,24.849,435,0
2016-08-24,20:20:00,24.849,24.849,24.849,24.849,630,0
2016-08-25,21:15:00,24.705,24.705,24.705,24.705,525,0
2016-08-26,18:25:00,24.849,24.849,24.849,24.849,735,0
2016-08-26,18:55:00,24.829,24.829,24.829,24.829,209,0
2016-08-26,19:10:00,24.839,24.839,24.839,24.839,421,0
2016-08-26,19:15:00,24.849,24.849,24.849,24.849,315,0
2016-08-26,20:55:00,24.906,24.906,24.906,24.906,106,0
2016-08-26,21:05:00,24.906,24.906,24.896,24.896,945,0
2016-08-29,18:35:00,25.038,25.039,25.038,25.039,1010,0
2016-08-29,20:25:00,24.915,24.915,24.915,24.915,525,0
2016-08-29,21:35:00,24.915,24.915,24.915,24.915,315,0
2016-08-30,17:35:00,25.087,25.087,25.087,25.087,405,0
2016-08-30,18:00:00,25.134,25.134,25.134,25.134,106,0
2016-08-31,15:35:00,25.134,25.134,25.134,25.134,106,0
2016-09-01,17:25:00,24.734,24.734,24.734,24.734,138,0
2016-09-01,21:10:00,24.999,24.999,24.999,24.999,630,0
2016-09-01,21:25:00,25.096,25.096,25.096,25.096,1156,0
2016-09-02,18:05:00,24.99,24.99,24.99,24.99,421,0
2016-09-02,21:20:00,24.765,24.765,24.765,24.765,841,0
2016-09-06,15:35:00,24.734,24.772,24.734,24.772,2101,0
2016-09-06,19:35:00,24.772,24.772,24.772,24.772,735,0
2016-09-06,20:25:00,24.849,24.849,24.849,24.849,106,0
2016-09-06,20:30:00,24.906,24.906,24.829,24.829,209,0
2016-09-06,20:35:00,24.99,24.99,24.933,24.933,209,0
2016-09-06,20:40:00,25.039,25.039,24.858,24.858,209,0
2016-09-06,21:00:00,24.876,24.876,24.876,24.876,106,0
2016-09-06,21:15:00,24.829,24.896,24.829,24.896,209,0
2016-09-06,21:25:00,24.849,24.849,24.809,24.809,209,0
