Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-08,17:35:00,21.1617,21.1617,21.1617,21.1617,249,0
2017-02-08,18:55:00,21.2112,21.2112,21.2112,21.2112,360,0
2017-02-09,16:30:00,21.1,21.1001,21.1,21.1001,500,0
2017-02-14,21:45:00,20.996,21.02,20.996,21.02,500,0
2017-02-15,21:05:00,20.8988,20.8988,20.8988,20.8988,358,0
2017-02-16,15:35:00,20.47,20.47,20.47,20.47,358,0
2017-02-16,15:50:00,20.7,20.7,20.7,20.7,100,0
2017-02-23,19:35:00,20.69,20.69,20.69,20.69,300,0
2017-02-23,22:00:00,20.619,20.6699,20.619,20.6699,1495,0
2017-02-27,20:30:00,20.5602,20.5602,20.51,20.51,1500,0
2017-02-28,18:55:00,20.7397,20.7397,20.7397,20.7397,100,0
2017-03-02,21:35:00,20.46,20.46,20.46,20.46,208,0
2017-03-03,18:40:00,20.52,20.52,20.52,20.52,100,0
2017-03-21,18:10:00,20.43,20.43,20.4048,20.4048,3000,0
2017-03-22,15:00:00,20.41,20.41,20.41,20.41,100,0
2017-03-28,18:35:00,20.31,20.31,20.31,20.31,917,0
2017-04-25,21:10:00,19.95,19.95,19.95,19.95,299,0
