Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-21,15:35:00,15.3,15.3,15.25,15.25,900,0
2017-04-21,15:40:00,15.25,15.25,15.25,15.25,105,0
2017-04-21,15:45:00,15.22,15.22,15.22,15.22,700,0
2017-04-21,15:50:00,15.24,15.24,15.23,15.23,700,0
2017-04-21,15:55:00,15.2389,15.2389,15.23,15.23,1000,0
2017-04-21,16:00:00,15.2299,15.2299,15.2299,15.2299,300,0
2017-04-21,16:35:00,15.22,15.22,15.22,15.22,900,0
2017-04-21,16:45:00,15.2,15.2,15.2,15.2,200,0
2017-04-21,17:00:00,15.2,15.2,15.2,15.2,150,0
2017-04-21,17:10:00,15.1765,15.1765,15.1765,15.1765,250,0
2017-04-21,17:40:00,15.17,15.17,15.163,15.163,204,0
2017-04-21,17:50:00,15.17,15.17,15.1631,15.1631,200,0
2017-04-21,18:10:00,15.16,15.16,15.16,15.16,100,0
2017-04-21,18:20:00,15.15,15.15,15.15,15.15,2660,0
2017-04-21,18:25:00,15.1398,15.1398,15.1398,15.1398,100,0
2017-04-21,18:35:00,15.15,15.15,15.1499,15.1499,400,0
2017-04-21,18:45:00,15.15,15.15,15.15,15.15,100,0
2017-04-21,18:50:00,15.1478,15.1478,15.1478,15.1478,266,0
2017-04-21,19:15:00,15.13,15.13,15.13,15.13,250,0
2017-04-21,19:20:00,15.1105,15.1105,15.1105,15.1105,115,0
2017-04-21,20:00:00,15.12,15.12,15.12,15.12,12000,0
2017-04-21,20:40:00,15.1788,15.1788,15.1788,15.1788,1000,0
2017-04-21,21:15:00,15.1699,15.17,15.1699,15.17,200,0
2017-04-21,21:20:00,15.169,15.169,15.168,15.168,1500,0
2017-04-24,15:35:00,15.6,15.6,15.6,15.6,535,0
2017-04-24,16:05:00,15.42,15.42,15.42,15.42,100,0
2017-04-24,16:15:00,15.4,15.4,15.392,15.392,200,0
2017-04-24,16:40:00,15.37,15.37,15.37,15.37,100,0
2017-04-24,17:30:00,15.34,15.34,15.34,15.34,250,0
2017-04-24,18:10:00,15.34,15.34,15.3202,15.3202,400,0
2017-04-24,19:35:00,15.36,15.36,15.3597,15.3597,800,0
2017-04-24,20:00:00,15.35,15.35,15.3495,15.35,2200,0
2017-04-24,21:05:00,15.3598,15.3598,15.3598,15.3598,100,0
2017-04-25,15:35:00,15.55,15.55,15.55,15.55,1558,0
2017-04-25,16:15:00,15.5,15.5,15.4875,15.4875,2800,0
2017-04-25,16:45:00,15.45,15.45,15.45,15.45,2000,0
2017-04-25,16:50:00,15.4259,15.4259,15.4259,15.4259,300,0
2017-04-25,17:20:00,15.4534,15.4534,15.4534,15.4534,646,0
2017-04-25,17:45:00,15.4244,15.4244,15.4244,15.4244,100,0
2017-04-25,17:50:00,15.45,15.45,15.441,15.441,1000,0
2017-04-25,19:35:00,15.45,15.45,15.45,15.45,100,0
2017-04-25,20:30:00,15.45,15.45,15.45,15.45,500,0
2017-04-25,20:40:00,15.47,15.47,15.4614,15.4614,350,0
2017-04-25,21:10:00,15.46,15.46,15.4599,15.4599,6000,0
2017-04-25,21:20:00,15.45,15.45,15.45,15.45,2200,0
2017-04-25,21:25:00,15.45,15.45,15.4479,15.45,1175,0
2017-04-25,21:30:00,15.45,15.45,15.4499,15.4499,2000,0
2017-04-25,21:40:00,15.45,15.45,15.4499,15.4499,900,0
2017-04-25,21:50:00,15.449,15.449,15.449,15.449,400,0
2017-04-25,21:55:00,15.45,15.45,15.4499,15.4499,1000,0
2017-04-25,22:00:00,15.45,15.45,15.44,15.44,3708,0
2017-04-26,15:40:00,15.48,15.48,15.48,15.48,125,0
2017-04-26,15:55:00,15.45,15.45,15.45,15.45,150,0
2017-04-26,16:30:00,15.43,15.43,15.43,15.43,250,0
2017-04-26,16:50:00,15.4159,15.4159,15.4159,15.4159,175,0
2017-04-26,18:30:00,15.5,15.5,15.481,15.5,600,0
2017-04-26,19:40:00,15.52,15.52,15.5197,15.5197,600,0
2017-04-26,20:05:00,15.465,15.465,15.465,15.465,1000,0
2017-04-26,21:40:00,15.47,15.47,15.47,15.47,175,0
