Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-21,14:35:00,1.57,1.57,1.57,1.57,280,0
2017-03-21,14:40:00,1.555,1.555,1.555,1.555,1800,0
2017-03-21,14:45:00,1.555,1.555,1.555,1.555,100,0
2017-03-21,14:50:00,1.57,1.57,1.57,1.57,100,0
2017-03-21,15:10:00,1.55,1.55,1.55,1.55,100,0
2017-03-21,15:25:00,1.57,1.57,1.57,1.57,200,0
2017-03-21,15:40:00,1.57,1.57,1.57,1.57,100,0
2017-03-21,16:05:00,1.57,1.57,1.57,1.57,200,0
2017-03-21,16:10:00,1.57,1.57,1.55,1.55,300,0
2017-03-21,16:15:00,1.566,1.566,1.552,1.56,312,0
2017-03-21,16:20:00,1.56,1.56,1.56,1.56,100,0
2017-03-21,16:40:00,1.55,1.56,1.55,1.56,200,0
2017-03-21,16:45:00,1.555,1.555,1.555,1.555,100,0
2017-03-21,16:55:00,1.56,1.56,1.56,1.56,100,0
2017-03-21,17:00:00,1.5527,1.5527,1.5527,1.5527,215,0
2017-03-21,17:05:00,1.555,1.56,1.55,1.555,500,0
2017-03-21,17:10:00,1.55,1.56,1.55,1.56,200,0
2017-03-21,17:15:00,1.555,1.56,1.555,1.56,572,0
2017-03-21,17:30:00,1.56,1.56,1.56,1.56,100,0
2017-03-21,17:50:00,1.56,1.56,1.56,1.56,100,0
2017-03-21,17:55:00,1.57,1.57,1.55,1.55,300,0
2017-03-21,18:10:00,1.57,1.57,1.57,1.57,200,0
2017-03-21,18:20:00,1.57,1.57,1.57,1.57,200,0
2017-03-21,18:25:00,1.56,1.56,1.56,1.56,100,0
2017-03-21,18:35:00,1.56,1.56,1.56,1.56,200,0
2017-03-21,18:40:00,1.56,1.56,1.56,1.56,100,0
2017-03-21,18:45:00,1.555,1.555,1.555,1.555,100,0
2017-03-21,19:00:00,1.55,1.55,1.54,1.54,2000,0
2017-03-21,19:05:00,1.5486,1.5486,1.5486,1.5486,321,0
2017-03-21,19:25:00,1.545,1.545,1.545,1.545,200,0
2017-03-21,19:35:00,1.55,1.55,1.55,1.55,100,0
2017-03-21,19:40:00,1.545,1.545,1.545,1.545,100,0
2017-03-21,20:15:00,1.54,1.5411,1.53,1.535,1500,0
2017-03-21,20:20:00,1.535,1.54,1.51,1.52,16100,0
2017-03-21,20:25:00,1.52,1.53,1.51,1.51,1200,0
2017-03-21,20:30:00,1.512,1.52,1.512,1.52,300,0
2017-03-21,20:35:00,1.52,1.53,1.52,1.52,1200,0
2017-03-21,20:40:00,1.52,1.525,1.52,1.52,1300,0
2017-03-21,20:45:00,1.52,1.52,1.52,1.52,300,0
2017-03-21,20:50:00,1.52,1.52,1.515,1.515,200,0
2017-03-21,20:55:00,1.515,1.53,1.515,1.52,1100,0
2017-03-21,21:00:00,1.525,1.525,1.52,1.52,600,0
2017-03-22,14:35:00,1.53,1.53,1.51,1.51,600,0
2017-03-22,14:40:00,1.5001,1.5001,1.5,1.5,400,0
2017-03-22,14:45:00,1.5,1.5022,1.5,1.5001,3800,0
2017-03-22,14:50:00,1.5,1.5001,1.5,1.5,400,0
2017-03-22,14:55:00,1.4901,1.503,1.49,1.503,588,0
2017-03-22,15:00:00,1.4901,1.4901,1.49,1.49,700,0
2017-03-22,15:05:00,1.4901,1.5,1.49,1.5,4653,0
2017-03-22,15:10:00,1.49,1.4901,1.49,1.49,500,0
2017-03-22,15:15:00,1.5,1.5,1.49,1.5,2600,0
2017-03-22,15:20:00,1.4901,1.4901,1.49,1.49,300,0
2017-03-22,15:25:00,1.49,1.49,1.49,1.49,100,0
2017-03-22,15:30:00,1.49,1.49,1.49,1.49,100,0
2017-03-22,15:35:00,1.49,1.4977,1.49,1.49,5800,0
2017-03-22,15:40:00,1.49,1.49,1.49,1.49,1200,0
2017-03-22,15:45:00,1.4901,1.5,1.4801,1.5,8800,0
2017-03-22,15:55:00,1.4801,1.4999,1.4801,1.4999,390,0
2017-03-22,16:00:00,1.48,1.51,1.48,1.51,3090,0
2017-03-22,16:05:00,1.51,1.51,1.5,1.5,200,0
2017-03-22,16:10:00,1.5,1.5,1.4901,1.4901,200,0
2017-03-22,16:15:00,1.4901,1.4901,1.4901,1.4901,100,0
2017-03-22,16:20:00,1.49,1.4901,1.49,1.4901,200,0
2017-03-22,16:25:00,1.495,1.495,1.495,1.495,100,0
