Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,0.5565,0.57,0.55,0.57,332113,0
2017-04-10,15:40:00,0.58,0.69,0.57,0.6792,1218644,0
2017-04-10,15:45:00,0.68,0.7,0.61,0.6378,1251983,0
2017-04-10,15:50:00,0.6378,0.64,0.61,0.6192,439037,0
2017-04-10,15:55:00,0.6131,0.6337,0.6,0.6337,330089,0
2017-04-10,16:00:00,0.6292,0.6671,0.6292,0.6537,397058,0
2017-04-10,16:05:00,0.659,0.67,0.64,0.642,420069,0
2017-04-10,16:10:00,0.6401,0.66,0.64,0.6498,157749,0
2017-04-10,16:15:00,0.6466,0.7,0.6417,0.6909,336168,0
2017-04-10,16:20:00,0.6984,0.74,0.685,0.7197,870848,0
2017-04-10,16:25:00,0.7191,0.72,0.671,0.6798,446890,0
2017-04-10,16:30:00,0.6795,0.69,0.6744,0.6898,128257,0
2017-04-10,16:35:00,0.69,0.75,0.69,0.75,477268,0
2017-04-10,16:40:00,0.75,0.78,0.7003,0.7301,785588,0
2017-04-10,16:45:00,0.73,0.7301,0.7115,0.7209,335436,0
2017-04-10,16:50:00,0.7209,0.749,0.72,0.745,404990,0
2017-04-10,16:55:00,0.74,0.7439,0.7071,0.7125,431895,0
2017-04-10,17:00:00,0.7201,0.7201,0.7132,0.714,86273,0
2017-04-10,17:05:00,0.7141,0.7245,0.706,0.706,272221,0
2017-04-10,17:10:00,0.706,0.7061,0.67,0.6702,518550,0
2017-04-10,17:15:00,0.673,0.68,0.6615,0.6726,209396,0
2017-04-10,17:20:00,0.6739,0.689,0.6721,0.6722,78781,0
2017-04-10,17:25:00,0.6724,0.6768,0.64,0.6406,418486,0
2017-04-10,17:30:00,0.642,0.6599,0.6402,0.6589,157663,0
2017-04-10,17:35:00,0.6594,0.6656,0.65,0.6627,62310,0
2017-04-10,17:40:00,0.6522,0.664,0.651,0.6516,61354,0
2017-04-10,17:45:00,0.6515,0.6551,0.64,0.6422,123552,0
2017-04-10,17:50:00,0.6442,0.645,0.6421,0.6425,38600,0
2017-04-10,17:55:00,0.6449,0.6499,0.6421,0.6421,61292,0
2017-04-10,18:00:00,0.6422,0.6422,0.63,0.63,120266,0
2017-04-10,18:05:00,0.63,0.64,0.6133,0.615,258269,0
2017-04-10,18:10:00,0.6199,0.6289,0.6158,0.6196,134455,0
2017-04-10,18:15:00,0.6173,0.62,0.6113,0.6126,109039,0
2017-04-10,18:20:00,0.6125,0.6199,0.6024,0.6198,160891,0
2017-04-10,18:25:00,0.6197,0.6198,0.6049,0.608,179029,0
2017-04-10,18:30:00,0.6099,0.6099,0.6061,0.6065,17901,0
2017-04-10,18:35:00,0.6073,0.6188,0.6064,0.6179,124756,0
2017-04-10,18:40:00,0.6169,0.6288,0.6165,0.624,162395,0
2017-04-10,18:45:00,0.6205,0.635,0.6204,0.6278,247464,0
2017-04-10,18:50:00,0.6289,0.6349,0.6289,0.6329,90911,0
2017-04-10,18:55:00,0.6328,0.6329,0.621,0.6211,91355,0
2017-04-10,19:00:00,0.6211,0.6288,0.61,0.6173,125068,0
2017-04-10,19:05:00,0.6211,0.6212,0.6131,0.6181,35101,0
2017-04-10,19:10:00,0.6181,0.6282,0.615,0.62,26267,0
2017-04-10,19:15:00,0.6151,0.6215,0.6151,0.6199,26224,0
2017-04-10,19:20:00,0.6189,0.6198,0.617,0.6182,32872,0
2017-04-10,19:25:00,0.6181,0.62,0.6151,0.6154,20270,0
2017-04-10,19:30:00,0.6156,0.6195,0.6052,0.6152,125248,0
2017-04-10,19:35:00,0.6104,0.6104,0.6087,0.6087,37155,0
2017-04-10,19:40:00,0.6086,0.6159,0.6053,0.6145,48859,0
2017-04-10,19:45:00,0.6152,0.6159,0.61,0.6101,25741,0
2017-04-10,19:50:00,0.6149,0.6179,0.583,0.59,322791,0
2017-04-10,19:55:00,0.59,0.5999,0.5816,0.5825,248286,0
2017-04-10,20:00:00,0.5833,0.59,0.57,0.57,248633,0
2017-04-10,20:05:00,0.57,0.57,0.5501,0.5502,267043,0
2017-04-10,20:10:00,0.5505,0.57,0.55,0.5663,215818,0
2017-04-10,20:15:00,0.5695,0.57,0.56,0.565,76107,0
2017-04-10,20:20:00,0.5688,0.5697,0.5612,0.5621,100739,0
2017-04-10,20:25:00,0.5689,0.5745,0.562,0.5742,102177,0
2017-04-10,20:30:00,0.5745,0.5745,0.55,0.5512,206639,0
2017-04-10,20:35:00,0.5512,0.5599,0.55,0.5501,312288,0
2017-04-10,20:40:00,0.5501,0.5689,0.55,0.5681,159054,0
2017-04-10,20:45:00,0.5565,0.57,0.552,0.5525,135785,0
2017-04-10,20:50:00,0.5561,0.56,0.5519,0.56,67653,0
2017-04-10,20:55:00,0.5595,0.57,0.559,0.5691,55498,0
2017-04-10,21:00:00,0.5695,0.57,0.56,0.5699,56624,0
2017-04-10,21:05:00,0.5604,0.5699,0.5603,0.5697,60055,0
2017-04-10,21:10:00,0.5697,0.5697,0.559,0.559,107965,0
2017-04-10,21:15:00,0.559,0.5697,0.5502,0.558,149610,0
2017-04-10,21:20:00,0.5521,0.5575,0.53,0.53,231364,0
2017-04-10,21:25:00,0.53,0.545,0.5201,0.5298,176020,0
2017-04-10,21:30:00,0.522,0.5381,0.52,0.52,266630,0
2017-04-10,21:35:00,0.52,0.524,0.51,0.5101,249327,0
2017-04-10,21:40:00,0.5145,0.515,0.51,0.512,194714,0
2017-04-10,21:45:00,0.5125,0.53,0.511,0.5279,327103,0
2017-04-10,21:50:00,0.5279,0.53,0.52,0.52,298623,0
2017-04-10,21:55:00,0.5201,0.5293,0.511,0.5179,357095,0
2017-04-10,22:00:00,0.5178,0.53,0.51,0.52,892726,0
2017-04-11,15:35:00,0.5722,0.58,0.56,0.5667,669127,0
2017-04-11,15:40:00,0.561,0.5664,0.519,0.52,352397,0
2017-04-11,15:45:00,0.52,0.5287,0.5101,0.5105,350013,0
2017-04-11,15:50:00,0.5105,0.5155,0.51,0.5147,324534,0
2017-04-11,15:55:00,0.5154,0.52,0.5122,0.5122,178981,0
2017-04-11,16:00:00,0.5161,0.52,0.515,0.5188,160581,0
2017-04-11,16:05:00,0.5183,0.52,0.515,0.5194,236096,0
