Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,28.39,28.39,28.3,28.32,1551,0
2017-04-07,15:40:00,28.4,28.5,28.37,28.49,7548,0
2017-04-07,15:45:00,28.45,28.45,28.45,28.45,100,0
2017-04-07,15:50:00,28.47,28.47,28.47,28.47,100,0
2017-04-07,15:55:00,28.5,28.53,28.47,28.47,3200,0
2017-04-07,16:00:00,28.475,28.49,28.46,28.46,1753,0
2017-04-07,16:05:00,28.49,28.555,28.485,28.54,2800,0
2017-04-07,16:10:00,28.57,28.57,28.54,28.565,1100,0
2017-04-07,16:15:00,28.58,28.58,28.54,28.55,5200,0
2017-04-07,16:20:00,28.555,28.555,28.52,28.525,4167,0
2017-04-07,16:25:00,28.51,28.545,28.46,28.49,15829,0
2017-04-07,16:30:00,28.5,28.53,28.48,28.53,3371,0
2017-04-07,16:35:00,28.53,28.54,28.52,28.53,1500,0
2017-04-07,16:40:00,28.54,28.555,28.51,28.555,3200,0
2017-04-07,16:45:00,28.555,28.555,28.54,28.55,1242,0
2017-04-07,16:50:00,28.55,28.55,28.5,28.53,4332,0
2017-04-07,16:55:00,28.53,28.54,28.52,28.54,1820,0
2017-04-07,17:00:00,28.535,28.535,28.4966,28.525,2652,0
2017-04-07,17:05:00,28.52,28.53,28.5,28.5,1654,0
2017-04-07,17:10:00,28.51,28.52,28.5,28.52,1000,0
2017-04-07,17:15:00,28.51,28.52,28.49,28.5,1507,0
2017-04-07,17:20:00,28.51,28.54,28.51,28.525,4547,0
2017-04-07,17:25:00,28.52,28.52,28.51,28.51,1900,0
2017-04-07,17:30:00,28.52,28.52,28.52,28.52,100,0
2017-04-07,17:35:00,28.52,28.52,28.51,28.52,1300,0
2017-04-07,17:40:00,28.52,28.53,28.51,28.51,3300,0
2017-04-07,17:45:00,28.52,28.525,28.505,28.51,3100,0
2017-04-07,17:50:00,28.52,28.53,28.52,28.53,1600,0
2017-04-07,17:55:00,28.53,28.54,28.52,28.52,2211,0
2017-04-07,18:00:00,28.53,28.535,28.51,28.51,5000,0
2017-04-07,18:05:00,28.52,28.535,28.51,28.53,6908,0
2017-04-07,18:10:00,28.53,28.535,28.51,28.53,5825,0
2017-04-07,18:15:00,28.53,28.55,28.505,28.55,12100,0
2017-04-07,18:20:00,28.55,28.55,28.54,28.54,1952,0
2017-04-07,18:25:00,28.54,28.545,28.54,28.545,400,0
2017-04-07,18:30:00,28.55,28.565,28.5475,28.56,5200,0
2017-04-07,18:35:00,28.57,28.57,28.56,28.56,1780,0
2017-04-07,18:40:00,28.565,28.57,28.565,28.57,1879,0
2017-04-07,18:45:00,28.57,28.57,28.56,28.57,1022,0
2017-04-07,18:50:00,28.565,28.58,28.565,28.575,600,0
2017-04-07,18:55:00,28.57,28.58,28.55,28.56,6083,0
2017-04-07,19:00:00,28.56,28.56,28.555,28.56,300,0
2017-04-07,19:05:00,28.56,28.56,28.525,28.525,2100,0
2017-04-07,19:10:00,28.53,28.54,28.53,28.54,800,0
2017-04-07,19:15:00,28.53,28.53,28.52,28.52,1228,0
2017-04-07,19:20:00,28.525,28.545,28.52,28.54,4037,0
2017-04-07,19:25:00,28.545,28.55,28.545,28.55,200,0
2017-04-07,19:30:00,28.545,28.56,28.545,28.56,31851,0
2017-04-07,19:35:00,28.56,28.57,28.55,28.57,2844,0
2017-04-07,19:40:00,28.57,28.57,28.56,28.56,1400,0
2017-04-07,19:45:00,28.565,28.57,28.565,28.57,13192,0
2017-04-07,19:50:00,28.57,28.58,28.57,28.58,1792,0
2017-04-07,19:55:00,28.58,28.59,28.58,28.5801,400,0
2017-04-07,20:00:00,28.58,28.6,28.58,28.6,1900,0
2017-04-07,20:05:00,28.61,28.63,28.61,28.61,6282,0
2017-04-07,20:10:00,28.61,28.6101,28.605,28.6101,400,0
2017-04-07,20:15:00,28.61,28.62,28.61,28.61,2217,0
2017-04-07,20:20:00,28.62,28.62,28.6101,28.62,600,0
2017-04-07,20:25:00,28.61,28.61,28.6,28.61,3174,0
2017-04-07,20:30:00,28.6,28.6,28.54,28.55,57881,0
2017-04-07,20:35:00,28.55,28.55,28.54,28.55,790,0
2017-04-07,20:40:00,28.54,28.5401,28.5,28.5,1711,0
2017-04-07,20:45:00,28.5,28.5,28.44,28.46,3047,0
2017-04-07,20:50:00,28.47,28.49,28.47,28.48,900,0
2017-04-07,20:55:00,28.46,28.46,28.39,28.41,6830,0
2017-04-07,21:00:00,28.41,28.455,28.41,28.45,1700,0
2017-04-07,21:05:00,28.45,28.46,28.45,28.45,1200,0
2017-04-07,21:10:00,28.45,28.455,28.43,28.43,2700,0
2017-04-07,21:15:00,28.425,28.47,28.425,28.47,1900,0
2017-04-07,21:20:00,28.46,28.46,28.43,28.45,3366,0
2017-04-07,21:25:00,28.46,28.46,28.43,28.46,2600,0
2017-04-07,21:30:00,28.48,28.54,28.48,28.54,3600,0
2017-04-07,21:35:00,28.54,28.55,28.52,28.54,9927,0
2017-04-07,21:40:00,28.55,28.57,28.55,28.56,2560,0
2017-04-07,21:45:00,28.565,28.565,28.54,28.54,6824,0
2017-04-07,21:50:00,28.545,28.55,28.54,28.54,10811,0
2017-04-07,21:55:00,28.55,28.55,28.54,28.54,23941,0
2017-04-07,22:00:00,28.54,28.55,28.49,28.5,82981,0
2017-04-10,15:35:00,28.55,28.55,28.44,28.45,1565,0
2017-04-10,15:40:00,28.53,28.54,28.51,28.51,400,0
2017-04-10,15:50:00,28.51,28.53,28.5,28.53,699,0
2017-04-10,15:55:00,28.54,28.55,28.54,28.55,400,0
2017-04-10,16:00:00,28.56,28.58,28.56,28.58,597,0
2017-04-10,16:05:00,28.62,28.62,28.62,28.62,261,0
2017-04-10,16:10:00,28.6,28.7,28.6,28.64,3835,0
2017-04-10,16:15:00,28.62,28.63,28.62,28.63,200,0
2017-04-10,16:20:00,28.6,28.66,28.59,28.64,1900,0
2017-04-10,16:25:00,28.63,28.65,28.63,28.64,2900,0
2017-04-10,16:30:00,28.66,28.7,28.66,28.7,2400,0
2017-04-10,16:35:00,28.7003,28.71,28.69,28.71,751,0
2017-04-10,16:40:00,28.75,28.76,28.68,28.68,700,0
2017-04-10,16:45:00,28.67,28.71,28.66,28.71,1315,0
2017-04-10,16:50:00,28.72,28.73,28.72,28.73,500,0
2017-04-10,16:55:00,28.72,28.73,28.71,28.7125,3200,0
2017-04-10,17:00:00,28.7,28.7,28.7,28.7,700,0
2017-04-10,17:05:00,28.69,28.69,28.66,28.66,1300,0
2017-04-10,17:10:00,28.67,28.69,28.67,28.68,3400,0
2017-04-10,17:15:00,28.69,28.69,28.68,28.68,800,0
2017-04-10,17:20:00,28.69,28.77,28.68,28.75,6700,0
2017-04-10,17:25:00,28.75,28.78,28.74,28.75,3193,0
2017-04-10,17:30:00,28.755,28.76,28.72,28.76,1700,0
2017-04-10,17:35:00,28.74,28.74,28.67,28.67,2100,0
2017-04-10,17:40:00,28.65,28.65,28.65,28.65,900,0
2017-04-10,17:45:00,28.64,28.64,28.58,28.62,2300,0
2017-04-10,17:55:00,28.62,28.65,28.62,28.63,1000,0
2017-04-10,18:00:00,28.61,28.63,28.6,28.6,1852,0
2017-04-10,18:05:00,28.6,28.6,28.6,28.6,200,0
2017-04-10,18:10:00,28.6,28.6,28.58,28.58,1100,0
2017-04-10,18:15:00,28.57,28.57,28.55,28.55,2782,0
2017-04-10,18:20:00,28.56,28.56,28.54,28.54,200,0
2017-04-10,18:25:00,28.55,28.55,28.535,28.535,300,0
2017-04-10,18:30:00,28.56,28.56,28.51,28.51,1600,0
2017-04-10,18:35:00,28.51,28.51,28.5,28.51,800,0
2017-04-10,18:40:00,28.51,28.51,28.475,28.49,2187,0
2017-04-10,18:45:00,28.49,28.49,28.49,28.49,300,0
2017-04-10,18:50:00,28.5,28.51,28.49,28.495,1000,0
2017-04-10,18:55:00,28.5,28.54,28.5,28.54,1873,0
2017-04-10,19:00:00,28.55,28.55,28.55,28.55,100,0
2017-04-10,19:05:00,28.54,28.56,28.54,28.56,1374,0
2017-04-10,19:10:00,28.56,28.57,28.56,28.57,2200,0
2017-04-10,19:15:00,28.56,28.58,28.54,28.58,2300,0
2017-04-10,19:25:00,28.6,28.61,28.6,28.6,584,0
2017-04-10,19:30:00,28.6,28.6,28.58,28.6,1469,0
2017-04-10,19:35:00,28.6,28.65,28.6,28.62,2189,0
2017-04-10,19:40:00,28.65,28.69,28.65,28.68,1101,0
2017-04-10,19:45:00,28.68,28.69,28.655,28.66,1700,0
2017-04-10,19:50:00,28.66,28.67,28.66,28.67,400,0
2017-04-10,19:55:00,28.67,28.69,28.67,28.69,1426,0
2017-04-10,20:00:00,28.69,28.69,28.67,28.69,1200,0
2017-04-10,20:05:00,28.68,28.69,28.63,28.63,2300,0
2017-04-10,20:10:00,28.65,28.65,28.65,28.65,200,0
2017-04-10,20:15:00,28.65,28.66,28.65,28.66,1550,0
2017-04-10,20:20:00,28.66,28.66,28.65,28.65,700,0
2017-04-10,20:25:00,28.655,28.66,28.63,28.64,4951,0
2017-04-10,20:30:00,28.63,28.63,28.59,28.59,1200,0
2017-04-10,20:35:00,28.59,28.6,28.565,28.565,1100,0
2017-04-10,20:40:00,28.59,28.6,28.59,28.595,1200,0
2017-04-10,20:45:00,28.59,28.6,28.57,28.6,1500,0
2017-04-10,20:50:00,28.63,28.65,28.63,28.65,1769,0
2017-04-10,20:55:00,28.66,28.67,28.63,28.67,1387,0
2017-04-10,21:00:00,28.6728,28.68,28.66,28.68,1791,0
2017-04-10,21:05:00,28.67,28.67,28.67,28.67,700,0
2017-04-10,21:10:00,28.68,28.73,28.68,28.72,3286,0
2017-04-10,21:15:00,28.74,28.79,28.72,28.79,3640,0
2017-04-10,21:20:00,28.78,28.79,28.76,28.78,1403,0
2017-04-10,21:25:00,28.76,28.77,28.73,28.77,2145,0
2017-04-10,21:30:00,28.77,28.78,28.75,28.75,1973,0
2017-04-10,21:35:00,28.76,28.76,28.73,28.76,5901,0
2017-04-10,21:40:00,28.76,28.77,28.75,28.77,2369,0
2017-04-10,21:45:00,28.78,28.78,28.77,28.78,1445,0
2017-04-10,21:50:00,28.78,28.78,28.76,28.77,3947,0
2017-04-10,21:55:00,28.76,28.8,28.76,28.79,3148,0
2017-04-10,22:00:00,28.8,28.81,28.79,28.81,18408,0
2017-04-11,15:35:00,28.77,28.77,28.77,28.77,883,0
2017-04-11,15:40:00,28.86,28.89,28.78,28.84,1384,0
2017-04-11,15:45:00,28.81,28.81,28.78,28.78,500,0
2017-04-11,15:50:00,28.85,28.9,28.85,28.9,800,0
2017-04-11,15:55:00,28.91,28.91,28.91,28.91,295,0
2017-04-11,16:00:00,28.94,28.97,28.91,28.95,1500,0
2017-04-11,16:05:00,28.96,28.96,28.94,28.96,477,0
2017-04-11,16:10:00,28.97,28.99,28.96,28.99,800,0
2017-04-11,16:15:00,28.98,28.98,28.94,28.94,1867,0
2017-04-11,16:20:00,28.97,28.99,28.96,28.96,1000,0
2017-04-11,16:25:00,28.99,29,28.99,28.99,1000,0
2017-04-11,16:30:00,29,29,28.96,28.97,875,0
2017-04-11,16:35:00,28.97,28.98,28.93,28.95,10217,0
2017-04-11,16:40:00,28.94,28.96,28.9,28.96,3695,0
2017-04-11,16:45:00,28.95,28.985,28.95,28.96,1537,0
2017-04-11,16:50:00,29,29.04,29,29.03,1115,0
2017-04-11,16:55:00,29.04,29.04,29.03,29.04,800,0
2017-04-11,17:00:00,29.06,29.18,29.06,29.18,8231,0
2017-04-11,17:05:00,29.16,29.22,29.16,29.19,4349,0
2017-04-11,17:10:00,29.19,29.24,29.19,29.22,3018,0
2017-04-11,17:15:00,29.21,29.21,29.14,29.2,2200,0
2017-04-11,17:20:00,29.2,29.23,29.2,29.23,2026,0
2017-04-11,17:25:00,29.25,29.27,29.2,29.2,3959,0
2017-04-11,17:30:00,29.19,29.2,29.19,29.2,1108,0
2017-04-11,17:35:00,29.2,29.21,29.17,29.19,2989,0
2017-04-11,17:40:00,29.18,29.27,29.18,29.27,3371,0
2017-04-11,17:45:00,29.28,29.28,29.25,29.27,1400,0
