Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-08-17,18:15:00,26.33,26.35,26.33,26.35,200,0
2015-08-17,18:55:00,26.17,26.17,26.17,26.17,128,0
2015-08-18,16:50:00,26.35,26.35,26.35,26.35,1100,0
2015-08-19,16:50:00,26.2,26.2,26.2,26.2,100,0
2015-08-19,17:25:00,26.25,26.3,26.25,26.3,200,0
2015-08-24,15:35:00,26.06,26.06,26.06,26.06,100,0
2015-08-25,16:50:00,26.25,26.25,26.25,26.25,380,0
2015-08-25,17:05:00,26.15,26.15,26.15,26.15,150,0
2015-08-25,19:05:00,26.247,26.25,26.247,26.25,200,0
2015-08-26,22:00:00,25.86,25.8601,25.86,25.8601,978,0
2015-08-27,17:50:00,26,26,26,26,100,0
2015-08-27,18:45:00,26.09,26.0989,26.09,26.0989,200,0
2015-08-27,19:05:00,26.09,26.1,26.09,26.1,200,0
2015-08-27,19:35:00,26.2,26.2,26.2,26.2,450,0
2015-08-28,15:45:00,25.52,25.52,25.52,25.52,550,0
2015-08-28,15:50:00,26.48,26.48,26.48,26.48,500,0
2015-08-28,16:30:00,26.28,26.28,26.28,26.28,100,0
2015-08-28,16:35:00,26.1,26.1,26.1,26.1,100,0
2015-08-28,21:55:00,26.01,26.01,26.01,26.01,100,0
2015-09-01,16:55:00,26.25,26.25,26.25,26.25,100,0
2015-09-02,16:30:00,26.3,26.35,26.3,26.35,200,0
2015-09-03,21:35:00,26.2582,26.2582,26.2582,26.2582,200,0
2015-09-04,18:25:00,26.2001,26.2001,26.2,26.2,700,0
2015-09-04,19:05:00,26.2,26.2,26.2,26.2,190,0
2015-09-08,15:45:00,25.5,25.5,25.26,25.26,600,0
2015-09-08,16:10:00,25.54,25.54,25.54,25.54,100,0
2015-09-08,21:35:00,25.63,25.63,25.63,25.63,500,0
2015-09-11,15:35:00,25.29,25.29,25.29,25.29,500,0
2015-09-11,15:50:00,25.6,25.6,25.6,25.6,200,0
2015-09-11,17:25:00,25.7,25.7,25.7,25.7,100,0
2015-09-11,22:00:00,25.7,25.7,25.7,25.7,100,0
2015-09-14,18:05:00,25.7,25.7,25.7,25.7,100,0
2015-09-15,16:40:00,25.6,25.6,25.6,25.6,200,0
2015-09-18,17:05:00,25.7,25.7,25.7,25.7,100,0
2015-09-18,20:15:00,25.75,25.8,25.75,25.8,200,0
2015-09-21,18:20:00,25.8,25.8,25.8,25.8,39200,0
2015-09-21,20:55:00,25.9,25.9,25.9,25.9,27000,0
2015-09-22,21:40:00,25.65,25.65,25.65,25.65,100,0
2015-09-23,20:40:00,25.8618,25.8618,25.8618,25.8618,400,0
2015-09-24,19:35:00,25.75,25.75,25.75,25.75,100,0
2015-09-24,21:00:00,25.6408,25.6408,25.6408,25.6408,550,0
2015-09-28,21:15:00,25.7,25.7,25.7,25.7,100,0
2015-10-05,19:00:00,25.66,25.66,25.66,25.66,985,0
2015-10-06,19:30:00,25.66,25.66,25.66,25.66,500,0
2015-10-06,21:30:00,25.7499,25.7499,25.7499,25.7499,300,0
2015-10-08,20:20:00,25.7999,25.7999,25.7999,25.7999,170,0
2015-10-09,18:40:00,25.75,25.75,25.75,25.75,100,0
2015-10-12,15:55:00,25.75,25.75,25.75,25.75,120,0
2015-10-12,16:30:00,25.6928,25.6928,25.6928,25.6928,200,0
2015-10-12,16:35:00,25.75,25.75,25.75,25.75,100,0
2015-10-13,17:20:00,25.748,25.748,25.748,25.748,100,0
2015-10-13,21:20:00,25.79,25.8,25.79,25.8,500,0
2015-10-13,21:50:00,25.8005,25.8005,25.8005,25.8005,100,0
2015-10-16,17:35:00,25.98,25.98,25.82,25.82,200,0
2015-10-26,15:50:00,25.8,25.8,25.7999,25.8,2400,0
2015-10-27,20:15:00,25.8,25.8,25.8,25.8,100,0
2015-10-28,19:10:00,25.82,25.82,25.82,25.82,250,0
2015-10-29,17:15:00,25.614,25.614,25.61,25.61,400,0
2015-11-03,20:40:00,25.7874,25.8,25.7874,25.7938,4100,0
2015-11-04,17:45:00,25.9785,26,25.9785,26,1000,0
2015-11-09,16:20:00,26.02,26.02,26.02,26.02,400,0
2015-11-09,16:40:00,25.988,26,25.988,26,500,0
2015-11-09,21:05:00,26.01,26.01,26.01,26.01,474,0
2015-11-11,16:00:00,26,26,26,26,900,0
2015-11-11,18:35:00,26,26,26,26,200,0
2015-11-11,18:55:00,26,26,26,26,300,0
2015-11-11,19:05:00,26.02,26.02,25.975,25.975,1000,0
2015-11-11,20:55:00,26.0499,26.0499,26.0499,26.0499,200,0
2015-11-12,16:20:00,26,26,26,26,100,0
2015-11-13,18:35:00,25.9563,25.9563,25.9563,25.9563,100,0
2015-11-13,21:35:00,25.951,25.951,25.951,25.951,300,0
2015-11-19,16:45:00,25.801,25.801,25.801,25.801,196,0
2015-11-19,17:10:00,25.9433,25.95,25.9433,25.95,650,0
2015-11-19,17:15:00,26,26,26,26,100,0
2015-11-19,19:20:00,26,26,26,26,400,0
2015-11-19,22:00:00,26,26,26,26,400,0
2015-11-24,16:30:00,26,26,26,26,550,0
2015-11-25,20:15:00,26.048,26.048,26.048,26.048,400,0
2015-11-25,21:10:00,25.9701,25.9701,25.9701,25.9701,500,0
2015-11-25,21:15:00,25.982,25.982,25.982,25.982,500,0
2015-11-30,16:00:00,26.05,26.05,25.87,25.92,900,0
2015-11-30,21:40:00,26,26,26,26,200,0
2015-12-01,21:50:00,26.0301,26.0301,26.0301,26.0301,200,0
2015-12-02,16:00:00,26.1,26.1,26.1,26.1,128,0
2015-12-02,18:00:00,26.15,26.15,26.15,26.15,800,0
2015-12-02,19:00:00,26.15,26.15,26.15,26.15,5800,0
2015-12-03,20:40:00,26.05,26.05,26.05,26.05,100,0
2015-12-03,20:45:00,26.01,26.01,26.01,26.01,500,0
2015-12-07,15:35:00,26.23,26.23,26.23,26.23,100,0
2015-12-07,20:25:00,25.9201,25.9201,25.9201,25.9201,400,0
2015-12-08,16:35:00,25.69,25.69,25.69,25.69,447,0
2015-12-08,16:50:00,25.83,25.83,25.83,25.83,400,0
2015-12-09,17:35:00,25.8499,25.85,25.8499,25.85,1000,0
2015-12-09,19:00:00,25.7674,25.7674,25.7501,25.7501,400,0
2015-12-09,19:35:00,25.75,25.75,25.75,25.75,200,0
2015-12-10,16:50:00,25.8,25.8,25.8,25.8,150,0
2015-12-11,18:45:00,25.648,25.648,25.648,25.648,500,0
2015-12-14,16:40:00,25.48,25.48,25.3001,25.33,500,0
2015-12-14,18:10:00,25.33,25.33,25.33,25.33,500,0
2015-12-14,18:20:00,25.33,25.3301,25.33,25.3301,755,0
2015-12-14,18:25:00,25.35,25.35,25.35,25.35,100,0
2015-12-14,18:35:00,25.35,25.35,25.35,25.35,100,0
2015-12-15,19:05:00,25.501,25.501,25.501,25.501,100,0
2015-12-17,15:40:00,25.36,25.36,25.13,25.13,1338,0
2015-12-17,15:55:00,25.354,25.354,25.354,25.354,100,0
2015-12-18,19:00:00,25.3,25.3,25.3,25.3,25100,0
2015-12-21,17:45:00,25.4879,25.4879,25.4879,25.4879,200,0
2015-12-21,17:50:00,25.37,25.37,25.37,25.37,100,0
2015-12-22,17:35:00,25.45,25.45,25.45,25.45,19000,0
2015-12-22,20:10:00,25.36,25.36,25.36,25.36,300,0
2015-12-23,20:55:00,25.41,25.41,25.41,25.41,200,0
2015-12-24,17:55:00,25.7805,25.7805,25.7805,25.7805,175,0
2015-12-24,18:00:00,25.7805,25.7805,25.7805,25.7805,150,0
2015-12-28,15:40:00,25.41,25.5,25.41,25.5,300,0
2015-12-31,16:00:00,25.46,25.4601,25.46,25.4601,400,0
2016-01-04,21:55:00,25.7899,25.7899,25.781,25.781,800,0
2016-01-05,16:05:00,25.68,25.7,25.68,25.7,200,0
2016-01-05,16:30:00,25.78,25.78,25.78,25.78,100,0
2016-01-05,16:50:00,25.78,25.78,25.78,25.78,200,0
2016-01-05,20:00:00,25.7,25.8015,25.7,25.8015,1900,0
2016-01-05,21:00:00,25.6624,25.6624,25.6624,25.6624,300,0
2016-01-06,16:40:00,25.78,25.78,25.78,25.78,200,0
2016-01-06,16:50:00,25.68,25.68,25.68,25.68,250,0
