Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,3.05,3.06,3.03,3.03,27829,0
2017-04-10,15:40:00,3.03,3.04,3.02,3.025,17585,0
2017-04-10,15:45:00,3.02,3.05,3.02,3.04,37400,0
2017-04-10,15:50:00,3.045,3.045,3.03,3.03,28579,0
2017-04-10,15:55:00,3.03,3.05,3.03,3.04,57930,0
2017-04-10,16:00:00,3.045,3.06,3.045,3.06,6915,0
2017-04-10,16:05:00,3.05,3.06,3.05,3.055,37802,0
2017-04-10,16:10:00,3.055,3.06,3.05,3.06,26600,0
2017-04-10,16:15:00,3.06,3.06,3.05,3.05,900,0
2017-04-10,16:20:00,3.055,3.055,3.05,3.05,13604,0
2017-04-10,16:25:00,3.05,3.05,3.05,3.05,3900,0
2017-04-10,16:30:00,3.06,3.06,3.055,3.06,29685,0
2017-04-10,16:35:00,3.06,3.07,3.06,3.07,5808,0
2017-04-10,16:40:00,3.07,3.07,3.065,3.07,1200,0
2017-04-10,16:45:00,3.07,3.07,3.065,3.07,2037,0
2017-04-10,16:50:00,3.07,3.07,3.065,3.07,1100,0
2017-04-10,16:55:00,3.065,3.07,3.06,3.06,979,0
2017-04-10,17:00:00,3.07,3.07,3.06,3.065,2212,0
2017-04-10,17:05:00,3.065,3.065,3.05,3.06,88049,0
2017-04-10,17:10:00,3.06,3.06,3.055,3.06,3000,0
2017-04-10,17:15:00,3.06,3.06,3.055,3.06,6938,0
2017-04-10,17:20:00,3.06,3.06,3.055,3.06,1200,0
2017-04-10,17:25:00,3.055,3.07,3.05,3.07,32800,0
2017-04-10,17:30:00,3.07,3.07,3.06,3.07,30700,0
2017-04-10,17:35:00,3.06,3.07,3.055,3.055,35360,0
2017-04-10,17:40:00,3.05,3.06,3.05,3.05,5400,0
2017-04-10,17:45:00,3.055,3.06,3.041,3.05,30099,0
2017-04-10,17:50:00,3.055,3.06,3.05,3.06,4900,0
