Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,120.03,120.47,120.03,120.29,16977,0
2017-04-10,15:40:00,120.29,120.39,120.21,120.22,6179,0
2017-04-10,15:45:00,120.24,120.6789,120.18,120.52,8491,0
2017-04-10,15:50:00,120.48,120.48,120.28,120.39,4800,0
2017-04-10,15:55:00,120.4,120.61,120.37,120.49,17501,0
2017-04-10,16:00:00,120.5086,120.61,120.44,120.55,11687,0
2017-04-10,16:05:00,120.59,120.71,120.51,120.68,11427,0
2017-04-10,16:10:00,120.69,120.77,120.67,120.72,12628,0
2017-04-10,16:15:00,120.78,120.8,120.69,120.735,9595,0
2017-04-10,16:20:00,120.71,120.9,120.66,120.83,19376,0
2017-04-10,16:25:00,120.79,120.88,120.78,120.88,10829,0
2017-04-10,16:30:00,120.92,121.02,120.88,121,33600,0
2017-04-10,16:35:00,120.96,121.07,120.9,121.04,7406,0
2017-04-10,16:40:00,121.055,121.09,120.97,120.98,6345,0
2017-04-10,16:45:00,120.93,121.03,120.92,121.02,18358,0
2017-04-10,16:50:00,121,121.03,120.961,121.03,5020,0
2017-04-10,16:55:00,121.05,121.05,120.98,121.02,3925,0
2017-04-10,17:00:00,121.05,121.08,120.97,121.03,3541,0
2017-04-10,17:05:00,121.03,121.07,120.975,121,3905,0
2017-04-10,17:10:00,120.995,121.03,120.98,121.01,3318,0
2017-04-10,17:15:00,121.02,121.06,121.01,121.03,4151,0
2017-04-10,17:20:00,121.02,121.06,121,121.02,2704,0
2017-04-10,17:25:00,121.01,121.03,120.96,120.99,5869,0
2017-04-10,17:30:00,121,121,120.96,120.98,1988,0
2017-04-10,17:35:00,120.97,120.99,120.7,120.73,25367,0
2017-04-10,17:40:00,120.75,120.77,120.68,120.71,5085,0
2017-04-10,17:45:00,120.71,120.72,120.6,120.696,6281,0
2017-04-10,17:50:00,120.7,120.769,120.69,120.76,2550,0
2017-04-10,17:55:00,120.77,120.83,120.77,120.81,4901,0
2017-04-10,18:00:00,120.8098,120.8098,120.7,120.74,6057,0
2017-04-10,18:05:00,120.71,120.75,120.69,120.72,3750,0
2017-04-10,18:10:00,120.74,120.755,120.67,120.68,3600,0
2017-04-10,18:15:00,120.68,120.68,120.48,120.54,8912,0
2017-04-10,18:20:00,120.54,120.56,120.51,120.52,1936,0
2017-04-10,18:25:00,120.55,120.56,120.44,120.47,4060,0
2017-04-10,18:30:00,120.47,120.6,120.45,120.6,3653,0
2017-04-10,18:35:00,120.56,120.63,120.53,120.63,1600,0
2017-04-10,18:40:00,120.62,120.72,120.62,120.69,1713,0
2017-04-10,18:45:00,120.75,120.79,120.73,120.79,4906,0
2017-04-10,18:50:00,120.7805,120.95,120.7805,120.95,2599,0
2017-04-10,18:55:00,120.94,121.15,120.92,121.06,9334,0
2017-04-10,19:00:00,121.04,121.22,121.04,121.18,13085,0
2017-04-10,19:05:00,121.16,121.18,121.13,121.14,12314,0
2017-04-10,19:10:00,121.15,121.23,121.14,121.15,10275,0
2017-04-10,19:15:00,121.15,121.22,121.11,121.22,6748,0
2017-04-10,19:20:00,121.23,121.25,121.16,121.17,6333,0
2017-04-10,19:25:00,121.18,121.25,121.18,121.25,3922,0
2017-04-10,19:30:00,121.26,121.26,121.19,121.21,3550,0
2017-04-10,19:35:00,121.23,121.25,121.2,121.23,4912,0
2017-04-10,19:40:00,121.24,121.39,121.23,121.31,7617,0
2017-04-10,19:45:00,121.31,121.3132,121.28,121.3,2310,0
2017-04-10,19:50:00,121.29,121.29,121.2,121.24,2960,0
2017-04-10,19:55:00,121.24,121.33,121.22,121.33,9110,0
2017-04-10,20:00:00,121.32,121.32,121.27,121.29,7665,0
2017-04-10,20:05:00,121.31,121.31,121.06,121.06,10320,0
2017-04-10,20:10:00,121.07,121.18,121.07,121.15,6788,0
2017-04-10,20:15:00,121.16,121.26,121.15,121.26,5350,0
2017-04-10,20:20:00,121.24,121.27,121.21,121.23,5850,0
2017-04-10,20:25:00,121.23,121.27,121.21,121.25,8618,0
2017-04-10,20:30:00,121.24,121.27,121.18,121.18,5375,0
2017-04-10,20:35:00,121.18,121.28,121.18,121.27,7493,0
2017-04-10,20:40:00,121.26,121.26,121.18,121.19,6000,0
2017-04-10,20:45:00,121.19,121.32,121.17,121.31,7183,0
2017-04-10,20:50:00,121.31,121.4,121.3,121.385,7211,0
2017-04-10,20:55:00,121.37,121.39,121.34,121.3586,6118,0
2017-04-10,21:00:00,121.35,121.38,121.31,121.36,7415,0
2017-04-10,21:05:00,121.36,121.38,121.335,121.36,10574,0
2017-04-10,21:10:00,121.36,121.42,121.32,121.33,13155,0
2017-04-10,21:15:00,121.32,121.34,121.27,121.27,12060,0
2017-04-10,21:20:00,121.28,121.38,121.26,121.29,10786,0
2017-04-10,21:25:00,121.3,121.32,121.13,121.171,16820,0
2017-04-10,21:30:00,121.19,121.19,121.09,121.1,7900,0
2017-04-10,21:35:00,121.1,121.12,121.06,121.11,17344,0
2017-04-10,21:40:00,121.11,121.17,121.08,121.13,13149,0
2017-04-10,21:45:00,121.12,121.17,121.11,121.11,13044,0
2017-04-10,21:50:00,121.1,121.1,121.01,121.01,20763,0
2017-04-10,21:55:00,121.01,121.06,121,121.02,27992,0
2017-04-10,22:00:00,121.01,121.17,121.01,121.11,133517,0
2017-04-11,15:35:00,120.67,120.8,120.38,120.78,30805,0
2017-04-11,15:40:00,120.78,120.97,120.71,120.92,9113,0
2017-04-11,15:45:00,120.79,120.82,120.65,120.775,6415,0
2017-04-11,15:50:00,120.77,120.91,120.65,120.9,9862,0
2017-04-11,15:55:00,120.87,121.11,120.84,121,5076,0
2017-04-11,16:00:00,121,121.37,121,121.33,4935,0
2017-04-11,16:05:00,121.3,121.33,121.22,121.315,7220,0
2017-04-11,16:10:00,121.29,121.31,121.1601,121.17,4956,0
2017-04-11,16:15:00,121.16,121.26,121.08,121.17,7167,0
2017-04-11,16:20:00,121.13,121.13,120.97,121.06,5794,0
