Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-14,15:35:00,0.435,0.455,0.435,0.455,1604,0
2017-02-14,15:40:00,0.46,0.46,0.46,0.46,15000,0
2017-02-14,15:50:00,0.44,0.44,0.42,0.4352,59100,0
2017-02-14,16:00:00,0.44,0.44,0.44,0.44,100,0
2017-02-14,16:05:00,0.445,0.46,0.445,0.46,1268,0
2017-02-14,16:10:00,0.445,0.47,0.445,0.47,5134,0
2017-02-14,16:25:00,0.45,0.47,0.45,0.47,200,0
2017-02-14,16:35:00,0.46,0.47,0.45,0.47,810,0
2017-02-14,16:40:00,0.47,0.47,0.47,0.47,500,0
2017-02-14,17:00:00,0.4607,0.47,0.46,0.46,7000,0
2017-02-14,17:05:00,0.445,0.445,0.445,0.445,500,0
2017-02-14,17:10:00,0.4599,0.4599,0.4599,0.4599,100,0
2017-02-14,17:25:00,0.445,0.4455,0.445,0.445,3900,0
2017-02-14,17:30:00,0.4599,0.4599,0.445,0.445,2253,0
2017-02-14,17:45:00,0.46,0.46,0.46,0.46,100,0
2017-02-14,17:50:00,0.4592,0.47,0.45,0.47,12530,0
2017-02-14,18:00:00,0.4633,0.4633,0.4633,0.4633,927,0
2017-02-14,18:05:00,0.47,0.47,0.47,0.47,100,0
2017-02-14,18:40:00,0.4607,0.4607,0.46,0.46,1200,0
2017-02-14,18:45:00,0.4695,0.4695,0.4695,0.4695,100,0
2017-02-14,18:50:00,0.4606,0.47,0.46,0.47,600,0
2017-02-14,19:25:00,0.4698,0.4698,0.4698,0.4698,200,0
2017-02-14,20:40:00,0.4699,0.47,0.46,0.47,3300,0
2017-02-14,21:10:00,0.46,0.47,0.46,0.47,9391,0
2017-02-14,21:20:00,0.47,0.47,0.46,0.46,3432,0
2017-02-14,21:25:00,0.47,0.47,0.47,0.47,100,0
2017-02-14,21:35:00,0.4612,0.47,0.4612,0.47,1600,0
2017-02-14,22:00:00,0.47,0.47,0.46,0.46,11917,0
2017-02-15,15:35:00,0.47,0.47,0.47,0.47,100,0
2017-02-15,15:40:00,0.46,0.47,0.4507,0.47,10092,0
2017-02-15,15:45:00,0.4699,0.4699,0.4699,0.4699,100,0
2017-02-15,16:10:00,0.4507,0.465,0.4507,0.4643,6100,0
2017-02-15,16:40:00,0.455,0.455,0.455,0.455,100,0
2017-02-15,16:45:00,0.4507,0.4536,0.4507,0.4536,275,0
2017-02-15,18:00:00,0.4507,0.4508,0.45,0.45,6484,0
2017-02-15,18:30:00,0.4535,0.4535,0.4535,0.4535,100,0
2017-02-15,18:40:00,0.4506,0.4506,0.45,0.45,14351,0
2017-02-15,19:15:00,0.4499,0.4499,0.4394,0.4394,4100,0
2017-02-15,19:25:00,0.45,0.4535,0.45,0.45,5300,0
2017-02-15,19:45:00,0.44,0.44,0.44,0.44,1700,0
2017-02-15,19:50:00,0.4535,0.4535,0.4535,0.4535,100,0
2017-02-15,20:10:00,0.44,0.4535,0.44,0.4535,5200,0
2017-02-15,20:15:00,0.44,0.4535,0.44,0.4535,5100,0
2017-02-15,20:20:00,0.44,0.44,0.44,0.44,5000,0
2017-02-15,20:25:00,0.4535,0.4535,0.4535,0.4535,100,0
2017-02-15,22:00:00,0.4535,0.4535,0.44,0.4535,700,0
2017-02-16,15:45:00,0.45,0.4535,0.45,0.4535,1600,0
2017-02-16,17:05:00,0.4535,0.4535,0.4535,0.4535,250,0
2017-02-16,18:10:00,0.44,0.45,0.44,0.45,685,0
2017-02-16,19:10:00,0.4381,0.4381,0.438,0.438,5200,0
2017-02-16,19:15:00,0.438,0.45,0.438,0.45,600,0
2017-02-16,20:15:00,0.45,0.45,0.45,0.45,6980,0
2017-02-16,20:35:00,0.4524,0.4524,0.4524,0.4524,100,0
2017-02-16,21:40:00,0.4524,0.4524,0.4524,0.4524,100,0
2017-02-16,21:50:00,0.44,0.4524,0.44,0.4524,600,0
2017-02-16,22:00:00,0.44,0.44,0.44,0.44,804,0
2017-02-17,15:35:00,0.4535,0.4535,0.4535,0.4535,100,0
2017-02-17,15:50:00,0.4495,0.4495,0.438,0.4388,9449,0
2017-02-17,16:20:00,0.438,0.438218,0.438,0.438,28865,0
2017-02-17,16:25:00,0.4388,0.4388,0.43,0.43,92951,0
2017-02-17,16:45:00,0.4203,0.4203,0.4,0.42,51400,0
2017-02-17,16:50:00,0.41,0.4388,0.41,0.4388,2820,0
2017-02-17,17:45:00,0.4203,0.4203,0.4203,0.4203,100,0
2017-02-17,17:50:00,0.4381,0.4381,0.4381,0.4381,1430,0
2017-02-17,18:00:00,0.42,0.42,0.42,0.42,481,0
2017-02-17,18:05:00,0.42,0.42,0.41,0.42,15900,0
2017-02-17,18:10:00,0.42,0.42,0.42,0.42,1800,0
2017-02-17,18:20:00,0.42,0.42,0.42,0.42,111,0
2017-02-17,18:25:00,0.41,0.42,0.41,0.42,700,0
2017-02-17,18:40:00,0.42,0.42,0.42,0.42,10000,0
2017-02-17,18:50:00,0.41,0.42,0.41,0.42,1020,0
2017-02-17,19:25:00,0.401,0.42,0.401,0.42,700,0
2017-02-17,19:30:00,0.4101,0.42,0.4101,0.42,200,0
2017-02-17,19:35:00,0.4104,0.42,0.4104,0.42,200,0
2017-02-17,20:15:00,0.4198,0.4198,0.4198,0.4198,218,0
2017-02-17,20:55:00,0.412,0.412,0.412,0.412,700,0
2017-02-17,21:10:00,0.412,0.412,0.412,0.412,119,0
2017-02-17,21:40:00,0.4199,0.4199,0.4199,0.4199,600,0
