Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-07,15:35:00,1.95,1.95,1.94,1.94,21030,0
2017-04-07,15:40:00,1.94,1.95,1.94,1.94,2813,0
2017-04-07,15:45:00,1.94,1.95,1.94,1.94,3500,0
2017-04-07,15:50:00,1.945,1.945,1.94,1.945,14800,0
2017-04-07,15:55:00,1.94,1.95,1.94,1.95,2400,0
2017-04-07,16:00:00,1.95,1.95,1.94,1.94,4900,0
2017-04-07,16:05:00,1.94,1.95,1.94,1.95,12600,0
2017-04-07,16:10:00,1.94,1.95,1.94,1.94,1900,0
2017-04-07,16:15:00,1.94,1.95,1.94,1.94,1600,0
2017-04-07,16:20:00,1.94,1.95,1.94,1.94,9100,0
2017-04-07,16:25:00,1.94,1.95,1.94,1.94,4200,0
2017-04-07,16:30:00,1.94,1.95,1.94,1.95,6200,0
2017-04-07,16:35:00,1.94,1.95,1.94,1.94,11700,0
2017-04-07,16:40:00,1.94,1.95,1.94,1.945,13200,0
2017-04-07,16:45:00,1.94,1.95,1.94,1.94,2300,0
2017-04-07,16:50:00,1.94,1.95,1.94,1.945,5100,0
2017-04-07,16:55:00,1.94,1.95,1.94,1.945,3800,0
2017-04-07,17:00:00,1.94,1.95,1.94,1.94,7700,0
2017-04-07,17:05:00,1.94,1.945,1.94,1.94,6600,0
2017-04-07,17:10:00,1.94,1.95,1.94,1.94,2900,0
2017-04-07,17:15:00,1.945,1.9499,1.94,1.945,8416,0
2017-04-07,17:20:00,1.945,1.945,1.94,1.945,2600,0
2017-04-07,17:25:00,1.94,1.945,1.94,1.94,2100,0
2017-04-07,17:30:00,1.94,1.95,1.94,1.94,13200,0
2017-04-07,17:35:00,1.94,1.945,1.94,1.945,2800,0
2017-04-07,17:40:00,1.94,1.945,1.94,1.94,2200,0
2017-04-07,17:45:00,1.94,1.9465,1.94,1.94,2297,0
2017-04-07,17:50:00,1.94,1.947,1.94,1.945,3973,0
2017-04-07,17:55:00,1.94,1.945,1.94,1.94,2143,0
2017-04-07,18:00:00,1.94,1.945,1.94,1.94,2300,0
2017-04-07,18:05:00,1.94,1.94,1.94,1.94,2900,0
2017-04-07,18:10:00,1.94,1.945,1.94,1.94,13824,0
2017-04-07,18:15:00,1.94,1.945,1.94,1.94,3100,0
2017-04-07,18:20:00,1.94,1.945,1.94,1.94,15194,0
2017-04-07,18:25:00,1.94,1.945,1.94,1.94,1600,0
2017-04-07,18:30:00,1.94,1.945,1.94,1.94,2500,0
