Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-10,15:35:00,51.25,51.26,51.05,51.17,135220,0
2017-04-10,15:40:00,51.16,51.26,51.11,51.26,93536,0
2017-04-10,15:45:00,51.27,51.35,51.265,51.28,85004,0
2017-04-10,15:50:00,51.285,51.4,51.285,51.39,43583,0
2017-04-10,15:55:00,51.4,51.435,51.38,51.38,39164,0
2017-04-10,16:00:00,51.38,51.4,51.33,51.35,40597,0
2017-04-10,16:05:00,51.345,51.36,51.305,51.36,60181,0
2017-04-10,16:10:00,51.36,51.42,51.35,51.39,53420,0
2017-04-10,16:15:00,51.39,51.4,51.33,51.355,37701,0
2017-04-10,16:20:00,51.355,51.3699,51.305,51.35,34864,0
2017-04-10,16:25:00,51.34,51.3453,51.27,51.315,26708,0
2017-04-10,16:30:00,51.31,51.32,51.29,51.31,26590,0
2017-04-10,16:35:00,51.32,51.335,51.28,51.3,31498,0
2017-04-10,16:40:00,51.31,51.31,51.23,51.235,31493,0
2017-04-10,16:45:00,51.23,51.27,51.21,51.26,45285,0
2017-04-10,16:50:00,51.255,51.285,51.25,51.2634,67071,0
2017-04-10,16:55:00,51.27,51.275,51.22,51.25,71681,0
2017-04-10,17:00:00,51.24,51.255,51.175,51.18,57887,0
2017-04-10,17:05:00,51.18,51.22,51.145,51.18,43939,0
2017-04-10,17:10:00,51.175,51.18,51.12,51.17,46491,0
2017-04-10,17:15:00,51.16,51.215,51.16,51.21,34112,0
2017-04-10,17:20:00,51.21,51.23,51.175,51.185,23984,0
2017-04-10,17:25:00,51.18,51.2,51.15,51.195,27556,0
2017-04-10,17:30:00,51.195,51.2,51.13,51.14,35891,0
2017-04-10,17:35:00,51.14,51.15,50.99,50.99,61147,0
2017-04-10,17:40:00,50.99,51.015,50.955,50.975,68564,0
2017-04-10,17:45:00,50.97,51.01,50.92,51.01,79107,0
2017-04-10,17:50:00,51,51.02,50.97,51.005,27371,0
2017-04-10,17:55:00,51.01,51.03,50.98,51.02,47043,0
2017-04-10,18:00:00,51.02,51.02,50.98,50.985,31352,0
2017-04-10,18:05:00,50.98,51,50.9601,50.98,35492,0
2017-04-10,18:10:00,50.985,51,50.94,50.95,38679,0
2017-04-10,18:15:00,50.95,50.95,50.84,50.85,68182,0
2017-04-10,18:20:00,50.85,50.9,50.85,50.875,25354,0
2017-04-10,18:25:00,50.88,50.89,50.845,50.86,20008,0
2017-04-10,18:30:00,50.8544,50.92,50.84,50.915,26895,0
2017-04-10,18:35:00,50.91,50.97,50.89,50.96,35662,0
2017-04-10,18:40:00,50.95,50.99,50.94,50.9799,24146,0
2017-04-10,18:45:00,50.98,51.06,50.98,51.045,60937,0
2017-04-10,18:50:00,51.04,51.1,51.02,51.1,46843,0
2017-04-10,18:55:00,51.1,51.1499,51.09,51.14,29006,0
2017-04-10,19:00:00,51.135,51.155,51.12,51.12,29576,0
2017-04-10,19:05:00,51.12,51.13,51.08,51.11,41377,0
2017-04-10,19:10:00,51.11,51.16,51.11,51.125,28602,0
2017-04-10,19:15:00,51.12,51.1499,51.105,51.135,12564,0
2017-04-10,19:20:00,51.13,51.14,51.1,51.105,14675,0
2017-04-10,19:25:00,51.105,51.14,51.101,51.125,50359,0
2017-04-10,19:30:00,51.1299,51.13,51.075,51.0751,44221,0
2017-04-10,19:35:00,51.08,51.115,51.065,51.0955,96783,0
2017-04-10,19:40:00,51.1,51.165,51.1,51.145,58181,0
2017-04-10,19:45:00,51.14,51.155,51.12,51.14,15007,0
2017-04-10,19:50:00,51.14,51.14,51.115,51.13,12307,0
2017-04-10,19:55:00,51.13,51.13,51.105,51.1199,18021,0
2017-04-10,20:00:00,51.12,51.15,51.115,51.135,21804,0
2017-04-10,20:05:00,51.14,51.14,51.015,51.02,27999,0
2017-04-10,20:10:00,51.02,51.065,51.02,51.04,25927,0
2017-04-10,20:15:00,51.0499,51.09,51.03,51.075,39139,0
2017-04-10,20:20:00,51.07,51.09,51.05,51.055,19085,0
2017-04-10,20:25:00,51.06,51.085,51.05,51.0698,39363,0
2017-04-10,20:30:00,51.065,51.07,51,51.015,36462,0
2017-04-10,20:35:00,51.01,51.045,51.01,51.025,21747,0
2017-04-10,20:40:00,51.02,51.03,50.99,51.005,32770,0
2017-04-10,20:45:00,51.005,51.045,50.985,51.04,57345,0
2017-04-10,20:50:00,51.05,51.07,51.03,51.045,220946,0
2017-04-10,20:55:00,51.04,51.04,51.01,51.025,63906,0
2017-04-10,21:00:00,51.025,51.03,50.99,51,47949,0
2017-04-10,21:05:00,50.99,51,50.97,50.985,106825,0
2017-04-10,21:10:00,50.985,51.03,50.98,50.98,161583,0
2017-04-10,21:15:00,50.985,51.0199,50.985,51.005,32294,0
